agency,use_case_name,verdict,final_is_general_llm_access,confidence,reasoning
HHS,Ask HR Policy,confirm_proposed,0,high,"Narrow RAG over one corpus for one user group: ""permissioned only to select ACF Executive Officers and Administrative Officers"" answering HR-policy questions — scoped to one dataset and a small group, not broad LLM access."
HHS,Discover User Assistant,confirm_proposed,0,high,"Platform documentation helper ""only available to ACF Discover Users"" answering questions about one platform's modules — embedded single-app assistant, not general access."
HHS,Training and Technical Assistance (TTA) GenAI Chatbot,confirm_proposed,0,medium,"Retired with no narrative, but the name — a Training and Technical Assistance (TTA) chatbot — denotes a domain-scoped grantee-TA chatbot over one program corpus, the narrow customer-service category, not general staff LLM access."
HHS,Document Review for Alignment with Executive Orders: Position Descriptions,confirm_proposed,0,high,"Fixed document-review workflow: AI ""to support the flagging of potential affected position descriptions"" against executive orders — a one-shot audit pipeline, no arbitrary-prompt chat."
HHS,Document Review for Alignment with Executive Orders: Grant Materials,confirm_proposed,0,high,"Fixed review pipeline that ""reviews application submission files and generates initial flags"" for EO-alignment of grants — single workflow routed to program staff, not chat access."
HHS,Acquisition support: co-drafting acquisition packages,confirm_proposed,0,medium,"Although it rides general tools (Credal, Ask Sage, Copilot Chat), this row is the acquisition-package co-drafting workflow scoped to ACF acquisition teams (""draft language for various parts of an acquisition package"") — one workflow, not the general-access deployment itself."
HHS,Acquisition support: assisting reviews and co-drafting technical evaluation documents,confirm_proposed,0,medium,"Same general tools but the use case is scoped to technical-evaluation drafting for acquisition reviews (""draft language for technical evaluation documents"") — single workflow and user group, not broad LLM access."
HHS,Chatbot,keep_current,1,low,"Retired with all narrative fields empty and a fully generic name (""Chatbot""); nothing supports the proposed downgrade, so keeping current=1 per the thin-narrative rule."
HHS,Chatbot,keep_current,1,low,"Duplicate retired entry with empty narrative and generic name (""Chatbot""); too thin to justify the flip — keeping current=1 per the thin-narrative rule."
HHS,CDC Chatbot - Enterprise Data Assistant,keep_current,1,medium,"Described as ""a general purpose assistant for CDC staff to ask questions of large sets of documents"" — arbitrary questions, broadly available bureau-level EDAV chat, which stays 1 under the bureau-platform guidance."
HHS,Using Generative AI for Stance Analysis of Public Comments on CDCs Proposed Rules,confirm_proposed,0,high,"Fixed analysis pipeline that ""automates stance analysis and topic modeling"" of public comments, outputting stance/topic/sentiment per comment — no chat interface."
HHS,Evaluating Generative AI for polio containment.,confirm_proposed,0,medium,"Retired with empty narrative, but the name — evaluating generative AI for polio containment — is a single-domain research evaluation, not a staff-wide chat assistant."
HHS,CDC Chatbot,keep_current,1,high,"Explicitly ""a general purpose assistant for CDC staff powered by Large Language Models"" used for summarizing, content creation, code, and ""general tasks"" (est. 40,000 hours saved) — bureau-level general LLM access, final=1."
HHS,EDAV Virtual Assistant - Eva ( Microbot Service) - Bot as a Service (BaaS),confirm_proposed,0,high,"Helpdesk bot that answers ""questions related to various platform documentation"" for the EDAV platform only — single-app support chatbot, not general access."
HHS,NCIRD SmartFind ChatBots - Public and Internal,confirm_proposed,0,high,"Mailbox/FAQ knowledge-base bots returning ""agency-cleared answers that best match the question"", partly public-facing — canned-answer customer-service chatbots, not arbitrary-prompt staff access."
HHS,GenAIMeta: Generative AI CDC Metadata Query Application,confirm_proposed,0,high,"Metadata validation/monitoring pipeline (""automate metadata validation and monitoring on data.cdc.gov"") over one dataset catalog — fixed workflow, not chat access."
HHS,Using generative AI to gain insight of older adult falls,confirm_proposed,0,medium,"Retired with empty narrative, but the name — generative AI for insight into older adult falls — is a single-topic analysis project, not a general assistant."
HHS,DHDSP NOFO Technical Assistance Chatbot,confirm_proposed,0,high,"Grants technical-assistance chatbot ""trained on hundreds of DHDSP NOFO specific and HHS policy documents"" for one division's TA staff — single corpus and workflow."
HHS,Rapid Detection of Acute Releases of Toxic Substances (RaDARTS),confirm_proposed,0,high,"Media-surveillance pipeline to ""rapidly ingest, categorize, summarize, and store data from news media sources"" outputting incident data points — no prompt interface at all."
HHS,Agentic RAG Chatbot,confirm_proposed,0,high,"Agent pipeline generating ""draft responses to public inquiries"" grounded in CDC source data — a single correspondence workflow, not staff chat access."
HHS,Using LLM to optimize National Health Interview Survey (NHIS) case note information,confirm_proposed,0,high,LLM applied to one dataset task — reviewing NHIS field-representative case notes to flag data-quality issues — a fixed analysis workflow.
HHS,Data Standardization with LLM,confirm_proposed,0,high,"Data-cleaning/standardization pipeline integrated ""into the existing infrastructure of FluLIMS"" — backend LLM use, no chat."
HHS,Respirator Selection Logic (RSL) Copilot,confirm_proposed,0,high,"Decision-support tool operationalizing the Respirator Selection Logic; natural-language input but a single guided workflow (""real-time guidance on what information is required for respirator selection"")."
HHS,PPE Concerns Copilot,confirm_proposed,0,high,"Mailbox triage copilot that will ""analyze incoming questions, search the existing dataset, and generate draft replies"" for the PPE Concerns inbox — one correspondence workflow."
HHS,Delegations Repository Assistant,confirm_proposed,0,high,"Chatbot scoped to ""existing delegation-related documents within the internal Delegations Library"" — per-corpus document search, not general access."
HHS,Contract Invoice Analyzer Assistant,confirm_proposed,0,high,"AI ""financial oversight tool"" that automates contract-invoice review for fraud/waste patterns — a fixed analysis pipeline, no chat."
HHS,Marketplace Qualified Health Plan Benefit AI Assistant (discovery),confirm_proposed,0,medium,"Thin discovery-stage narrative, but the name and outputs (""Suggestion"" for benefits selection) indicate a Marketplace consumer benefit-selection assistant — public-facing/single-workflow, not internal staff LLM access."
HHS,AI Automation within the WETG Web Help Service Desk (discovery),confirm_proposed,0,medium,"Thin narrative, but the use case is help-desk automation inside the WETG Web Help Service Desk (""improved help desk service"") — embedded service-desk copilot, not general access."
HHS,Eligibility & Enrollment Medicare Online (ELMO) Chatbot,confirm_proposed,0,high,"App-helpdesk bot that ""answers questions about the ELMO tool, how to navigate it"" for Medicare caseworkers — single-application support chatbot."
HHS,Regulatory Starting Material,confirm_proposed,0,high,"Extraction pipeline ""extracting Regulatory Starting Materials (RSMs) and their suppliers from unstructured module 3 industry submissions"" — document-processing workflow in CDEROne, not chat."
HHS,FOIA REDACTION (FRED) TOOL,confirm_proposed,0,high,"FOIA redaction tool that ""produces a PDF with boxes around text that it recommends for redaction"" — a single document-processing workflow even though it runs on the Elsa platform."
HHS,AI-Powered Assistant for Pathogen Detection (AIPD),confirm_proposed,0,high,"Foodborne-pathogen data-analysis assistant producing ""AI-assisted data reports"" — domain-scoped analytics workflow, not general LLM access."
HHS,Intelligent Document Processing to analyze current import entry documentation for potential discrepancies,confirm_proposed,0,high,"Intelligent document processing outputting a ""list of discrepancies between document data and CBP line level information"" — fixed import-review pipeline."
HHS,Knowledge Navigator,confirm_proposed,0,high,"PoC RAG over one corpus (""APG documents for 10 loan repayments and scholarship programs"") for analysts and call-center agents — single dataset and user group."
HHS,PRF Program Chatbot,confirm_proposed,0,high,"RAG chatbot over ""a knowledge base composed of PRB's programmatic SME documents"" for PRF program inquiries — per-program document search."
HHS,Code Conversion for PowerBI Migration,confirm_proposed,0,high,"Coding-only use: ""generate code to support migration and conversion from Tableau to PowerBI"" — explicitly excluded category."
HHS,Program Compliance and Reporting Knowledge Base Chatbot,confirm_proposed,0,high,"FAQ knowledge-base chatbot for one reporting system, serving ""both grantees and internal HRSA users"" — narrow customer-service chatbot over program documentation."
HHS,Applying for Grants Chat Bot,confirm_proposed,0,high,"Applicant-facing grants guidance bot (""guide users through the application process step-by-step... for prospective grantees"") — public-facing, single workflow."
HHS,CSR Public Chatbot (CPC),confirm_proposed,0,high,"Explicitly ""answers questions from the public, potential reviewers, and applicants"" from government web pages — public-facing chatbot, excluded."
HHS,NBS Virtual Assistant,confirm_proposed,0,high,"Service-desk assistant for the NIH Business System Cloud user community, answering from ""job aids, CBT training courses, FAQs"" — embedded single-system support bot."
HHS,OIT Help Desk Chatbot,confirm_proposed,0,high,"IT help-desk chatbot to ""shorten resolution time for tickets"" over help-desk data and NIST policy PDFs — service-desk scope, not general access."
HHS,Detection of AI-Generated Reviewer Critiques,confirm_proposed,0,high,"A classifier that ""outputs classifications of whether the reviewer critique was likely produced by Generative AI"" — detection model, not an LLM assistant."
HHS,LibreChat,keep_current,1,high,"NHGRI-internal general chat: staff can ""utilize chat and image generative AI services using available LLMs from various CSPs through a single interface"" as an alternative to public chat services — arbitrary prompts, bureau-broad, final=1 despite pre-deployment stage."
HHS,Virtual Assistant for the NIAMS Grant Management Applications,confirm_proposed,0,high,"Virtual assistant answering questions ""with citation from user guides, training materials, job aids, and SOPs"" for two NIAMS grants-management applications — single-app support bot."
HHS,Grant award process efficiency,confirm_proposed,0,medium,"Grants-award workflow aid producing ""highlight and summary of information found in grant-related documents"" — scoped to one process, no indication of open chat access."
HHS,Portfolio analysis and grant summarizing program,confirm_proposed,0,high,"Batch pipeline that ""automates the process of analyzing text from a few to many hundreds of grants using a custom prompt"", writing results to Excel — fixed portfolio-analysis workflow."
HHS,RAG System For Travel Planning,confirm_proposed,0,high,"Chatbot that ""answers questions from the users based on the user guide"" for travel planning — per-document search over one guide."
HHS,NIH Travel Policy AI Chatbot,confirm_proposed,0,high,"Domain-limited Q&A on ""the Federal Travel Regulation (FTR) and the NIH Travel Policy Handbook"" — single policy corpus, not general staff LLM access."
HHS,Applicant Help Chatbot,confirm_proposed,0,high,"Public applicant support: ""answer user questions about Grants.gov"" — public-facing customer-service chatbot, excluded."
HHS,GrantSolutions AI Writing Assistant,confirm_proposed,0,high,"Embedded writing aid inside GrantSolutions that ""generates a simplified rewrite of the selected text"" for NOFO plain-language compliance — copilot inside a single business app."
HHS,GrantSolutions Helpdesk Agent,confirm_proposed,0,high,"Helpdesk agent resolving ""common account related questions"" (login/access) for GrantSolutions users — narrow service-desk bot inside one app."
HHS,GrantSolutions Non?Competing Continuation Review Tool,confirm_proposed,0,high,"Workflow tool that ""flags potential compliance risks and delivers a structured summary"" of non-competing continuation budgets — fixed review pipeline inside GrantSolutions."
VA,Employee Transactions for HR Decision-Making,confirm_proposed,0,high,"Embedded HCM-suite agents (""AI Agents are embedded... across all areas of the HCM lifecycle"") for HR transactions — copilots inside a single business application, excluded category."
VA,Federal EHR End User Peer Support Chatbot,confirm_proposed,0,high,"RAG bot ""answering the basic, frequently asked questions"" of Federal EHR end users to offload super users — single-system support chatbot."
VA,Power Platform Solutioning Chatbot,confirm_proposed,0,high,"Scoped advisor for Power Platform citizen developers, answering only ""questions regarding the kind of application or solution they are trying to build"" plus licensing — one workflow/user group."
VA,Pyramid Analytics Generative AI Options,confirm_proposed,0,high,"GenAI features embedded inside the Pyramid Analytics BI platform to ""enhance data reporting and content creation"" — large user base (57K) but an in-app analytics copilot, not standalone general LLM access."
VA,Integration of Provar Manager with VA GPT,confirm_proposed,0,high,"Although it rides VA GPT, the use case is the Provar Manager integration for ""automated generation of test cases"" — a single testing workflow, not the general-access deployment itself."
VA,iFAMS CSR Assistant,confirm_proposed,0,high,"Knowledge-retrieval assistant for iFAMS customer support representatives (""simplify retrieval of knowledge content to resolve user support requests"") — one system, one user group."
VA,Loan Guaranty Lender’s Handbook Chatbot,confirm_proposed,0,high,"Chatbot answering ""user questions based on LGY policy and procedures"" from the Lender's Handbook corpus — per-policy document search."
VA,TherapyTrainer,confirm_proposed,0,high,"Psychotherapy training simulator (""AI simulated patient will simulate patient behavior in a therapy session"") — a purpose-built clinical training tool, not general LLM access."
VA,Call Center Knowledge Navigator,confirm_proposed,0,high,"Education Call Center aid returning ""a string in response to a user query with cited reference materials"" plus call transcription — call-center-scoped workflow tool."
VA,CT CoPilot,confirm_proposed,0,high,"Computer-vision software performing ""automatic reformatting, labeling, and quantification"" of brain CT images — not an LLM assistant at all."
