NSF AI Use Case Inventory - 2024/2025 ,"Executive Order 14179, “Promoting the Use of Trustworthy Artificial Intelligence in the Federal Government,” requires agencies to publish annual inventories of non-classified and non-sensitive Artificial Intelligence (AI) use cases. In compliance with this EO and further guidance provided by the CIO council, linked below are NSF’s AI use cases used to “to advance the execution of agencies' missions, enhance decision making, or provide the public with a specified benefit. ",,,,,
Use Case ID,Use Case Name,Agency,Bureau / Department,Summary of Use Case,Stage of System Development Life Cycle,Date Implemented
,,,,,,
AII-7,"ServiceNow GenAI ""Now Assist""",NSF,OCIO,"ServiceNow GenAI is a FedRAMP High certified system to accelerate digital transformation using Now Assist. Automatically generate content such as responses, work notes, and knowledgebase articles related to customer service experience. Increase productivity and speed to delivery with intelligent recommendations. Resolve issues swiftly with chatbots that understand human language.",Deployed,2025
AII-8,Budget Area Topic Classification Tool,NSF,CISE/OAD,"The Budget Area Topic Classification Tool uses a pre-trained BERT model ('bert-base-uncased') to classify proposals into 1 of 8 budget areas: Advanced Manufacturing, AI, Advanced Wireless, Clean Energy, Microelectronics & Semiconductors, Quantum, or Trustworthy AI. This approach is semi-supervised in nature as the training data is comprised of pre-tagged CISE proposals from prior years. Upon training the model to learn the multi-label structure of the underlying data, the model's accuracy and discriminatory power was tested using a hold-out sample (i.e. 80/20 split). The model outputs a numerical vector of probabilities representing the likelihood that a given proposal belongs to 1 or more categories. A cut-off value can then be set for determining final classification for a given proposal.",Pre-Deployment,2023
AII-9,AI voice over,NSF,OLPA,"Wellsaidlabs has been used in our last projects to generate temporary placeholder voice over, which will be replaced later by real voice over, so it doesn&#39;t cause much AI policy concerns.

On top of the typical text to voice conversation, 11 Lab allows users to train their own voice over, which sounds to have a potential to reshape our workflow, with the proper supervision and regulation.",Deployed,2023
AII-10,Adobe Photoshop,NSF,OLPA,"OLPA's Creative Services team will use Photoshop's AI-powered tools to refine edits of photos and graphics, particularly the retouching of portraits.",Pre-Deployment,2023
AII-19,Resubmit Checker,NSF,EDU/DRL,"The resubmit checker takes a list of proposal IDs and returns a list of similar proposals submitted to NSF in the past, scored by their similarity. This is useful for identifying resubmitted proposals for several purposes: evaluating whether to return without review for lack of revision, ensuring continuity of merit review, and the analysis of broader resubmit trends.",Pre-Deployment,2024
AII-22,AWS Assisted Software Development (DIS AI Assisted Development),NSF,OCIO,"Within software development, AI-driven tools, such as AWS CodeWhisperer, Amazon Q and Bedrock, and integration with development workflow, promise to elevate developer productivity and refine code quality. The objective of this pilot is to explore potential integration of these AWS services with DIS Developers IDEs, Jenkins automation, Bitbucket, laying the groundwork for Secure AI Assisted Development at NSF.",Pre-Deployment,2024
AII-24,Mine Potential Reviewer's areas of expertise,NSF,TIP-ITE-ENGINES,Airtable is a low code platform that incorporates Open AI.  The Open AI services are purchased by and the data is kept private to Airtable.  TIP has been approved to use Airtable for several usecases and Airtable has been certified as secure by the NSF OCIO Security Team.  We would like to get approval to use Airtable to trial Airtable's AI's ability to match potential reviewer expertise to the reviewer.,Pre-Deployment,2024
AII-25,"Use AI to populate reviewer ""areas of expertise"" and state of potential Regional Engines submitters (members of organizations)",NSF,TIP-ITE-ENGINES,"TIP is authorized to use Airtable for project management including reviewer volunteers and recruitment.  Airtable is a no-code platform that includes a built-in database.  We do not store any PII in our database except for &quot;public PII&quot; such as name, position, work email address, areas of professional expertise, etc.  We have two specific use-cases for which we would like to employ Airtable AI:

1. People who volunteer sometimes to not list all areas of their expertise or expertise becomes stale.  We have been able to do a proof of concept where Airtable AI is prompted to look at the potential reviewer&#39;s Linked In profile and identify or update the potential reviewer&#39;s expertise in its database based on recent updates to professional experience in LinkedIn.  We would like permission to have AI complete this work.  Typically, an admin person or PD will do this work and it is time-consuming and burdensome.  AI can do it much faster and a member of the staff can check it rather than complete it for 400-500 reviewers.

2. We also have a database of potential Engines submitters in Airtable -- people who have attended a webinar, roadshow, or submitted at an earlier time and asked to be contacted when new funding opportunities are available.  We track very similar information in the potential submitters data base as we do for reviewers who volunteer to review for the program. The information is used to support outreach to these potential submitters when new funding opportunities are announced or a new Engines event is announced.  We need to know the state associated with the particular submitters institution to determine which regional Engine they should be mapped to geographically (state in the US).  We have found that we can prompt the AI to look at the potential submitter&#39;s institution and the AI can locate the state 100% of the time to identify the region that the submitter would be associated with if they were accepted to the program.  Currently, a staff person does this work and it is burdensome.  The AI can do this work much faster so that a member of the staff can redirect their time to more value-added work and then go back and validate the AI&#39;s work.  This permits the Engines program to segment outreach by event and regional engine.

The Airtable AI is an Airtable private instance of Open AI.",Pre-Deployment,2024
AII-26,Enhancing TIP Awards: Efficient Tagging for the 10 Key Technology Areas (KTA),NSF,TIP-ITE-ENGINES,"Per the CHIPS and Science Act mandate, TIP needs to know our investment portfolio based on the 10 KTA.",Pre-Deployment,2024
