queue_id,proposed_name,vendor,alias_text,confidence,reasoning
1691,Invariant Acoustic Signature AI,Invariant Corporation,Invariant Corporation Acoustic Signature AI for Gunshot Detection,high,Names Invariant Corporation acoustic gunshot detection; not in canonical list. Proposing new product.
1703,IDEMIA Credential Authentication Technology (CAT-2),IDEMIA Identity & Security USA,Credential Authentication Technology with Camera System (CAT-2) and AutoCAT,high,IDEMIA CAT-2/AutoCAT is a TSA-specific credential authentication system; proposing new product.
1705,IBM ARGOS,IBM,IBM ARGOS (Automated Real-Time Global Organization Specialist),medium,IBM ARGOS uses sentiment analysis; closest canonical match is IBM Watson.
1719,BI SmartLINK,BI Incorporated (GEO Group),BI ISAP IV (SmartLink),high,BI SmartLINK is ICE ATD-ISAP product by BI Incorporated; proposing new canonical product.
1730,Polarity,Polarity,Polarity Xploitation Platform,high,"Explicitly lists Illumio, Splunk, Crowdstrike; AttackIQ/Cofense/Polarity not in canonical list."
1744,EnerGPT,DOE,EnerGPT,low,EnerGPT is DOE-internal tool for technical standards; not a commercial product.
1763,Elastic Stack,Elastic,Elastic Stack Technology (ELK),high,Elastic Stack/ELK is commercial but not in canonical list.
1768,Raytheon Multimedia Monitoring System (M3S),Raytheon BBN Technologies,Raytheon Multimedia Monitoring System (M3S),high,Raytheon BBN M3S is commercial product but not in canonical list.
1805,Ultralytics YOLO,Ultralytics,Ultralytics,high,Ultralytics (YOLO) is an open-source ML framework vendor; no canonical product match. Could propose new.
1809,ARC Travel Intelligence Program,Airlines Reporting Corporation,Airlines Travel Intelligence Program,high,"ARC Travel Intelligence Program is a specialized ARC product, not in canonical list."
1810,Axon FUSUS,Axon,Axon FUSUS (via HIDTA partners),high,Axon FUSUS is a specific Axon product not in canonical list.
1811,Azure Data Factory,Microsoft,Azure Data Factory,high,"Azure Data Factory is Microsoft data integration tool, not in canonical list."
1812,Azure Storage,Microsoft,Azure Zen 2 Storage,medium,"Azure Zen 2 Storage appears to be Azure storage subscription reference, specific product unclear."
1813,Bloomberg Government,Bloomberg Industry Group,Bloomberg Government (BGOV),high,Bloomberg Government (BGOV) is a specific Bloomberg product not in canonical list.
1814,CargoNet,Verisk Analytics,CargoNet,high,CargoNet is Verisk product not in canonical list.
1815,Cell Hawk,LeadsOnline,Cell Hawk (via HIDTA partners),high,Cell Hawk is LeadsOnline product not in canonical list.
1816,Dun & Bradstreet Business Establishments Data,Dun & Bradstreet,Dun & Bradstreet Business Establishments Data,high,Dun & Bradstreet Business Establishments Data is D&B product not in canonical list.
1817,Axon Evidence.com,Axon,Axon Evidence.com,high,Axon Evidence.com is Axon product not in canonical list.
1820,First Two,FirstTwo,First Two,high,First Two is FirstTwo product not in canonical list.
1821,Mark43 Public Safety Records,Mark43,Mark43 Public Safety Records,high,Mark43 Public Safety Records is Mark43 product not in canonical list.
1822,ISO ClaimSearch,Verisk / National Insurance Crime Bureau,National Insurance Crime Bureau ISO ClaimSearch,high,NICB ISO ClaimSearch is specialized Verisk/NICB product not in canonical list.
1824,ShotSpotter,SoundThinking,ShotSpotter (via access to external state/local systems),high,ShotSpotter is SoundThinking product not in canonical list.
1826,Spokeo,Spokeo,Spokeo,high,Spokeo is a people-search product not in canonical list.
1827,Thomson Reuters CLEAR,Thomson Reuters,Thomson Reuters CLEAR,high,"Thomson Reuters CLEAR is investigative search product, distinct from Westlaw AI (102)."
1828,TransUnion TLOxp,TransUnion,TransUnion TLOxp Online Investigative Services,high,TransUnion TLOxp is TransUnion investigative product not in canonical list.
1829,Veritone Redact,Veritone,Veritone Redact,high,Veritone Redact is Veritone product not in canonical list.
1830,Whooster,Whooster,Whooster,high,Whooster is Whooster investigative data product not in canonical list.
1831,Flock Safety LPR,Flock Safety,Commercial LPR (via HIDTA partners),high,Flock Safety commercial LPR not in canonical list.
1832,ELSAG License Plate Reader,Leonardo,ELSAG/Leonardo (via HIDTA partners),high,ELSAG/Leonardo license plate reader not in canonical list.
1833,Veritone Illuminate,Veritone,Veritone Illuminate,high,Veritone Illuminate is Veritone product not in canonical list.
1834,BMC Helix ITSM,BMC,BMC Helix ITSM,high,BMC Helix ITSM is BMC product not in canonical list.
1835,Thomson Reuters CLEAR License Plate Recognition,Thomson Reuters,Thomson Reuters CLEAR - License Plate Recognition,high,Thomson Reuters CLEAR LPR is a CLEAR module distinct from canonical Westlaw AI.
1836,Veritone aiWARE,Veritone,Veritone,high,Veritone (aiWARE) platform not in canonical list.
1839,Cloudflare Turnstile,Cloudflare,Cloudflare Turnstile,high,Cloudflare Turnstile is Cloudflare bot-mitigation product not in canonical list.
1840,Dragon,Nuance Communications,Dragon,high,Dragon is Nuance speech-to-text product not in canonical list.
1842,BriefCatch,Lawcatch LLC,BriefCatch,high,BriefCatch is Lawcatch legal writing tool not in canonical list.
1844,Relativity,Relativity,Relativity,high,"Compound entry lists CloudNine, Everlaw, Relativity, Nuix; none match canonical IDs directly (Everlaw AI Assistant 211 is distinct product)."
1845,Magnet Axiom,Magnet Forensics,Magnet Axiom,medium,"Compound lists Cellebrite (matches Cellebrite Media Classifier 153), plus Magnet Axiom and Griffeye not in canonical."
1846,SimplyFile,TechHit,SimplyFile,high,SimplyFile is TechHit Outlook add-in not in canonical list.
1847,Critical Mention,Critical Mention,Critical Mention,high,Critical Mention is media monitoring product not in canonical list.
1848,Axon Evidence.com,Axon,Evidence.com,high,Evidence.com is Axon product not in canonical list (same as queue 1817).
1855,ASCVD Risk Estimator,American College of Cardiology,ASCVD (Atherosclerotic Cardiovascular Disease) Risk Estimator,high,"ACC ASCVD Risk Estimator is a medical calculator, not in canonical list"
1856,BD Pyxis,BD,BD Pyxis Automated Medication Dispensing Cabinet,high,BD Pyxis medication dispensing cabinet not in canonical list
1860,Descript,Descript,Descript,high,Descript commercial product not in canonical list
1861,Google Translate,Google,Google Translate,high,Google Translate not in canonical list
1862,Quantum Choice,Plexis Healthcare Systems,Quantum Choice from Plexis,high,Quantum Choice from Plexis not in canonical list
1866,Pearson Assessments,Pearson,Pearson Assessments Psychological Test Interpretation,high,Pearson Assessments psychological test interpretation not in canonical list
