canonical_name,categories,gen_ai,confidence,reasoning
Gemini,genai_platform|assistant,1,high,"Google's general-purpose LLM offered both as a chat/API surface and as embedded assistants (Code Assist, Workspace)."
Google,none,0,low,"Bare brand placeholder with no specific product named in snippets."
Google Agentspace,search|assistant,1,medium,"Enterprise agentic search over org data grounded in Gemini, bundled with NotebookLM."
Google Calendar,none,0,high,"Calendar/productivity app with no distinct AI capability from the closed vocabulary."
Google Chrome Generative AI,assistant,1,medium,"Chrome's embedded generative writing/help features act as an in-browser copilot."
Google Cloud Platform,ml_platform|genai_platform,1,low,"Umbrella cloud brand that agencies use to host and run ML and generative models (Vertex), though the entry is broad."
Google Cloud Vision,vision,0,high,"Image analysis API for object detection, labeling, and OCR."
Google Colab,none,0,medium,"Hosted notebook/dev environment, not itself a labeled AI capability."
Google Coral TPU,none,0,high,"ML accelerator hardware, not a software capability class."
Google Distributed Cloud,none,0,low,"On-prem/edge cloud infrastructure; a hosting substrate rather than an AI capability itself."
Google Earth Engine,none,0,medium,"Geospatial data-analytics platform (GIS), outside the capability vocabulary."
Google Lens,vision,0,high,"Image-recognition product identifying objects and text in photos."
Google Maps,none,0,high,"Mapping and routing service; navigation is not a listed AI capability."
Google News Brief,nlp,1,low,"Generates short news summaries, a summarization/analysis capability."
Google Pixel,vision,1,low,"Phone whose headline AI is biometric Face Unlock (vision) plus generative photo editing."
Google Translate,translation,0,high,"Machine translation between human languages."
Google Vertex AI,ml_platform|genai_platform,1,high,"Full data-science platform that also serves and orchestrates generative models."
Google Workspace,none,0,low,"Productivity suite; its Gemini assistant is catalogued separately."
NotebookLM,assistant,1,high,"Gemini-powered research assistant for document Q&A, synthesis, and audio overviews."
reCAPTCHA,none,0,high,"Bot-detection/risk-scoring security service, none of the listed capabilities."
Lexis+ AI,assistant|search,1,high,"Generative legal-research assistant combining semantic retrieval with drafting."
Lexis+ Protege,assistant,1,high,"Personalized generative AI legal assistant embedded in the Lexis workflow."
LexisNexis,search,0,low,"Legal/public-records research brand whose core is retrieval over content."
LexisNexis Risk Solutions,search,0,low,"Public-records and identity/fraud data service centered on record search."
NexisXplore,search,0,low,"LexisNexis investigative research and retrieval product."
CoCounsel,assistant|search,1,high,"Generative legal assistant for research (retrieval), document review, and drafting."
ProLaw,none,0,low,"Legal practice-management software; its AI/search features are peripheral and vague."
Thomson Reuters,search,0,low,"Legal/research brand placeholder; core offering is content retrieval."
Thomson Reuters CLEAR,search,0,high,"Public-record search and retrieval tool for fraud/investigations."
Westlaw AI,assistant|search,1,high,"AI legal research combining semantic case-law retrieval with generative answers."
Brainlab Cirq Alignment,none,0,low,"Robotic surgical alignment arm; hardware/robotics outside the vocabulary."
Brainlab Cranial Navigation,vision,0,low,"Image-guided surgical navigation registers and processes medical imaging."
Brainlab Elements,vision,0,medium,"Medical image-processing suite (segmentation, registration, fusion)."
Brainlab Elements Spine,vision,0,low,"Spine imaging and planning module built on medical image analysis."
Medtronic CareLink,none,0,low,"Remote cardiac-device monitoring network; data telemetry rather than a listed capability."
Medtronic GI Genius,vision,0,high,"Real-time computer-vision polyp detection on colonoscopy video."
Medtronic LINQ II,none,0,low,"Insertable cardiac monitor with signal-based arrhythmia detection; no listed capability fits."
Medtronic O-arm O2,none,0,low,"Intraoperative imaging scanner hardware, not an AI analysis product."
ServiceNow,none,0,low,"ITSM platform; its generative and search AI features are catalogued as separate entries."
ServiceNow AI Search,search,0,medium,"Intelligent/semantic query capability within the ServiceNow platform."
ServiceNow IT Operations Management (ITOM) Predictive AIOps,none,0,medium,"Predictive AIOps anomaly detection for IT ops; no listed capability class fits."
ServiceNow Now Assist,assistant,1,high,"ServiceNow's embedded generative AI copilot across its workflows."
RAVEn Investigative Prioritization Aggregator,none,0,low,"HSI analytics environment that aggregates and prioritizes investigative leads; no clean capability match."
RAVEn Normalization Services,none,0,medium,"Data normalization/ETL service, not an AI capability class."
RAVEn Translation and Transcription Service,translation|speech,0,high,"Named service providing translation and transcription for investigative data."
Claude,genai_platform,1,high,"Anthropic's general-purpose LLM chat/API surface."
Claude Code,assistant,1,high,"Anthropic's embedded generative coding agent."
