use_case_id_2024,tagged_by_agent,entry_type,is_generative_ai,ai_sophistication,deployment_scope,confidence,reasoning,is_general_llm_access,is_coding_tool,is_cots_commercial,tool_product_name,tool_vendor,is_microsoft_copilot,is_openai,is_anthropic,is_google,is_github_copilot,is_aws_ai,is_enterprise_wide,architecture_type,has_model_training,use_type,is_public_facing,scope_detail,is_product_capability_entry
35406,wave1-F,bespoke_application,1,general_llm,bureau,medium,'Brief narrative summaries describing concepts included in complaint narratives' — generative summarization.,,,,,,,,,,,,0,unknown,,mission_critical,,,
35407,wave1-F,bespoke_application,1,general_llm,bureau,medium,'Production of quantitative data in response to questions posed by users' — Ask Complaints LLM-style Q&A.,,,,,,,,,,,,0,rag_pipeline,,mission_critical,,,
35408,wave1-F,bespoke_application,0,nlp_specific,bureau,medium,'Redact personally identifiable information (PII) … from consumers' complaint narratives' — NLP redaction.,,,,,,,,,,,,0,unknown,,mission_critical,,,
35409,wave1-F,bespoke_application,1,general_llm,bureau,low,'Support investigations through document review assistance' — Document Review Tool.,,,,,,,,,,,,0,unknown,,mission_critical,,,
35410,wave1-F,custom_system,0,predictive_analytics,office,high,'Isolation forest model … runs daily' to identify erroneous data loads in TCR.,,,,,,,,,,,,0,custom_trained,1,mission_critical,,DOD,
35411,wave1-F,custom_system,0,predictive_analytics,office,high,'Supervised and unsupervised techniques trained with DOE's existing set of exp[ert-labeled]' spoofing patterns — retired.,,,,,,,,,,,,0,custom_trained,1,mission_critical,,DOE,
35412,wave1-F,custom_system,0,predictive_analytics,office,medium,'Neural-network based machine learning methods for creating stress testing scenarios and estimating PnL'.,,,,,,,,,,,,0,custom_trained,1,mission_critical,,DCR,
35413,wave1-F,custom_system,0,predictive_analytics,office,medium,'Statistical and probabilistic models to predict firms experiencing changes in capital levels' — entity-risk R&D.,,,,,,,,,,,,0,custom_trained,1,mission_critical,,MPD,
35414,wave1-F,product_deployment,1,general_llm,enterprise_wide,high,Title 'Microsoft Copilot Integration' producing 'Text-based summaries and AI generated text'.,1,,1,Microsoft 365 Copilot,Microsoft,1,,,,,,1,inference_only,,administrative,,OCIO,
35415,wave1-F,product_feature,1,general_llm,bureau,medium,'Clearinghouse Network … hosted on the Roundtable platform' with AI features producing 'Summarized text and video transcripts'.,,,1,Roundtable,Roundtable,,,,,,,0,inference_only,,mission_critical,,Clearinghouse,1
35416,wave1-F,generic_use_pattern,1,general_llm,enterprise_wide,low,'Generation. Text to speech. Speech to Text' for language translation — generic GenAI pattern.,,,,,,,,,,,,1,inference_only,,mission_critical,,,1
35417,wave1-F,generic_use_pattern,1,general_llm,enterprise_wide,low,'Generation. Text to speech. Speech to Text' for reasonable accommodation — generic GenAI pattern.,,,,,,,,,,,,1,inference_only,,mission_critical,,,1
35418,wave1-F,generic_use_pattern,1,general_llm,enterprise_wide,low,'Virtual Assistants … Generation. Text to speech. Speech to Text' — generic GenAI VA pattern.,,,,,,,,,,,,1,inference_only,,administrative,,,1
35419,wave1-F,generic_use_pattern,1,general_llm,enterprise_wide,low,'Employee Training and Professional Development … Generation' — GenAI for training.,,,,,,,,,,,,1,inference_only,,administrative,,,1
35420,wave1-F,generic_use_pattern,1,general_llm,enterprise_wide,medium,'Relevant legal information to support enforcement and/or litigation activity' — legal-research GenAI pattern.,,,,,,,,,,,,1,inference_only,,mission_critical,,,1
35421,wave1-F,generic_use_pattern,1,general_llm,enterprise_wide,low,"'Create digital documents or information that is organized, indexed' — records management GenAI pattern.",,,,,,,,,,,,1,inference_only,,administrative,,,1
35422,wave1-F,generic_use_pattern,1,general_llm,enterprise_wide,low,'Categorization/classification of priority or topic for policy or legal public comments' — FOIA GenAI pattern.,,,,,,,,,,,,1,inference_only,,administrative,,,1
35423,wave1-F,generic_use_pattern,0,classical_ml,enterprise_wide,low,'Anomalies. Classification' for cybersecurity — generic cyber pattern.,,,,,,,,,,,,1,inference_only,,cybersecurity,,,1
35424,wave1-F,custom_system,0,nlp_specific,office,medium,"Names 'extract data from invoices and contracts (PDFs)' for reconciliation — non-generative document NLP, contracted/in-house build.",,,0,,,,,,,,,0,unknown,,administrative,0,CIO Organization,
35425,wave1-F,custom_system,0,predictive_analytics,office,medium,Quotes 'predict when a server is about to fail' from system logs — predictive ML for IT operations.,,,,,,,,,,,,0,unknown,,it_operations,0,CIO Organization,
35426,wave1-F,bespoke_application,1,general_llm,office,medium,Names 'Plain Language Writing Act' feedback assistant on draft policies — generative writing assistant.,,,,,,,,,,,,0,inference_only,,administrative,,CIO Organization,
35427,wave1-F,bespoke_application,1,general_llm,office,medium,Quotes 'Gen AI would write a draft Knowledge Article' on incidents.,,,,,,,,,,,,0,inference_only,,it_operations,,CIO Organization,
35428,wave1-F,product_deployment,1,coding_assistant,pilot,medium,Title 'AI Coding Assistant' offering 'code suggestions in real time' — coding tool pilot.,,1,,,,,,,,,,0,inference_only,,it_operations,,CIO Organization,
35429,wave1-F,generic_use_pattern,1,general_llm,office,medium,'Generative' content creation for training; pattern not a named product at Corporate University.,,,,,,,,,,,,0,unknown,,administrative,,Corporate University,
35430,wave1-F,generic_use_pattern,1,general_llm,office,medium,'Immersive learning … creating realistic environments using GenAI' for training.,,,,,,,,,,,,0,unknown,,administrative,,Corporate University,
35431,wave1-F,generic_use_pattern,0,classical_ml,office,low,"'Recommend courses based on history/need' — recommender, not generative.",,,,,,,,,,,,0,unknown,,administrative,,Corporate University,
35432,wave1-F,generic_use_pattern,0,predictive_analytics,office,low,"Quotes 'track course progress, comprehension … adaptive learning' — predictive/adaptive ML.",,,,,,,,,,,,0,unknown,,administrative,,Corporate University,
35433,wave1-F,generic_use_pattern,0,nlp_specific,office,low,'Plagiarism detection' — text-similarity NLP.,,,,,,,,,,,,0,unknown,,administrative,,Corporate University,
35434,wave1-F,generic_use_pattern,0,predictive_analytics,office,low,'Early intervention in the students academic growth' — predictive analytics.,,,,,,,,,,,,0,unknown,,administrative,,Corporate University,
35435,wave1-F,generic_use_pattern,0,classical_ml,office,low,Attendance/activity monitoring 'in supervised and unsupervised environments'.,,,,,,,,,,,,0,unknown,,administrative,,Corporate University,
35436,wave1-F,custom_system,0,nlp_specific,office,medium,'Automating data collection from PDF form documents' for fair-lending exams — document NLP.,,,,,,,,,,,,0,unknown,,mission_critical,,DCP,
35437,wave1-F,generic_use_pattern,0,predictive_analytics,office,low,'Where Examination process steps slow down' — process-mining analytics.,,,,,,,,,,,,0,unknown,,administrative,,DCP,
35438,wave1-F,custom_system,0,predictive_analytics,office,medium,'Off-site risk monitoring' producing 'high / low relative risk' — predictive analytics built in-house.,,,,,,,,,,,,0,unknown,,mission_critical,,DCP,
35439,wave1-F,custom_system,0,nlp_specific,office,medium,'Identify consumer complaint trends' via 'pre-processing of consumer complaints using AI' — NLP categorization.,,,,,,,,,,,,0,unknown,,mission_critical,,DCP,
35440,wave1-F,custom_system,0,nlp_specific,office,medium,'Identify pre-exam questions that are misaligned' — in-house NLP for examiners.,,,,,,,,,,,,0,unknown,,mission_critical,,DCP,
35441,wave1-F,product_feature,0,classical_ml,office,medium,Names 'Einstein Call Center Assistance' for Epic case routing — Salesforce Einstein product feature.,,,1,Einstein,Salesforce,,,,,,,0,inference_only,,administrative,,DCP,1
35442,wave1-F,custom_system,0,predictive_analytics,office,medium,'Pre-screens off-site mortgage data to identify heightened fair lending risks' — in-house statistical model.,,,,,,,,,,,,0,unknown,,mission_critical,0,DCP,
