use_case_id_2024,agency_abbreviation,bureau,use_case_name,purpose_benefits,outputs,commercial_ai,dev_method,dev_stage,lineage_status,canonical_wave,entry_type,is_generative_ai,ai_sophistication,deployment_scope,is_enterprise_wide,is_general_llm_access,is_coding_tool,is_cots_commercial,tool_product_name,tool_vendor,is_microsoft_copilot,is_openai,is_anthropic,is_google,is_github_copilot,is_aws_ai,architecture_type,use_type,is_public_facing,confidence,canonical_reasoning,wave1_is_generative_ai,wave1_ai_sophistication,wave1_deployment_scope,wave1_entry_type,wave1_reasoning,wave3_reasoning
34168,DHS,CBP,Port of Entry Risk Assessments,"CBP utilizes AI to develop, inform, and augment risk assessment processes that evaluate trade and travel data in real-time.? AI methods are applied to CBP data holdings, and the results are used to inform decision making.? These tools are continuously evaluated to ensure accuracy and precision, and support CBP’s core mission as part of the layered risk assessment strategy.","This use case is inactive. Please see the ""intended purpose and expected benefits"" for a full description of this use case.",None of the above.,,Retired,renamed,1,custom_system,0,classical_ml,bureau,0,0,0,,,,0,0,0,0,0,0,inference_only,mission_critical,0,medium,"""CBP utilizes AI to develop, inform,"" — classical ML, bureau (CBP).",0,classical_ml,bureau,custom_system,"""CBP utilizes AI to develop, inform,"" — classical ML, bureau (CBP).",
34184,DHS,CBP,ERNIE,"The model enhances threat detection and prioritizes high-risk targets, improving operational efficiency and national security.",The model provides real-time risk assessments and alerts for potential threats detected by the Radiation Portal Monitors. It also provides prioritized recommendations for further screening based on the analysis of radiation data.,None of the above.,Developed with contracting resources.,Operation and Maintenance,continued,1,custom_system,0,classical_ml,bureau,0,0,0,1,,,0,0,0,0,0,0,inference_only,mission_critical,0,high,"""model enhances threat detection and prioritizes"" — classical ML, bureau (CBP).",0,classical_ml,bureau,custom_system,"""model enhances threat detection and prioritizes"" — classical ML, bureau (CBP).",
34189,DHS,CBP,Cyber Threat Analysis (Recorded Future),"Cyber Threat Analysis quickly populates query results when searching against adversary tactics, techniques, and procedures, establishing a threat scorecard. This service can also provide cyber risk scorecards for third party vendors, companies, and organizations.",Actionable intelligence supporting Security Operations Center (SOC) and Cyber Risk Management (CRM) investigations and reports.,None of the above.,,Operation and Maintenance,continued,1,custom_system,0,classical_ml,bureau,0,0,0,,,,0,0,0,0,0,0,inference_only,cybersecurity,0,medium,"""Cyber Threat Analysis quickly populates query"" — classical ML, bureau (CBP).",0,classical_ml,bureau,custom_system,"""Cyber Threat Analysis quickly populates query"" — classical ML, bureau (CBP).",
34190,DHS,CBP,Vault Access Log (SPVAA),"The system will enhance monitoring and minimizes the risk of unauthorized access, contributing to stronger security protocols for handling seized property.",Leverages DHS facial matching technologies to provide a match or no match response.,None of the above.,Developed with contracting resources.,Operation and Maintenance,continued,1,custom_system,0,classical_ml,bureau,0,0,0,1,,,0,0,0,0,0,0,rag_pipeline,mission_critical,0,medium,"""system will enhance monitoring and minimizes"" — classical ML, bureau (CBP).",0,classical_ml,bureau,custom_system,"""system will enhance monitoring and minimizes"" — classical ML, bureau (CBP).",
34192,DHS,CISA,CISAChat,"Currently, multiple CISA program offices are using contractor staff to review pre-production content and other internal materials to develop summaries, key themes, and improve clarity. Leveraging a Generative AI solution improves internal agency Customer Experience (CX) and saves staff time.",LLM generated response to the questions posed on uploaded content.,None of the above.,Developed with both contracting and in-house resources.,Implementation and Assessment,continued,1,bespoke_application,1,general_llm,bureau,0,0,0,1,,,0,0,0,0,0,0,rag_pipeline,cybersecurity,0,medium,"""Currently, multiple CISA program offices are"" — LLM use, bureau (CISA).",1,general_llm,bureau,bespoke_application,"""Currently, multiple CISA program offices are"" — LLM use, bureau (CISA).",
34198,DHS,CISA,Advanced Network Anomaly Alerting,"Threat hunting and Security Operations Center (SOC) analysts are provided terabytes per day of data from the National Cybersecurity Protection System's (NCPS’s) Einstein sensors. Manually developed detection alerts and automatic correlation via off the shelf tooling are common, but not comprehensive. Many network attacks can be probabilistically determined given sufficient training data and time. Analysts use automated tooling to further refine the alerts they receive and produce additional automated alerts based on aggregated information and backed in subject matter expertise. This tooling allows CISA analysts the capabilities to comb through data in an automated fashion with mathematically and probabilistically based models to ensure high-fidelity anomalies are detected in a timely manner.","This use case is inactive. Please see the ""intended purpose and expected benefits"" for a full description of this use case.",None of the above.,,Retired,retired_2024,1,custom_system,0,classical_ml,bureau,0,0,0,,,,0,0,0,0,0,0,custom_trained,cybersecurity,0,high,"""Threat hunting and Security Operations Center"" — classical ML, bureau (CISA).",0,classical_ml,bureau,custom_system,"""Threat hunting and Security Operations Center"" — classical ML, bureau (CISA).",
34210,DHS,DHS,Commercial Generative AI for Image Generation,"DHS employees are permitted to use commercially available generative AI for image generation in day-to-day work. These tools are able to dynamically create graphical content through text prompts submitted by the user. They use Natural Language Processing (NLP), in conjunction with other Machine Learning techniques such as Generative Adversarial Networks (GANs) and Diffusion Models, to produce images in a wide variety of contexts and styles.","Outputs may include pictures in different stylesk and types, depending on the inputs from the user.",Creating visually appealing presentations using AI-driven design suggestions.,,Operation and Maintenance,continued,1,generic_use_pattern,1,general_llm,department,0,0,0,,,,0,0,0,0,0,0,unknown,mission_critical,0,low,"""DHS employees are permitted to use"" — LLM use, department (DHS).",1,general_llm,department,generic_use_pattern,"""DHS employees are permitted to use"" — LLM use, department (DHS).",
34216,DHS,FEMA,Recovery and Resilience Resource (RRR) Portal,"The AI-layer (currently unfunded) would include a smart matching wizard functionallity via AI large language model (LLM) to connect SLTT partners with the resources that meet their unique needs. Increasing access and improving navigation of federal resources will benefit a wide array of stakeholders across all sectors, including private and public. The primary stakeholders are SLTTs that are looking to support recovery and/or resilience in communities. This includes 50 States, DC, and 5 US Territories, about 80,000 local governments (including special districts), 574 Federally recognized Tribal governments, and their partners. Additional stakeholders include the 25+ federal departments and agencies that are members of the Mitigation Framework Leadership Group (MitFLG), who have equity in the availability of comprehensive resources, best practices, or tools for SLTTs to recover from or increase resilience to disasters.","The smart matching wizard will be an AI LLM that analyzes user search behavior and matches recommended resources from across the expansive data library that will include resources from federal, state, local, nonprofit sectors.",None of the above.,,Initiated,continued,3,custom_system,1,general_llm,bureau,0,0,0,,,,0,0,0,0,0,0,inference_only,mission_critical,0,high,tagging_error_2025: kept Wave 1 (2024 tag was correct; 2025 row mistagged — handled separately),1,general_llm,bureau,custom_system,"""AI-layer (currently unfunded) would include a"" — LLM use, bureau (FEMA).",tagging_error_2025: kept Wave 1 (2024 tag was correct; 2025 row mistagged — handled separately)
34244,DHS,ICE,Mobile Device Analytics for Investigative Data,"Mobile device analytics capabilities were developed to meet the growing need for investigators to quickly and effectively review and analyze the massive amounts of data extracted from mobile devices obtained in court-ordered seizures through a warrant or other investigative due process. The solution empowers investigators and analysts to identify and extract critical evidence, relationships, and networks from mobile device data, leveraging machine learning capabilities to determine locations of interest. Present capabilities are limited to the use of an algorithm for clustering of geo-location data, allowing investigators to identify 'stops' and 'overlaps' of locations from lawfully seized phones, where a 'stop' is a location a phone may have remained for a period of time and an 'overlap' is a location where multiple phones may have visited. By streamlining the analysis process, these capabilities aim to enhance the efficacy of HSI agents and analysts by providing advanced data processing to identify the most relevant information for lead generation in a shorter amount of time than manually processing, ultimately contributing to the disruption and dismantling of criminal networks and the protection of national security.","Present capabilities are limited to the use of an algorithm for clustering of geo-location data, allowing investigators to identify 'stops' and 'overlaps' of locations from lawfully seized phones, where a 'stop' is a location a phone may have remained for a period of time and an 'overlap' is a location where multiple phones may have visited.",None of the above.,Developed with contracting resources.,Operation and Maintenance,continued,1,custom_system,0,classical_ml,bureau,0,0,0,1,,,0,0,0,0,0,0,rag_pipeline,mission_critical,0,high,"""Mobile device analytics capabilities were developed"" — classical ML, bureau (ICE).",0,classical_ml,bureau,custom_system,"""Mobile device analytics capabilities were developed"" — classical ML, bureau (ICE).",
34333,DOC,FIRSTNET - First Responder Network Authority,FirstNet Authority Communications Topaz Labs Photo Editing,"Utilize AI photo and video editing tools to improve picture quality, smooth video, and scale images without degredation.",Digital photo and video files.,Creating visually appealing presentations using AI-driven design suggestions.,,Operation and Maintenance,continued,1,generic_use_pattern,0,computer_vision,bureau,0,0,0,0,,,0,0,0,0,0,0,,administrative,0,low,"Says 'Utilize AI photo and video editing' — computer-vision task, FIRSTNET-scoped.",0,computer_vision,bureau,generic_use_pattern,"Says 'Utilize AI photo and video editing' — computer-vision task, FIRSTNET-scoped.",
