canonical_name,vendor,product_type,parent_canonical_name,is_generative_ai,is_frontier_llm,banded_rows,max_band,agencies,example_use_cases
Microsoft 365 Copilot,Microsoft,general_llm,Microsoft 365,1,1,162,"50,000+","AbilityOne,CSOSA,USDA,DOC,DOE,HHS,DHS,HUD,DOI,EPA,EXIM,FCC,FDIC,FERC,FHFA,FLRA,Udall,NASA,NEA,NEH,NIGC,NTSB,OSHRC,PBGC,SEC,SBA,STB,TVA,USITC,OSC,USTDA",
ChatGPT,OpenAI,general_llm,,1,1,42,"50,000+","CSOSA,DOC,DOE,HHS,State,FLRA,NEA,EAC",
Gemini,Google,general_llm,Google,1,1,29,"10,000-50,000","DOE,HHS,State,FLRA,GSA,NASA,SBA",
Claude,Anthropic,general_llm,,1,1,23,"10,000-50,000","DOE,HHS,State,GSA,EAC",
Apple Face ID,Apple,consumer_feature,,0,0,22,"50,000+","CSOSA,USDA,DOE,HHS,HUD,State,DOT,VA,EPA,EXIM,FDIC,FERC,FHFA,NASA,NTSB,SEC,SBA,STB,EAC,OSC,USTDA",
Perplexity,Perplexity AI,general_llm,,0,0,20,"10,000-50,000","HHS,State,SBA,EAC",
Apple Maps,Apple,consumer_feature,,0,0,15,"50,000+","CSOSA,USDA,DOE,HHS,DOT,EPA,EXIM,FDIC,FERC,FHFA,FTC,NTSB,SEC,SBA,EAC",Planning travel routes using AI-driven map applications.
Microsoft Teams,Microsoft,productivity,Microsoft 365,0,0,15,"50,000+","USDA,DOC,HHS,State,VA,FCC,FDIC,FHFA,NASA,NTSB,PBGC,SEC,EAC,USITC",
GitHub Copilot,Microsoft,coding_assistant,Microsoft,1,0,14,"10,000-50,000","USDA,HHS,DHS,DOI,VA,EPA,FDIC,FERC,GSA,NEA,NLRB,NTSB,SEC,SBA",
Google Maps,Google,consumer_feature,Google,0,0,13,"50,000+","CSOSA,DOE,HHS,DOT,EPA,EXIM,FDIC,FERC,FHFA,FTC,GSA,NTSB,EAC",
Grammarly,Grammarly,productivity,,0,0,12,"10,000-50,000","CSOSA,HHS,State,VA,NEA,SBA,EAC",
Microsoft Defender,Microsoft,security_tool,Microsoft 365,0,0,12,"50,000+","CSOSA,USDA,DOE,HHS,State,EXIM,FCC,FLRA,NEA,OSHRC,SBA,EAC",
ServiceNow Now Assist,ServiceNow,productivity,ServiceNow,1,0,12,"50,000+","DOE,HHS,DHS,State,EPA,FDIC,FHFA,NLRB,PBGC,SEC,SBA",
Microsoft 365 Copilot Chat,Microsoft,general_llm,Microsoft 365 Copilot,1,1,11,"50,000+","USDA,DOC,HHS,DHS,DOI,VA",Searching for agency information using a knowledge retrieval system.
Crowdstrike Falcon,Crowdstrike,security_tool,,0,0,10,"50,000+","CSOSA,DOE,HHS,EXIM,FDIC,FLRA,FTC,OSHRC,EAC,USTDA",
Azure OpenAI,Microsoft,general_llm,Microsoft Azure Platform,1,1,9,"10,000-50,000","DOC,HHS,EPA,FCC,NEH",
SAP Concur,SAP,productivity,,0,0,7,"10,000-50,000","HHS,EPA,FERC,FHFA,OSHRC,EAC,USITC",
Splunk,Splunk,security_tool,,0,0,7,"10,000-50,000","CSOSA,DOE,DOI,VA,EXIM,FDIC",
AWS Bedrock,Amazon,general_llm,Amazon Web Services,1,1,6,"10,000-50,000","DOC,DHS,DOT,NASA",
Adobe Firefly,Adobe,computer_vision,Adobe Creative Cloud Suite,1,0,5,"5001-10,000","CSOSA,HHS,DHS,NEA,SEC",
Sprout Social,Sprout Social,productivity,,1,0,5,101-1000,"DOE,HHS,FDIC,NTSB,SBA",
Westlaw AI,Thomson Reuters,legal_research,Thomson Reuters,1,0,5,1001-5000,"VA,FDIC,NLRB",
Amazon Q,Amazon,general_llm,Amazon Web Services,1,1,4,"5001-10,000","HHS,FCC,SBA",
Credal,Credal,agent_platform,,0,0,4,"10,000-50,000",HHS,
Databricks,Databricks,ml_platform,,1,0,4,1001-5000,"State,DOT,FTC,GSA",
Meltwater,Meltwater,productivity,,0,0,4,1-100,"DOE,NTSB,SBA,USITC",
NotebookLM,Google,general_llm,Google,1,0,4,"5001-10,000",State,
