AI Use Case,Commercial Examples,Agency Use (Y/N)?,Name of Commercial Product or Service Used,Estimated # of Licenses/Users
Scheduling internal-to-government meetings or appointments or setting reminders using AI.,"Calendly, Reclaim.AI",Y,Microsoft M365 Copilot AI,1001-5000
Logging and analyzing time spent on tasks using AI-powered time management tools.,"Timely, Asana",Y,Microsoft M365 Copilot AI,1001-5000
"Transcribing, summarizing, or other efforts that improve the accessibility of a virtual meeting or interview using AI.","Otter.ai, Evernote, Fireflies",Y,Microsoft M365 Copilot AI,1001-5000
Prioritizing and categorizing incoming emails using AI.,"SaneBox, OpenPaas",Y,Microsoft M365 Copilot AI,1001-5000
"Editing images, videos, or other public affairs materials using AI.","Adobe Firefly, Instagram Edits",Y,"Adobe Firefly, Microsoft M365 Copilot AI",1001-5000
Scheduling and managing social media posts using AI.,"ContentStudio, Sprout Social",Y,Microsoft M365 Copilot AI,1001-5000
"Generating first drafts of documents, briefing, or communication materials using AI.","ChatGPT, Gemini",Y,"ChatGPT, Microsoft M365 Copilot AI, FS Pro",1001-5000
 Improving the quality of written communications using AI tools.,"Grammarly, ProWritingAid",Y,"Grammarly, Microsoft M365 Copilot AI, FS Pro",1001-5000
Summarizing the key points of a lengthy report using AI.,"ChatGPT, Perplexity",Y,"ChatGPT, Microsoft M365 Copilot AI",1001-5000
Creating visual representations of data sets for reports or presentations using AI.,"Tableau Agent, Julius AI",Y,Microsoft M365 Copilot AI,1001-5000
Using AI-assisted tools in word processors.,"Grammarly, Microsoft Copilot",Y,"Grammarly, Microsoft M365 Copilot AI, FS Pro",1001-5000
Generating code using AI.,"Poolside, GitHub Copilot",Y,Microsoft M365 Copilot AI,1001-5000
Searching for agency information using a knowledge retrieval system.,"ChatGPT, Gemini",Y,"ChatGPT, Microsoft M365 Copilot AI",1001-5000
Identifying and cataloging items in a storage room using AI-driven image recognition.,Google Lens,N,,
"Managing or implementing security controls for information systems (e.g., cybersecurity) using AI","Crowdstrike Falcon, Microsoft Defender",Y,"Splunk, Crowdstrike, MS Defender, Qualys. Palo Alto ",1001-5000
Managing and prioritizing internal service or help desk tickets using AI.,"Supportbench, ServiceDesk Plus",N,,
Curating news articles and updates based on user preferences using AI.,"MediaViz AI, Google News Brief",N,,
Planning travel routes using AI-driven map applications.,"Google Maps, Apple Maps",Y,"Google Maps, Apple Maps",101-1000
Finding and booking travel accommodations using AI-powered platforms.,"SAP Concur, Navan",N,,
Unlocking smartphones or other devices without the need for passwords or PINs using AI-based facial recognition technology.,"Apple iPhone, Google Pixel",Y,Apple Iphone,101-1000
