slice,product,agency,stale_uc_id,evidence_quote
other,Microsoft Power Platform,VA,46828,Power Automate AI model ... Microsoft Power Platform AI modeling
llms,OpenAI API,VA,32634,"we ... query pre-trained large language models (e.g., ChatGPT or Llama) through "
llms,Azure OpenAI,DHS,29151,"Leverages Azure Commercial OpenAI within the FEMA system boundary, currently lev"
llms,Azure OpenAI,DOE,29630,system: Microsoft Azure OpenAI
llms,Azure OpenAI,DOE,29632,system: Microsoft Azure OpenAI
llms,Azure OpenAI,DOE,29642,system: Microsoft Azure OpenAI
llms,Azure OpenAI,DOE,29645,system: Microsoft Azure OpenAI
llms,Azure OpenAI,DOE,29764,system: Azure OpenAI API
llms,Azure OpenAI,EPA,30658,vendor: Azure OpenAI
llms,Azure OpenAI,EPA,30665,vendor: Azure OpenAI
llms,Azure OpenAI,HHS,30964,EDAVs Azure OpenAI API
llms,Azure OpenAI,HHS,31301,using Azure OpenAI's training model
llms,Azure OpenAI,HHS,31302,The Azure cloud platform provides secure access to OpenAIs ChatGPT model
llms,Azure OpenAI,NASA,31499,"system: MCP GCP, Azure OpenAI"
llms,ChatGPT,OPM,31812,"OpenAI ChatGPT ... LLM used across OPM for summarization, drafting, and decision"
