agency,use_case_name,verdict,confidence,reasoning
NASA,AEGIS: Autonomous Exploration for Gathering Increased Science,not_genai,high,"AEGIS uses ""computer vision techniques to identify targets"" and measures them ""autonomously using remote sensing instruments"" — classical perception/targeting, no content is produced."
NASA,AI Prediction Algorithms for Autonomous Science and Operations,not_genai,high,"A predictive-analytics system whose output is ""Predictions""; ""autonomous"" here refers to spacecraft operations, not generation of content."
NASA,AIML for Code Review and Workforce Augmentation (converted to collective),genai,medium,"Coding-assistant sophistication using ""AI Studio API"" with a ""Debating Agent implementation"" for code review — an LLM-based code-review assistant, though the narrative is terse."
NASA,ASPEN Mission Planner,not_genai,medium,"ASPEN is described as ""a modular, reconfigurable application framework"" for planning/scheduling with reusable components — classical automated planning despite the agency's ""Agentic AI"" label."
NASA,Agile Science,not_genai,high,"Onboard analysis to ""choose scientific targets of opportunity, conduct on-board prioritization... planning, scheduling, and execution"" — classical autonomy, not content generation."
NASA,Autonomous Navigation Decision Making for Lunar/Martian Rovers,not_genai,high,"Rover uses ""AI for perception, mapping, planning, control, and health monitoring"" to ""autonomously collect lunar regolith"" — classical robotic autonomy."
NASA,Autonomous Network Security,not_genai,medium,"Bare-title entry with ""Predictions"" output and classical_ml sophistication; ""autonomous"" is the only signal and it is the known agentic over-fire pattern."
NASA,Autonomous Object Manipulation Decision Making for Lunar/Martian Rovers,not_genai,high,"Robotic arm that ""autonomously identify, retrieve, and swap between different tools"" to execute physical tasks — classical robotic manipulation, not generation."
NASA,Autonomous Obstacle Avoidance of Mobile Robots using Reinforcement Learning,not_genai,high,"Reinforcement learning for obstacle avoidance of mobile robots — classical control/RL, no content generation."
NASA,Autonomous Science and Technology for Responsive Adaptation (ASTRA),not_genai,high,"ASTRA ""make[s] decisions for future action"" and outputs ""classification, prediction, confidence in prediction, anomalies"" — decision-making/classification, not content generation."
NASA,Autonomous WAiting Room Evaluation (AWARE),not_genai,high,"Uses ""an existing security camera and YOLO Machine Learning model to detect and count number of people"" — computer-vision detection/counting."
NASA,BoundState (Compliance & Risk Engine),genai,medium,"general_llm sophistication; the system explicitly ""generates property-based alternative recommendations with confidence bounds"" as part of a compliance engine — template-free generative output."
NASA,Cache-Augmented Generation Document Search (converted to collective),genai,high,"Named ""Cache-Augmented Generation Document Search"" (a RAG-family technique) with output ""answers"" — Q&A generation over documents, matching the agency's Generative AI declaration."
NASA,Cloud avoidance for Atmospheric Retrieval Missions,not_genai,medium,"Narrative is only ""Methods for atmospheric retrieval of earth science data"" — no generative signal despite the agency's Generative AI label; trusting the (thin) narrative over the over-declaration."
NASA,Code Assistant Pilot Study,not_genai,medium,"Despite the ""Code Assistant"" title, the actual system is a ""Dataset Recommender"" doing ""Link prediction"" with output ""Predictions"" — a recommender/prediction system, not code generation."
NASA,DSM Autonomy: Capability Integration/Demonstration and Mission Resilience,not_genai,low,"Bare-title repetition (""DSM Autonomy: Capability Integration/Demonstration and Mission Resilience"") with generic ""Predictions"" output — too thin to support the agency's Agentic AI declaration."
NASA,Data Fracking (HRP),genai,high,"is_general_llm_access=1 with tool ""Azure OpenAI"" — a strong genai signal per the decision rule even though the described tasks include document conversion."
NASA,Decision Theoretic Planning,not_genai,medium,"Narrative describes ""Algorithms to plan and optimize different outcomes"" — classical planning/optimization, not content generation, despite the agency's Generative AI label."
NASA,Deep Learning for Communication-Limited Spacecraft,not_genai,high,"Explores ""supervised transfer learning and unsupervised feature extraction followed by clustering"" to ""classify scientifically useful data"" — classification, not generation."
NASA,Deep Learning for Flood Mapping (DELTA),not_genai,high,"DELTA supports ""automated flood mapping workflows"" using satellite imagery — detection/mapping, not content generation."
NASA,Dirty Vacuum rated 6-Axis Robotic Arm Toolpathing,genai,high,"""I used Chat GSFC extensively to write a custom additive manufacturing slicer, gcode parser, and some quality of life upgrades"" — an LLM chat tool used to generate code."
NASA,Distributed Spacecraft Autonomy,not_genai,medium,"Distributed Spacecraft Autonomy performs ""scalable communication, distributed coordination and planning"" and ""swarm-level reconfiguration"" — classical multi-agent coordination, not generation, despite the Agentic AI label."
NASA,"Dynamic, Intelligent, Tomographic Imaging",not_genai,low,"Narrative reduces to ""Methods for analyzing 3D imaging data"" — no generative signal to support the agency's Generative AI declaration; too thin, default to not_genai."
NASA,Enabling Autonomous Differential Drag Control and Attitude Maneuvering Using Onboard Artificial Intelligence (AI) for SmallSat Distributed Space Missions (DSMs),not_genai,high,"""AI systems include autonomous navigation & control"" for drag control and attitude maneuvering — classical control, not generation."
NASA,Enhanced AutoNav for Perseverance Rover on Mars,not_genai,high,"AutoNav ""autonomously plans a safe path"" via ""tree search... Dijkstra algorithm... stereo processing"" — classical path-planning algorithms, not generation."
NASA,Foundation model for Weather and Climate,not_genai,medium,"A ""Foundation Model"" that learns atmospheric processes to be ""adapted... for downscaling and parameterization"" — a scientific predictive/simulation model, not text/image/audio generation."
NASA,GAIT: Generative AI Teleoperations for Robotics,genai,medium,"Project explicitly titled ""Generative AI Teleoperations for Robotics""; despite the thin narrative and the agency's contradictory Classical ML label, the unambiguous name signals generative methods applied to teleoperation."
NASA,Groundwater data interpolation in California’s Central Valley using multimodal data fusion and multivariate sequence-to-sequence transformation models,not_genai,medium,"Narrative (mismatched with the title) describes ""distributed Artificial Intelligence/Multi Agent algorithms to allocate observations"" and compare algorithm performance — optimization/allocation, the known agentic-keyword over-fire pattern."
NASA,HEASARC Bibliography,not_genai,medium,"""Use an LLM to analyze existing publications and extract references"" — an extraction task; no novel content is produced despite the LLM keyword firing."
NASA,Hybrid On-Board and Ground-Based Processing of Massive Sensor Data (HyspIRI IPM),not_genai,medium,"""Automated mission-planning tools determine which onboard-processing mode the spacecraft should use"" — rule-based automated planning, not generation, despite the Agentic AI label."
NASA,Inverse Design of Materials,not_genai,medium,"Core method is ""Bayesian optimization frameworks predicts the next best simulation to run"" — classical optimization/prediction, not a generative model producing content."
NASA,JSC NC PRA Cut Set Tool,not_genai,medium,"""Probabilistic Risk Assessment (PRA) identifies minimal cut sets"" — a classical deterministic risk-assessment algorithm, not generation, despite the agency's Generative AI label."
NASA,Large language models for food security outlooks,genai,high,"is_general_llm_access=1; ""large language models can facilitate the interpretation of these bulletins and outlooks"" — LLM-based interpretation/summarization of text."
NASA,Lessons Learned Bot (LLB),not_genai,high,"The system ""find[s] and rank[s] LL records relevant to text"" via a ""trained Machine Learning (ML) model"" — search/ranking/retrieval, not text generation."
NASA,MADI - Modular AI for Design and Innovation,genai,high,"general_llm sophistication; outputs include ""Research gap identification reports... whitespace analysis summaries... innovation opportunity assessments"" with ""$0.05 per conversation"" cost — an LLM-based system generating analysis reports."
NASA,ML-Driven Wide Field Instrument (WFI) Image Calibration,not_genai,high,"""Machine learning-driven... automated calibration system"" applying ""flat-field and linearity corrections to WFI images"" — image processing/calibration, not generation."
NASA,Machine Learning for RFID (Radio Frequency Identification) tag localization to support logistics,not_genai,high,"""Random forest classifier"" and a ""neural network with a ResNet50 backbone"" for RFID tag localization — classification, not generation."
NASA,Multimodal Earth Observation Workflow for Machine Learning (MEOW-ML):  A Case Study in Canopy Height Model and Canopy Height Change Prediction,not_genai,high,"An ""end-to-end data fusion and... AI/ML framework"" for ""predicting forest productivity and degradation"" — predictive modeling, not content generation."
NASA,Natural Language query processor for Common Metadata Repository,genai,high,"is_general_llm_access=1; tool_product_name ""ChatGPT""; a ""chatgpt-like prompt query interface that uses large language models to extract intent from chat query"" — LLM-based natural-language interface."
NASA,Onboard Planner for Mars2020 Rover (Perseverance),not_genai,high,"The onboard scheduler ""incrementally constructs a feasible schedule by iterating through activities in priority-first order"" and is explicitly ""non backtracking"" — a classical deterministic scheduling algorithm, despite the Agentic AI label."
NASA,Planetary Trajectory Design Using Generative AI Tools,genai,medium,"Explicitly titled ""Planetary Trajectory Design Using Generative AI Tools""; though the narrative is only a repeated bare title, the unambiguous name signals generative-AI-based trajectory design."
NASA,Requirement Alignment (REQAL),genai,medium,"is_general_llm_access=1; uses ""large language Model (LLM) such as GPT or BERT to encode experiences... into a knowledge graph"" as part of the pipeline — a strong genai signal from general LLM access."
NASA,Safe Autonomous Taxiing with Vision-Based Navigation,not_genai,high,"TaxiNet is ""a vision-based deep learning model... to follow a designated line safely"" via ""neural network perception from camera images"" — classical perception/control autonomy."
NASA,Science Autonomy for NEAScout,not_genai,medium,"Narrative is only ""Autonomy software to support on board AI science capabilities"" — generic and thin, no generative signal despite the agency's Agentic AI declaration."
NASA,"SensorWeb: Volcano, Flood, Wildfire, and others.",not_genai,high,"The Sensor Web uses ""a network of sensors linked by software... to an autonomous satellite observation response capability"" — automated triggering, not content generation."
NASA,Software Issue Classification with LLM,not_genai,medium,"Title and narrative both frame this as ""Software Issue Classification with LLM"" — a classification task using an LLM as backbone, not novel content generation."
NASA,Space Precision Health Foundation Model,not_genai,medium,"The model is trained to ""predict patterns related [to] space health outcomes"" and ""generate predictions"" (e.g., ""drug targets or cellular states"") — forecasting/prediction, not text/image/audio generation, despite the Generative AI label."
NASA,"Strategic Text Augmentation & Research Synthesis for Physics Innovation Narratives & Evaluations""",genai,high,"""Leverages ChatGSFC's advanced language processing capabilities to transform... research notes... into polished monthly reports, publication drafts, and research proposals"" — clear template-free natural-language generation."
NASA,Surrogate Models for Efficient Multiscale Modeling of Composite Materials,not_genai,high,"A ""custom neural network architecture... trained as a computationally efficient surrogate for a physics-based composite modeling simulation"" — predictive surrogate modeling, not generation."
NASA,TAPAS (Track Augmentation and Performance Analysis System),not_genai,high,"TAPAS automates ""the comparison of DSN telemetry data"" for ""anomaly detection"" — comparative/anomaly analysis, not generation."
NASA,The airborne Compact Fire Imager (CFI) for measurements across the entire fire lifecycle,not_genai,high,"""Onboard fire detection... using machine learning (ML) algorithms"" outputs ""fire detection information and estimated fire radiative power"" — detection, not generation."
NASA,Transiting Exoplanet Survey Satellite (TESS) Neural Network (NN),not_genai,high,"""A rotationally invariant neural network (NN) model that performs semantic segmentation to find moving objects"" — computer-vision detection, not generation."
NASA,Trusted and exPlainable Artificial Intelligence for Saving Lives (TruePAL) Technology for First Responder Safety,not_genai,medium,"TruePAL uses a ""deep neural network (DNN)... to detect and track"" objects and a ""Non-Axiomatic Reasoning System (NARS) to analyze the risk and provide prioritized warning messages"" — detection plus rule-based reasoning, not LLM-based content generation."
NASA,TxP: Federated Data Discovery and Content Creation (FDDCC) KDP-Formulation (ITMX),not_genai,medium,"Despite ""Content Creation"" in the title and a Generative AI declaration, the narrative describes only ""a unified search interface"" for data discovery/access — no content generation is described."
NASA,Uniting Physics and Machine Learning for Enhanced Heliophysics Insights,not_genai,high,"""Autonomous neutron event reconstruction"" producing ""3D reconstructed particle tracks"" — signal reconstruction/processing, not content generation."
NASA,Using LLMS for Documents and Requirements Analysis,genai,medium,"""Use GenAI to analyze documents and improve the requirements development process"" — explicitly named GenAI use with general_llm sophistication, applied to document analysis/requirements support."
NASA,Using Natural Language Processing to Help Automate the Standardization of PI Variable Names from ICARTT Files,not_genai,high,"An ""AI/ML based workflow for the assignment of... standard variable names based on Natural Language Processing"" — classification/mapping of variable names, not generation."
NASA,XMM-GPT,genai,high,"XMM-GPT is ""built by fine-tuning... FLAN family of LLMs"" integrated into ""a retrieval-augmented generation (RAG) pipeline"" that acts as a ""coding assistant"" and ""interactive research aide"" — clear LLM/RAG-based generation."
NASA,XR Enabling Technologies for Hardware Integration & Test Process Improvement,genai,medium,"is_general_llm_access=1; integrates ""speech-to-text and large language model functionality... to enable hands-free control and a natural-language interface"" — general LLM access is a strong genai signal."
