agency,use_case_name,kind,source_text,reason,heuristic_candidates,system_name,vendor_name,problem_statement
DHS,3rd Party Traveler Identity Verification Services,individual,"NEC Traveler Verification Service 3rd Party Traveler Identity Verification Services Biometric Exit processing fulfills a Congressional mandate. TVS is a cloud-based facial biometric matching service that enables CBP, External Partners, and Other Government Agencies (OGA) to match a passenger’s identity against a trusted source, throughout the travel continuum, which improves traveler facilitation and reduces manual identity verification.",compound_string,Traveler Verification Service; NEC NeoFace,Traveler Verification Service,NEC,Biometric Exit processing fulfills a Congressional mandate.
DHS,AI Interview Simulator for Officer Training,individual,"Steampunk, Customer Value Partners LLC (CVP) and Alpha Omega Integration (AOI) Global AI Interview Simulator for Officer Training By simulating realistic applicant responses to officer questions, the AI Interview Simulator enables the RAIO trainees to refine their interview techniques without requiring any additional resources from experienced officer trainers or peers. The AI Interview Simulator mimics live interviews to provide an analysis of the type of responses elicited in a mock interview.",unmatched_vendor_text,,Global,"Steampunk, Customer Value Partners LLC (CVP) and Alpha Omega Integration (AOI)","By simulating realistic applicant responses to officer questions, the AI Interview Simulator enables the RAIO trainees to refine their interview techniques without requiring any additional resources from experienced officer trainers or peers."
DHS,AI Resume & ATS App,individual,"AI Resume & ATS App Speed and scale: During disasters, resume volume spikes and manual review can’t keep up; Format variability: Resumes arrive as PDFs, Word files, text, and scans, making uniform processing difficult; Consistency: Different reviewers apply criteria differently, leading to uneven shortlists and missed candidates; Traceability and defensibility: Hiring choices must be fast, explainable, and audit ready; Searchability: Teams need to quickly find candidates with specific qualificat",compound_string,Aretec SEARCH; Microsoft Teams,,,"Speed and scale: During disasters, resume volume spikes and manual review can’t keep up; Format variability: Resumes arrive as PDFs, Word files, text, and scans, making uniform processing difficult; Consistency: Different reviewers apply criteria differently, leading to uneven shortlists and missed "
DHS,AI-Assisted Resume Screening Tool,individual,"AIS  AI-Assisted Resume Screening Tool This use case intends to solve the problem of human bias during resume reviews and the time-intensive process of reviewing candidate resumes. This solution applies the same review criteria to every candidate’s resume. This reduces human cognitive bias and variability in how HR specialists evaluate candidate resumes. Additionally, this solution speeds up the time-to-hire by reducing the amount of time spent conducting manual candidate resume reviews.",unmatched_vendor_text,,,AIS,This use case intends to solve the problem of human bias during resume reviews and the time-intensive process of reviewing candidate resumes.
DHS,API Security Vulnerability Technology,individual,"API Security Vulnerability Technology Discover, ingest, and analyze APIs to create and run thousands of custom attack scenarios against every build prior to production. Catch security vulnerabilities as early in the software development life cycle (SDLC) as possible. Educate and empower security and dev teams on sound API security strategies. With the necessity of leveraging application programing interfaces (APIs) for applications across the enterprise, this AI technology is intended to run tho",compound_string,Custom In-House AI; Microsoft Teams,,,"Discover, ingest, and analyze APIs to create and run thousands of custom attack scenarios against every build prior to production. Catch security vulnerabilities as early in the software development life cycle (SDLC) as possible. Educate and empower security and dev teams on sound API security strat"
DHS,Acoustic Signature AI for Gunshot Detection,individual,"Invariant Corporation  Acoustic Signature AI for Gunshot Detection The AI will be used to make confidence determinations between non gunshot acoustic activity and actual gunshot activity to reduce false alerts to agents monitoring the User Interface. Gunshot and UAS detection notifications can be used by Agents for enhanced situational awareness in their area of operations. By utilizing this AI learning technology, they will have high confidence of alerts of a detection, with the specific type, ",unmatched_vendor_text,,,Invariant Corporation,The AI will be used to make confidence determinations between non gunshot acoustic activity and actual gunshot activity to reduce false alerts to agents monitoring the User Interface.
DHS,AdaptiveMFA,individual,"Okta The DHS Next Generation Authentication as a Service (DHSAuthPortal) System AdaptiveMFA Enhances security and the user experience, including: Behavioral Anomaly Detection - AI monitors user activity over time to establish a baseline pattern of their behavior.  If a login attempt deviates significantly, such as logging in from a foreign country, unknown workstation, or disallowed IP address space, Okta can trigger Adaptive Multi-factor Authentication (aMFA) to block access. Adaptive MFA - Okt",compound_string,Microsoft Defender; Crowdstrike Falcon; Okta Adaptive MFA,The DHS Next Generation Authentication as a Service (DHSAuthPortal) System,Okta,"Enhances security and the user experience, including: Behavioral Anomaly Detection - AI monitors user activity over time to establish a baseline pattern of their behavior.  If a login attempt deviates significantly, such as logging in from a foreign country, unknown workstation, or disallowed IP add"
DHS,Airship Outpost for Conveyance Identification,individual,"Airship TECS CLOUD Airship Outpost for Conveyance Identification CBP must efficiently and accurately identify and document cross-border conveyances (aircraft, vessels, automobiles). Outpost uses machine learning to identify the type of conveyance in front of the sensor camera and uses this information to determine where to capture the conveyance's identification (License plate, hull number, tail number, etc). Conveyance identifiers exist in different locations on different conveyance types. By i",unmatched_vendor_text,,TECS CLOUD,Airship,"CBP must efficiently and accurately identify and document cross-border conveyances (aircraft, vessels, automobiles)."
DHS,Automated Detection of Personally Identifiable Information (PII) in Cybersecurity Data,individual,"Nightwing Intelligence Solutions, LLC. Procurement Instrument ID affiliated with this use case: 70QS0124C00000002 Trusted Automated eXchange of Indicator Information server Automated Detection of Personally Identifiable Information (PII) in Cybersecurity Data To enhance privacy, this AI tool uses Natural Language Processing (NLP) to automatically flag potential PII for review and removal by CISA analysts. Automated PII Detection and Review Process uses analytics to identify and manage potential ",unmatched_vendor_text,,Trusted Automated eXchange of Indicator Information server,"Nightwing Intelligence Solutions, LLC. Procurement Instrument ID affiliated with this use case: 70QS0124C00000002","To enhance privacy, this AI tool uses Natural Language Processing (NLP) to automatically flag potential PII for review and removal by CISA analysts."
DHS,Automated Incident Creation (IT),individual,"Automated Incident Creation (IT) The AI is intended to reduce the time and effort required of a business analyst to manually review contact messages submitted to the Business Connection (BC) and Technical Reference Model (TRM) teams. By evaluating these messages, the AI will determine whether a ServiceNow helpdesk ticket is needed to resolve the submitted question or concern. This automation will streamline the process and ensure timely resolution of user issues. AI will be used to drive automat",compound_string,ServiceNow Now Assist; Microsoft Teams,,,"The AI is intended to reduce the time and effort required of a business analyst to manually review contact messages submitted to the Business Connection (BC) and Technical Reference Model (TRM) teams. By evaluating these messages, the AI will determine whether a ServiceNow helpdesk ticket is needed "
