use_case_id,agency,use_case_name,current_product,current_is_coding_tool,final_is_coding_tool,decision,reason_code,confidence,search_attempted,search_query,evidence_url,evidence_quote,notes
7437,DHS,Source Code Development Tool,Custom GenAI coding assistant,1,1,confirm_keep,specific_coding_product,High,no,,db_row_7437,"AI serves as a coding assistant... generates functional software code",CBP custom code-generation tool; explicitly built as coding assistant
7444,DHS,CodeGen,Custom code-generation tool,1,1,confirm_keep,specific_coding_product,High,no,,db_row_7444,"primary purpose is to provide code generation support for CBP developers",Title and narrative explicit
7582,DHS,OCFO Code Assist GPT,OpenAI API,1,1,confirm_keep,explicit_coding_use,High,no,,db_row_7582,"augment the FEMA workforce in generating and troubleshooting existing queries in established query languages (e.g. SQL Java COBOL)",Generic LLM (Azure OpenAI) but explicit code-only purpose
7591,DHS,AI-Powered Developer Tools,Palantir AIP / CMA,1,1,confirm_keep,specific_coding_product,High,no,,db_row_7591,"AI-enabled developer tools... debugging code writing database queries... code snippets refactoring recommendations",Explicit dev tools
7630,DHS,Commercial Generative AI for Code Generation,Unspecified commercial GenAI,1,1,confirm_keep,explicit_coding_use,Medium,no,,db_row_7630,"Use case name: Commercial Generative AI for Code Generation",Empty narrative but title unambiguous
7643,DOC,GitHub Copilot for Code Modernization,GitHub Copilot,1,1,confirm_keep,specific_coding_product,High,no,,db_row_7643,GitHub Copilot,Specific coding product
7657,DOC,Statistical package syntax development and debugging,unspecified,0,1,overturn_keep,explicit_coding_use,Medium,no,,db_row_7657,"Use case name: Statistical package syntax development and debugging",Census; title explicitly describes coding work (SAS/R/Stata syntax)
7678,DOC,Scientific Code Development Assistance,unspecified,0,1,overturn_keep,explicit_coding_use,Medium,no,,db_row_7678,"Use case name: Scientific Code Development Assistance",NOAA; title explicit
7697,DOC,Streamlining Fisheries DevSecOps with Gemini Code Assist,Gemini Code Assist,1,1,confirm_keep,specific_coding_product,High,no,,db_row_7697,Gemini Code Assist (developer product),Specific coding product
7802,DOC,Administrative Tools - meeting/document mgmt + broad code generation/translation/optimizations,unspecified,1,0,overturn_drop,generic_llm_no_coding_focus,Medium,no,,db_row_7802,"Administrative Tools (Such as meeting/document management... other administrative efficiencies such as broad code generation)",Mixed admin tools entry; code is one of many; demote per new rule
7804,DOC,GitHub CoPilot,GitHub Copilot,1,1,confirm_keep,specific_coding_product,High,no,,db_row_7804,GitHub Copilot,Specific coding product
7819,DOC,AI Pair Programming with GitHub CoPilot,GitHub Copilot,1,1,confirm_keep,specific_coding_product,High,no,,db_row_7819,GitHub Copilot pair programming,Specific coding product
7828,DOC,Amazon Q Developer Pilot,Amazon Q Developer,1,1,confirm_keep,specific_coding_product,High,no,,db_row_7828,Amazon Q Developer (formerly CodeWhisperer),Specific coding product
7829,DOC,APIgee with Gemini Code Assist for OpenAPI Development,Gemini Code Assist,1,1,confirm_keep,specific_coding_product,High,no,,db_row_7829,Gemini Code Assist,Specific coding product
7863,DOC,Assisted software development,unspecified,1,1,confirm_keep,explicit_coding_use,High,no,,db_row_7863,"Support software developers in code analysis test case generation debugging and documentation",Explicit dev workflow
7947,DOE,GitHub Copilot with the OpenAI Codex,GitHub Copilot,1,1,confirm_keep,specific_coding_product,High,no,,db_row_7947,GitHub Copilot + Codex,Specific coding product
8017,DOE,Tabnine AI Pair Programmer,Tabnine,1,1,confirm_keep,specific_coding_product,High,no,,db_row_8017,Tabnine,Specific coding product
8022,DOE,GitHub Co-Pilot,GitHub Copilot,1,1,confirm_keep,specific_coding_product,High,no,,db_row_8022,GitHub Copilot,Specific coding product
8033,DOE,GitHub Copilot,GitHub Copilot,1,1,confirm_keep,specific_coding_product,High,no,,db_row_8033,GitHub Copilot,Specific coding product
8035,DOE,GitHub Copilot,GitHub Copilot,1,1,confirm_keep,specific_coding_product,High,no,,db_row_8035,GitHub Copilot,Specific coding product
8043,DOE,Microsoft CoPilot,Microsoft 365 Copilot,1,0,overturn_drop,generic_llm_no_coding_focus,High,no,,db_row_8043,"writing coding research and analysis... human-like text code and creative content",Generic M365 Copilot deployment; code mentioned among many tasks; demote per new rule
8056,DOE,AI Enabled Code Review,unspecified,1,1,confirm_keep,explicit_coding_use,High,no,,db_row_8056,"Enhance application development lifecycle capabilities; output: Code",Explicit code review purpose
8068,DOE,Claude Anthropic Enterprise,Claude,1,0,overturn_drop,generic_llm_no_coding_focus,Medium,no,,db_row_8068,"Deliver secure enterprise AI with Claude's large-context models and code generation",Claude (not Claude Code); code is one of several capabilities; demote
8072,DOE,ChatGPT,ChatGPT,1,0,overturn_drop,generic_llm_no_coding_focus,High,no,,db_row_8072,"writing coding research and analysis",Generic ChatGPT enterprise deployment; demote
8127,DOE,Scripting,Gemini,1,1,confirm_keep,explicit_coding_use,High,no,,db_row_8127,"AI-powered scripting; output: Python code for use in models",Generic LLM but explicit Python coding purpose
8139,DOE,Software Implementation Assistant,Tabnine,1,1,confirm_keep,specific_coding_product,High,no,,db_row_8139,Tabnine,Specific coding product
8150,DOE,Anthropic Claude,Claude,1,0,overturn_drop,generic_llm_no_coding_focus,High,no,,db_row_8150,"writing coding research and analysis",Generic Claude enterprise deployment; demote
8241,DOI,Use of AI for optimization and documentation for computer codes,ChatGPT,1,1,confirm_keep,explicit_coding_use,High,no,,db_row_8241,"This project uses ChatGPT to suggest optimizations and documentation for computer codes",Explicit code optimization focus
8451,DOI,Integration of CoPilot for GitHub for BTFA Software Development,GitHub Copilot,1,1,confirm_keep,specific_coding_product,High,no,,db_row_8451,GitHub Copilot,Specific coding product
8713,DOJ,Code Development,GitHub Copilot,1,1,confirm_keep,specific_coding_product,High,no,,db_row_8713,GitHub Copilot,Specific coding product
8742,DOJ,AI-assisted Legacy Code Modernization,unspecified,1,1,confirm_keep,explicit_coding_use,High,no,,db_row_8742,"AI-assisted code translation and refactoring tools to automatically convert legacy code into modern secure languages (e.g. Java Python)",Explicit legacy code modernization
8889,ED,Generative AI - Code Generation,OpenAI API,1,1,confirm_keep,explicit_coding_use,High,no,,db_row_8889,"AI generates code snippets in a variety of programming languages",ED uses OpenAI API explicitly for code generation
8893,ED,Generative AI - Code Generation,OpenAI API,1,1,confirm_keep,explicit_coding_use,High,no,,db_row_8893,Same as 8889,Explicit code generation
8895,ED,Generative AI - Code Generation,OpenAI API,1,1,confirm_keep,explicit_coding_use,High,no,,db_row_8895,"AI is given descriptions of desired functions and returns snippets of R code",Explicit R code generation
8896,ED,Generative AI - Code Generation,OpenAI API,1,1,confirm_keep,explicit_coding_use,High,no,,db_row_8896,"When prompted with SAS Syntax AI will provide suggestions of code optimization",Explicit SAS code optimization
8898,ED,Generative AI - Code Generation,OpenAI API,1,1,confirm_keep,explicit_coding_use,High,no,,db_row_8898,"AI is used to train employees on the benefits of prompt engineering by providing snippets of code",Explicit code training
8902,ED,Generative AI - Code Generation,OpenAI API,1,1,confirm_keep,explicit_coding_use,High,no,,db_row_8902,"AI is utilized to generate sample code snippets",Explicit code snippets
8908,ED,Generative AI - Code Generation,OpenAI API,1,1,confirm_keep,explicit_coding_use,High,no,,db_row_8908,"AI is used to create sample DAX code",Explicit DAX code
8912,ED,Generative AI - Code Generation,OpenAI API,1,1,confirm_keep,explicit_coding_use,High,no,,db_row_8912,"AI generates code snippets designed to assist with data analysis and data visualizations",Explicit code generation
8915,ED,Generative AI - Code Generation,OpenAI API,1,1,confirm_keep,explicit_coding_use,High,no,,db_row_8915,"DAX expressions Power BI Python",Explicit code generation
8920,ED,Generative AI - Code Generation,OpenAI API,1,1,confirm_keep,explicit_coding_use,High,no,,db_row_8920,Same boilerplate as 8912,Explicit code generation
8927,ED,Generative AI - Code Generation,OpenAI API,1,1,confirm_keep,explicit_coding_use,High,no,,db_row_8927,"Excel Macros and Complex Formulae automated",Explicit code generation
8935,ED,Generative AI - Code Generation,OpenAI API,1,1,confirm_keep,explicit_coding_use,High,no,,db_row_8935,"VBA code and complex formulas for Excel",Explicit code generation
8952,ED,MS Copilot - Technical Assistance & Code Generation,Microsoft 365 Copilot,1,1,confirm_keep,explicit_coding_use,High,no,,db_row_8952,"Generate and refine code for statistical and programming tasks",M365 Copilot but explicit coding focus in title and narrative
8955,EPA,AI Assistants in Esri Tools,Esri ArcGIS AI,1,0,overturn_drop,generic_llm_no_coding_focus,Medium,yes,EPA Esri ArcGIS AI assistant coding,db_row_8955,"This would help people use Esri software do more complex analysis",Esri ArcGIS AI is a GIS-analysis assistant not a developer coding tool; code listed as one output among analysis/tool-use; demote
