use_case_id,agency,use_case_name,current_is_coding_tool,corrected_is_coding_tool,tool_product,vendor,corrected_deployment_scope,confidence,evidence_url,evidence_quote,notes
7437,DHS,Source Code Development Tool,1,1,Custom GenAI coding assistant,Unspecified (LLM + coding foundation models),bureau,Medium,db_row_7437,"AI serves as a coding assistant, allowing users to create, refine, and complete software projects through natural language commands and queries. It generates functional software code...",CBP pre-deployment custom coding assistant
7444,DHS,CodeGen,0,1,Custom code-generation tool,unspecified,bureau,Medium,db_row_7444,"The system's output consists of generated code snippets and/or textual explanations and suggestions related to code development",CBP pre-deployment - tag missing
7490,DHS,Private Artificial Intelligence (AI) Tech Hub (PAiTH),1,0,N/A,unspecified,bureau,High,db_row_7490,"PAiTH will generate text-based outputs customized to the user's organizational persona: Legal Persona...",USCIS general-purpose internal AI hub - not primarily a coding tool. Currently mistagged as coding.
7499,DHS,LIGER Generative AI Toolkit,1,0,LIGER (LMI),LMI Consulting,bureau,High,db_row_7499,"LIGER will enable FPS users to employ the power of a Large Language Model against non-public and sensitive Agency documents to save time and effort conducting time-intensive tasks, such as draft documents to include: Position Descriptions (PD)...",FPS document drafting tool - NOT a coding tool. Currently mistagged.
7582,DHS,OCFO Code Assist GPT,0,1,Azure OpenAI (custom wrapper),Microsoft / OpenAI,office,Medium,db_row_7582,"Code Assist Generative Pre-trained Transformer (GPT) is an internal facing Generative AI (GenAI) tool to augment the FEMA workforce in generating and troubleshooting existing queries in established query languages (e.g., SQL, Java, COBOL)",FEMA OCFO query/code helper - real coding tool but tag missed
7591,DHS,AI-Powered Developer Tools,1,1,Palantir AIP / CMA,Palantir,bureau,Medium,db_row_7591,"suggested code snippets, refactoring recommendations, optimized queries",ICE Case Management & Analytics — Palantir AIP-based developer assistance
7630,DHS,Commercial Generative AI for Code Generation,1,1,Unspecified commercial GenAI,unspecified,enterprise_wide,Medium,db_row_7630,Use case retired,Retired entry but flagged. Stage retired.
7643,DOC,GitHub Copilot for Code Modernization,1,1,GitHub Copilot,Microsoft/GitHub,bureau,High,db_row_7643,Use case name itself indicates BEA GitHub Copilot deployment focused on code modernization,BEA bureau
7657,DOC,Statistical package syntax development and debugging,0,1,unspecified,unspecified,office,Low,db_row_7657,"Use case name indicates statistical package syntax development and debugging",Census - likely SAS/Stata/R syntax development; minimal narrative
7678,DOC,Scientific Code Development Assistance,0,1,unspecified,unspecified,bureau,Low,db_row_7678,Use case name only,NOAA - tag missed
7697,DOC,Streamlining Fisheries DevSecOps with Gemini Code Assist,0,1,Gemini Code Assist,Google,office,Medium,db_row_7697,Use case name indicates Gemini Code Assist for DevSecOps,NOAA Fisheries - tag missed
7802,DOC,Administrative Tools - meeting/document mgmt + broad code generation/translation/optimizations,1,1,unspecified,unspecified,bureau,Low,db_row_7802,Mixed administrative tools entry (M365 Copilot-like) including code,NOAA - mixed entry
7804,DOC,GitHub CoPilot,1,1,GitHub Copilot,Microsoft/GitHub,bureau,High,db_row_7804,Direct product name in use case title,NOAA bureau
7819,DOC,AI Pair Programming with GitHub CoPilot,1,1,GitHub Copilot,Microsoft/GitHub,bureau,High,db_row_7819,Direct product name in title,NOAA bureau (NCEI/NESDIS likely)
7828,DOC,Amazon Q Developer Pilot,0,1,Amazon Q Developer,AWS,bureau,High,db_row_7828,Direct product name in title,NOAA - tag missed
7829,DOC,APIgee with Gemini Code Assist for OpenAPI Development,0,1,Gemini Code Assist,Google,office,High,db_row_7829,Direct product name in title,NOAA - tag missed
7863,DOC,Assisted software development,0,1,unspecified,unspecified,bureau,Medium,db_row_7863,"Support software developers in code analysis, test case generation, debugging, and documentation",USPTO - tag missed
8017,DOE,Tabnine AI Pair Programmer,0,1,Tabnine,Tabnine,bureau,High,db_row_8017,"Accelerate and simplify software development across our entire site... capitalizing on industry investment in generative AI for software development",DOE KCNSC (Kansas City NSC) - tag missed
8022,DOE,GitHub Co-Pilot,0,1,GitHub Copilot,Microsoft/GitHub,bureau,High,db_row_8022,"quicker, more complete, and safer code development",DOE Hanford EM - tag missed
8033,DOE,GitHub Copilot,1,1,GitHub Copilot,Microsoft/GitHub,bureau,High,db_row_8033,Direct product name; SLAC,DOE SLAC NAL
8035,DOE,GitHub Copilot,1,1,GitHub Copilot,Microsoft/GitHub,bureau,High,db_row_8035,Direct product name; WAPA deployed,DOE WAPA - actively authorized
8056,DOE,AI Enabled Code Review,1,1,unspecified,unspecified,bureau,Medium,db_row_8056,"Enhance application development lifecycle capabilities... output: Code",DOE ORNL pre-deployment
8068,DOE,Claude Anthropic Enterprise,1,1,Claude (Enterprise),Anthropic,bureau,Medium,db_row_8068,"R&D User pilot",PNNL pilot — Claude often used for code; entry tagged coding generally
8139,DOE,Software Implementation Assistant,0,1,Tabnine,Tabnine,bureau,High,db_row_8139,"Purchased from a Vendor - Tabnine; AI solution... software implementation... technical documentation",DOE Savannah River - tag missed - Tabnine
8152,DOE,Amazon Q Chatbot Pilot,0,0,Amazon Q (general),AWS,bureau,Medium,db_row_8152,"Quick access to AWS cloud engineering reference architectures",LLNL - this is AWS Q general chat for AWS docs not Q Developer specifically
7947,DOE,GitHub Copilot with the OpenAI Codex,1,1,GitHub Copilot + OpenAI Codex,Microsoft/GitHub + OpenAI,bureau,High,db_row_7947,"Accelerate coding tasks with AI-assisted code suggestions and automation",PNNL deployed
8241,DOI,Use of artificial intelligence tools for optimization and documentation for computer codes,0,1,ChatGPT,OpenAI,office,Medium,db_row_8241,"This project uses ChatGPT to suggest optimizations and documentation for computer codes",USGS earthquake/ground-motion code optimization - tag missed
8451,DOI,Integration of AI specifically CoPilot for GitHub for BTFA Software Development Life Cycle Process,0,1,GitHub Copilot,Microsoft/GitHub,office,High,db_row_8451,"Integration of AI, specifically CoPilot for GitHub, for BTFA Software Development Life Cycle Process for DME and O&M applications",DOI BTFA - tag missed
8709,DOJ,Data Call Code Assist Tool,0,1,unspecified,unspecified,office,Low,db_row_8709,"Automating administrative tasks; output: Search query terms",DOJ FBI - misnamed; actually FBI internal data-call query tool. Borderline coding.
8713,DOJ,Code Development,0,1,GitHub Copilot,Microsoft/GitHub,enterprise_wide,High,db_row_8713,"Coding guidance and suggestions, with the tool providing real-time code completions based on comments and existing code",DOJ Department-wide - critical missed tag (vendor: GitHub Microsoft)
