"SECTION 1: Use Case Identifiers
Complete this Section for the following Use Cases: Retired,  Pre-deployment, Pilot, and Deployed",,,,,,,,"SECTION 2: Use Case Summary
Complete this Section for the following Use Cases: Pre-deployment, Pilot, and Deployed",,,,,"SECTION 3: Documentation
Complete this Section for the following Use Cases: Pilot, and Deployed

",,,,,"SECTION 4: Data & Code
Complete this Section for the following Use Cases: Pilot, and Deployed",,,,,,,"
SECTION 5: Risk Management 
Complete this Section for the following Use Case: Deployed and if ""HIGH-IMPACT"" from SECTION 1

",,,,,,,,,,,,,,,,,,
"Use Case ID

[Agency Abbrev.] – [#] ",Use Case Name,Bureau/Component,Email Address,Should this AI use case be withheld from public reporting?,Stage of Development,Is the AI use case high-impact?,Justification,Use Case Topic Area,AI Classification,What problem is the AI intended to solve?,What are the expected benefits and positive outcomes from the AI for an agency’s mission and/or the general public?,Describe the AI system’s outputs.,Date when AI use case became operational or the pilot’s start date,Was the system involved in this use case purchased from a vendor or developed under contract(s) or in-house?,Vendor(s) Name,Does this AI use case have an associated Authorization to Operate (ATO)?,System(s) Name,"Describe any data used to  train, fine-tune, and/or  evaluate performance of the  model(s) used in this use  case.","If the data is required to be  publicly disclosed as an  open government data asset,  provide a link to the entry on the Federal Data Catalog.",Does this AI use case  involve personally  identifiable information (PII)  that is maintained by the  agency?,"If publicly available, provide  the link to the AI use case’s associated Privacy Impact Assessment (PIA).","Which, if any, demographic  variables does the AI use  case explicitly use as model  features?",Does this project include  custom-developed code?,"If the code is open source, provide the link for the  publicly available source  code.","Has pre-deployment testing been conducted for this AI  use case? 




Practice: Complete AI Impact Assessment","Has an AI impact assessment been completed for this AI use case? 



Practice: Complete AI Impact Assessment","What are the potential  impacts of using the AI for  this particular use case and  how were they identified?    



Subpractice: Complete AI  Impact Assessment","Has as independent review  of the AI use case been  conducted?    




Sub practice Complete AI  Impact Assessment","Is there a process to conduct
ongoing monitoring to
identify any adverse impacts
to the performance and
security of the AI functionality, as well as to privacy, civil rights, and civil liberties?

Practice: Conduct Ongoing Monitoring for Performance and Potential Adverse Impacts","Has the agency established sufficient and periodic  training for operators of the  AI to interpret and act on the  its output and managed associated risks?


Practice: Ensure Adequate Human Training and Assessment","Does this AI use case have an appropriate fail-safe that minimizes the risk of significant harm?





Practice: Provide Additional Human Oversight, Intervention, and Accountability","Is there an established appeal process in the event that an impacted individual would like to appeal or  contest the AI system’s  outcome?


Practice: Offer Consistent Remedies or Appeals","What steps has the agency taken to consult and incorporate feedback from end users of this AI use case and the public?




Practice: Consult and Incorporate Feedback from End Users and the Public",,,,,,,,,,
DOL-1-C,Determine Occupation Codes from Text (NIOCCS),OSHA,zzOCIO-AI@dol.gov,a) No,"d) Retired – The use case was reported in the agency’s prior year’s inventory, but its development and/or use has since been discontinued.",c) Not high-impact,"Does not involve sensitive data or direct impact on individuals’ rights or access to services, Not pursuing in 2025",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DOL-02,Language Translation,OCIO,zzOCIO-AI@dol.gov,a) No,a) Pre-deployment – The use case is in a development or acquisition status.,c) Not high-impact,This service only provides language translation and the translation will be review by human not used without human validation.,Other,Generative AI,"Eliminates language barriers by translating documents and communications across multiple languages.
Improves access to services and information for non-English-speaking stakeholders",Quick translation to different languages  using natural language processing models.,Translation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DOL-03,Audio Transcription,OWCP||VETS||WHD,zzOCIO-AI@dol.gov,a) No,c)  Deployed – The use case is being actively authorized or utilized to support the functions or mission of an agency.,c) Not high-impact,"This service only provides transcription of calls. It does not serve as a principal basis for decisions or actions with significant effect on an individual or entity's civil rights, civil liberties, or privacy, access to critical government resources or services, or human health and safety.",Other,Generative AI,"The AI is intended to ensure accurate records of voicemails for tracking and follow-up purposes on claims.  The transcription service allows more time for the claims examiner to focus on more critical tasks such as decisions on claims as opposed to spending time documenting the call themselves.  Having more time to focus on critical tasks, in turn, enables higher levels of customer service.",Transcription of speech to text for records keeping using natural language processing models.,Text transcription,03/22/2023 00:00:00,Developed with contracting resources.,Azure PIID: NNG15SD60B,Yes,Azure,N/A,N/A--Protected by the Privacy Act, No,Not publicly available.,None of the above, No,N/A,,,,,,,,,,,,,,,,,,,
DOL-04,Text to Speech Conversion,EBSA || OHR,zzOCIO-AI@dol.gov,a) No,a) Pre-deployment – The use case is in a development or acquisition status.,c) Not high-impact,Used for audio output only; no automated decisions or sensitive data involved—low risk,Service Delivery,Natural Language Processing (NLP),Text to speech (Neural) for more realistic human sounding applications using natural language processing models.,Provide more realistic human sounding applications,"Audio files used on Power point presentations,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DOL-05,Claims Document Processing,OWCP,zzOCIO-AI@dol.gov,a) No,"d) Retired – The use case was reported in the agency’s prior year’s inventory, but its development and/or use has since been discontinued.",c) Not high-impact,"Data extraction only,,  but human makes the decision,Not pursuing in 2025; discontinued pre-deployment",,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DOL-06,Website Chatbot Assistant,OTAA,zzOCIO-AI@dol.gov,a) No,d) Retired – The use case was reported in the agency’s prior year’s inventory but its development and/or use has since been discontinued.,c) Not high-impact,"Read-only, informational chatbot: draws from authoritative sources and case-status data, makes no determinations",,,,,,,, ,, , , ,, , , No, ,,,,,,,,,,,,,,,,,,,
DOL-08,Hololens,OSHA,zzOCIO-AI@dol.gov,a) No,c)  Deployed – The use case is being actively authorized or utilized to support the functions or mission of an agency.,c) Not high-impact,Training and simulation only,Human Resources,Computer Vision,AI used to train Inspectors to visually inspect  unsafe areas from a safe location.,Vastly more cost effective in using the AI tool. Reduction of FTE costs from months to hours.,Recommendation/Assessment,11/10/2024 00:00:00,a) Purchased from a vendor,BGC/CLIRIO,Yes,Hololens,OSHA Regulation already publically avialable,N/A , No,N/A,None, No,N/A,,,,,,,,,,,,,,,,,,,
DOL-10,Official Document Validation,OWCP,zzOCIO-AI@dol.gov,a) No,"d) Retired – The use case was reported in the agency’s prior year’s inventory, but its development and/or use has since been discontinued.",c) Not high-impact,"Identification of an anomaly,Not pursuing in 2025; discontinued pre-deployment",,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DOL-11,Electronic Records Management,OCIO,zzOCIO-AI@dol.gov,a) No,a) Pre-deployment – The use case is in a development or acquisition status.,c) Not high-impact,Only classfication and summarization for human review,Administrative Functions,Generative AI,"Meeting NARA metadata standards for (permanent) federal documents by using AI to identify data within the document, and also using NLP to classify and summarize documents.",Improved efficiency and mission effectiveness,"NLP Generated Summaries, AI classfication of documents",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DOL-12,Call Recording Analysis,EBSA,zzOCIO-AI@dol.gov,a) No,a) Pre-deployment – The use case is in a development or acquisition status.,c) Not high-impact,Trend analysis and sentiment analysis only,Service Delivery,Natural Language Processing (NLP),Automatic analysis of recorded calls made to Benefits Advisors in the DOL Interactive Voice Repsonse (IVR) center. AI is used for Trend analysis and Sentiment Analysis,Provide transcripts of audio files,The output is a transcription of calls. The AI is only doing the transcriptions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
