parent_agency,sub_agency_slug,sub_agency_name,sub_agency_abbr,level,subtree_use_cases,rating,key_systems,scope_or_users,confidence,key_evidence,notes
DHS,dhs-cbp,U.S. Customs and Border Protection,CBP,sub_agency,83,Limited/Pilot,Source Code Development Tool|CodeGen (custom GenAI coding assistants),CBP component-level pre-deployment pilots,medium,"db_row_7437,db_row_7444",Two pre-deployment custom in-house coding assistants. No GitHub Copilot or commercial coding product; generic LLMs (Gemini/Claude) listed in named_tools are not coding-specific.
DHS,dhs-ice,U.S. Immigration and Customs Enforcement,ICE,sub_agency,51,Limited/Pilot,Palantir AIP / Case Management & Analytics (AI-Powered Developer Tools),ICE developers within CMA boundary; deployed,medium,db_row_7591,Palantir AIP developer-assist (code suggestions
DHS,dhs-tsa,Transportation Security Administration,TSA,sub_agency,26,None reported,—,—,medium,—,No coding-specific tool in TSA inventory; only Microsoft Teams generic mention.
DHS,dhs-uscis,U.S. Citizenship and Immigration Services,USCIS,sub_agency,24,None reported,—,—,medium,—,USCIS named_tools list (Claude) is generic-LLM access — fails the coding rule.
DHS,dhs-fema,Federal Emergency Management Agency,FEMA,sub_agency,22,Limited/Pilot,OCFO Code Assist GPT (Azure OpenAI/ReadyAI),FEMA OCFO staff; deployed for SQL/Java/COBOL query gen,high,db_row_7582,Bespoke Azure-OpenAI wrapper for query/code generation. Real coding-specific deployment.
DHS,dhs-mgmt,Management Directorate,MGMT,office,10,None reported,—,—,medium,—,LIGER is document drafting (false positive in earlier tagging); no coding tool.
DHS,dhs-cisa,Cybersecurity and Infrastructure Security Agency,CISA,sub_agency,7,None reported,—,—,low,—,No coding-tool entries in CISA subtree.
DOC,doc-noaa,National Oceanic and Atmospheric Administration,NOAA,sub_agency,157,Enterprise/Broad,GitHub Copilot|Amazon Q Developer|Gemini Code Assist,Multiple NOAA line offices — fisheries DevSecOps, OpenAPI dev, scientific software,high
DOC,doc-census,U.S. Census Bureau,Census,sub_agency,17,Limited/Pilot,Statistical package syntax development and debugging (unspecified vendor),Census statisticians; narrow,medium,db_row_7657,One coding-tagged use case for stats-package code; vendor unspecified. Likely small.
DOC,doc-uspto,U.S. Patent and Trademark Office,USPTO,sub_agency,15,Limited/Pilot,Assisted software development (unspecified vendor),USPTO IT; limited scope,medium,db_row_7863,Generic 'assisted software development' — vendor not named. Round-1 categorized USPTO as part of DOC's broad mix.
DOC,doc-ita,International Trade Administration,ITA,sub_agency,9,None reported,—,—,low,—,Only generic LLM (ChatGPT/Claude) named tools — fails coding rule.
DOC,doc-ntia,National Telecommunications and Information Administration,NTIA,sub_agency,8,None reported,—,—,low,—,No coding-specific entries.
DOC,doc-nist,National Institute of Standards and Technology,NIST,sub_agency,7,None reported,—,—,medium,—,Surprising absence — NIST has Grammarly + Gemini in named_tools
DOE,doe-lanl,Los Alamos National Laboratory,LANL,sub_agency,43,None reported,—,—,medium,—,LANL named_tools are M365 Copilot + ChatGPT — generic LLMs only. No coding-specific tool deployed despite 43 use cases.
DOE,doe-pnnl,Pacific Northwest National Laboratory,PNNL,sub_agency,40,Limited/Pilot,GitHub Copilot (with OpenAI Codex backend),PNNL R&D users; deployed,high,db_row_7947,Real GitHub Copilot deployment. Note OpenAI Codex backend is a developer product (counts).
DOE,doe-inl,Idaho National Laboratory,INL,sub_agency,39,None reported,—,—,medium,—,INL has ChatGPT Enterprise and Claude with code-generation narrative — generic-LLM rule excludes these as coding tools.
DOE,doe-bnl,Brookhaven National Laboratory,BNL,sub_agency,34,None reported,—,—,low,—,No coding-tool entries.
DOE,doe-srs,Savannah River Site,SRS,sub_agency,27,Limited/Pilot,Tabnine,SRS Enterprise System Boundary; pre-deployment,high,db_row_8139,Vendor explicitly Tabnine; pre-deployment but real procurement.
DOE,doe-ornl,Oak Ridge National Laboratory,ORNL,sub_agency,25,Limited/Pilot,AI Enabled Code Review (unspecified vendor),ORNL pre-deployment,medium,db_row_8056,Custom AI code-review tool — vendor not named.
DOE,doe-fnal,Fermi National Accelerator Laboratory,FNAL,sub_agency,17,None reported,—,—,low,—,No coding-tool entries.
DOE,doe-netl,National Energy Technology Laboratory,NETL,sub_agency,15,None reported,—,—,low,—,No coding-tool entries.
