use_case_id,agency,use_case_name,vendor_name,system_name,development_type,ai_classification,problem_statement,expected_benefits,candidate_products,pre_classification
61203,DHS,Acoustic Signature AI for Gunshot Detection,Invariant Corporation,,a) Purchased from a vendor,Classical/Predictive Machine Learning,The AI will be used to make confidence determinations between non gunshot acoustic activity and actual gunshot activity to reduce false alerts to agents monitoring the User Interface.,"Gunshot and UAS detection notifications can be used by Agents for enhanced situational awareness in their area of operations. By utilizing this AI learning technology, they will have high confidence of alerts of a detection, with the specific type, as well as a pinpointed GPS location within 3-meters.",Aware Biometrics (via 'Aware'),high_signal
61212,DHS,CBP Translate,"Aneesh Technologies, 24X7, Ellumen Inc., Deloitte, NiyamIT",CBP Translate,c) Developed with both contracting and in-house resources,Natural Language Processing (NLP),Assist officers and agents with immediate interpretation needs when human translators are not available.,"CBP Translate enhances efficiency by expediting questioning when immediate interpretation is needed. It ensures clear communication, minimizes misunderstandings, and offers immediate accessibility via mobile and web platforms. This improves operational flexibility and creates a smoother experience for travelers.",,high_signal
61216,DHS,Supervised Traveler Identity Verification Services (Officer Initiated),"CBP procured mobile devices (Apple, Samsung) commercial off the shelf cameras (Logitech)",Traveler Verification Service,c) Developed with both contracting and in-house resources,Computer Vision,Biometric Entry processing fulfills a Congressional mandate.,"The TVS Biometric matching service is a cloud-based facial biometric matching service that enables CBP to match a passenger’s identity against a trusted source, throughout the travel continuum which improves traveler facilitation and reduces manual identity verification",,high_signal
61222,DHS,Cryptocurrency Analysis,TRM Labs,,a) Purchased from a vendor,Classical/Predictive Machine Learning,"Identification of transactions that may have been made with a designated entity, company, or location that may be using crypto to circumvent financial reporting. This tool will help CBP identify business and travelers who may be using cryptocurrency to conceal illicit transactions not reported within the U.S. financial system.",Quicker identification of risks related to cryptocurrency accounts to aid in addressing potential admissibility concerns (in lieu of completely manual research of the same accounts).,Aretec SEARCH (via 'SEARCH'),high_signal
61227,DHS,ERNIE,"Countering Weapons of Mass Destruction, Department of Homeand Security",Automated Radiological Data Integration System - Cloud (ARDIS-C),c) Developed with both contracting and in-house resources,Classical/Predictive Machine Learning,ERNIE is used to analyze Radiation Portal Monitor (RPM) data to enhance the detection of radioactive materials. It provides a more efficient review of stream of commerce radiation portal monitor data and provides real-time risk assessments and alerts for potential threats,"The model enhances threat detection and prioritizes high-risk targets, improving operational efficiency and national security.",,high_signal
61230,DHS,Consular Consolidated Database (CCD) Facial Recognition (FR) On Demand Report (VISA Only),Department of State,,a) Purchased from a vendor,Computer Vision,On-demand facial recognition services.,DHS Components use the Facial Recognition (FR) on Demand report (Visa only) to combat fraud by benefit applicants whose fingerprints are not in IDENT but who may have photos in the Department of State's (DoS) Consular Consolidated Database (CCD) that predate the fingerprinting of visa applicants.,,high_signal
61232,DHS,Facial Recognition for Locating Vulnerable Populations,Law Enforcement Sensitive (LES),Law Enforcement Sensitive (LES),a) Purchased from a vendor,Computer Vision,"The use case addresses the challenge of identifying and locating members of vulnerable populations, such as unaccompanied minors who have crossed the border, whose identities and locations are unknown to law enforcement.",The facial recognition service reduces the time personnel spend manually searching for images online and helps them discover potentially relevant photographs or profiles that they might not otherwise find. This can improve the speed and effectiveness of efforts to identify and locate vulnerable individuals and support appropriate protective or assistance measures.,Aretec SEARCH (via 'SEARCH'),high_signal
61233,DHS,Facial Recognition for National Security Investigations,Law Enforcement Sensitive (LES),Law Enforcement Sensitive (LES),a) Purchased from a vendor,Computer Vision,This use case addresses the challenge of identifying individuals of interest in authorized national security investigations.,"The facial recognition service helps investigators reduce the time needed to manually search for images and associated information online. By surfacing potentially relevant images that might otherwise be missed, it can improve the speed and effectiveness of national security investigations and allow investigators to focus their efforts on analysis, corroboration, and case-building.",Aretec SEARCH (via 'SEARCH'),high_signal
61234,DHS,Facial Recognition for Investigations of Transnational Criminal Organizations,Law Enforcement Sensitive (LES),Law Enforcement Sensitive (LES),a) Purchased from a vendor,Computer Vision,"The problem this use case solves is the challenge of identifying unknown individuals involved in transnational criminal activities, such as violent crimes, drug trafficking, human smuggling, and financial fraud.","The facial recognition service reduces the time investigators spend manually searching for images online and helps them discover potentially relevant photographs or profiles that they might not otherwise find. This can improve the speed and effectiveness of investigations into complex transnational criminal networks while allowing investigators to focus on analysis, corroboration, and case-building.",Aretec SEARCH (via 'SEARCH'),high_signal
61235,DHS,AI-Assisted Resume Screening Tool,AIS,,c) Developed with both contracting and in-house resources,Generative AI,This use case intends to solve the problem of human bias during resume reviews and the time-intensive process of reviewing candidate resumes.,"This solution applies the same review criteria to every candidate’s resume. This reduces human cognitive bias and variability in how HR specialists evaluate candidate resumes. Additionally, this solution speeds up the time-to-hire by reducing the amount of time spent conducting manual candidate resume reviews.",,high_signal
