use_case_id,agency,use_case_name,vendor_name,system_name,development_type,ai_classification,problem_statement,expected_benefits,pre_classification
78490,VA,Employee Transactions for HR Decision-Making,,,,"Generative AI: AI that generates new or synthetic content (e.g., images, videos, audio, text, code).","AI is intended to automate repeatable tasks, improve efficiency, measure employee performance, support onboarding, improve customer experience, improve user adoption, and improve analytics and reporting to further support decision-making and personalize experiences.","- Increase efficiency of Core Human Resources (HR) and Payroll - Enhance employee and veteran outcomes e.g., improve customer experience and improve user adoption",va_dark
78491,VA,Cyber Authorization Memo Generation,,,,Classical/Predictive Machine Learning: Models trained on data to make predictions or classifications based on identified patterns or relationships.,"VA cybersecurity staff are challenged with managing and staying updated with an extensive array of documentation related to policies, processes, directives, and frameworks (which are essential for maintaining compliance and ensuring the security and privacy of VA information systems).  The VA Risk Management Framework (RMF) program continues to rely on human decision-making for risk-based decisions. This human-centric approach requires extensive involvement from various roles and generation/consumption of large amounts of artifacts and staffing resources.","This tool will significantly reduce the time required for memo generation, saving hours of work for each memo signed.  By implementing AI in these use cases, EHRM aims to streamline processes, improve efficiency, and reduce the workload on both cyber personnel and administrative staff.",va_dark
78492,VA,Clinical AI Agent,,,,"Generative AI: AI that generates new or synthetic content (e.g., images, videos, audio, text, code).","Administrative tasks, manual documentation, and complex workflows within the Electronic Health Record (EHR) cause lower clinical efficiency and operational effectiveness.","By implementing Clinical Al Agent (CAA), VA providers will leverage new technology to decrease time completing documentation and administrative tasks during a Veteran visit. This leads to increased end user satisfaction, reduced provider burnout, and ensures providers are spending time prioritizing Veteran care.",va_dark
78494,VA,VA VoiceBot for Call Center Modernization,,,,"Natural Language Processing: AI that processes, interprets, and shares information in human language.","The VoiceBot can quickly handle common inquiries, offering Veterans immediate answers and reducing the frustration of long wait times. This allows Contact Centers to focus resources on more complex issues, ultimately improving response times for urgent matters and reducing overall call center costs.","The VA VoiceBot aims to enhance the Veteran experience by providing efficient self-service via telephone, reducing wait times, and freeing up call center resources for more complex issues. It will utilize advanced Natural Language Understanding (NLU) to manage routine inquiries and seamlessly escalate to human agents, when necessary, ensuring context and identity are retained. The initiative is focused on integrating VoiceBot across call center lines such as Women Veterans Call Center (WVCC), VBA, and VetHOME, which will streamline processes, improve support consistency, and lower operational costs.",va_dark
78496,VA,VA AI Assist,,,,"Generative AI: AI that generates new or synthetic content (e.g., images, videos, audio, text, code).","Reviewing information about a patient prior to an upcoming encounter is an important way in which clinicians prepare for an effective visit. Clinicians are challenged to effectively complete this review prior to encounters, given time constraints and the manual effort required to navigate electronic health record systems to seek the information. This results in a lower effectiveness of the visit and increased clinician burnout.",There is a significant opportunity for AI-powered search and summarization of clinical information to assist clinicians with efficiently and effectively reviewing a patient’s record prior to an encounter.,va_dark
78497,VA,Service Period Validator (SPV) POC,,,,Agentic AI: AI systems that perform tasks or make decisions autonomously with minimal human intervention.,Validate Veterans' service periods more accurately and quickly. This will ultimately save time and increase the quality of Veterans' decisions.,Increase efficiency of benefits delivery and provide an accurate and timely automation of benefit eligibility decisions (original claims) by proactively assessing and correcting data quality of Veteran service period.,va_dark
78498,VA,Claims Processing Automation Quality Auditor POC,,,,Classical/Predictive Machine Learning: Models trained on data to make predictions or classifications based on identified patterns or relationships.,"In an automation-driven claims process, this tool will act as an entry point for quality reviews: Perform claims quality audits to identify and request NQA reviews or VCE corrections based on automated claims processing anomalies/errors. Function of the model: Perform claims quality audits to identify and request NQA reviews or VCE corrections based on automated claims processing anomalies","Increased efficiency, improved benefit outcomes, faster decisions for Veterans.",va_dark
78500,VA,Exam Verification Agent,,,,Agentic AI: AI systems that perform tasks or make decisions autonomously with minimal human intervention.,The process for a Veteran Service Representative (VSR) to determine if an exam is warranted for a claim for increase (claims with end product [EP] 020) for a given contention requires that the VSR expend considerable effort and time to review extensive documentation within a Veteran or Claimant's eFolder. VSR needs review this documentation to identify whether sufficient evidence already exists for the claim to proceed to a rating or if an exam should be ordered to be able to rate the claim. The AI will reduce the time needed to review the evidence by providing a list of related evidence to the contention and a recommendation on whether an exam is needed.,"The Exam Verification Agent system will reduce the time needed to develop a claim, increasing efficiency in benefits processing. It transforms the complex and time-intensive process of determining medical exam necessity for disability claims for increase by deploying multiple specialized AI agents. The agents autonomously evaluate claim evidence and provide a recommendation and a summary of the reasoning for the recommendation to the user.",va_dark
78501,VA,Benefits Contention Classification Model,,,,Classical/Predictive Machine Learning: Models trained on data to make predictions or classifications based on identified patterns or relationships.,The Benefits Contention Classification model is intended to improve the current benefits adjudication process by providing an automated classification for all benefits claims contentions. The model will do this by providing a classification for each contention that is not currently covered by the existing process. This is intended to make the overall benefits adjudication process more efficient by reducing the necessary time for VA rating representatives to choose the appropriate disability questionnaire for the the given contention.,The expected benefit of this model is increasing efficiency in the benefits adjudication process by automating the internal classification required to select the disability benefits questionnaire that should be sent to the Veteran.,va_dark
78502,VA,Limited Payability Letter Automation,,,,Agentic AI: AI systems that perform tasks or make decisions autonomously with minimal human intervention.,"The re-issuance of a benefits payment following Limited Payability currently relies on manual steps that take an undetermined amount of time. Using AI will allow VA to automate the re-issuance of benefits, accelerating the delivery of those re-issued payments to beneficiaries and reducing manual errors during the process.","Increased efficiency, increased accuracy, and quicker delivery of benefits payments to beneficiaries.",va_dark
