"use_case_id","entry_kind","agency","use_case_name","current_product_id","current_product_name","vendor_name","system_name","problem_statement","expected_benefits","system_outputs","training_data_description","regex_hint","proposed_action","proposed_product_id","proposed_product_name","confidence","evidence_quote","notes","live_current_product_id","live_proposed_product_id","live_use_case_id","pk_collision","validation_status"
"128719","use_case","DHS","CISAChat","19801","Microsoft","Microsoft","","Currently, retrieving and synthesizing content from hundreds of government documents is a slow, manual process. CISA users need the capability to answer questions, generate summaries, and produce textual responses efficiently using a broad range of information sources—from CISA publications to DHS mandates. AI can streamline and accelerate this workflow by automating information extraction and response generation.","Currently, multiple CISA program offices are using contractor staff to review pre-production content and other internal materials to develop summaries, key themes, and improve clarity. Leveraging a Generative AI solution improves internal agency Customer Experience (CX) and saves staff time.","LLM generated response to the questions posed on uploaded content.","Current data used is pre-publication content that has already been approved.","","delete_or_inferred","","","high","vendor_name='Microsoft' with no specific product named in source text","No specific MS product named in source text","20575","","132268","no","ok"
"128721","use_case","DHS","OCFO Response Augmentation Suite","19801","Microsoft","Microsoft (OpenAI Azure Commercial Cloud offerings)","FEMA OCFO GPT","FEMA Office of the Chief Financial Officer Generative Pre-trained Transformer (OCFO GPT), Travel Policy GPT and Fiscal Policy GPT are internal Generative AI (GenAI) tools designed to support the FEMA workforce by generating initial responses to various queries. These tools leverage relevant public and internal documents to draft preliminary responses, which are then refined prior to formal submission. FEMA OCFO GPT generates initial responses to questions for the record, leveraging public and internal documents, and provides a preliminary response to the Program Office to use in their formal response to the request. It reduces the data gathering stage, saving analysts 80% of the initial effort. Travel Policy GPT generates initial responses to questions regarding FEMA/DHS Travel Policy, including the JTR, and provides a preliminary response to the travel specialist to use in their formal response to the queries. It improves response times, saving users 80-90% of the time compared to regular engagement with the Travel Service Center. Fiscal Policy GPT provides preliminary responses to questions regarding FEMA/DHS Fiscal Policy and will generate a draft response with references to assist FEMA internal workforce in compliance with established policy. It saves users 80-90% of the time compared to regular engagement with DHS /FEMA OCFO policy and speeds up resolution times.","FEMA OCFO GPT-B is an internal facing GenAI tool to augment the FEMA workforce in generating initial responses to questions for the record and providing a preliminary response to the Program Office to use in their formal response to the request. FEMA OCFO GPT provides draft responses reducing the data gathering stage and providing additional time for analysis, response, and approval. This has reduced the analyst initial level of effort versus individual research by 80% on initial surveys. Travel Policy GPT is an internal facing GenAI tool to augment the FEMA workforce in generating initial responses to questions regarding FEMA/DHS Travel Policy, and providing a preliminary response to the travel specialist to use in their formal response to the queries. The tools provide improved responses saving the end user time versus regular engagement with the Travel Service Center. The tool also allows travelers to ask specific questions that require Travel Service Center engagement, limiting the needed triage and speeding resolution times. Fiscal Policy GPT is an internal facing GenAI tool to augment the FEMA workforce in providing preliminary responses to questions regarding FEMA/DHS Fiscal Policy. The tool provides improved responses saving the end user time versus regular engagement with the DHS/FEMA OCFO Policy. The tool also allows internal users to ask specific questions that require Fiscal Policy engagement, limiting the needed triage and speeding resolution times.","FEMA OCFO GPT is an internal facing GenAI tool to augment the FEMA workforce in generating initial responses to questions for the record and providing a preliminary response to the Program Office to use in their formal response to the request. FEMA OCFO GPT leverages public facing and internal deliberative documents to assist in answering questions the Agency receives. The tool generates a draft response that is then refined/updated prior to providing a formal response. Travel Policy GPT is an internal facing GenAI tool to augment the FEMA workforce in generating initial responses to questions regarding FEMA/DHS Travel Policy and providing a preliminary response to the travel specialist to use in their formal response to the queries. The tool generates a draft response that is then refined/updated prior to providing a formal response. Fiscal Policy GPT is an internal facing GenAI tool to augment the FEMA workforce in providing preliminary responses to questions regarding FEMA/DHS Fiscal Policy. Fiscal Policy GPT will leverage the DHS FMPM and FEMA Fiscal Policy documents. The tool is planned to generate a draft response with references to assist FEMA internal workforce in compliance with established policy. These tools are leveraged in the data gathering stage and do not replace any current analysts work or leadership review, as required, prior to submittal via any formal request for information process.","Budget Exhibits, Passback Materials, Hearing Testimony, Questions Received, Answers Provided

Travel Policy Documents (Joint Travel Regulation (JTR), DHS Travel Policy, FEMA Travel Policy)

Fiscal Policy Documents - Treasury Financial Manual (TFM), DHS Financial Policy Manual, FEMA Fiscal Policies","azure;office;gpt;openai","relink","19038","Azure OpenAI","high","Microsoft (OpenAI Azure Commercial Cloud offerings)","","20575","19812","132270","no","ok"
"128722","use_case","DHS","OCFO Code Assist GPT","19801","Microsoft","Microsoft (OpenAI part of Azure Commercial Cloud offerings)","ReadyAI","Code Assist Generative Pre-trained Transformer (GPT) is an internal facing Generative AI (GenAI) tool to augment the FEMA workforce in generating and troubleshooting existing queries in established query languages (e.g., SQL, Java, COBOL). Users enter the language they are querying, and the Code Assist GPT then provides a proposed query based on the elements provided. If the query is unsuccessful, the tool maintains the session, allowing users to prompt for enhancements until expected results are achieved. At the end of the session, all prompts and queries are removed, and no data is stored outside of the active session. The tool provides improves query generation and rapid iteration, saving users 80-90% of the time compared to custom query development. It also supports various computer languages to assist the data analytics community.","Saving users 80-90% of the time compared to custom query development, rapid iteration which includes error resolution to query complex data sets and multiple computer languages (COBOL, SQL, Python, etc)","Leverages Azure Commercial OpenAI within the FEMA system boundary, currently leveraging ChatGPT4o.  Code Assist GPT is an internal facing GenaAI tool to augment the FEMA workforce in generating and troubleshooting existing queries in established query languages. The user simply enters the language they are trying to query (i.e. SQL, Java, COBOL, etc) and the Code Assist GPT then provides a proposed query based on the elements provided by the user. If the user experiences an error or the query is not successful, the Code Assist GPT maintains the session as long as the user is still logged in and hasn't restarted the session, the user can continue to prompt the GPT to provide enhancements to the provided query until results are as expected. At the end of the user session, all prompts/queries are removed and no data is stored outside of the active user session.","Programming languages were used to test and fine tune the model, such as JAVA Script, COBOL, SQL, Python.  The tool leverages the ChatGPT4o model with the inherent capability.The tool was validated with extensive User Acceptance Testing validating inputs and outputs against similar queries that already were written and performed manually.  This was then validated with a pilot group of users with an expansion to other user groups for use.","azure;gpt;openai","relink","19038","Azure OpenAI","high","Leverages Azure Commercial OpenAI within the FEMA system boundary, currently leveraging ChatGPT4o.","","20575","19812","132271","no","ok"
"128723","use_case","DHS","Executive Summary GPT","19801","Microsoft","Microsoft (Azure Commercial OpenAI Cloud Offerings)","ReadyAI","Provides the ability for users to upload documents and provide an executive summary on those documents.","Quickly analyze lengthy or complex documents for relevance to FEMA and/or to provide a high level summary for leadership on potential impacts.","Leverages Azure Commercial OpenAI within the FEMA system boundary, currently leveraging ChatGPT4o. A summary of a document or documents that can be leveraged for high level summaries for leadership or potential impacts.","Sample documents were provided and executive summary was reviewed for relevance/accuracy.","azure;openai","relink","19038","Azure OpenAI","high","Leverages Azure Commercial OpenAI within the FEMA system boundary, currently leveraging ChatGPT4o.","","20575","19812","132272","no","ok"
"128726","use_case","DHS","AI Assisted Compromise Email Detector (AACED)","19801","Microsoft","","","This use case intends to solve the problem of the extensive manual effort required to review emails for signs of cyber compromise.","The use case was developed to assist ICE SOC in reviewing a collection of emails between ICE personnel and Microsoft that were part of Emergency Directive 24-02.  The use case provides a faster mechanism to the SOC analysts to determine indicators of compromise, reducing the level of effort for these individuals’ analysis exponentially.  To assist the analysts, Named Entity Recognition (NER) was used to detect PII and other associated keywords to increase analyst productivity, and reduce time required to analyze emails.","Outputs are named entities and generated text for specific questions. Chat interface for analyst to conduct Q&A with email as context.","Stored Agency emails used for validation.","","delete_or_inferred","","","high","No specific Microsoft product named in source text","No specific MS product named in source text","20575","","132275","no","ok"
"129029","use_case","DOE","APT Analytics","19801","Microsoft","Microsoft","R&D User","Automate analysis of atom probe tomography (APT) data for faster scientific insights.","Speeds up materials research through automated nanoscale data analysis.","Produce high-quality, contextually relevant, and coherent responses or content based on user input.","No","","delete_or_inferred","","","high","vendor_name='Microsoft' with no specific product named in source text","No specific MS product named in source text","20575","","132578","no","ok"
"129030","use_case","DOE","AI used for predictive modeling and real time control of traffic systems","19801","Microsoft","Microsoft","R&D User","Produce high-quality, contextually relevant, and coherent responses or content based on user input.","Reduces traffic congestion, energy use, and greenhouse gas emissions.","Produce high-quality, contextually relevant, and coherent responses or content based on user input.","No","","delete_or_inferred","","","high","vendor_name='Microsoft' with no specific product named in source text","No specific MS product named in source text","20575","","132579","no","ok"
"129032","use_case","DOE","Scalable, Efficient and Accelerated Causal Reasoning Operators, Graphs and Spikes for Earth and Embedded Systems (SEA-CROGS)","19801","Microsoft","Microsoft","R&D User","Improving Information Access, Understanding, and Productivity through Language Automation","Accelerates scientific discovery and next-gen computing for earth and embedded systems.","Produce high-quality, contextually relevant, and coherent responses or content based on user input.","No","","delete_or_inferred","","","high","vendor_name='Microsoft' with no specific product named in source text","No specific MS product named in source text","20575","","132581","no","ok"
"129036","use_case","DOE","Use of developed ML techniques to parse opensource text-based information.","19801","Microsoft","Microsoft","R&D User","Parse open-source text to define disadvantaged communities for energy transition planning.","Informs equitable energy transition policies for disadvantaged communities.","Produce high-quality, contextually relevant, and coherent responses or content based on user input.","No","","delete_or_inferred","","","high","vendor_name='Microsoft' with no specific product named in source text","No specific MS product named in source text","20575","","132585","no","ok"
"129046","use_case","DOE","Microsoft 365 Copilot (Productivity Suite)","19801","Microsoft","Microsoft","R&D User","Automate and streamline productivity tasks in Microsoft 365 apps for staff efficiency.","This helps PNNL streamline workflows, improve efficiency, and allow researchers to focus more on innovation and less on administrative tasks, ultimately accelerating scientific research and operational effectiveness.","Using Microsoft 365 Copilot, PNNL aims to produce enhanced document quality, increased efficiency, insightful data analysis, improved collaboration, automated workflows.","No","copilot;365","relink","19031","Microsoft 365 Copilot","high","Microsoft 365 Copilot (Productivity Suite)","","20575","19805","132595","yes","warning_pk_collision"
