use_case_id_2024,tagged_by_agent,entry_type,is_generative_ai,ai_sophistication,deployment_scope,confidence,reasoning,is_general_llm_access,is_coding_tool,is_cots_commercial,tool_product_name,tool_vendor,is_microsoft_copilot,is_openai,is_anthropic,is_google,is_github_copilot,is_aws_ai,is_enterprise_wide,architecture_type,has_model_training,use_type,is_public_facing,scope_detail
34225,agentC,custom_system,0,nlp_specific,bureau,medium,"Names ""real-time communication/translation"" and contracted build → bureau-scoped NLP translation system.",,,0,,,,,,,,,,unknown,,mission_critical,1,ICE
34253,agentC,custom_system,0,predictive_analytics,office,medium,"Says ""anomaly detection"" and ""risk identification and disease prediction"" → predictive analytics, office-level.",,,0,,,,,,,,,,unknown,,mission_critical,,OHS
34257,agentC,custom_system,0,nlp_specific,office,high,"Cites ""topic modeling, sentiment analysis"" via NLP, ""Developed in-house"" → bespoke NLP for HR survey.",,,0,,,,,,,,,,custom_trained,1,administrative,,OCHCO
34315,agentC,custom_system,0,classical_ml,bureau,high,"Names ""Two ML models (BEACON and SINCT)"" for NAICS classification → custom classifier, bureau-level.",,,0,,,,,,,,,,custom_trained,1,mission_critical,1,Census
34353,agentC,generic_use_pattern,1,general_llm,office,low,"""Promptly analyze cybersecurity"" docs + ""documentation generation"" suggests generic LLM cyber use.",,,,,,,,,,,,,inference_only,,cybersecurity,,NOAA cyber
34431,agentC,bespoke_application,1,general_llm,office,high,"Says ""Retrieval-Augmented Generation"" with ""LLM summarizes"" content → in-house RAG app.",,,0,,,,,,,,,,rag_pipeline,,mission_critical,1,NREL
34432,agentC,custom_system,0,nlp_specific,office,medium,"""Topic Modeling"" producing ""five tags"" per webpage → NLP categorization, office-level.",,,,,,,,,,,,,custom_trained,1,administrative,,Office of Public Affairs
34600,agentC,custom_system,0,computer_vision,bureau,high,"""geospatial artificial intelligence"" deep learning for ""land cover"" → computer vision, USGS-scope.",,,0,,,,,,,,,,custom_trained,1,mission_critical,1,USGS
34668,agentC,product_feature,1,general_llm,office,medium,"Names ""MetaAI"" ""chatbot assistance"" as a non-disablable Facebook feature → product_feature.",,,1,Meta AI,Meta,,,,,,,,inference_only,,administrative,1,
34704,agentC,custom_system,0,classical_ml,department,high,"""machine learning model predicts records schedules"", in-house at EPA → agency-level classical ML.",,,0,,,,,,,,,,custom_trained,1,administrative,,EPA OMS
34711,agentC,custom_system,0,predictive_analytics,office,high,"""Risk scoring (Ranking from lowest to highest risk)"" for NPDES facilities → predictive analytics.",,,,,,,,,,,,,custom_trained,,mission_critical,,OECA
34722,agentC,product_deployment,0,nlp_specific,department,medium,"Names ""Tanjo (tanjo.ai)"" document discovery product, contracted → COTS document AI deployment.",,,1,Enterprise Brain,Tanjo,,,,,,,,inference_only,,administrative,,GSA IT
34840,agentC,product_feature,0,classical_ml,office,low,"Mentions ""native Salesforce AI capabilities"" for recommender/sentiment though not in use → product_feature.",,,1,Salesforce Einstein,Salesforce,,,,,,,,,,administrative,,CMS
34858,agentC,custom_system,0,nlp_specific,office,medium,"""normalizing labor categories"" via contractor-built tool for OAGM → NLP categorization, office-level.",,,0,,,,,,,,,,unknown,,administrative,,CMS OAGM
35011,agentC,custom_system,0,classical_ml,bureau,high,"""machine learning algorithms"" ""identifies data anomalies"" in MSS transactions → bureau-level ML.",,,0,,,,,,,,,,custom_trained,1,mission_critical,,Ginnie Mae
35019,agentC,custom_system,0,classical_ml,office,high,"Classical ""planning and scheduling"" framework with ""temporal reasoning"" → classical AI, JPL.",,,0,,,,,,,,,,custom_trained,,mission_critical,,JPL
35032,agentC,custom_system,0,classical_ml,office,medium,"""ML model to suggest if a purchase may be a taggable asset"" → classical classifier, JPL.",,,,,,,,,,,,,custom_trained,1,administrative,,JPL
35036,agentC,product_deployment,1,nlp_specific,office,high,"Names ""Wellsaid"" COTS product ""purchased pre-built"" for AI voice over → generative TTS COTS.",,,1,WellSaid,WellSaid Labs,,,,,,,,inference_only,,administrative,,OLPA
35050,agentC,bespoke_application,1,general_llm,department,high,"""draft PD content generated through large language models (LLMs)"" curated by OPM → bespoke LLM app.",,,,,,,,,,,,,rag_pipeline,,administrative,0,OPM HRS
35060,agentC,custom_system,0,predictive_analytics,bureau,high,"Outputs ""numerical scores"" for ""likelihood of medical improvement"" in-house → predictive analytics.",,,0,,,,,,,,,,custom_trained,1,mission_critical,,SSA ARO
35099,agentC,custom_system,0,nlp_specific,office,high,"""custom Natural Language Processing (NLP) model"" for tag recommendations → bespoke NLP.",,,,,,,,,,,,,custom_trained,1,administrative,1,State/F
35141,agentC,custom_system,0,nlp_specific,bureau,high,"""responses... not created by Generative AI"" — NLP intent classifier voicebot at IRS.",,,,,,,,,,,,,inference_only,,mission_critical,1,IRS
35159,agentC,product_deployment,0,computer_vision,office,high,"Names ""Redaction Studio"" by ""Axon"" COTS app for face redaction → CV product deployment.",,,1,Redaction Studio,Axon,,,,,,,,inference_only,,mission_critical,,IRS CI
35299,agentC,product_deployment,0,computer_vision,pilot,medium,"""SMARTplus uses 3D scans"" by Action Against Hunger to assess malnutrition → CV pilot.",,,1,SMARTplus,Action Against Hunger (ACF),,,,,,,,,,mission_critical,,USAID/BHA Somalia
35371,agentC,bespoke_application,1,general_llm,bureau,medium,"""generate metadata...through generative AI"" for NRCS geospatial datasets → bespoke GenAI app.",,,,,,,,,,,,,inference_only,,administrative,,NRCS
35391,agentC,product_deployment,0,computer_vision,bureau,high,"Names ""BirdNET"" to ""detect bird vocalizations"" from forest audio → audio classification model.",,,0,BirdNET,,,,,,,,,inference_only,,research,,USFS
35410,agentC,custom_system,0,classical_ml,office,high,"""isolation forest model"" for daily anomaly scores on TCR data → classical ML.",,,,,,,,,,,,,custom_trained,1,it_operations,,CFTC DOD
35414,agentC,product_deployment,1,general_llm,enterprise_wide,high,"Title ""Microsoft Copilot Integration"" with ""AI generated text"" summaries → agency Copilot deployment.",1,,1,Microsoft 365 Copilot,Microsoft,1,,,,,,1,inference_only,,administrative,,EAC
35478,agentC,product_deployment,0,classical_ml,office,high,"""commercial off the shelf (COTS) software"" with ""machine learning"" for eDiscovery → COTS ML.",,,1,,,,,,,,,,inference_only,,mission_critical,,FDIC Legal
35482,agentC,custom_system,0,nlp_specific,office,low,"Plans to ""Request analysis of interconnection requests"" — narrative is sparse, no vendor.",,,,,,,,,,,,,unknown,,mission_critical,,FERC
35500,agentC,product_feature,0,nlp_specific,enterprise_wide,high,"""Apple iOS platform"" ""predictive word technology"" used by mobile workforce → OS-level product_feature.",,,1,Apple iOS predictive text,Apple,,,,,,,1,inference_only,,administrative,,
35507,agentC,custom_system,0,classical_ml,office,medium,"""Automatic detection of network-based security risks"" → anomaly detection in logs.",,,,,,,,,,,,,unknown,,cybersecurity,,FRB Division of IT
35563,agentC,bespoke_application,1,general_llm,department,high,"""AI-powered chat interface, similar to ChatGPT"" over NARA archives → planned RAG/LLM app.",,,,,,,,,,,,,rag_pipeline,,mission_critical,1,NARA
35577,agentC,custom_system,0,classical_ml,office,low,"""automating the identification of failures to file certain forms"" — sparse, planning-phase.",,,,,,,,,,,,,unknown,,mission_critical,,SEC IM
