use_case_id,agency,use_case_name,vendor_name,system_name,development_type,ai_classification,problem_statement,expected_benefits,candidate_products,matched_catalog_vendor,pre_classification
61122,DHS,Walk-Through Metal Detector (WTMD) Alternative Automated Target Recognition (ATR) Developments,,,,Computer Vision,Improve detection over traditional WTMD to include non-metallic threats.,Artificial intelligence (AI)-enhanced Millimeter wave (mmWave) detectors are used as an alternative to Walk-Through Metal Detectors (WTMDs) for passenger screening to detect both metallic and non-metallic threats and prohibited items on passengers at the security checkpoint. These detectors will provide both increased security and a better passenger experience.,,meta,medium_signal
61148,DHS,Open Metadata,,,,Generative AI,Metadata catalog identification.,"The AI uses a large language model to generate proposed descriptions for field names in our data catalog. The tool itself does not come with Generative AI, but we have built the capability to leverage generative AI for description generation and test case quality generation. Roughly 80% of our data assets in databases do not have descriptions. The use of AI to generate these descriptions would allow us to provide descriptions for our vast data assets. The quality test cases ensure that the data in our systems are accurate, correct, and consistent. These AI tools can be turned on or off.",Descript (via 'Descript'),meta,medium_signal
61333,DHS,AI for Autonomous Situational Awareness,,,,,,,Aware Biometrics (via 'Aware'),aware,medium_signal
61348,DHS,MiX MedINT (Medical Intelligence Dashboard and Canvas),,,,,,,Canva (via 'Canva'),canva,medium_signal
61378,DOC,"Amazon Web Services NLP, Classification, Text Mining",,,,,,,,amazon web services,medium_signal
61379,DOC,"Google Public Sector NLP, Classification, Text Mining",,,,,,,,google,medium_signal
61380,DOC,Google Colab and VertexAI,,,,,,,,google,medium_signal
61517,DOC,"Using ChatGPT4 /DALLE3, Adobe Sensei and similar for design ideation and image generation",,,,,,,ChatGPT (via 'ChatGPT') | DALL-E (via 'DALLE'),ideation,medium_signal
61545,DOC,LLM support for NIST research (Google Vertex),,,,,,,Aretec SEARCH (via 'SEARCH'),google,medium_signal
61597,DOE,Elucidating Genetic and Environmental Risk Factors for Antipsychotic-induced Metabolic Adverse Effects Using AI,,R&D User,Developed in house,Classical/Predictive Machine Learning,Identifying individuals at higher risk for adverse metabolic effects from antipsychotic medications through predictive modeling of genetic and environmental data.,Improves drug safety and reduces adverse health impacts in vulnerable populations.,,meta,medium_signal
