use_case_id_2024,tagged_by_agent,quality_flags_json,reasoning,confidence,entry_type,is_generative_ai,ai_sophistication,deployment_scope,is_general_llm_access,is_coding_tool,is_cots_commercial,tool_product_name,tool_vendor
34451,wave2b-retired,"[""misclassified_lifecycle""]",dev_stage='Initiated' (pre-deployment) but deployment_scope='department' — pre-deployment system can't be broadly rolled out,medium,,,,bureau,,,,,
34463,wave2b-retired,"[""misclassified_lifecycle""]",dev_stage='Acquisition and/or Development' (pre-deployment) but deployment_scope='department' — pre-deployment system can't be broadly rolled out,medium,,,,bureau,,,,,
34464,wave2b-retired,"[""misclassified_lifecycle""]",dev_stage='Acquisition and/or Development' (pre-deployment) but deployment_scope='department' — pre-deployment system can't be broadly rolled out,medium,,,,bureau,,,,,
34465,wave2b-retired,"[""misclassified_lifecycle""]",dev_stage='Initiated' (pre-deployment) but deployment_scope='department' — pre-deployment system can't be broadly rolled out,medium,,,,bureau,,,,,
34615,wave2b-retired,"[""misclassified_lifecycle""]",dev_stage='Initiated' (pre-deployment) but deployment_scope='department' — pre-deployment system can't be broadly rolled out,medium,,,,bureau,,,,,
34652,wave2b-retired,"[""internal_inconsistency""]",entry_type=product_deployment but tool_product_name is empty,low,,,,,,,,,
34680,wave2b-retired,"[""internal_inconsistency""]",is_generative_ai=1 but ai_sophistication='classical_ml' (non-generative class),high,,0,,,,,,,
34682,wave2b-retired,"[""internal_inconsistency""]",entry_type=product_deployment but tool_product_name is empty,low,,,,,,,,,
34688,wave2b-retired,"[""internal_inconsistency""]",is_generative_ai=1 but ai_sophistication='nlp_specific' (non-generative class),high,,0,,,,,,,
34689,wave2b-retired,"[""internal_inconsistency""]",is_generative_ai=1 but ai_sophistication='classical_ml' (non-generative class),high,,0,,,,,,,
34705,wave2b-retired,"[""misclassified_lifecycle""]",dev_stage='Initiated' (pre-deployment) but deployment_scope='department' — pre-deployment system can't be broadly rolled out,medium,,,,bureau,,,,,
34706,wave2b-retired,"[""misclassified_lifecycle""]",dev_stage='Initiated' (pre-deployment) but deployment_scope='department' — pre-deployment system can't be broadly rolled out,medium,,,,bureau,,,,,
34708,wave2b-retired,"[""misclassified_lifecycle""]",dev_stage='Initiated' (pre-deployment) but deployment_scope='department' — pre-deployment system can't be broadly rolled out,medium,,,,bureau,,,,,
34761,wave2b-retired,"[""internal_inconsistency""]",entry_type=product_deployment but tool_product_name is empty,high,bespoke_application,,,,,,,,
34766,wave2b-retired,"[""internal_inconsistency""]",entry_type=product_deployment but tool_product_name is empty,high,bespoke_application,,,,,,,,
34767,wave2b-retired,"[""internal_inconsistency""]",entry_type=product_deployment but tool_product_name is empty,high,bespoke_application,,,,,,,,
34768,wave2b-retired,"[""internal_inconsistency""]",entry_type=product_deployment but tool_product_name is empty,high,bespoke_application,,,,,,,,
34771,wave2b-retired,"[""internal_inconsistency""]",entry_type=product_deployment but tool_product_name is empty,high,bespoke_application,,,,,,,,
34809,wave2b-retired,"[""internal_inconsistency""]",entry_type=product_deployment but tool_product_name is empty,high,bespoke_application,,,,,,,,
34828,wave2b-retired,"[""internal_inconsistency""]",entry_type=product_deployment but tool_product_name is empty,high,bespoke_application,,,,,,,,
34829,wave2b-retired,"[""internal_inconsistency""]",entry_type=product_deployment but tool_product_name is empty,high,bespoke_application,,,,,,,,
34856,wave2b-retired,"[""internal_inconsistency""]",entry_type=product_deployment but tool_product_name is empty,high,bespoke_application,,,,,,,,
34858,wave2b-retired,"[""internal_inconsistency""]",entry_type=product_deployment but tool_product_name is empty,high,bespoke_application,,,,,,,,
34862,wave2b-retired,"[""misclassified_lifecycle""]",dev_stage='Acquisition and/or Development' (pre-deployment) but deployment_scope='enterprise_wide' — pre-deployment system can't be broadly rolled out,medium,,,,bureau,,,,,
34889,wave2b-retired,"[""internal_inconsistency""]",entry_type=product_deployment but tool_product_name is empty,high,bespoke_application,,,,,,,,
34890,wave2b-retired,"[""internal_inconsistency""]",entry_type=product_deployment but tool_product_name is empty,high,bespoke_application,,,,,,,,
34895,wave2b-retired,"[""internal_inconsistency""]",entry_type=product_deployment but tool_product_name is empty,high,bespoke_application,,,,,,,,
34898,wave2b-retired,"[""internal_inconsistency""]",entry_type=product_deployment but tool_product_name is empty,high,bespoke_application,,,,,,,,
34904,wave2b-retired,"[""internal_inconsistency""]",entry_type=product_deployment but tool_product_name is empty,high,bespoke_application,,,,,,,,
34926,wave2b-retired,"[""internal_inconsistency""]",entry_type=product_deployment but tool_product_name is empty,high,bespoke_application,,,,,,,,
34929,wave2b-retired,"[""internal_inconsistency""]",entry_type=product_deployment but tool_product_name is empty,high,bespoke_application,,,,,,,,
34932,wave2b-retired,"[""internal_inconsistency""]",entry_type=product_deployment but tool_product_name is empty,high,bespoke_application,,,,,,,,
34933,wave2b-retired,"[""internal_inconsistency"", ""misclassified_lifecycle""]",entry_type=product_deployment but tool_product_name is empty; dev_stage='Operation and Maintenance' but deployment_scope='pilot' — silently dropped live system,medium,bespoke_application,,,office,,,,,
34948,wave2b-retired,"[""internal_inconsistency""]",entry_type=product_deployment but tool_product_name is empty,high,bespoke_application,,,,,,,,
34950,wave2b-retired,"[""internal_inconsistency""]",entry_type=product_deployment but tool_product_name is empty,high,bespoke_application,,,,,,,,
34954,wave2b-retired,"[""internal_inconsistency""]",entry_type=product_deployment but tool_product_name is empty,high,bespoke_application,,,,,,,,
34957,wave2b-retired,"[""internal_inconsistency""]",entry_type=product_deployment but tool_product_name is empty,high,bespoke_application,,,,,,,,
34966,wave2b-retired,"[""internal_inconsistency""]",entry_type=product_deployment but tool_product_name is empty,high,bespoke_application,,,,,,,,
34968,wave2b-retired,"[""internal_inconsistency""]",entry_type=product_deployment but tool_product_name is empty,high,bespoke_application,,,,,,,,
34988,wave2b-retired,"[""internal_inconsistency""]",entry_type=product_deployment but tool_product_name is empty,high,bespoke_application,,,,,,,,
35004,wave2b-retired,"[""misclassified_lifecycle""]",dev_stage='Operation and Maintenance' but deployment_scope='pilot' — silently dropped live system,medium,,,,office,,,,,
35153,wave2b-retired,"[""misclassified_lifecycle""]",dev_stage='Implementation and Assessment' but deployment_scope='enterprise_wide' — implausible combo on a dropped system,medium,,,,,,,,,
35170,wave2b-retired,"[""misclassified_lifecycle""]",dev_stage='Initiated' (pre-deployment) but deployment_scope='enterprise_wide' — pre-deployment system can't be broadly rolled out,medium,,,,bureau,,,,,
35171,wave2b-retired,"[""misclassified_lifecycle""]",dev_stage='Initiated' (pre-deployment) but deployment_scope='enterprise_wide' — pre-deployment system can't be broadly rolled out,medium,,,,bureau,,,,,
35172,wave2b-retired,"[""misclassified_lifecycle""]",dev_stage='Acquisition and/or Development' (pre-deployment) but deployment_scope='enterprise_wide' — pre-deployment system can't be broadly rolled out,medium,,,,bureau,,,,,
35244,wave2b-retired,"[""misclassified_lifecycle""]",dev_stage='Operation and Maintenance' but deployment_scope='pilot' — silently dropped live system,medium,,,,office,,,,,
35428,wave2b-retired,"[""internal_inconsistency""]",entry_type=product_deployment but tool_product_name is empty,high,bespoke_application,,,,,,,,
35452,wave2b-retired,"[""internal_inconsistency""]",entry_type=product_deployment but tool_product_name is empty,high,bespoke_application,,,,,,,,
35478,wave2b-retired,"[""internal_inconsistency""]",entry_type=product_deployment but tool_product_name is empty,low,,,,,,,,,
35493,wave2b-retired,"[""misclassified_lifecycle""]",dev_stage='Implementation and Assessment' but deployment_scope='enterprise_wide' — implausible combo on a dropped system,medium,,,,,,,,,
35562,wave2b-retired,"[""misclassified_lifecycle""]",dev_stage='Planned' (pre-deployment) but deployment_scope='department' — pre-deployment system can't be broadly rolled out,medium,,,,bureau,,,,,
35583,wave2b-retired,"[""internal_inconsistency""]",entry_type=product_deployment but tool_product_name is empty,low,,,,,,,,,
35604,wave2b-retired,"[""misclassified_lifecycle""]",dev_stage='Initiated' (pre-deployment) but deployment_scope='enterprise_wide' — pre-deployment system can't be broadly rolled out,medium,,,,bureau,,,,,
35605,wave2b-retired,"[""misclassified_lifecycle""]",dev_stage='Initiated' (pre-deployment) but deployment_scope='department' — pre-deployment system can't be broadly rolled out,medium,,,,bureau,,,,,
35606,wave2b-retired,"[""misclassified_lifecycle""]",dev_stage='Initiated' (pre-deployment) but deployment_scope='department' — pre-deployment system can't be broadly rolled out,medium,,,,bureau,,,,,
35607,wave2b-retired,"[""misclassified_lifecycle""]",dev_stage='Initiated' (pre-deployment) but deployment_scope='department' — pre-deployment system can't be broadly rolled out,medium,,,,bureau,,,,,
35608,wave2b-retired,"[""misclassified_lifecycle""]",dev_stage='Planned' (pre-deployment) but deployment_scope='department' — pre-deployment system can't be broadly rolled out,medium,,,,bureau,,,,,
35609,wave2b-retired,"[""misclassified_lifecycle""]",dev_stage='Planned' (pre-deployment) but deployment_scope='department' — pre-deployment system can't be broadly rolled out,medium,,,,bureau,,,,,
35610,wave2b-retired,"[""misclassified_lifecycle""]",dev_stage='Planned' (pre-deployment) but deployment_scope='department' — pre-deployment system can't be broadly rolled out,medium,,,,bureau,,,,,
35611,wave2b-retired,"[""misclassified_lifecycle""]",dev_stage='Planned' (pre-deployment) but deployment_scope='department' — pre-deployment system can't be broadly rolled out,medium,,,,bureau,,,,,
35647,wave2b-retired,"[""internal_inconsistency""]",entry_type=product_deployment but tool_product_name is empty,high,bespoke_application,,,,,,,,
35719,wave2b-retired,"[""internal_inconsistency""]",entry_type=product_deployment but tool_product_name is empty,high,bespoke_application,,,,,,,,
