usecaseid,usecasename,flexibleselection13,shorttext14,flexselect16,shorttext161,flexibleselection39,richtext18,richtext19,flexselect110,flexibleselection1101,richtext1102,flexibleselection112,flexselect112,shorttext21,shorttext22,shorttext23,shorttext24,flexibleselection25,shorttext26,flexibleselection27,flexibleselection28,flexibleselection42,flexibleselection29,shorttext210,flexibleselection211,flexibleselection212,FlexibleSelection31,richtext441,richtext32,flexibleselection33,flexibleselection34,richtext13,flexibleselection35,flexibleselection36,publiccodelink361,flexibleselection41,systemname42,flexibleselection43,flexibleselection44,shorttext10,flexibleselection45,richtext5111,flexibleselection46,richtext512,flexibleselection47,flexibleselection48,flexibleselection51,rmflexibleselection52,rmflexibleselection53,rmrichtext54,rmflexibleselection55,rmflexibleselection56,rmflexibleselection57,,flexibleselection58,richtext451,flexibleselection59,richtext510,flexibleselection511,richtext461,flexibleselection512,richtextfallbackother,flexibleselection37,richtext14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Use Case ID,Use Case Name,Agency,Bureau,Use Case Topic Area,Other (Use Case Topic Area),Is the AI use case found in the below list of general commercial AI products and services?,What is the intended purpose and expected benefits of the AI?,Describe the AI system’s outputs.,Should this AI use case be withheld from public reporting?,Why should this AI use case be withheld from public reporting?,"Other, please explain.",Stage of Development,"Is the AI use case rights-impacting, safety-impacting, both, or neither?",Date Initiated,Date when Acquisition and/or Development began,Date Implemented,Date Retired,Was the AI system involved in this use case developed (or is it to be developed) under contract(s) or in-house? ,Provide the Procurement Instrument Identifier(s) (PIID) of the contract(s) used.,Is this AI use case supporting a High-Impact Service Provider (HISP) public-facing service?,Which HISP is the AI use case supporting?,Which public-facing service is the AI use case supporting?,Does this AI use case disseminate information to the public?,"How is the agency ensuring compliance with Information Quality Act guidelines, if applicable?",Does this AI use case involve personally identifiable information (PII) that is maintained by the agency?,Has the Senior Agency Official for Privacy (SAOP) assessed the privacy risks associated with this AI use case?,Do you have access to an enterprise data catalog or agency-wide data repository that enables you to identify whether or not the necessary datasets exist and are ready to develop your use case?,"If Other, please explain.","Describe any agency-owned data used to train, fine-tune, and/or evaluate performance of the model(s) used in this use case.",Is there available documentation for the model training and evaluation data that demonstrates the degree to which it is appropriate to be used in analysis or for making predictions?,"Which, if any, demographic variables does the AI use case explicitly use as model features?","If Other, please explain.",Does this project include custom-developed code?,Does the agency have access to the code associated with the AI use case?,"If the code is open-source, provide the link for the publicly available source code.",Does this AI use case have an associated Authority to Operate (ATO) for an AI system?,System Name,How long have you waited for the necessary developer tools to implement the AI use case? ,"For this AI use case, is the required IT infrastructure provisioned via a centralized intake form or process inside the agency?","If Other, please explain.",Do you have a process in place to request access to computing resources for model training and development of the AI involved in this use case?,"If Other, please explain.",Has communication regarding the provisioning of your requested resources been timely?,"If Other, please explain.","How are existing data science tools, libraries, data products, and internally-developed AI infrastructure being re-used for the current AI use case?","Has information regarding the AI use case, including performance metrics and intended use of the model, been made available for review and feedback within the agency?",Has your agency requested an extension to implement the minimum risk management practices for this AI use case?,Has an AI impact assessment been conducted for this AI use case?,Has the AI use case been tested in operational or real-world environments to understand the performance and impact it may have on affected individuals or communities?,What are the key risks from using the AI for this particular use case and how were they identified?,Has an independent evaluation of the AI use case been conducted?,Is there a process to monitor performance of the AI system’s functionality and changes to its impact on rights or safety as part of the post-deployment plan for the AI use case?,"For this particular use case, can the AI carry out a decision or action without direct human involvement that could result in a significant impact on rights or safety?","If Other, please explain.",How is the agency providing reasonable and timely notice regarding the use of AI when people interact with an AI-enabled service as a result of this AI use case?,"If Other, please explain.",Is the AI used to significantly influence or inform decisions or actions that could have an adverse or negative impact on specific individuals or groups?,What steps has the agency taken to detect and mitigate significant disparities in the model’s performance across demographic groups for this AI use case?,What steps has the agency taken to consult and incorporate feedback from groups affected by this AI use case?,"If Other, please explain.",Is there an established fallback and escalation process for this AI use case in the event that an impacted individual or group would like to appeal or contest the AI system’s outcome?,"If No, please explain.","Where practicable and consistent with applicable law and governmentwide policy, is there an established mechanism for individuals to opt-out from the AI functionality in favor of a human alternative?","If Other, please explain.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WO0000000103309,DOIChatGPT AI Chatbot,Department of the Interior ,OCIO,Mission-Enabling (internal agency support),,Searching for information using AI.,"Create for DOI users a secure space to chat with a Large Language Model without leaving our security boundary.

This is a customized version of Microsofts Govchat repo deployed as an azure app service on the internal network with entra authentication, using DOIChatGPT APIM as the back end AI service provider.",See description ,No,,,Implementation and Assessment,Neither,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,No – Agency did not request an extension for this use case.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WO0000000103308,DOIChatGPT API Management Instance,Department of the Interior ,OCIO,Mission-Enabling (internal agency support),,None of the Above,"An Azure OpenAI instance secured behind an Azure API Management instance hosted within our internal network. This will create a backbone of secure access to Azure OpenAI permitted by APIM subscription keys that also supports cost tracking per project key.

This is just a service layer to enable other project activities.",Outputs were not documented and DOI will update the use cases once additional data is collected from submitter ,No,,,Implementation and Assessment,Neither,,,2024-07-09 00:00:00,,Developed in-house.,,No,,,No,,No,,Yes,,N/A,,,,Yes,"Yes – agency has access to source code, but it is not public.",,,,Less than 6 months,Yes,,Yes,,Yes,,None: This use case does not re-use any internally developed tooling or managed infrastructure from any other AI development efforts within the agency.,Limited documentation for review: Some information regarding the model’s performance on specific benchmarks are available or have been shared with specific stakeholders within the agency.,No – Agency did not request an extension for this use case.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WO0000000103023,DOIChatGPT API Management Development Environment,Department of the Interior ,OCIO,Mission-Enabling (internal agency support),,None of the Above, This will be a public facing version of the DOIChatGPT APIM and Azure OpenAI that is used for training and proof of concept validation (with sanitized data) prior to migrating to production DOIChatGPT APIM.,Outputs were not documented and DOI will update the use cases once additional data is collected from submitter ,No,,,Implementation and Assessment,Neither,,,2024-08-21 00:00:00,,Developed in-house.,,No,,,No,,No,,Yes,,N/A,,,,Yes,"Yes – agency has access to source code, but it is not public.",,,,Less than 6 months,Yes,,Yes,,Yes,,None: This use case does not re-use any internally developed tooling or managed infrastructure from any other AI development efforts within the agency.,Limited documentation for review: Some information regarding the model’s performance on specific benchmarks are available or have been shared with specific stakeholders within the agency.,No – Agency did not request an extension for this use case.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WO0000000109947,Cost Estimation Using EDL Database Data,Department of the Interior ,OS - Office of the Secretary of the Interior,Mission-Enabling (internal agency support),,None of the Above," This use case aims to leverage AI/ML for estimating environmental remediation costs based on historical data within the EDL (Environmental Data Liability) database. The model would analyze archived and current records to provide estimates that aid budget planning and contractor evaluations.

Problem Being Solved: To enhance budget estimation accuracy for environmental remediation activities by comparing new sites with archived data of similar sites to estimate total cleanup costs.

Goal: The goal is to improve cost estimation accuracy, enhance contractor proposal evaluation, and aid in long-term financial planning.


",Intended Use: The AI/ML tool would provide estimates to support the decision-making process for budget planning and contractor proposal assessments. This would act as a supplementary tool and not the primary decision source.,No,,,Initiated,Neither,,,,,,,No,,,No,,,,Yes,,"Data Involved: Source: EDL Database; Types: Site type, phase of remediation, complexity, size, contaminants of concern, and cost information. Data characteristics: Structured data fields including categorical (e.g., site type, phase, and contaminants of concern) and numerical (e.g., costs, size estimates). Updates: periodic updates to reflect changes in cost due to inflation or other factors. Annual update for inflation.",,,,,,,,,,,,,,,,,,No – Agency did not request an extension for this use case.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WO0000000110036,Adobe Firefly Generative Images,Department of the Interior ,NPS,Mission-Enabling (internal agency support),,None of the Above,  Adobe's Firefly generative image AI model was used within Photoshop to create artistic sketches of different nature scenes. These sketches were used in the StoryMap created by San Juan Island National Historical Park as artistic and narrative elements. The images were generated in Photoshop and then manually edited to ensure accuracy. Using this AI model created results that were quicker and cheaper compared to traditional artistic methods. The StoryMap with the sketches can be viewed here: https://arcg.is/1uCy0e,Imagery,No,,,Operation and Maintenance,Neither,,,,,Data not reported by submitter and will be updated once additional information is collected,Data not reported by submitter and will be updated once additional information is collected,No,,,Yes,,,,Yes,,Photographs taken by NPS staff were used to compare the accuracy of images output by the AI model,"Documentation is missing or not available: No documentation exists regarding maintenance, composition, quality, or intended use of the training and evaluation data.",,,Yes,"Yes – agency has access to source code, but it is not public.",,,,Less than 6 months,Yes,,Yes,,Yes,,,,No – Agency did not request an extension for this use case.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WO0000000089530,RAG knowledge base of agent procedures,Department of the Interior ,OCIO,Government Services (includes Benefits and Service Delivery),,Searching for information using AI.,"Custom AI Solutions for Internal and Customer Support
Description:    We are addressing the challenge of providing quick, accurate, and consistent responses to both internal customer service agents and external customers. Currently, agents must manually search through extensive documentation, which can lead to delays in service response times, inconsistencies in information shared, and a potential for human error. Additionally, external customers often need direct access to information on our website but must wait for human support, which impacts customer satisfaction.
 
By implementing a customized AI chatbot, we aim to streamline access to knowledge for agents, reducing their workload and improving efficiency. Additionally, a customer-facing chatbot would offer external customers instant answers to common questions, further enhancing customer experience and reducing the volume of support inquiries handled by human agents.","Streamline access to knowledge for agents, reducing their workload and improving efficiency. Additionally, a customer-facing chatbot would offer external customers instant answers to common questions, further enhancing customer experience and reducing the volume of support inquiries handled by human agents.",No,,,Implementation and Assessment,Neither,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,No – Agency did not request an extension for this use case.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WO0000000110323,Use of AI to Enhance Flash Flood Forecast Tool,Department of the Interior ,NPS,Mission-Enabling (internal agency support),,None of the Above,"  University of Illinois created a model to predict rainfall on a watershed scale in Great Smoky Mountains National Park.  They are now working with IBM to create a system that will use this model to provide forecasts of flooding events with a goal of a 24+ hour lead time.  The developers are using AI to improve on the Quantitative Precipitation Forecast of the National Weather Service to thus improve on the accuracy of their tool.  The NPS is cooperating as an end-user of the flood forecast tool, but not as a developer or direct user of the AI.",,No,,,Implementation and Assessment,Neither,,,,,Data not reported by submitter and will be updated once additional information is collected,Data not reported by submitter and will be updated once additional information is collected,No,,,,,,,Yes,,Data not reported by submitter and will be updated once additional information is collected,Data not reported by submitter and will be updated once additional information is collected,,,Yes,"Yes – agency has access to source code, but it is not public.",,,,Less than 6 months,Yes,,Yes,,Yes,,,,No – Agency did not request an extension for this use case.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WO0000000110496,Liable Party Research,Department of the Interior ,ONRR,Mission-Enabling (internal agency support),,Summarizing the key points of a lengthy report using AI.,Supervised machine learning model for scraping leasing documents for current liable party ownership.,Efficient liable party ownership.,No,,,Implementation and Assessment,Neither,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,No – Agency did not request an extension for this use case.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WO0000000110500,Data Extraction Using MS Power Automate AI Functionality,Department of the Interior ,ONRR,Mission-Enabling,,None of the Above,Train pre-built Machine Learning model to extract data from different document formats and convert into a consistent structured format to improve business operations.,Improved business documentation. ,No,,,Acquisition and/or Development,Neither,,,,,Developed in-house.,,No,,,No,,Yes,No,Yes,,Document copies received from Bureau of Indian Affairs (BIA),,,,No,No – agency does not have access to source code.,,,,Less than 6 months,Yes,,Yes,,Yes,,Use of existing data platforms: This use case is being developed on existing enterprise data and analytics platforms within the agency rather than procuring additional platforms or SaaS to operate.,Limited documentation for review: Some information regarding the model’s performance on specific benchmarks are available or have been shared with specific stakeholders within the agency.,No – Agency did not request an extension for this use case.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
