queue_id,question_type,use_case_id,consolidated_use_case_id,current_tag,heuristic_proposed_tag,llm_proposed_tag,llm_confidence,llm_reasoning
582,architecture,7456,,unknown,rag_pipeline,unknown,low,No explicit RAG / agentic evidence in source text; preserve uncertainty.
583,architecture,7421,,unknown,agentic_workflow,unknown,low,No explicit RAG / agentic evidence in source text; preserve uncertainty.
584,architecture,7499,,fine_tuned,rag_pipeline,unknown,low,No explicit RAG / agentic evidence in source text; preserve uncertainty.
585,architecture,7432,,unknown,agentic_workflow,unknown,low,No explicit RAG / agentic evidence in source text; preserve uncertainty.
587,architecture,7490,,inference_only,agentic_workflow,unknown,low,No explicit RAG / agentic evidence in source text; preserve uncertainty.
588,architecture,7423,,unknown,agentic_workflow,unknown,low,No explicit RAG / agentic evidence in source text; preserve uncertainty.
589,architecture,7459,,unknown,agentic_workflow,unknown,low,No explicit RAG / agentic evidence in source text; preserve uncertainty.
590,architecture,7424,,unknown,rag_pipeline,unknown,low,No explicit RAG / agentic evidence in source text; preserve uncertainty.
591,architecture,7470,,unknown,rag_pipeline,unknown,low,No explicit RAG / agentic evidence in source text; preserve uncertainty.
592,architecture,7502,,custom_trained,agentic_workflow,unknown,low,No explicit RAG / agentic evidence in source text; preserve uncertainty.
593,architecture,7526,,custom_trained,agentic_workflow,unknown,low,No explicit RAG / agentic evidence in source text; preserve uncertainty.
594,architecture,7739,,unknown,agentic_workflow,unknown,low,No explicit RAG / agentic evidence in source text; preserve uncertainty.
595,architecture,7665,,unknown,agentic_workflow,unknown,low,No explicit RAG / agentic evidence in source text; preserve uncertainty.
596,architecture,7737,,unknown,agentic_workflow,unknown,low,No explicit RAG / agentic evidence in source text; preserve uncertainty.
597,architecture,7790,,inference_only,agentic_workflow,unknown,low,No explicit RAG / agentic evidence in source text; preserve uncertainty.
598,architecture,8064,,unknown,agentic_workflow,unknown,low,No explicit RAG / agentic evidence in source text; preserve uncertainty.
599,architecture,8062,,unknown,agentic_workflow,unknown,low,No explicit RAG / agentic evidence in source text; preserve uncertainty.
600,architecture,8045,,unknown,rag_pipeline,unknown,low,No explicit RAG / agentic evidence in source text; preserve uncertainty.
601,architecture,8091,,unknown,agentic_workflow,unknown,low,No explicit RAG / agentic evidence in source text; preserve uncertainty.
602,architecture,8088,,inference_only,agentic_workflow,unknown,low,No explicit RAG / agentic evidence in source text; preserve uncertainty.
603,architecture,7911,,inference_only,agentic_workflow,unknown,low,No explicit RAG / agentic evidence in source text; preserve uncertainty.
604,architecture,8202,,custom_trained,rag_pipeline,unknown,low,No explicit RAG / agentic evidence in source text; preserve uncertainty.
605,architecture,8092,,unknown,agentic_workflow,unknown,low,No explicit RAG / agentic evidence in source text; preserve uncertainty.
606,architecture,8105,,unknown,rag_pipeline,unknown,low,No explicit RAG / agentic evidence in source text; preserve uncertainty.
607,architecture,8097,,unknown,agentic_workflow,unknown,low,No explicit RAG / agentic evidence in source text; preserve uncertainty.
608,architecture,7932,,custom_trained,rag_pipeline,unknown,low,No explicit RAG / agentic evidence in source text; preserve uncertainty.
610,architecture,8178,,unknown,rag_pipeline,unknown,low,No explicit RAG / agentic evidence in source text; preserve uncertainty.
611,architecture,8157,,unknown,agentic_workflow,unknown,low,No explicit RAG / agentic evidence in source text; preserve uncertainty.
612,architecture,7930,,unknown,rag_pipeline,unknown,low,No explicit RAG / agentic evidence in source text; preserve uncertainty.
613,architecture,8156,,unknown,rag_pipeline,unknown,low,No explicit RAG / agentic evidence in source text; preserve uncertainty.
614,architecture,8262,,unknown,agentic_workflow,unknown,low,No explicit RAG / agentic evidence in source text; preserve uncertainty.
615,architecture,8233,,unknown,rag_pipeline,unknown,low,No explicit RAG / agentic evidence in source text; preserve uncertainty.
616,architecture,8355,,inference_only,rag_pipeline,unknown,low,No explicit RAG / agentic evidence in source text; preserve uncertainty.
617,architecture,8387,,custom_trained,agentic_workflow,unknown,low,No explicit RAG / agentic evidence in source text; preserve uncertainty.
618,architecture,8344,,unknown,agentic_workflow,unknown,low,No explicit RAG / agentic evidence in source text; preserve uncertainty.
619,architecture,8311,,custom_trained,agentic_workflow,unknown,low,No explicit RAG / agentic evidence in source text; preserve uncertainty.
620,architecture,8388,,custom_trained,agentic_workflow,unknown,low,No explicit RAG / agentic evidence in source text; preserve uncertainty.
621,architecture,8357,,custom_trained,agentic_workflow,unknown,low,No explicit RAG / agentic evidence in source text; preserve uncertainty.
622,architecture,8407,,unknown,rag_pipeline,unknown,low,No explicit RAG / agentic evidence in source text; preserve uncertainty.
623,architecture,8518,,custom_trained,agentic_workflow,unknown,low,No explicit RAG / agentic evidence in source text; preserve uncertainty.
624,architecture,8517,,custom_trained,agentic_workflow,unknown,low,No explicit RAG / agentic evidence in source text; preserve uncertainty.
625,architecture,8762,,unknown,agentic_workflow,unknown,low,No explicit RAG / agentic evidence in source text; preserve uncertainty.
626,architecture,8672,,unknown,agentic_workflow,unknown,low,No explicit RAG / agentic evidence in source text; preserve uncertainty.
627,architecture,8710,,inference_only,agentic_workflow,unknown,low,No explicit RAG / agentic evidence in source text; preserve uncertainty.
628,architecture,8525,,unknown,agentic_workflow,unknown,low,No explicit RAG / agentic evidence in source text; preserve uncertainty.
629,architecture,8522,,inference_only,agentic_workflow,unknown,low,No explicit RAG / agentic evidence in source text; preserve uncertainty.
630,architecture,8739,,unknown,rag_pipeline,unknown,low,No explicit RAG / agentic evidence in source text; preserve uncertainty.
631,architecture,8686,,unknown,agentic_workflow,unknown,low,No explicit RAG / agentic evidence in source text; preserve uncertainty.
632,architecture,8777,,unknown,agentic_workflow,unknown,low,No explicit RAG / agentic evidence in source text; preserve uncertainty.
634,architecture,8852,,inference_only,rag_pipeline,unknown,low,No explicit RAG / agentic evidence in source text; preserve uncertainty.
635,architecture,8851,,custom_trained,rag_pipeline,unknown,low,No explicit RAG / agentic evidence in source text; preserve uncertainty.
636,architecture,8815,,custom_trained,rag_pipeline,unknown,low,No explicit RAG / agentic evidence in source text; preserve uncertainty.
637,architecture,8850,,custom_trained,rag_pipeline,unknown,low,No explicit RAG / agentic evidence in source text; preserve uncertainty.
638,architecture,8875,,inference_only,rag_pipeline,unknown,low,No explicit RAG / agentic evidence in source text; preserve uncertainty.
639,architecture,8942,,inference_only,agentic_workflow,unknown,low,No explicit RAG / agentic evidence in source text; preserve uncertainty.
640,architecture,8973,,unknown,rag_pipeline,unknown,low,No explicit RAG / agentic evidence in source text; preserve uncertainty.
642,architecture,9038,,inference_only,agentic_workflow,unknown,low,No explicit RAG / agentic evidence in source text; preserve uncertainty.
643,architecture,9051,,inference_only,agentic_workflow,unknown,low,No explicit RAG / agentic evidence in source text; preserve uncertainty.
644,architecture,9089,,unknown,rag_pipeline,unknown,low,No explicit RAG / agentic evidence in source text; preserve uncertainty.
645,architecture,9172,,unknown,rag_pipeline,unknown,low,No explicit RAG / agentic evidence in source text; preserve uncertainty.
646,architecture,9153,,unknown,agentic_workflow,unknown,low,No explicit RAG / agentic evidence in source text; preserve uncertainty.
647,architecture,9127,,unknown,agentic_workflow,unknown,low,No explicit RAG / agentic evidence in source text; preserve uncertainty.
648,architecture,9155,,inference_only,agentic_workflow,unknown,low,No explicit RAG / agentic evidence in source text; preserve uncertainty.
649,architecture,9160,,unknown,agentic_workflow,unknown,low,No explicit RAG / agentic evidence in source text; preserve uncertainty.
650,architecture,9304,,unknown,agentic_workflow,unknown,low,No explicit RAG / agentic evidence in source text; preserve uncertainty.
651,architecture,9612,,unknown,agentic_workflow,unknown,low,No explicit RAG / agentic evidence in source text; preserve uncertainty.
652,architecture,9478,,unknown,rag_pipeline,unknown,low,No explicit RAG / agentic evidence in source text; preserve uncertainty.
653,architecture,9603,,inference_only,rag_pipeline,unknown,low,No explicit RAG / agentic evidence in source text; preserve uncertainty.
654,architecture,9328,,unknown,agentic_workflow,unknown,low,No explicit RAG / agentic evidence in source text; preserve uncertainty.
655,architecture,9457,,unknown,agentic_workflow,unknown,low,No explicit RAG / agentic evidence in source text; preserve uncertainty.
656,architecture,9413,,unknown,rag_pipeline,unknown,low,No explicit RAG / agentic evidence in source text; preserve uncertainty.
657,architecture,9574,,custom_trained,agentic_workflow,unknown,low,No explicit RAG / agentic evidence in source text; preserve uncertainty.
658,architecture,9370,,inference_only,agentic_workflow,unknown,low,No explicit RAG / agentic evidence in source text; preserve uncertainty.
659,architecture,9187,,unknown,rag_pipeline,unknown,low,No explicit RAG / agentic evidence in source text; preserve uncertainty.
660,architecture,9508,,fine_tuned,rag_pipeline,unknown,low,No explicit RAG / agentic evidence in source text; preserve uncertainty.
661,architecture,9199,,custom_trained,rag_pipeline,unknown,low,No explicit RAG / agentic evidence in source text; preserve uncertainty.
662,architecture,9234,,custom_trained,rag_pipeline,unknown,low,No explicit RAG / agentic evidence in source text; preserve uncertainty.
663,architecture,9188,,unknown,rag_pipeline,unknown,low,No explicit RAG / agentic evidence in source text; preserve uncertainty.
664,architecture,9175,,custom_trained,rag_pipeline,unknown,low,No explicit RAG / agentic evidence in source text; preserve uncertainty.
665,architecture,9342,,inference_only,agentic_workflow,unknown,low,No explicit RAG / agentic evidence in source text; preserve uncertainty.
666,architecture,9332,,inference_only,agentic_workflow,unknown,low,No explicit RAG / agentic evidence in source text; preserve uncertainty.
667,architecture,9444,,unknown,agentic_workflow,unknown,low,No explicit RAG / agentic evidence in source text; preserve uncertainty.
668,architecture,9323,,unknown,agentic_workflow,unknown,low,No explicit RAG / agentic evidence in source text; preserve uncertainty.
669,architecture,9197,,custom_trained,rag_pipeline,unknown,low,No explicit RAG / agentic evidence in source text; preserve uncertainty.
670,architecture,9453,,custom_trained,rag_pipeline,unknown,low,No explicit RAG / agentic evidence in source text; preserve uncertainty.
671,architecture,9185,,unknown,rag_pipeline,unknown,low,No explicit RAG / agentic evidence in source text; preserve uncertainty.
672,architecture,9213,,unknown,rag_pipeline,unknown,low,No explicit RAG / agentic evidence in source text; preserve uncertainty.
673,architecture,9198,,custom_trained,rag_pipeline,unknown,low,No explicit RAG / agentic evidence in source text; preserve uncertainty.
674,architecture,9225,,unknown,rag_pipeline,unknown,low,No explicit RAG / agentic evidence in source text; preserve uncertainty.
675,architecture,9474,,unknown,rag_pipeline,unknown,low,No explicit RAG / agentic evidence in source text; preserve uncertainty.
676,architecture,9193,,unknown,agentic_workflow,unknown,low,No explicit RAG / agentic evidence in source text; preserve uncertainty.
677,architecture,9195,,custom_trained,rag_pipeline,unknown,low,No explicit RAG / agentic evidence in source text; preserve uncertainty.
678,architecture,9640,,custom_trained,rag_pipeline,unknown,low,No explicit RAG / agentic evidence in source text; preserve uncertainty.
679,architecture,10066,,unknown,rag_pipeline,unknown,low,No explicit RAG / agentic evidence in source text; preserve uncertainty.
680,architecture,9901,,unknown,rag_pipeline,unknown,low,No explicit RAG / agentic evidence in source text; preserve uncertainty.
