id,agency_abbreviation,bureau,use_case_name,purpose_benefits,outputs,commercial_ai,dev_method,dev_stage,topic_area,lineage_status
34312,DOC,BEA - Bureau of Economic Analysis,GitHub Copilot for Code Modernization,Accelerate and improve the quality of code modernization projects at BEA,"First-draft of code converted from legacy languages into modern, supported, target language. Code is then reviewed and edited by humans prior to use in an application.",,Developed with contracting resources.,Operation and Maintenance,Mission-Enabling,continued
34313,DOC,BEA - Bureau of Economic Analysis,Azure OpenAI Chat Prototype,"Provide staff with the ability to chat with an LLM model, comparable to ChatGPT, that is contained within BEA's network boundary.",Text and data anlysis,,Developed with contracting resources.,Initiated,Mission-Enabling,retired_2024
34314,DOC,BEA - Bureau of Economic Analysis,Sentinel One Purple AI,Faster and more throughout incident response within the BEA cybersecurity program,Log analysis,,Developed with contracting resources.,Initiated,Mission-Enabling,retired_2024
34315,DOC,CENSUS - U.S. Census Bureau,Real Time Classification for the Economic Census,"Two ML models (BEACON and SINCT) are applied in this Economic Census use case to perform real-time classification of Primary Business Activity (PBA), or NAICS, and Products, or NAPCS. For instance, in the 2017 Economic Census, if respondents could not identify their NAICS or NAPCS codes, they were able to provide a short, open-ended description of their business and the products and services they offer, referred to as “write-ins”. There were nearly 400,000 NAICS write-ins and 1,000,000 NAPCS write-ins, out of 3 million and 18 million total reported NAICS and NAPCS codes, respectively. While the number of write-ins is a small share of the total number of reported NAICS and NAPCS codes, these write-ins were previously assigned to a valid code by analysts using manual processes. BEACON and SINCT were developed to improve classification accuracy and reduce processing time and costs by providing real-time feedback to respondents given the business description they provide. In the 2022 Economic Census, as a result of BEACON and SINCT, NAICS and NAPCS write-ins were reduced by 58% and 78% to 168,000 and 220,000 write-ins, respectively.","For PBA code reporting, the respondent has an initial set of NAICS codes to choose from.  If the respondent selects ""Other"" with a write-in, an API call to BEACON returns predictive results from the model with a ranked list of predicted NAICS options from which to select.  For Products, if the respondent selects to ""Add products"", an API call to SINCT provides predictive results of products to add. In both cases, the ML model recommends codes based on scoring attributes, and the respondent is able to choose a relevant NAICS or NAPCS code from those results.",None of the above.,,Retired,Other,continued
34316,DOC,CENSUS - U.S. Census Bureau,Automated Change Detection,"As part of the Census Bureau's efforts to maintain and update the Geographic Frame ahead of the 2030 Decennial Census, the Geography Division is using AI to identify changes in the built environment throughout the nation twice a year. With the areas of change we are extracting our own geographic features (roads, building footprints) to support improving coverage across the nation.",We use Google Earth Engine to analyze change in construction using Sentinel-2 imagery and recommend where to use high resolution imagery. The object detection provides roads and building footprints to improve our feature coverage.,None of the above.,Developed with both contracting and in-house resources.,Implementation and Assessment,Mission-Enabling (internal agency support),continued
34317,DOC,CENSUS - U.S. Census Bureau,School staff information extraction from web page text,This AI use case examines publicly available information on the web related to staff rosters at public and private schools. The goal is to improve quality and coverage of Teacher and Principal frame.,The AI in this use case predicts whether a link on a webpage leads to a staff directory and extracts person names and teacher titles from webpage text.,None of the above.,Developed with both contracting and in-house resources.,Implementation and Assessment,Education & Workforce,continued
34318,DOC,CENSUS - U.S. Census Bureau,Census Bureau Demographic Frame Person-Place Model,"The Demographic Frame’s Person-Place Model (PPM) uses machine learning to assign individuals to their most accurate residential locations. This model addresses a critical need for accurate “person-place” associations, enabling the Census Bureau to support a range of essential use cases—from demographic analyses to population estimates. By leveraging machine learning, the PPM generates predicted probabilities for each person-address record, refining location accuracy while accommodating diverse data sources. This innovation strengthens the Census Bureau’s mission to deliver reliable, high-quality data, benefiting both governmental operations and the general public by enhancing data precision, policy-making, and service delivery.","The Person-Place Model (PPM) in the Demographic Frame outputs predicted probabilities indicating the likelihood that a person resides at a specific address. These predictions are generated by a machine learning model that analyzes historical and current data to produce a probability score for each person-address record. These scores do not constitute a final decision or assignment; instead, they provide a flexible basis for determining residential locations based on the desired level of confidence or specific application needs. This output can be used as input to downstream processes, providing robust, data-driven estimates to support various Census Bureau use cases and enhance the accuracy of demographic analyses.",None of the above.,Developed with both contracting and in-house resources.,Acquisition and/or Development,Mission-Enabling (internal agency support),continued
34319,DOC,CENSUS - U.S. Census Bureau,Race and Ethnicity Autocoding,This AI use case aims to develop an automated methodology for coding race and ethnicity write-in entries. The goal is to improve quality and efficiency in the coding of race and ethnicity write-in entries.,The AI produces a predicted set of standardized race and ethnicity concept codes that align with the write-in response.,None of the above.,Developed in-house.,Acquisition and/or Development,Mission-Enabling (internal agency support),continued
34320,DOC,CENSUS - U.S. Census Bureau,Information extraction for web scraped data for Group Quarters frame enhancement,This AI use case examines publicly available information on the web related to a variety of Group Quarters (GQ) types. The goal is to improve quality and coverage of GQ frame.,"Prediction label that corresponds to one of the following : extracted capacity of the GQ, extracted address component of the GQ, and extracted concepts, such as dates and building names, identified from pretrained NER models.",None of the above.,Developed with both contracting and in-house resources.,Implementation and Assessment,Mission-Enabling (internal agency support),continued
34321,DOC,CENSUS - U.S. Census Bureau,Current Population Survey (CPS) Name Screening Tool,This AI use case processes and classifies entries in survey data collect to identify if the name provided is a valid entry. The goal is to support and enhance processing and future data collection efforts to efficiently and accurately identify responses with invalid names.,Classifications for name entries.,None of the above.,Developed with both contracting and in-house resources.,Acquisition and/or Development,Mission-Enabling (internal agency support),continued
