canonical_name,alias_text,extra
Cofense PhishMe,Cofense,Cofense is a phishing defense vendor named explicitly; not in catalog.
AttackIQ,AttackIQ,AttackIQ is a breach-and-attack-simulation platform named in vendor list; not in catalog.
EnerGPT,EnerGPT,EnerGPT appears to be a DOE-targeted GenAI product; not in catalog. Likely worth tracking.
Elastic Stack,Elastic Stack Technology (ELK),Elastic Stack (ELK) is a widely-used commercial search/analytics product not in catalog.
Raytheon BBN M3S,Raytheon Multimedia Monitoring System (M3S),Raytheon BBN's M3S is a commercial multimedia monitoring product; not in catalog.
ARC Travel Intelligence,Airlines Reporting Corporation Travel Intelligence Program,ARC's Travel Intelligence Program is a commercial product used by DOJ; not in catalog.
Axon Fusus,Axon FUSUS,Axon FUSUS is a commercial real-time crime center platform; not in catalog.
Azure Data Factory,Azure Data Factory,"Microsoft Azure Data Factory with embedded AI features (anomaly detection, data quality); not in catalog."
Bloomberg Government,Bloomberg Government (BGOV),Bloomberg Government policy/regulatory analytics product; not in catalog.
CargoNet,CargoNet,Verisk's CargoNet cargo theft analytics product; not in catalog.
Cell Hawk,Cell Hawk,LeadsOnline Cell Hawk call detail record analytics tool; not in catalog.
Dun & Bradstreet,Dun & Bradstreet Business Establishments Data,D&B business data product with AI-driven anomaly detection; not in catalog.
Axon Evidence,Axon Evidence.com,Axon Evidence (evidence.com) digital evidence management with AI redaction; not in catalog.
Federal Docket Management System,Federal Docket Management System,"GSA-managed FDMS rulemaking comments system with text analytics; cross-agency commercial-style platform, not in catalog."
FirstTwo,FirstTwo / First Two,FirstTwo geospatial OSINT product; not in catalog.
Mark43,Mark43 Public Safety Records,Mark43 records management with AI; not in catalog.
ISO ClaimSearch,National Insurance Crime Bureau ISO ClaimSearch,Verisk ISO ClaimSearch insurance fraud analytics; not in catalog.
ShotSpotter,ShotSpotter,SoundThinking's ShotSpotter gunshot detection product; not in catalog.
Spokeo,Spokeo,Spokeo people-search OSINT product; not in catalog.
TLOxp,TransUnion TLOxp,TransUnion TLOxp investigative search product; not in catalog.
Flock Safety,Flock Safety,Flock Safety LPR camera system; not in catalog.
ELSAG ALPR,ELSAG/Leonardo,Leonardo ELSAG license plate reader system; not in catalog.
Cloudflare Turnstile,Cloudflare Turnstile,Cloudflare's bot detection product; not in catalog.
Nuance Dragon,Dragon,Nuance Dragon speech-to-text product; not in catalog.
BriefCatch,BriefCatch,Lawcatch BriefCatch legal-writing AI product; not in catalog.
Cisco Secure Network Analytics,Cisco Secure Network Analytics,"Cisco's Stealthwatch/Secure Network Analytics not in catalog. Other vendors (Crowdstrike, Zscaler, Splunk, Lookout, Palo Alto) already in heuristic."
Griffeye Analyze,Griffeye,Griffeye Analyze CSAM forensic tool; not in catalog.
Critical Mention,Critical Mention,Critical Mention media monitoring product; not in catalog.
BD Pyxis MedStation,BD Pyxis,BD Pyxis automated medication dispensing; not in catalog.
SAS Analytics,SAS,SAS statistical analytics platform; not in catalog and used for multiple FBOP classification models.
Descript,Descript,Descript audio/video editing AI product; not in catalog.
Plexis Quantum Choice,Quantum Choice from Plexis,Plexis Quantum Choice claims adjudication product; not in catalog.
Pearson Q-interactive,Pearson Assessments,Pearson Assessments psychological test interpretation; not in catalog.
reCAPTCHA,reCAPTCHA,Google reCAPTCHA bot detection; not in catalog.
Smiths Detection TruNarc,"TruNarc, Smiths Detection",Smiths Detection TruNarc narcotics analyzer; not in catalog.
Trunet Biometrics,Trunet Systems,Advanced Technologies Group Trunet biometric system; not in catalog.
Nlets LPR Pointer Index,Nlets Nationwide License Plate Reader Pointer Index,Nlets-operated nationwide LPR pointer index; not in catalog. Thomson Reuters listed but this is Nlets product.
Axon Body Camera,Axon,"Axon body-worn camera platform; description says no AI used here, but vendor named. May overlap with Axon Evidence."
Hootsuite,Hootsuite,Hootsuite social media management with AI; not in catalog.
AWS Translate,AWS Translate,"Amazon AWS Translate machine translation service; not in catalog (AWS Transcribe is, but not Translate)."
JAWS Screen Reader,JAWS,Freedom Scientific JAWS screen reader with AI features; not in catalog.
OnCue Trial Presentation,OnCue Technology,OnCue Technology trial presentation software; not in catalog.
Axon Evidence,Axon Video Retention Solution (VRS),Axon Evidence Redaction (VRS) — same product family as Axon Evidence.com proposed earlier.
Axon Evidence,Axon Video Retention Solution (VRS),Axon Evidence Digital Evidence Management transcription — same product family.
Rank One Computing,Rank One Computing,Rank One Computing biometric face recognition; not in catalog.
Aware Biometrics,Aware,Aware Inc biometric platform; not in catalog.
Litera TOA Builder,Levit & James Word plugin,Litera (formerly Levit & James) Word plugin; not in catalog.
ProLaw,ProLaw,Thomson Reuters ProLaw legal practice management with search AI; not in catalog.
NetDocuments,NetDocuments,NetDocuments document management with predictive filing AI; not in catalog.
Conductor Conduit AI,Conduit AI,Conductor's Conduit AI platform for document review; not in catalog.
Buzzsprout CoHost AI,CoHost AI,Buzzsprout's CoHost AI podcast assistant; not in catalog.
