queue_id,canonical_product_id,proposed_alias,source_vendor,source_label,llm_confidence,llm_reasoning,review_disposition
857,,NEC NeoFace,NEC,NEC,high,NEC facial recognition vendor; Traveler Verification Service is internal CBP system. NEC not canonical. [dedup_drop: collapsed into single 'NEC NeoFace' canonical; keep queue_id=868],dedup_drop
858,,NEC NeoFace,NEC,NEC,high,NEC facial recognition vendor; TVS internal CBP system. NEC not in canonical list. [dedup_drop: collapsed into single 'NEC NeoFace' canonical; keep queue_id=868],dedup_drop
859,,NEC NeoFace,NEC,NEC (algorithm only),high,NEC algorithm for facial recognition in TVS; NEC not in canonical list. [dedup_drop: collapsed into single 'NEC NeoFace' canonical; keep queue_id=868],dedup_drop
860,,NEC NeoFace,NEC,NEC,high,NEC facial recognition for TVS vetting; NEC not canonical. [dedup_drop: collapsed into single 'NEC NeoFace' canonical; keep queue_id=868],dedup_drop
862,,TRM Labs,TRM Labs,TRM Labs,high,TRM Labs cryptocurrency analysis tool; not in canonical list. [dedup_drop: bare vendor 'TRM Labs'; keep 905 'TRM Labs Blockchain Analysis Platform' as canonical. Source_label of this row is also an alias for the canonical.],dedup_drop
866,,NEC NeoFace,NEC,NEC,high,NEC facial comparison for Mobile Fortify; NEC not canonical. [dedup_drop: collapsed into single 'NEC NeoFace' canonical; keep queue_id=868],dedup_drop
874,,NEC NeoFace,NEC,NEC,high,NEC facial recognition third-party vendor for Mobile Fortify; NEC not canonical. [dedup_drop: collapsed into single 'NEC NeoFace' canonical; keep queue_id=868],dedup_drop
887,,Dataminr,Dataminr,Dataminr Dataminr Public Information Compilation for Travel Threat Analysis,high,Dataminr OSINT platform; not in canonical list. [dedup_drop: bare 'Dataminr'; keep 932 'Dataminr First Alert' as more specific canonical.],dedup_drop
890,,Altana Atlas,Altana,Altana  Entity Resolution,high,Altana entity resolution platform; not in canonical list. [dedup_drop: collapsed into single 'Altana Atlas' canonical; keep queue_id=904],dedup_drop
927,,Palantir Case Management & Analytics (CMA),Palantir,Palantir Case Management & Analytics (CMA),high,Palantir CMA AI developer tools; same Palantir CMA proposal. [dedup_drop: collapsed into single 'Palantir CMA' canonical; keep queue_id=925],dedup_drop
951,,Boston Dynamics Spot,Boston Dynamics,Boston Dynamics,high,Boston Dynamics Spot robot named; not in canonical list. [dedup_drop: collapsed into single 'Boston Dynamics Spot' canonical; keep queue_id=966],dedup_drop
968,,Microsoft Bing,Microsoft,Microsoft Bing Service,high,Microsoft Bing (with AI) named; not in canonical list. [dedup_drop: bare 'Microsoft Bing'; keep 1008 'Microsoft Search in Bing' as more specific canonical.],dedup_drop
978,,Microsoft AI Builder,Microsoft,AI Builder Document Scraping,high,Microsoft AI Builder named; not in canonical list. [dedup_drop: collapsed into single 'Microsoft AI Builder' canonical; keep queue_id=1031],dedup_drop
992,,Google Cloud Platform,Google,Google Cloud Platform,medium,PWS Builder is custom app built on Google Cloud Platform; GCP not in canonical list. [dedup_drop: collapsed into single 'Google Cloud Platform' canonical; keep queue_id=998],dedup_drop
1026,,Microsoft OneDrive,Microsoft,Microsoft OneDrive MUI,high,"Microsoft OneDrive MUI (multilingual UI), not canonical AI product. [dedup_drop: collapsed into single 'Microsoft OneDrive' canonical; keep queue_id=1015]",dedup_drop
1034,,Tabnine,Tabnine,Tabnine,high,Tabnine coding assistant named; not in canonical list. [dedup_drop: collapsed into single 'Tabnine' canonical; keep queue_id=994],dedup_drop
1049,,Microsoft OneNote,Microsoft,Microsoft OneNote MUI,high,Microsoft OneNote MUI named; propose new product. [dedup_drop: collapsed into single 'Microsoft OneNote' canonical; keep queue_id=974],dedup_drop
1053,,Salesforce Einstein,Salesforce,Salesforce,high,Salesforce platform named; not in canonical list. [dedup_drop: collapsed into single 'Salesforce Einstein' canonical; keep queue_id=915],dedup_drop
