id,agency_abbreviation,bureau,use_case_name,purpose_benefits,outputs,commercial_ai,dev_method,dev_stage,topic_area,lineage_status
35406,CFPB,CFPB,Complaint Summarization,Support staff that analyze complaints by helping to scale internal review of consumers' complaint narratives and companies' response narratives in light of increasing complaint volumes. Cost avoidance.,Brief narrative summaries describing concepts included in complaint narratives.,None of the above.,,Initiated,Mission-Enabling,retired_2024
35407,CFPB,CFPB,Ask Complaints,Support staff that analyze complaints by helping to scale production of quantiative data in response to questions posed by users. Cost avoidance.,Summary data points of cohorts of complaints.,None of the above.,,Initiated,Mission-Enabling,retired_2024
35408,CFPB,CFPB,Complaint Narrative Redaction,"Redact personally identifiable information (PII) and other information that could be used to identify individuals from consumers' complaint narratives to support data sharing at scale. Cost containment, privacy protection, more informed consumer consent.",Complaint narratives redacted of PII and other information that could be used to identify users to inform consumers' decisions about whether or not to publish their narratives.,None of the above.,,Initiated,Mission-Enabling,retired_2024
35409,CFPB,CFPB,Document Review Tool,Support investigations through document review assistance,Key documents,None of the above.,,Initiated,Law & Justice,retired_2024
35410,CFTC,DOD,Anomaly Detection for Data Quality,Anomaly detection model designed to identify potentially erroneous data loads in TCR data. Uses an isolation forest model with and automatically runs daily.,Model provides an anomaly score on the full day of data for a single exchange,None of the above.,Developed with both contracting and in-house resources.,Operation and Maintenance,Mission-Enabling,continued
35411,CFTC,DOE,Spoofing Detection AI/ML Project,Pilot project that applied AI/ML techniques to identify spoofing patterns in order message data. Project used a variety of supervised and unsupervised techniques trained with DOE's existing set of expert based spoofing detection algorithms.,Model provides probability of spoofing behavior for every individual trader in a specified market on a specified day,None of the above.,Developed with both contracting and in-house resources.,Retired,Law & Justice,retired_2024
35412,CFTC,DCR,Stress Testing Scenarios with Deep Learning,Pilot project to explore neural-network based machine learning methods for creating stress testing scenarios and estimating PnL (profit and loss) on FO (Futures and Options) portfolios based on the current/recent market states/conditions.,The AI generates predicted price movements based on provided input probabilities,None of the above.,Developed with both contracting and in-house resources.,Acquisition and/or Development,Mission-Enabling,continued
35413,CFTC,MPD,MPD Entity Risk Modeling,Entity-level risk modeling project. Use statistical and probabalistic models to predict firms experiencing changes in capital levels. Very early stage R&D effort.,Now-cast score for each registrant and each day indicating probability or risk category for near-future capital adjustment indicator statisitc,None of the above.,Developed in-house.,Initiated,Mission-Enabling,continued
35414,EAC,OCIO,Microsoft Copilot Integration,Efficiency and improved administrative tasks.,Text-based summaries and AI generated text.,Summarizing the key points of a lengthy report using AI.,,Operation and Maintenance,Mission-Enabling,retired_2024
35415,EAC,Clearinghouse,Clearinghouse Network,"The Clearinghouse Network is a series of online communities hosted on the Roundtable platform. These communities, including any AI features, are not open to the general public. Members of these communities are state or local election officials. The AI tools in this platform are intended to meet the needs of election officials by providing summaries for longer text or video based content.",Summarized text and video transcripts.,Summarizing the key points of a lengthy report using AI.,,Operation and Maintenance,Government Services (includes Benefits and Service Delivery),retired_2024
35416,EEOC,,Language Translation,"Improve quality, efficiency and/or access to services",Generation. Text to speech. Speech to Text.,Improving the quality of written communications using AI tools.,,Operation and Maintenance,Government Services (includes Benefits and Service Delivery),retired_2024
35417,EEOC,,Reasonable Accommodation,"Improve quality, efficiency and/or access to services",Generation. Text to speech. Speech to Text.,Transcribing and summarizing a recorded meeting or interview using AI.,,Operation and Maintenance,Government Services (includes Benefits and Service Delivery),retired_2024
35418,EEOC,,Virtual Assistants,"Improve quality, efficiency and/or access to services",Generation. Text to speech. Speech to Text.,Summarizing the key points of a lengthy report using AI.,,Operation and Maintenance,Government Services (includes Benefits and Service Delivery),retired_2024
35419,EEOC,,Employee Training and Professional Development,"Improve quality, efficiency and/or access to services",Generation.,Collaborating in real-time using AI-assisted tools in word processors.,,Operation and Maintenance,Education & Workforce,retired_2024
35420,EEOC,,Legal Research & Discovery,"Improve quality, efficiency and/or access to services",Generation. Relevant legal information to support enforcement and/or litigation activity,Searching for information using AI.,,Operation and Maintenance,Law & Justice,retired_2024
35421,EEOC,,Records Management,Establish and maintain integrity of electronic data,"Generation. create digital documents or information that is organized, indexed, and accessed according to compliance standards.",Inputting large amounts of data from paper forms into a digital system using AI.,,Operation and Maintenance,Mission-Enabling,retired_2024
35422,EEOC,,FOIA,Improve FOIA process,Generation. categorization/classification of priority or topic for policy or legal public comments,Prioritizing and categorizing incoming emails using AI.,,Operation and Maintenance,Mission-Enabling,retired_2024
35423,EEOC,,Cybersecurity,Strengthen Cybersecurity practices,Anomalies. Classification.,Identifying unusual patterns in system logs from a single incident report using AI.,,Operation and Maintenance,Mission-Enabling,retired_2024
35424,FDIC,Chief Information Officer Organization,Invoice and Contract Data Extraction,The purpose is to extract data from invoices and contracts (PDFs) and use the data for reconciliation.  The benefit is to improve the accuracy of invoice and  contract reconciliation and to reduce the time for Oversight Managers (OMs) to perform this activity.,"The system generates an excel output sent via email to OMs that show the results of the reconciliation, including discrepancies and errors.",None of the above.,Developed with both contracting and in-house resources.,Acquisition and/or Development,Mission-Enabling,renamed
35425,FDIC,Chief Information Officer Organization,Server Failure Prediction,"Server outages create work stoppages for FDIC.  This use case will use predictive intelligence to predict when a server is about to fail, and will use natural language processing and query to create a help desk ticket for a server about to fail.",One output will be the predictive intelligence list of servers likely to fail. A second output will be the system generated help desk ticket.,Identifying unusual patterns in system logs from a single incident report using AI.,,Acquisition and/or Development,Mission-Enabling,retired_2024
35426,FDIC,Chief Information Officer Organization,Plain Language Policy Assistant,Policy writers at the FDIC need to ensure drafted policies comply with the Plain Language Writing Act. The system would be an AI that provided suggested feedback to the user's draft to better comply with the Plain Language Writing Act (PLWA),"The AI systems outputs would provide feedback on the evaluated the draft for clarity and simplicity, active voice, conciseness, jargon and acronyms.  The AI would also redraft selected sections, with PLWA principles applied.",Improving the quality of written communications using AI tools.,,Initiated,Mission-Enabling,continued
35427,FDIC,Chief Information Officer Organization,Knowledge Article Generation,"The problem is that staff spends time writing article to resolve server outages.
Following the remediation of a server outage incident, the Gen AI would write a draft Knowledge Article on how to resolve future incidents of that type. Other benefits:

~Providing a better service experience: The Infrastructure Operations Systems Branch (IOSB) team can leverage self-service; they can easily find answers; the IOSB service experience will improve, allowing IOSB team to self serve 24/7 from the Knowledge Articles base
~Reduce caseload on IOSB; IOSB can solve their problems more efficiently, fewer cases require IOSB support. IOSB freed up to solving more complex customer issues
~Cut down average handle time: As we solve server outage cases and structure into articles, more IOSB team members can use that information to solve their cases faster and reduce average handle time.",The output would be a draft Knowledge Article.,Improving the quality of written communications using AI tools.,,Acquisition and/or Development,Mission-Enabling,continued
35428,FDIC,Chief Information Officer Organization,AI Coding Assistant,"Enhance coding speed and accuracy by offering code suggestions in real time, writing unit tests, debugging code, explaining code, adding comments, and translating code across languages.",Code suggestions and suggested comments to explain code,None of the above.,,Initiated,Mission-Enabling,retired_2024
35429,FDIC,Corporate University,Content Creation,"Reducing time to create content, increase volume of content, provide content for students who struggle to take notes and engage in class.","Generative, Provides interactive resources used for training.",None of the above.,,Initiated,Mission-Enabling,retired_2024
35430,FDIC,Corporate University,Immersive Learning,"Immersive learning offers an engaging approach to training programs by creating realistic environments using GenAI where learners can practice and refine their skills. A controlled environment wherein learners interact with immersive technology to solve pre-determined complex situations and problems. This approach amplifies employee engagement and retention, performance management, learning and development, administrative tasks, workforce planning, employee onboarding, recruiting, interviewing as well as others.",Prediction based on sequencing provided by developer; completions reports with objectives met.,None of the above.,Developed with contracting resources.,Acquisition and/or Development,Mission-Enabling,continued
35431,FDIC,Corporate University,Course Recommendation,"Have capability to recommend courses based on history/need and would consider it in the future. This approach amplifies employee engagement and retention, performance management, learning and development milestones, administrative Task, workforce planning, and employee onboarding.","Recommendation, suggesting learning paths
Provides industry specific training recommendations based previous training listed in your learning path.",None of the above.,,Initiated,Mission-Enabling,retired_2024
35432,FDIC,Corporate University,Student Monitoring,"To track course progress, comprehension and enable adaptive learning. Improve engagement, to provide performance management, workforce planning, success of employee on-boarding and encourage learning and development.","Prediction and adaption analyzing and adjusting to support learning 
Provides completion rates, course milestones.",None of the above.,,Initiated,Mission-Enabling,continued
35433,FDIC,Corporate University,Plagiarism Detection,"Detect and prevent cheating and dishonesty,  Promoting the FDIC's values including Fairness, Accountability, and Integrity.  Reduce the time manually inspecting for plagiarism.","Report with flagged suspected plagiarism, and sources",None of the above.,,Initiated,Mission-Enabling,continued
35434,FDIC,Corporate University,Student Outcome Projection,"Early intervention in the students academic growth providing the ability to support different learning styles and levels helping guide the right educational path forward personalizing learning

Streamlining learning and development for industry and office needs allowing employees reduction of tasks for onboarding and workforce planning and retention.",Prediction; Curriculum  mapping based on job specific tasks that results in each user and provide position specific training report.,None of the above.,,Initiated,Mission-Enabling,continued
35435,FDIC,Corporate University,Facilitating Status,"Monitor activities and administer evaluations in supervised and unsupervised environments, ensure compliance, and facilitate accreditation of course content allowing industry standards to be met by Corporate University (CU) courses. E.g. Accounting CEUs (Continuing Education Units).",Report that confirms physical attendance for in-person and virtual sessions.,None of the above.,,Initiated,Mission-Enabling,continued
35436,FDIC,Division of Depositor & Consumer Protection,AI Assisted Data Collection,"The Assistant enhances the efficiency and effectiveness of our fair lending and compliance functions by automating data collection from PDF form documents to support internal supervisory consultations.  Through using the Assistant. data collection takes significantly less time, retains and improves accuracy, and allows the FDIC examiners to focus on examination activities",The Assistant provides extracted data from credit reports and similar type documents in excel readable formats,None of the above.,Developed in-house.,Acquisition and/or Development,Other,continued
35437,FDIC,Division of Depositor & Consumer Protection,AI Assisted Time Management,Increase efficiencies of using Process HQ through FOCUS (Framework for the Oversight of Compliance and CRA Activities User Suite) to understand where Examination process steps slow down,A report of time spent and identification of bottlenecks,Logging and analyzing time spent on tasks using AI-powered time management tools.,,Initiated,Other,continued
35438,FDIC,Division of Depositor & Consumer Protection,Compliance Risk Monitoring,Enhance effectiveness of off-site risk monitoring on several regulation areas.,A report from Division of Consumer Protection (DCP) Analytics that identifies whether a financial institution has high / low relative risk of a compliance violation.  Used by examiners to scope exams.,None of the above.,Developed in-house.,Acquisition and/or Development,Other,continued
35439,FDIC,Division of Depositor & Consumer Protection,Analysis of Consumer Complaints,Identify consumer complaint trends and integrate pre-processing of consumer complaints using AI to enhance adjudication of consumer complaints,Cleaned up and categorized consumer complaints and trend analysis which does into data lake for post-processing analysis.,Searching for information using AI.,,Initiated,Other,retired_2024
35440,FDIC,Division of Depositor & Consumer Protection,Pre-Examination Planning Monitoring,Assist examiners in pre-exam planning and identify pre-exam questions that are misaligned or do not inform risk assessments,A report from  Division of Consumer Protection (DCP) Analytics to DCP Compliance and UDAP (Unfair Deceptive Acts and Practices) section related to pre-exam questions on their alignment with risk identification,None of the above.,Developed in-house.,Operation and Maintenance,Other,continued
35441,FDIC,Division of Depositor & Consumer Protection,Einstein Call Center Assistance,"Improve categorization and routing of consumer cases within Epic (Enterprise Public Inquiries and Complaints), to call agents and tag more effectively and efficient",Categorization and routing of calls and cases.,None of the above.,,Initiated,Other,retired_2024
35442,FDIC,Division of Depositor & Consumer Protection,HMDA (Home Mortgage Disclosure Act) Outlier Screen,"The HMDA (Home Mortgage Disclosure Act) Outlier program pre-screens off-site mortgage data to identify heightened fair lending risks related to pricing, underwriting, and redlining",Reports results of statistical analysis to support examination supervisory actions,None of the above.,Developed in-house.,Operation and Maintenance,Other,continued
35443,FDIC,Division of Depositor & Consumer Protection,FDIC Deposit Insurance Misrepresentation,Division of Consumer Protection (DCP) Analytics is using AI to search social media posts to identify potential misrepresentation of FDIC deposit insurance,A spreadsheet report identifying specific social media posts related to a bank and FDIC deposit insurance,None of the above.,,Initiated,Other,continued
35444,FDIC,Division of Depositor & Consumer Protection,Aggregating Complaint Data,DCP (Depositor & Consumer Protection) Exams has proposed to explore ways to increase efficiencies of analyzing complaint data to easily identify trends/concerns at our most complex banks.,To be determined,None of the above.,,Initiated,Other,retired_2024
35445,FDIC,Division of Insurance & Research,Financial Well-Being Project,(1) Developed a census of non-profit organizations that provide one or more of 9 types of financial well-being services. Such a census did not exist. (2) This census would advance the FDIC's focus on increasing economic inclusion by enabling DCP Community Affairs staff to more easily connect banks with the non-profits in their communities that provide specific types of financial well-being services.,Classification of the types of financial well-being services provided by a non-profit organization.,None of the above.,,Retired,Other,continued
35446,FDIC,Division of Administration,Generative Artificial Intelligence (AI) for Legal Research,This use case will allow users the ability to find the answers they need for legal research faster and easier. This directly supports our mission by providing users with enhanced research capabilities through generative AI.,Commercially available legal research tools will provide users with generative AI capabilities to give attorney's information faster.,Searching for information using AI.,,Initiated,Mission-Enabling,continued
35447,FDIC,Division of Administration,Outlook Unstructured Text Extraction,The Corporate Services Branch (CSB) would like to use a custom AI prompt to test extraction from unstructured text emails that are currently going to a group box. This effort will be used to condition the data so that it can be used for reporting efforts and other needs. This is meant to be a pilot test to determine if this course of action is feasible and as a training opportunity for the Corporate Services Branch (CSB) Citizen Developer. Custom AI prompts are used for this use case.,The Corporate Services Branch (CSB) Pilot will automatically extract unstructured text from group email boxes when new email arrives to write the data into a usable data table for further use in management reporting and Key Performance Measures tracking. The model will also be used to look at historical data sitting in group mail boxes.,None of the above.,,Initiated,Mission-Enabling,retired_2024
35448,FDIC,Division of Administration,Public-Facing ChatBot,The chatbot is an Enterprise Information and records Management Section (EIRMS) effort.  It will support the FDIC mission by mitigating calls to the FDIC Contact Center through the current RASA open-source platform.  This project is waiting for a vendor platform to support their chatbot technology in the government cloud environment.,The ChatBot will use a Natural Language Processer (NLP) to provide standard responses to consumers inquiring about deposit insurance and what is covered by the FDIC.,None of the above.,,Initiated,Other,retired_2024
35449,FDIC,Division of Administration,Purchase Card Activity Monitoring,"The monitoring of prohibited and restricted purchase card information is a manually intensive process, whereas a Machine Learning (M/L) algorithm would have a level of complexity to determine whether purchases fit within those distinct set of parameters.  This AI use cases would require the development of a training and test dataset based on actual activity  in order to determine a true level of accuracy for the Machine Learning (M/L) algorithm.  The data would then feed into a dashboard/report.",The Machine Learning (M/L) would provide a data extract on prohibited and restricted purchase card activity across the FDIC.,None of the above.,,Initiated,Other,retired_2024
35450,FDIC,Division of Administration,AI-driven Workflow Automations to Improve Business Operations,"Working with vendor software on some AI capabilities for use in the future.  There are various AI capabilities that may come available in a vendor's software (Generative AI to support human interactions, Intelligence chatbot, etc.) Human Resources (HR) is specifically looking at AI driven workflow automation to improve business operations.",The use case output will include decision trees to support real-time insights into business operations and help to identify trends and improve performance.,None of the above.,,Initiated,Mission-Enabling,retired_2024
35451,FDIC,Division of Administration,Automatically-Scored Writing Assessment (AWA),The Automatically-Scored Writing Assessment (AWA) is intended to significantly increase speed and reduce cost of essay scoring for the purpose of employment decisions.,"A single overall score for the essay on a scale from 1 to 5, as well as three subscale scores ranging from 1 to 5 across the following dimensions: grammar and mechanics, analysis and reasoning, as well as organization and structure.",None of the above.,Developed with contracting resources.,Operation and Maintenance,Mission-Enabling,continued
35452,FDIC,Division of Administration,Structured Interview (SI) tool,"The FDIC seeks to improve the personnel selection process by automating the scheduling, creation, administration, scoring, and maintenance of structured interview materials using an online platform.","The SI (Interview) tool will securely house a large number of internally developed, competency-based structured interview questions.",None of the above.,,Initiated,Mission-Enabling,retired_2024
35453,FDIC,Division of Finance,FDIC Predictive Budget Analysis,Take in budget data for reporting and prediction; Analyze and explain differences in budget and actuals data. Reduces time and work to produce the report; increases response time to react and review data; allows deeper dives.,Output is an explanation on gaps in data that are identified and why it was identified.,Creating visual representations of data sets for reports and presentations using AI.,,Initiated,Mission-Enabling,continued
35454,FDIC,Division of Finance,CFOO Assessment Chatbot,"Compiling data from external FDIC website and targeted documents to answer public questions about Bank Assessments that are currently available on FDIC gov. Makes information more readily available to the public, searchable and readable.",An text-based answer to a question the user asks the bot.,None of the above.,Developed in-house.,Acquisition and/or Development,Mission-Enabling,retired_2024
35455,FDIC,Division of Finance,Goals and Workload Assumptions,Summarize divisional efforts into a narrative taking into consideration staff numbers and competencies. Reduced time to receive answers based on data.,A visualization of effectiveness of divisional projects and a recommendation on how to fill the gap on missing elements or competencies,Summarizing the key points of a lengthy report using AI.,,Initiated,Mission-Enabling,continued
35456,FDIC,Division of Finance,CFOO Admin Chatbot,"Compiling data from internal FDIC website and targeted documents to answer questions about CFOO admin. Makes information more readily available to the public, searchable and readable.",An text-based answer to a question the user asks the bot.,None of the above.,Developed in-house.,Operation and Maintenance,Mission-Enabling,continued
35457,FDIC,Division of Finance,CFOO Travel Chatbot,"Compiling data from internal FDIC website and targeted documents to answer questions about FDIC travel. Makes information more readily available, searchable and readable.",An text-based answer to a question the user asks the bot.,None of the above.,Developed in-house.,Operation and Maintenance,Mission-Enabling,continued
35458,FDIC,Division of Finance,CFOO Transactional Data Analysis,"AI assistance in monitoring financials/invoices for proper submittal, duplicate payments, and other abnormalities. Reduced time to catch errors, perform reviews, make data visualizations available.","A recommendation on when a gap is identified, why it was identified, and possible causes",Creating visual representations of data sets for reports and presentations using AI.,,Initiated,Mission-Enabling,continued
