agency,use_case_name,original_verdict,override_verdict,reasoning
Treasury,AI Contract Document Toolbox,standalone_chat,,Agree: user-driven GenAI chat drafting/reviewing procurement documents from prompts and uploads is drafting help per rule 3; no embedded pipeline step or agency system read/write described.
Treasury,AI Use Case Review and Evaluation Workflow,workflow_embedded,,"Agree: one identified evaluation process producing AI Suitability Plans for SME review; no described autonomy chaining actions against systems, so not agentic despite the 'Agentic AI' classification (rule 5)."
Treasury,AI Voiceover Generation for eLearning Development,workflow_embedded,,Agree: script-to-.wav conversion feeding eLearning authoring applications is one identified production step; no agency system-of-record coupling.
Treasury,AI-Augmented Software Modernization and Insight,workflow_embedded,,Agree: codebase research producing prioritized tech-debt lists and draft refactorings for engineer review is a single modernization-research flow; repositories are not identified as named systems and nothing is written back.
Treasury,AI-assisted Procurement POC,workflow_embedded,,"Agree: policy/FAR-clause retrieval aiding one procurement flow in the Unison PRISM context; search-only, no read/write integration described."
Treasury,Accounts Management “Balance Due” Call Transcript Classification,workflow_embedded,,"Agree: pilot classification of call transcripts into issue groups is one analytic flow over agency transcripts; outputs inform research, no system write-back."
Treasury,Answering Employee Questions with Natural Language Processing in IRWorks,workflow_embedded,,Agree: RAG-style search of IRWorks KB/service-catalogue per user access returning answers/links with 'no actionable items' -- rule 4 keeps single-corpus retrieval without write-back at workflow_embedded.
Treasury,Application to AI services integration POC,standalone_chat,,"Agree: the enterprise API endpoint is 'proposed' (rule 1); the operating state is a locally controlled LLM available to applications, which is API access to the model itself with no identified agency system -- standalone_chat per the round amendment."
Treasury,AskBEP AI ChatBot,workflow_embedded,,"Agree: retrieves and explains BEP policy guidance -- RAG over an agency policy corpus for one flow, per rule 4."
Treasury,ChatOFR AI Chatbot,standalone_chat,,Agree: multi-LLM Q&A/drafting/code access plus user-created API tokens is general LLM access; 'specialized knowledge bases' is unspecified and no agency system coupling is described.
Treasury,DATA Act Bot for Procurement Data Matching,system_integrated,,"Agree: reads FPDS records, compares against PDF contract documents, and validates data reported to USASpending.gov -- explicit named-system coupling."
Treasury,Employee Resource Center (ERC) Chatbot,workflow_embedded,,Agree: intent classification returning preset responses is one defined employee self-service flow; no system of record read/written.
Treasury,Employee Retention Credit Text Clustering,workflow_embedded,,"Agree: clusters ERC disclosure text for agent review -- single analytic step; unlike the CDW-citing sibling case, no named data store is identified."
Treasury,Establish localized Large Language Model (LLM),workflow_embedded,unclear,"Override: everything concrete is future-tense research ('an aligned approach to research an enterprise LLM that will be trained on approved internal documentation') plus a prospective metrics framework -- rule 1 says label the current state, and no operating capability is described. The prior audit round confirmed unclear on this same text."
Treasury,FORMS AI,system_integrated,,Agree: deployed ML/GenAI in the named FORMS system converting PDFs to extracted data fields and automating document classification/routing -- production system coupling.
Treasury,FRB AI Code Translation POC,standalone_chat,,"Agree: POC explicitly states generated code 'would not be moved to production' -- pure code assistance, per rule 1."
Treasury,Form 990N Machine Learning Model,system_integrated,,Agree: deployed classical model scoring the Form 990N filer population for non-compliance case selection -- production risk scoring over agency filing data per rule 2; workbook delivery keeps confidence medium.
Treasury,GenAI Productivity Tool,standalone_chat,,Agree: general research/drafting assistant with no described process or system coupling.
Treasury,GenAI Productivity Tool Pilot,standalone_chat,,"Agree: general productivity pilot (meeting summaries, drafts, code help) with no identified process or system integration."
Treasury,IDV Model,system_integrated,,Agree: deployed forecasting model predicting 5-year IDV demand to drive utilization and proactive funding requests -- production classical ML per rule 2.
Treasury,Identity Verification,system_integrated,,Agree: ML document-fraud scoring embedded in the live IRS online-registration flow with human confirmation -- rules 2 and 6.
Treasury,Integrate Word Processor AI for Digitalization,system_integrated,,Agree: OCR integrated into the named Digitalization Enablement Platform extracting taxpayer form data and feeding case management.
Treasury,Internal Revenue Manual Research Aid (IRMA),workflow_embedded,,"Agree: RAG over the full IRM via COTS API returning answers plus links back to IRM sections -- single-corpus retrieval without write-back, per rule 4."
Treasury,Inventory Replenishment Forecast,system_integrated,,Agree: deployed model forecasting vendor delivery and item stockouts driving proactive sourcing decisions -- production classical ML per rule 2.
Treasury,Large Language Model (LLM) Chatbot for Proof of Concept,standalone_chat,,Agree: developer-assist LLM POC generating comments/documentation/suggestions -- coding assistant with no integration described.
Treasury,Large Language Model (LLM) Coding for Proof of Concept,workflow_embedded,,"Agree: the pilot stands up an LLM trained on internal PDFs/web pages powering an internal FAQ/case-deflection chatbot -- an in-test RAG flow over agency documentation (rule 4); unlike the 'Establish localized LLM' row, the capability is described as built and under test."
Treasury,Legislative Analysis Tool,workflow_embedded,,"Agree (low-confidence row): the 'comprehensive database of legislative documents' is the tool's own corpus, and per-section impact estimates about IT systems are outputs, not couplings -- one analysis pipeline, workflow_embedded."
Treasury,Line-Item Consolidation for Form 1120,workflow_embedded,,"Agree: consolidation groups appended as a column to 'the original dataset' for examiner benchmarking -- single analytic pipeline, no named data store."
Treasury,Local GenAI Pilot,standalone_chat,,"Agree: local LLM offering general text generation, summarization, and code completion with no specific process or system coupling."
Treasury,Machine Translation,workflow_embedded,,"Agree: COTS machine translation evaluated within LPTS's existing translation processes -- one team's workflow, no named system read/write."
Treasury,Modular Code Assistant (Explain & Refactor Small Methods) for Automation Test Application Development,workflow_embedded,,"Agree: localized RAG chatbot answering project-specific queries and interpreting automation test reports for one team -- retrieval over project material for one flow, per rule 4."
Treasury,NCCBR Data Validation Pilot,system_integrated,,Agree: AI modules operate inside NCCBR collection/ingestion pipelines flagging errors before analyst review -- ETL coupling described as operating at pilot stage.
Treasury,OCC.Chat,standalone_chat,,Agree: public-knowledge Q&A chatbot with interaction logging; no agency system coupling described.
Treasury,OCC.DocChat,standalone_chat,,"Agree: chat over user-uploaded documents in personal/group workspaces -- general document-chat, not an identified agency corpus."
Treasury,OCC.InfoAssist,workflow_embedded,,"Agree: RAG over the named OCC Comptroller handbooks/PPMs corpus for one Q&A flow, per rule 4."
Treasury,Open source Python library and models for NLP,unclear,,Agree (unclear stratum): a GEM technology-acquisition request for an open-source NLP library; no operating workflow is described.
Treasury,Pilot a suite of Fiscal Service Gen AI solutions,unclear,,"Agree (unclear stratum): comparative A/B and pre-post testing to select among AI tools ('AI Tool selection' is the output) -- an evaluation exercise, not a described operating capability."
Treasury,"Procurement Data Transparency, Reporting, & Decision Tracking",workflow_embedded,,"Agree: GenAI summarizes products/services per contract from the analytics hub, delivered as tables for contracting-official review -- one summarization flow with no write-back described; workflow_embedded is the defensible rung."
Treasury,Programmatic Access to LLMs via API,standalone_chat,,Agree: API prompt/response access to models for researchers is the amendment's canonical API-access-to-the-model case; no identified agency system read or written.
Treasury,SBSE - Payments Topics Chatbot,workflow_embedded,,"Agree: intent classification to preset payment-topic responses -- one defined taxpayer self-service flow, no system of record coupling."
