Similarity Score,Incident ID,Incident Title,Incident Description,Use Case ID,Use Case Name,Agency,Intended Purpose
0.823,811,"AI-Powered Transcription Services Allegedly Leak Confidential Workplace Discussions","AI-powered meeting assistants, such as Otter.ai’s OtterPilot and Zoom's AI Companion, have reportedly shared sensitive and private conversations beyond the intended audience. These AI tools, which are set to automatically record and distribute meeting transcripts, allegedly sent confidential discussions after participants had left the meeting, the consequences of which led to unintended exposure of proprietary information, privacy breaches, and potential reputational harm.",6316,"Otter.ai - for Public-Facing Meetings, Webinars, and Hearings","Department of Education","Otter.AI is designed to enhance communication and productivity by providing real-time transcription and collaboration tools for meetings, interviews, lectures, and other audio interactions. It enables users to focus on conversations while generating accurate, searchable transcripts, improving accessibility, saving time, and streamlining the organization of critical information."
0.821,307,"iPhone Face ID Failed to Recognize Users’ Morning Faces","The Face ID feature on iPhone allowing users to unlock their phones via facial recognition was reported by users for not recognizing their faces in the morning.",5020,"Facial Recognition Unlock","Department of Health and Human Services","The Face ID feature in iPhones takes advantage of AI technology to securely unlock the phone. "
0.810,704,"Study Highlights Persistent Hallucinations in Legal AI Systems","Stanford University’s Human-Centered AI Institute (HAI) conducted a study in which they designed a ""pre-registered dataset of over 200 open-ended legal queries"" to test AI products by LexisNexis (creator of Lexis+ AI) and Thomson Reuters (creator of Westlaw AI-Assisted Research and Ask Practical Law AI).  The researchers found that these legal models hallucinate in 1 out of 6 (or more) benchmarking queries.",5708,"Lexis +AI","Postal Regulatory Commission","Legal Research"
0.805,83,"AI Spam Filters Allegedly Block Legitimate Emails Based on Biased Keyword Detection","AlgorithmWatch tested spam filtering algorithms across Gmail, Yahoo, Outlook, GMX, and LaPoste. Their findings reportedly showed that Microsoft Outlook’s spam filter flagged emails based on specific keywords that led to racial and content-based biases blocking legitimate communications. Emails mentioning Nigeria or containing certain financial and sexual health terms were found to be disproportionately marked as spam.",5482,"Artificial Intelligence SPAM Mitigation Project","Department of Agriculture","An AI/ML model automatically classifies and removes spam and marketing emails from civil rights complaints email channels. Benefits include reducing the time spent manually managing email channels, decreasing the memory burden on email systems, and lowering the risk from malicious emails. "
0.804,704,"Study Highlights Persistent Hallucinations in Legal AI Systems","Stanford University’s Human-Centered AI Institute (HAI) conducted a study in which they designed a ""pre-registered dataset of over 200 open-ended legal queries"" to test AI products by LexisNexis (creator of Lexis+ AI) and Thomson Reuters (creator of Westlaw AI-Assisted Research and Ask Practical Law AI).  The researchers found that these legal models hallucinate in 1 out of 6 (or more) benchmarking queries.",6379,"AI-Assisted Legal Research","Department of Transportation","The AI-Assisted Research will return a summarized overview or draft with detailed insights from top results, along with a list of key cases statutes and regulations."
0.803,704,"Study Highlights Persistent Hallucinations in Legal AI Systems","Stanford University’s Human-Centered AI Institute (HAI) conducted a study in which they designed a ""pre-registered dataset of over 200 open-ended legal queries"" to test AI products by LexisNexis (creator of Lexis+ AI) and Thomson Reuters (creator of Westlaw AI-Assisted Research and Ask Practical Law AI).  The researchers found that these legal models hallucinate in 1 out of 6 (or more) benchmarking queries.",5584,"Generative Artificial Intelligence (AI) for Legal Research","Federal Deposit Insurance Corporation","This use case will allow users the ability to find the answers they need for legal research faster and easier. This directly supports our mission by providing users with enhanced research capabilities through generative AI.  "
0.799,704,"Study Highlights Persistent Hallucinations in Legal AI Systems","Stanford University’s Human-Centered AI Institute (HAI) conducted a study in which they designed a ""pre-registered dataset of over 200 open-ended legal queries"" to test AI products by LexisNexis (creator of Lexis+ AI) and Thomson Reuters (creator of Westlaw AI-Assisted Research and Ask Practical Law AI).  The researchers found that these legal models hallucinate in 1 out of 6 (or more) benchmarking queries.",5621,"LexisNexis","Federal Housing Finance Agency","Generative AI-assisted legal research tool"
0.796,735,"AI-Enabled Fraud Schemes Reportedly Increasing Consumer Harm and Challenging Detection","Scammers are reportedly using AI tools such as language models, voice cloning, and synthetic IDs to create more convincing frauds, leading to financial losses and identity theft. Banks have begun deploying AI-driven verification tools to counter these schemes, but experts warn that AI-enabled fraud continues to cause real-world harm and remains difficult to detect.",5317,"Check Fraud Pipeline","Department of the Treasury","Since the dramatic spike in Economic Impact Payments and Advance Child Tax Credit checks, there has been a sharp uptick in U.S. Treasury check fraud.  Specifically, fraudsters have been stealing U.S. Treasury checks and altering the names on the checks. The situation is not typically detected until a payee claimed non-receipt to issuing agency (often long after fraud occurred, also after time limits to recover from FI).  Additionally, Law Enforcement has been challenged in recovering evidence (e"
0.788,1055,"FBI Reports AI Use by Threat Actors in Broader Cyber Context Including Infrastructure Intrusions","FBI Deputy Assistant Director Cynthia Kaiser stated that adversarial actors, particularly those affiliated with China and organized cybercriminal groups, are increasingly integrating AI tools across the cyberattack lifecycle, with documented use cases reportedly including purported AI-generated spear phishing, business identity fabrication, internal network mapping, and deepfake-enabled fraud. The tools are allegedly already assisting intrusions targeting U.S. infrastructure.",4335,"Advanced Analytic Enabled Forensic Investigation","Department of Homeland Security","CISA deploys forensic specialists to analyze cyber events at Federal Civilian Executive Branch (FCEB) departments and agencies, as well as other State, Local, Tribal, Territorial, and Critical Infrastructure partners. Forensic analysts can utilize advanced analytic tooling, in the form of Artificial Intelligence (AI) implementations, to better understand anomalies and potential threats. This can be further supported by the development of AI-assisted agents. Analysts can interact with such agents"
0.788,744,"AI Work Assistants Require More Effort Than Expected, CIOs Say","AI work assistants, such as Copilot for Microsoft 365 and Gemini for Google Workspace, are proving to be more labor-intensive than anticipated for enterprises. CIOs report that these AI tools struggle with outdated or inaccurate data, leading to incorrect outputs. Companies are finding they must invest heavily in data management to ensure reliability. This added effort has led to delays in deployment and frustration, as businesses work to maximize the potential of these expensive AI tools.",4875,"Gemini for Workspace","General Services Administration","The purpose of the Gemini for Workspace pilot study is to evaluate how advanced AI capabilities can enhance productivity, collaboration, and efficiency within the General Services Administration (GSA). Over a 90-day period, 200 users will interact with Gemini to assess its functionality and impact on daily operations. The system offers intelligent assistance for tasks like drafting documents and composing emails, enhances communication through smart scheduling and automated meeting summaries, pr"
