id,agency_abbreviation,bureau,use_case_name,purpose_benefits,outputs,commercial_ai,dev_method,dev_stage,topic_area,lineage_status
34129,DHS,CBP,Non-Intrusive Inspection (NII) 3D Imaging Tool,"Utilizes AI/ML to generate high resolution, rapid imaging of objects behind occlusions; create 3D images for existing processes without significant slowdowns; and provide a novel narcotics detection capability for the inspection of packages.",Detection alerts for Items of Interest.,None of the above.,Developed with contracting resources.,Implementation and Assessment,Law & Justice,continued
34130,DHS,CBP,Babel,CBP uses this tool to conduct targeted queries to aid CBP in open source research to monitor potential threats or dangers or identify travelers who may be subject to further inspection for violation of laws CBP is authorized to enforce or administer.,Babel utilizes AI modules for Text detection and translation as well as object and image recognition to provide analysts with possible matches to manually review in a single interface versus doing multiple manual queries. The output is not singly used for action or decision making and are used to identify additional Open Source or Social Media of a person or identify additional selectors (such as phone and emails) that are previously unknown to CBP and compared by an analyst against Government systems to identify additional derogatory information. These factors can often eliminate the traveler from additional screening.,None of the above.,Developed with contracting resources.,Implementation and Assessment,Law & Justice,continued
34131,DHS,CBP,Fivecast ONYX,"The system enhances CBP's capability to monitor, analyze, and assess threats related to border security by processing vast amounts of open-source data, CBP aims to detect potential risks, monitor emerging trends, and uncover connections between individuals, organizations, or networks involved in illegal activities such as human trafficking, smuggling, or terrorism. Thereby streamlining operations and bolster security measures while maintaining a proactive approach to emerging threats","The system  aggregates vast amounts of publicly and commercially available data from diverse sources, such as social media, news streams, company records, and even the dark web, to provide insights on potential threats and risks, that can be used as actionable intelligence reports, risk assessments, and alerts that support CBP personnel  in real-time decision-making and long-term strategic planning.",None of the above.,Developed with contracting resources.,Implementation and Assessment,Law & Justice,retired_2024
34132,DHS,CBP,Public Information Compilation for Travel  Threat Analysis (Dataminr),"This tool significantly reduces the amount of time it takes for users to collect and compile commercially available open-source information when attempting to identify  possible threats related to national security, border violence, CBP facilities, CBP employee safety and other topics with a CBP-nexus involving air, sea, and land travel to and/or from the U.S.","The AI output is compiled publicly available information for awareness.  CBP employees further research the information, including reading the source information, to determine if there is a possible threat.",None of the above.,Developed with contracting resources.,Acquisition and/or Development,Law & Justice,continued
34133,DHS,CBP,Anomaly Detection in Non-Intrusive Inspection,The model will identify irregularities or deviations from expected patterns that may indicate concealed contraband or threats while reducing overall review time.,"Specific areas within scanned images that show anomalies, possibly needing further screening.",None of the above.,,Acquisition and/or Development,Law & Justice,retired_2024
34134,DHS,CBP,Advanced Analytics for X-ray Images (AAXI),"AAXI aims to address the problem of anomaly detection in empty commercial vehicles entering the United States at land border ports of entry. The AI models achieve this goal by encoding past X-Ray images of vehicular border crossings in a semantically meaningful way and comparing the current crossing to detect differences amongst the images to identify anomalies. Benefits include enhancement of the capability of humans to consistently detect items of interest/concern present (and possibly concealed) in vehicles crossing into the United States, and increased clearance rate at border crossings so that vehicles operating safely and lawfully may pass through the border faster.",AAXI produces bounding boxes around an anomaly or unidentifiable object(s) within an image or any portion of the image that cannot be identified or explained.,None of the above.,Developed with contracting resources.,Acquisition and/or Development,Law & Justice,continued
34135,DHS,CBP,Automated Data Annotation,"The Automated Data Annotation system is used to manage training data, collaborate on internal annotation strategies, and to process vast amounts of raw data for AI/ML applications collected from several CBP missions.The intended purpose of the AI is used to generate domain specific training data to facilitate model training for specific mission use cases. The expected benefit would be increased accuracy and confidence in model development.","High-quality, labeled datasets in JSON format ready for machine learning. It also provides metadata, including annotation metrics and quality insights, to ensure accuracy and support model training workflows.",None of the above.,,Initiated,Mission-Enabling,continued
34136,DHS,CBP,AI Enabled Autonomous Underwater Vehicle,"Customs and Border Patrol (CBP) Office of Field Operations (OFO) has identified significant potential for parasitic loads on vessels entering and exiting ports of entry. The current identification method is using dive teams or borrowing larger ROV units from Local, State, or Federal partners. Through autonomous systems, OFO can more efficiently and safely identify anomalies/items of interest.","This AI helps a small submarine drone detect possible contraband or safety risks to prioritize additional checks by human divers.


The technology allows for increased shared situational awareness in real time for OFO and strategic partners and improves mission planning and agent and officer safety, while reducing reactionary gaps. 
[this needs to be more clear about the ai system outputs - is the ai outputting suspected loads indicators? imagery? the closed loop fully autonomous navigation implies other self-looping outputs for navigation on obstacles and currents, are there any others?]",None of the above.,,Initiated,Law & Justice,continued
34137,DHS,CBP,Relocatable Multi-Sensor System,"The system uses advanced sensor technology to differentiate valid items of interest (IOI), such as unmanned aircraft systems and humans, from other detections such as animals or other environmental objects. By integrating radar and other sensor data, the system filters out false alarms, ensuring more accurate identification of potential IOI. This capability enhances CBP's ability to focus on legitimate risks while minimizing the time spent on non-threatening activities, improving operational efficiency at border and security checkpoints.","The outputs  include real-time data identifying and categorizing potential items of interests, while filtering out false or non-relevant items of interest like animals. These outputs are used to provide situational awareness and support decision-making for CBP personnel.",None of the above.,,Initiated,Law & Justice,continued
34138,DHS,CBP,AI/LLM to generate testable synthetic data,The purpose of using AI to generate test data for trade partners is to create more realistic data for trade partners to use for testing their systems before releasing new ACE capabilities.  Currently there are many data issues where test data does not accurately reflect real production data which results in unrealistic failures when testing which result in wasted time and resources tracking down false positive errors during testing.  By providing trade partners with more realistic test data the expectation is that testing times will be shorter and enhancements and capabilities can be delivered quicker.,The AI capability would generate test data without PII or other trade sensitive data and allow for more accurate simulation of production data.,None of the above.,,Initiated,Mission-Enabling,renamed
34139,DHS,CBP,Anomaly Detection COV Structure,Anomaly Detection COV Structure is an AI algorithm solution to assist CBP officers in adjudicating  large-scale Non-Intrusive Inspection (NII) x-ray images. The solution will identify regions of interest within the structure of Commercially Owned Vehicles (COV) and detect anomalies within these regions. The algorithm will support the review and analysis conducted by image analysts during NII x-ray image adjudication ultimately reducing overall review time for NII images.,Bounding boxes around an anomaly or unidentifiable object(s) within an image or any portion of the image that cannot be identified or explained.,None of the above.,,Initiated,Law & Justice,continued
34140,DHS,CBP,Anomaly Detection Homogenous Cargo,Anomaly Detection Homogenous Cargo is an AI algorithm solution to assist CBP officers in adjudicating large scale Non-intrusive Inspection (NII) x-ray images. The solution will identify anomalies within homogenous cargo contained in commercially owned vehicles (COVs). The algorithm will support the review and analysis conducted by CBP image analysts during NII x-ray image adjudication ultimately reducing overall review time for NII images.,Bounding boxes around an anomaly or unidentifiable object(s) within an image or any portion of the image that cannot be identified or explained.,None of the above.,,Initiated,Law & Justice,continued
