slug,agency,agency_name,bureau,ai_use_case,commercial_product,commercial_examples,band,band_upper,linked_products,linked_product_types,agency_total_headcount
abilityone-editing-images-videos-or-other-public-affairs-materials-using-ai,AbilityOne,AbilityOne Commission,,"Editing images, videos, or other public affairs materials using AI.",Microsoft 365 Copilot GCC,,1-100,100,Microsoft 365 Copilot,general_llm,35
abilityone-generating-first-drafts-of-documents-briefing-or-communication-materials-using-a,AbilityOne,AbilityOne Commission,,"Generating first drafts of documents, briefing, or communication materials using AI.",Microsoft 365 Copilot GCC,,1-100,100,Microsoft 365 Copilot,general_llm,35
abilityone-improving-the-quality-of-written-communications-using-ai-tools,AbilityOne,AbilityOne Commission,,Improving the quality of written communications using AI tools.,Microsoft 365 Copilot GCC,,1-100,100,Microsoft 365 Copilot,general_llm,35
abilityone-prioritizing-and-categorizing-incoming-emails-using-ai,AbilityOne,AbilityOne Commission,,Prioritizing and categorizing incoming emails using AI.,Microsoft 365 Copilot GCC,,1-100,100,Microsoft 365 Copilot,general_llm,35
abilityone-searching-for-agency-information-using-a-knowledge-retrieval-system,AbilityOne,AbilityOne Commission,,Searching for agency information using a knowledge retrieval system.,Microsoft 365 Copilot GCC,,1-100,100,Microsoft 365 Copilot,general_llm,35
abilityone-summarizing-the-key-points-of-a-lengthy-report-using-ai,AbilityOne,AbilityOne Commission,,Summarizing the key points of a lengthy report using AI.,Microsoft 365 Copilot GCC,,1-100,100,Microsoft 365 Copilot,general_llm,35
abilityone-transcribing-summarizing-or-other-efforts-that-improve-the-accessibility-of-a-vi,AbilityOne,AbilityOne Commission,,"Transcribing, summarizing, or other efforts that improve the accessibility of a virtual meeting or interview using AI.",Microsoft 365 Copilot GCC,,1-100,100,Microsoft 365 Copilot,general_llm,35
abilityone-using-ai-assisted-tools-in-word-processors,AbilityOne,AbilityOne Commission,,Using AI-assisted tools in word processors.,Microsoft 365 Copilot GCC,,1-100,100,Microsoft 365 Copilot,general_llm,35
csosa-creating-visual-representations-of-data-sets-for-reports-or-presentations-using-,CSOSA,Court Services and Offender Supervision Agency,,Creating visual representations of data sets for reports or presentations using AI.,Microsoft M365 Copilot AI,,1001-5000,5000,Microsoft 365 Copilot,general_llm,
csosa-editing-images-videos-or-other-public-affairs-materials-using-ai,CSOSA,Court Services and Offender Supervision Agency,,"Editing images, videos, or other public affairs materials using AI.","Adobe Firefly, Microsoft M365 Copilot AI",,1001-5000,5000,Microsoft 365 Copilot; Adobe Firefly,"general_llm,computer_vision",
csosa-generating-code-using-ai,CSOSA,Court Services and Offender Supervision Agency,,Generating code using AI.,Microsoft M365 Copilot AI,,1001-5000,5000,Microsoft 365 Copilot,general_llm,
csosa-generating-first-drafts-of-documents-briefing-or-communication-materials-using-a,CSOSA,Court Services and Offender Supervision Agency,,"Generating first drafts of documents, briefing, or communication materials using AI.","ChatGPT, Microsoft M365 Copilot AI, FS Pro",,1001-5000,5000,Microsoft 365 Copilot; ChatGPT; FS Pro,"general_llm,productivity",
csosa-improving-the-quality-of-written-communications-using-ai-tools,CSOSA,Court Services and Offender Supervision Agency,,Improving the quality of written communications using AI tools.,"Grammarly, Microsoft M365 Copilot AI, FS Pro",,1001-5000,5000,Microsoft 365 Copilot; Grammarly; FS Pro,"general_llm,productivity",
csosa-logging-and-analyzing-time-spent-on-tasks-using-ai-powered-time-management-tools,CSOSA,Court Services and Offender Supervision Agency,,Logging and analyzing time spent on tasks using AI-powered time management tools.,Microsoft M365 Copilot AI,,1001-5000,5000,Microsoft 365 Copilot,general_llm,
csosa-managing-or-implementing-security-controls-for-information-systems-e-g-cybersecu,CSOSA,Court Services and Offender Supervision Agency,,"Managing or implementing security controls for information systems (e.g., cybersecurity) using AI","Splunk, Crowdstrike, MS Defender, Qualys. Palo Alto",,1001-5000,5000,Microsoft Defender; Crowdstrike Falcon; Splunk; Palo Alto Networks,security_tool,
csosa-planning-travel-routes-using-ai-driven-map-applications,CSOSA,Court Services and Offender Supervision Agency,,Planning travel routes using AI-driven map applications.,"Google Maps, Apple Maps",,101-1000,1000,Apple Maps; Google Maps,consumer_feature,
csosa-prioritizing-and-categorizing-incoming-emails-using-ai,CSOSA,Court Services and Offender Supervision Agency,,Prioritizing and categorizing incoming emails using AI.,Microsoft M365 Copilot AI,,1001-5000,5000,Microsoft 365 Copilot,general_llm,
csosa-scheduling-and-managing-social-media-posts-using-ai,CSOSA,Court Services and Offender Supervision Agency,,Scheduling and managing social media posts using AI.,Microsoft M365 Copilot AI,,1001-5000,5000,Microsoft 365 Copilot,general_llm,
csosa-scheduling-internal-to-government-meetings-or-appointments-or-setting-reminders-,CSOSA,Court Services and Offender Supervision Agency,,Scheduling internal-to-government meetings or appointments or setting reminders using AI.,Microsoft M365 Copilot AI,,1001-5000,5000,Microsoft 365 Copilot,general_llm,
csosa-searching-for-agency-information-using-a-knowledge-retrieval-system,CSOSA,Court Services and Offender Supervision Agency,,Searching for agency information using a knowledge retrieval system.,"ChatGPT, Microsoft M365 Copilot AI",,1001-5000,5000,Microsoft 365 Copilot; ChatGPT,general_llm,
csosa-summarizing-the-key-points-of-a-lengthy-report-using-ai,CSOSA,Court Services and Offender Supervision Agency,,Summarizing the key points of a lengthy report using AI.,"ChatGPT, Microsoft M365 Copilot AI",,1001-5000,5000,Microsoft 365 Copilot; ChatGPT,general_llm,
csosa-transcribing-summarizing-or-other-efforts-that-improve-the-accessibility-of-a-vi,CSOSA,Court Services and Offender Supervision Agency,,"Transcribing, summarizing, or other efforts that improve the accessibility of a virtual meeting or interview using AI.",Microsoft M365 Copilot AI,,1001-5000,5000,Microsoft 365 Copilot,general_llm,
csosa-unlocking-smartphones-or-other-devices-without-the-need-for-passwords-or-pins-us,CSOSA,Court Services and Offender Supervision Agency,,Unlocking smartphones or other devices without the need for passwords or PINs using AI-based facial recognition technology.,Apple Iphone,,101-1000,1000,Apple Face ID,consumer_feature,
csosa-using-ai-assisted-tools-in-word-processors,CSOSA,Court Services and Offender Supervision Agency,,Using AI-assisted tools in word processors.,"Grammarly, Microsoft M365 Copilot AI, FS Pro",,1001-5000,5000,Microsoft 365 Copilot; Grammarly; FS Pro,"general_llm,productivity",
dhs-creating-visual-representations-of-data-sets-for-reports-or-presentations-using-,DHS,Department of Homeland Security,,Creating visual representations of data sets for reports or presentations using AI.,"Azure Synapse Analytics, Copilot",,"5001-10,000",10000,Azure Synapse Analytics,data_analytics,260000
dhs-editing-images-videos-or-other-public-affairs-materials-using-ai,DHS,Department of Homeland Security,,"Editing images, videos, or other public affairs materials using AI.",Flow aka Veo 3; Firefly,,101-1000,1000,Adobe Firefly,computer_vision,260000
