agency,use_case_name,bureau_component,stage_normalized,tool_product_name,system_name,vendor_name,development_type,problem_statement,expected_benefits,system_outputs
DHS,AI-Powered Developer Tools,ICE,deployed,Palantir AIP,Case Management & Analytics (CMA),Palantir,a) Purchased from a vendor,"The AI is intended to solve the problem of time‑consuming manual developer tasks, including debugging code, writing database queries, and analyzing system metrics, which slows application development and makes it harder to quickly identify and fix issues.","By streamlining routine coding tasks and surfacing useful system insights, AI-enabled developer tools increase developer productivity and support faster, higher-quality delivery of software across ICE.","The outputs of these AI-enabled tools include suggested code snippets, refactoring recommendations, optimized queries, and analytics summaries related to system behavior or performance. These outputs are presented to developers as proposed changes or insights, which must be reviewed and approved before being incorporated into the codebase through existing version control and deployment processes. The tools do not directly modify production systems; all changes must go through standard human review, testing, and approval workflows."
DHS,CodeGen,CBP,pre_deployment,Custom code-generation tool,,,,Workforce enablement of AI developers.,"The primary purpose is to provide code generation support for CBP developers, with the anticipated benefit of significantly increasing their efficiency and productivity. By automating repetitive coding tasks and suggesting optimal solutions, this initiative aims to free up developers to focus on more complex and strategic projects, ultimately accelerating the delivery of critical work.","The system's output consists of generated code snippets and/or textual explanations and suggestions related to code development. This output is designed to assist developers in writing, understanding, and debugging code more effectively."
DHS,Commercial Generative AI for Code Generation,DHS,retired,Unspecified commercial GenAI,,,,,,
DHS,OCFO Code Assist GPT,FEMA,deployed,OpenAI API,ReadyAI,Microsoft (OpenAI part of Azure Commercial Cloud offerings),c) Developed with both contracting and in-house resources,"Code Assist Generative Pre-trained Transformer (GPT) is an internal facing Generative AI (GenAI) tool to augment the FEMA workforce in generating and troubleshooting existing queries in established query languages (e.g., SQL, Java, COBOL). Users enter the language they are querying, and the Code Assist GPT then provides a proposed query based on the elements provided. If the query is unsuccessful, the tool maintains the session, allowing users to prompt for enhancements until expected results are achieved. At the end of the session, all prompts and queries are removed, and no data is stored outside of the active session. The tool provides improves query generation and rapid iteration, saving users 80-90% of the time compared to custom query development. It also supports various computer languages to assist the data analytics community.","Saving users 80-90% of the time compared to custom query development, rapid iteration which includes error resolution to query complex data sets and multiple computer languages (COBOL, SQL, Python, etc)","Leverages Azure Commercial OpenAI within the FEMA system boundary, currently leveraging ChatGPT4o.  Code Assist GPT is an internal facing GenaAI tool to augment the FEMA workforce in generating and troubleshooting existing queries in established query languages. The user simply enters the language they are trying to query (i.e. SQL, Java, COBOL, etc) and the Code Assist GPT then provides a proposed query based on the elements provided by the user. If the user experiences an error or the query is not successful, the Code Assist GPT maintains the session as long as the user is still logged in and hasn't restarted the session, the user can continue to prompt the GPT to provide enhancements to the provided query until results are as expected. At the end of the user session, all prompts/queries are removed and no data is stored outside of the active user session."
DHS,RTPD Division Services Desktop Automation,FEMA,pre_deployment,,,,,"Our government developers lack the capacity and consistency to produce quality code in a timely manner. Our administrative staff facilitate a multitude of processes that require manual intervention. This requires significant overhead and is prone errors and results in simple steps or actions taking longer than necessary as requests get lost in email or other forms of communication. There is also no audit trail or logging outside of a personal email address or limited access shared mailboxes, making it difficult for others to step in a facilitate activities.","AI Coding Assistants can help identify potential issues with code, help our developers troubleshoot more quickly, and begin complex coding more efficiently.  This will also enable a team of developers to build a consistency across resources and a repository of reusable code segments to speed the delivery of new features and functions.","In this use case, we can expect higher quality code, reducing errors and defects in working software.  Administrative staff will be able to monitor progress vs facilitating it and focus their attention on higher value mission support activities."
DHS,Source Code Development Tool,CBP,pre_deployment,Custom GenAI coding assistant,,,,"The tool uses generative artificial intelligence (GenAI) powered by large language models (LLMs) and coding foundation models to assist with software development. The AI serves as a coding assistant, allowing users to create, refine, and complete software projects through natural language commands and queries. It generates functional software code, streamlining the development process, reducing manual effort, and improving efficiency.","The tool is designed to enhance software development efficiency by enabling end users to create, refine, and complete projects more quickly through the use of a generative artificial intelligence (AI) coding assistant. By automating portions of the coding process, the tool reduces development time, optimizes workflows, and improves overall productivity.","The tool generates functional software code for end users, enabling them to efficiently develop, refine, and complete projects with minimal manual effort, delivering high-quality code outputs tailored to user prompts and project requirements."
DOC,AI Pair Programming with GitHub CoPilot,NOAA,unknown,GitHub Copilot,,,,,,
DOC,APIgee with Gemini Code Assist for OpenAPI Development,NOAA,unknown,Gemini,,,,,,
DOC,Amazon Q Developer Pilot,NOAA,unknown,Amazon Q,,,,,,
DOC,Assisted software development,USPTO,unknown,unspecified,,,,"Support software developers in code analysis, test case generation, debugging, and documentation.",,
