agency,use_case_name,bureau_component,current_is_general_llm_access,current_is_generative_ai,ai_sophistication,tool_product_name,stage_of_development,ai_classification,system_name,vendor_name,problem_statement,expected_benefits,system_outputs
HHS,AI Assist,HHS/NIH,1,0,general_llm,,a) Pre-deployment  The use case is in a development or acquisition status.,Generative AI,,,"This solution is designed to address the challenges of manually processing and analyzing large volumes of unstructured dataincluding documents, reports, and policieswhich is often time-consuming, labor-intensive, and prone to human error.","The implementation of an AI-powered analytics solution will streamline data processing, reduce human error, and enable faster, more accurate decision-making at NINDS. This will enhance operational efficiency, strengthen compliance, and allow staff to focus on higher-value tasks.","Text summary, document comparison, keyword extraction, assistance with writing, filling out forms, creating presentations, spreadsheets"
HHS,AI DevOps - Improving Development and CI/CD Operations,HHS/AHRQ/CFACT,1,0,general_llm,Microsoft Teams,a) Pre-deployment  The use case is in a development or acquisition status.,Generative AI,,Pingwind,"Introducing AI to DevOps can identify and reduce errors, shorten release cycles, and empower development teams with data-driven insights, resulting in faster continuous integration and shorter development lifecycles.","Integrating AI into DevOps pipeline can boost efficiency, enhance code quality, and accelerate development cycle. AI code review uses artificial intelligence algorithms to analyze source code for potential issues. Initial integration of AI code review can assist in detecting bugs, security vulnerabilities, performance bottlenecks, and deviations from coding standards.","Integrating AI into DevOps pipeline can boost efficiency, enhance code quality, and accelerate development cycle. AI code review uses artificial intelligence algorithms to analyze source code for potential issues. Initial integration of AI code review can assist in detecting bugs, security vulnerabilities, performance bottlenecks, and deviations from coding standards."
HHS,AI Editing Tool,HHS/FDA/CDER,1,0,general_llm,,b)  Pilot  The use case has been deployed in a limited test or pilot capacity.,Generative AI,,,This AI model is designed to detect style and formatting inconsistencies in FDA draft documents by comparing them against the FDA CDER Style Guide standards. It solves the problem of manual quality control inefficiencies and ensures consistent adherence to established documentation standards across all FDA CDER publications.,"It significantly reduces the workload for FDA editors by identifying style and formatting issues; however, human review remains essential, especially for important documents, ensuring both efficiency and quality in FDA communications.",AI-identified style and formatting issues
HHS,AI Harvest Service,HHS/OCIO,1,0,general_llm,,b)  Pilot  The use case has been deployed in a limited test or pilot capacity.,Generative AI,HealthData.gov,Tyler Technologies,"The Harvest Service addresses inconsistent or incomplete metadata across distributed HHS open data sources by normalizing descriptions, creating concise summaries, and tagging data assets for improved searchability","Enhanced discoverability of HHS  data from distributed agency-owned systems; improved user accessibility of health- and human-related data; faster identification of relevant data assets for researchers, policymakers, and the public; and increased value of open data investments.",AI-generated concise data asset descriptions and standardized metadata tags integrated into HHS Data Hub asset records; improved open data records surfaced on HealthData.gov for public consumption.
HHS,AI Language Translation Support in Smartling,HHS/CMS/OC,1,0,general_llm,,c)  Deployed  The use case is being actively authorized or utilized to support the functions or mission of an agency.,Generative AI,,,Improved translation,"Cost savings, improved efficiency and quality",Suggestion
HHS,AI Search in Google Vertex (discovery),HHS/CMS/OC,1,0,general_llm,Aretec SEARCH,a) Pre-deployment  The use case is in a development or acquisition status.,Generative AI,,,Improved search,Improved customer experience,Suggestions
HHS,AI Web Content Search Engine Optimization (SEO) in Drupal,HHS/CMS/OC,1,0,general_llm,Aretec SEARCH,a) Pre-deployment  The use case is in a development or acquisition status.,Generative AI,,,Search engine optimization,"Cost savings, improved efficiency and quality",Suggestion
HHS,"AI identification of ""High-Risk"" Health Centers",HHS/HRSA,1,0,general_llm,,a) Pre-deployment  The use case is in a development or acquisition status.,Generative AI,,,"Manual identification of high-risk health centers is resource-intensive and may miss key indicators across large datasets. Would support a proactive, data-driven approach to inform site visit schedules and technical assistance planning.","AI-driven risk identification would allow BPHC to better allocate resources, prioritize site visits, and provide tailored technical assistance. This will help improve compliance, operational performance, and ultimately the quality of care delivered by health centers","The system would use predictive analytics and risk modeling to generate a prioritized list of health centers considered ""high-risk"" based on predefined indicators (e.g., patient safety concerns, poor quality metrics, application anomalies). Outputs will support more targeted oversight and TA deployment schedules."
HHS,AI in Figma Make,HHS/CMS/OC,1,0,general_llm,,c)  Deployed  The use case is being actively authorized or utilized to support the functions or mission of an agency.,Generative AI,,,Rapid prototyping,Improved speed and efficiency,Suggestion
HHS,AI-Enhanced Journal Clubs,HHS/NIH,1,0,general_llm,,a) Pre-deployment  The use case is in a development or acquisition status.,Generative AI,,,"A lack of engagement, efficiency, and productivity at journal clubs due to the burden of gathering topically relevant and high quality journal articles for review.",Make journal clubs more engaging and informative with highly relevant articles recommended by the AI.,Recommended journal articles
HHS,AI-Generated Pre-Briefs for MAG Hearings and AIRC Sessions,HHS/CMS/OHI,1,0,general_llm,,a) Pre-deployment  The use case is in a development or acquisition status.,Generative AI,,,Utilize an AI system to compile structured pre-briefs for MAG Hearings and AIRC sessions.,"The goal is to provide Hearing Officers with a concise, data rich overview of the appeal case, enabling more focused and efficient sessions.","A standardized, data-rich case summary for each appeal, including key facts, timelines, relevant documentation, and decision history, presented in a concise format optimized for Hearing Officer review."
HHS,AI-assisted Platform for Clinical Pharmacology Review,HHS/FDA/CDER,1,0,general_llm,,a) Pre-deployment  The use case is in a development or acquisition status.,Generative AI,,,"The AI solution addresses inefficiency in the clinical pharmacology review process by reducing time reviewers spend on routine tasks, allowing them to focus their expertise on complex scientific analysis and decision-making that truly requires their specialized knowledge.","The AI integration is expected to enhance agency efficiency by optimizing reviewer time allocation, allowing them to focus on high-value tasks requiring specialized expertise. This leads to improved productivity, reduced delays, and enhanced overall performance. For the public, this translates to more timely and higher quality regulatory reviews of new medications.","AI assisted answers to list of tasks in selected task groups for clinical pharmacology review, including supporting information helping reviewers to identify the source of information from original documents."
HHS,AI-enabled User Support and Impact Monitoring,HHS/NIH,1,0,general_llm,,a) Pre-deployment  The use case is in a development or acquisition status.,Generative AI,,,User support for DSLD data inquiries and monitoring of DSLD usage and impact in the research community.,"Support AI adoption in the federal workforce, offer new ways to address the complex analytical needs of DSLDs super-user community by allowing for a deeper exploration of the data than the standard DSLD web interface can provide, and provides the opportunity to evaluate the AI tool and to make incremental improvements by fine-tuning the model and interface.",Chatbot-style interface
HHS,AI-generated podcast describing recent advances in methods for analysis of RNA-seq data,HHS/NIH,1,0,general_llm,,a) Pre-deployment  The use case is in a development or acquisition status.,Generative AI,,,Genomic analysis is a rapidly evolving field with advances in analytical methods arising frequently. This makes it difficult to stay on top of new techniques.,Improved understanding of new genomic analytical methods,An AI-generated podcast episode synthesizing information from several recent publications highlighting new methods for genomic analysis
HHS,ASSIST Tool,HHS/CMS/OFM,1,0,general_llm,,a) Pre-deployment  The use case is in a development or acquisition status.,Generative AI,,,This tool focuses on strategic alignment and mission effectiveness across the team.,"This tool focuses on strategic alignment and mission effectiveness by ensuring that work activities directly support CMS's strategic objectives through Strategic Framework Integration. It maintains organizational direction and priorities with a Mission Focus. Furthermore, it drives performance improvements and best practices through Operational Excellence and demonstrates how daily work contributes to broader CMS goals with accountability.",The output provides analysis and recommendations based off of stated operational achievements.
HHS,Annual Report CMC,HHS/FDA/CDER,1,0,general_llm,,c)  Deployed  The use case is being actively authorized or utilized to support the functions or mission of an agency.,Generative AI,CDEROne Analytics: FISMA-high environment,Deloitte,"FDA receives numerous annual reports from drug manufacturers containing important manufacturing and quality information, but key details can be difficult to locate quickly within lengthy documents.","Objective of this use case was to assist in extracting Chemistry, Manufacturing, and Controls (CMC) changes reported within unstructured annual report industry submission documents to help build a complete repository for downstream analysis and more efficient regulatory review.",Support information extraction from unstructured documents
HHS,Artificial Intelligence Use Case Pilot in Medical Review on Medicare Fee-For-Service (FFS) Improper Payment Measurement (Comprehensive Error Rate Testing Program) Data,HHS/CMS/OFM,1,0,general_llm,,a) Pre-deployment  The use case is in a development or acquisition status.,Generative AI,,,"OFM is  hoping to leverage cutting-edge AI technology to potentially introduce new efficiencies and accuracy in the Comprehensive Error Rate Testing (CERT) medical review process by moving away from manual medical review which is costly, sometimes inaccurate, and inefficient.","Expected benefits include cost savings, new efficiencies and accuracy of clinical medical review decision making for reporting meaning Medicare FFS improper payment improper payments.",Recommendation
HHS,Assessing public comment responses to draft NIOSH wildland fire smoke document,HHS/CDC,1,0,nlp_specific,,a) Pre-deployment  The use case is in a development or acquisition status.,Natural Language Processing (NLP),,,Efficiently compile and synthesize the public comments received for a draft NIOSH document.,Make the NIOSH response to public comments more efficient and effective and reduce the time needed to review public comments.,Public comment responses compiled in various formats to make the response process more efficient.
HHS,Assist in research on the association between hearing loss and dementia for the NIDCD EARssentials hot topic presentation,HHS/NIH,1,0,general_llm,,a) Pre-deployment  The use case is in a development or acquisition status.,Generative AI,,,Assist in deepening my understanding the statistical methodologies applied in research examining the association between hearing loss and dementia.,Improving understanding of statistical methods in population research of hearing loss and dementia.,Explanation of the concepts and methodologies used in population-based study.
HHS,Auto-Suggest Journal Tool,HHS/CDC,1,0,general_llm,,a) Pre-deployment  The use case is in a development or acquisition status.,Generative AI,,,"It can be challenging and time-consuming for NCHS staff to research journals and gather the pertinent information to guide a decision of which journal to target for publication. Important information to consider when identifying a target journal includes the journals field or subject matter, word limits, formatting and submission guidelines, whether the journal is open access, the impact factor, and acceptance rate. Existing tools use keyword searching, term frequencies, and word similarity scoring to identify potential journal matches, but AI presents the potential for a more effective approach that can consider more factors.",Reduction in researcher time spent searching through journal databases and websites to identify specific information about publication requirements.,"The tool will output a list of the top matching journals along with key information about each journal, such as the field or subject matter of the journal, word limit, whether the journal is open access, impact factor, and acceptance rate."
HHS,Automating Influenza Vaccine Virus Data Processing,HHS/CDC,1,0,general_llm,,b)  Pilot  The use case has been deployed in a limited test or pilot capacity.,Generative AI,,,Information for candidate vaccine virus (CVV) data from public-facing websites is highly labor intensive to gather. Previously R scriptstext files with computer programming commandsautomate some scraping processes but still rely on manual methods to extract data from PDFs.,"The automation from this AI use case reduced processing time for new data from about one week to one day, enabling faster access and analysis of CVV data to enhance CDCs preparedness for upcoming flu seasons.","The use case automates extracting key phrases, recognizing text, processing forms, and identifying entities to streamline data extraction and supplement missing CVV data from PDFs. This tool is intended for internal use only."
HHS,BDC Website Search,HHS/NIH,1,0,general_llm,Aretec SEARCH,a) Pre-deployment  The use case is in a development or acquisition status.,Generative AI,,,"The AI provides natural language searching of BDC website information, making it easier for users to find relevant information.",The AI will provide a more user friendly and efficient information search system.,The AI outputs natural language search responses using BDC website information. The AI also outputs citations for retrieved information.
HHS,CMS Chat,HHS/CMS/OIT,1,0,general_llm,,c)  Deployed  The use case is being actively authorized or utilized to support the functions or mission of an agency.,Generative AI,CEDAR,Skyward IT Solutions,Workforce productivity and operational efficiency,The expected benefits include significant productivity gains and enhanced operational efficiency through streamlined work.,"CMS Chat generates text-based responses including drafted content for emails and reports, document summaries and analysis, synthesized findings, brainstormed ideas, and answers to queries - all delivered through a conversational interface ."
HHS,Certification and Testing/Program Administration  AI-enabled Internal Processes,HHS/ASTP,1,0,general_llm,,a) Pre-deployment  The use case is in a development or acquisition status.,Generative AI,,,"ONCs certification and related program operations rely on many manual, text-heavy, and repetitive tasks (e.g., analyzing surveillance reports, validating certification test results, generating public meeting materials, preparing communications, managing Jira tickets, summarizing standards/IG guidance, and drafting acquisition documents). These activities are time-consuming, error-prone, and difficult to scale as program workload increases. The AI use case is intended to automate or semi-automate routine document drafting, data summarization, basic analysis, and information retrieval across these functions so staff can focus on higher-value review, oversight, and decision-making.","Expected benefits include: (1) improved efficiency of internal certification and program operations (e.g., faster preparation of surveillance analyses, CHPL artifacts, and meeting materials); (2) reduced risk of omissions and inconsistencies in internal documents through standardized AI-assisted drafting and terminology checks; (3) quicker access to relevant information from CHPL data, Jira tickets, standards implementation guides, and financial spreadsheets; and (4) more timely, clear, and consistent public-facing communications and policy/support documents. Indirectly, these improvements support ONCs mission to advance safe, interoperable health IT by improving the quality and timeliness of its certification, oversight, and communication activities.","AI-generated or AI-assisted outputs include: (1) draft analytical summaries and reports (e.g., surveillance reporting analysis, RWT results validation, SED categorization, data visualizations); (2) draft public-facing and stakeholder communications (e.g., webinar Q&As, plain-language explanations of regulatory or standards text, communication templates); (3) internal operational artifacts (e.g., CHPL backups, release notes, Jira responses and ticket summaries, Excel query results); and (4) first drafts of acquisition and planning documents (e.g., statements of work, market research, memoranda of need, acquisition plans). All outputs are reviewed, edited, and approved by ONC staff before use."
HHS,Clinical Trial Predictor,HHS/NIH,1,0,general_llm,,c)  Deployed  The use case is being actively authorized or utilized to support the functions or mission of an agency.,Generative AI,,,"Applications that propose clinical trials that are submitted to NOFOs that do not allow clinical trials cannot be funded, no matter how well they do in review, because they were not reviewed using all appropriate clinical trial criteria. This application allows NIH to identify clinical trial applications submitted to NOFOs that do not allow clinical trials so they can be withdrawn before being reviewed and potentially transferred to a NOFO that does allow clinical trials.","The AI tool predicts whether grant applications may involve clinical trials based on the text of their titles, abstracts, narratives, specific aims, and research strategies. It is very difficult to deal with misclassified CTs that make to review on a CT not allowed FOA: no matter how good the score is, the IC cannot fund them.  The CT prediction algorithm is used to help identify potential CTs on CT not allowed NOFOs, mainly the parent R01.","Input: IMPAC II application data, including titles, abstracts, narratives, specific aims, and research strategies. Output: Prediction of possible clinical trial submitted to a non-CT NOFO."
HHS,Document summarization,HHS/SAMHSA,1,0,classical_ml,,"d) Retired  The use case was reported in the agencys prior years inventory, but its development and/or use has since been discontinued.",,,,,,
HHS,Driving Efficiency and Expansion of Dietary Supplement Label Database Data through AI,HHS/NIH,1,0,general_llm,,a) Pre-deployment  The use case is in a development or acquisition status.,Generative AI,,,Enhance database QA and enhance database records acquisition rate,More rapid sourcing of dietary supplement label data and enhanced quality assurance of database records,Increased number of monthly sourced labels from the current rate of 1500/month and increased accuracy of database record data fields
HHS,Executive Order Gap Analysis Tool,HHS/CMS/OFM,1,0,general_llm,,a) Pre-deployment  The use case is in a development or acquisition status.,Generative AI,,,A specialized compliance and analysis solution that analyzes Executive Orders and program impact.,The solution assists the program in compliance and analysis. It systematically reviews new Executive Orders and compares them against existing business and technical requirements. It identifies gaps where current processes might need adjustments and supports compliance to ensure CMS operations align with federal mandates.,Provides recommendations and gap analysis.
HHS,Generating Metadata for Web Archive Resources,HHS/NIH,1,0,general_llm,,a) Pre-deployment  The use case is in a development or acquisition status.,Generative AI,,,Time-intensive process needed to generate accurate and descriptive metadata about web resources,"More consistent, reliable, accurate and publicly available information about resources",Draft metadata about archived web resources.
HHS,HIVE AI Pilot,HHS/FDA/CBER,1,0,general_llm,,b)  Pilot  The use case has been deployed in a limited test or pilot capacity.,Generative AI,HIVE,SAIC,"The AI is intended to assist in solving several problems related to the review process for INDs.  Specifically, it aims to address issues of inefficiency, delays in identifying deficiencies and information overload.  By providing recommendations for review disciplines, it helps reviewers to quickly identify potential review disciplines that are required.  By identifying grossly deficient submissions early on, it reduces the workload and highlighting key data helps reviewers to focus on higher-level tasks that require their expertise.","Overall, is designed to improve efficiency and effectiveness of the regulatory review process, allowing for quicker and well-informed decision making",The system's output include: 1. review discipline recommendations - automated suggestions for the most appropriate review disciplines for each incoming submission.  2. highlighted key data -  generates reports highlighting critical information to facilitate quicker understanding by RPMs and reviewers. 3. Summaries - reports summarizing large documents to potentially accelerate review.
HHS,HRSA Fact Sheets,HHS/HRSA,1,0,general_llm,,a) Pre-deployment  The use case is in a development or acquisition status.,Generative AI,,,Generate HRSAs Program Fact Sheets for public use and reduce the cycle time by eliminating manual review and validation process.,"Public can immediately find clear, authoritative facts about HRSA programs, funding, workforce, outcomes. Also Strengthens grant proposals, community outreach, and health planning based on accurate, timely information",Provides HRSA Facts Sheets that are validated and can also embed additional comments so that public can get to understand this data and information better
HHS,ITAC SOP Chat,HHS/NIH,1,0,general_llm,Aretec SEARCH,c)  Deployed  The use case is being actively authorized or utilized to support the functions or mission of an agency.,Generative AI,,,"The AI provides natural language searching of ITAC SOP, policy, and as-built documents allowing users to easily locate knowledge and easily view the document section that includes the knowledge.","The AI will increase operational efficiency by allowing ITAC users to more easily search and locate knowledge from SOP, policy, and As-Built documents.","The AI outputs natural language responses based on knowledge from ITAC SOP, policy, and As-Built documents. It also outputs citations with a built-in reader to allow users to view document sections where the knowledge was found."
HHS,Knowledge Management Solution,HHS/CMS/OFM,1,0,general_llm,Microsoft Teams,a) Pre-deployment  The use case is in a development or acquisition status.,Generative AI,,,This AI-driven system addresses a critical challenge in government operations - preserving institutional knowledge.,"Key benefits include knowledge preservation by capturing and maintaining complex expertise, and resource development that helps onboard new staff and upskill existing team members. Additionally, operational efficiency is enhanced by enabling teams to accomplish more with existing resources. Continuity is ensured by reducing knowledge loss when experienced staff transition.",Contextual answers and recommendations and reference documentation
HHS,Leveraging AI for the Creation of Synthetic Datasets,HHS/CDC,1,0,general_llm,,b)  Pilot  The use case has been deployed in a limited test or pilot capacity.,Generative AI,,N/A,"We aim to  generate synthetic datasets that will support training, testing, and software development improving the overall development process",The use of an AI-assisted programming environment can significantly reduce the time required to write code for generating synthetic datasets. This efficiency allows us to quickly create the necessary variables and establish the relationships between them. The synthetic data produced through this project will enhance the training experience and streamline the software development process.,The primary outputs from the AI system will include synthetic datasets specifically designed to simulate Healthcare-Associated Infection (HAI) data.
