slug,url,notes
dhs_ai_deep_dive,https://www.dhs.gov/archive/news/2024/12/16/ai-dhs-deep-dive-our-use-case-inventory,DHS article naming specific inventory use cases
dhs_traveler_verification_service,https://www.dhs.gov/publication/dhscbppia-056-traveler-verification-service,DHS PIA for traveler identity verification use cases
dhs_cbp_translate_pia,https://www.dhs.gov/publication/dhscbppia-069-cbp-translate-application,DHS PIA for CBP Translate use case
dhs_social_media_monitoring_pia,https://www.dhs.gov/publication/dhscbppia-058-publicly-available-social-media-monitoring-and-situational-awareness,DHS PIA covering Babel and related OSINT use cases
dhs_tasr_repo,https://github.com/dhs-gov/tasr_lda,DHS-linked open-source repository from the inventory
doe_inventory_page,https://www.energy.gov/cet/doe-ai-use-case-inventory,DOE official AI inventory page
doe_nrel_elm,https://github.com/NatLabRockies/elm,NREL repository tied to DOE Energy Wizard and similar LLM energy research entries
hhs_inventory_page,https://www.hhs.gov/programs/topic-sites/ai/use-cases/index.html,HHS official AI use case inventory page
nasa_inventory_page,https://www.nasa.gov/ai-inventory/,NASA official AI inventory page
va_inventory_page,https://department.va.gov/ai/ai-use-case-inventory/,VA official AI inventory page
