agency,use_case_name,verdict,confidence,reasoning
HHS,AI Code Assistance  WETG GitHub CoPilot Proof-of-Concept,ide_autocomplete,high,"Product is GitHub Copilot with only ""Coding assistance"" benefit language and no agent-mode or multi-step autonomy described, so it defaults to autocomplete."
HHS,AI DevOps - Improving Development and CI/CD Operations,code_analysis_tool,high,"Narrative repeatedly describes ""AI code review"" that analyzes source code to detect bugs, security vulnerabilities, and coding-standard deviations, not code authoring."
HHS,AI Workspace,unclear,low,"Only describes a ""hosted development environment with access to AI tooling, including LLMs"" for early-stage exploration, with no product or specific behavior named."
HHS,AI-Generated Data Processing and Visualization Code Development,chat_assistant,medium,"Describes ""AI assisted code generation"" for macros, formulas, and dashboards with no IDE coupling or named product, consistent with prompted code generation."
HHS,CCSQ Now Assist for Creator,chat_assistant,high,"ServiceNow Now Assist output is explicitly ""Text to Code. Text to Flow."" -- natural-language-to-code generation with no IDE completion or autonomous execution described."
HHS,CSB MCP AI,unclear,low,"Outputs list ""infrastructure code generation, and task execution"" alongside reports/Q&A, but no product is named and ""task execution"" is not elaborated enough to confirm agentic autonomy."
HHS,Code Conversion for PowerBI Migration,code_analysis_tool,medium,"Generates code to migrate/convert Tableau dashboards to PowerBI, matching the taxonomy's legacy-code translation/modernization example."
HHS,Coding translation,code_analysis_tool,medium,"Use case is literally ""Coding translation,"" explicitly translating code between programming languages (e.g., Python to R) and natural language to code."
HHS,Notebooks Hub,chat_assistant,medium,"OpenAI API used within a notebooks environment to help researchers ""code their applications... more quickly,"" with no IDE-embedded completion or agentic workflow described."
HHS,Writing code using AI,chat_assistant,medium,"Palantir AIP output is described as ""recommended pyspark code"" assisting novice users writing code -- prompted suggestions rather than IDE autocomplete or autonomous execution."
DOC,AI Pair Programming with GitHub CoPilot,ide_autocomplete,high,"GitHub Copilot named with no narrative describing agent-mode or multi-step autonomy, so it defaults to autocomplete per the product-name rule."
DOC,APIgee with Gemini Code Assist for OpenAPI Development,ide_autocomplete,medium,Gemini Code Assist named for OpenAPI development with no narrative; product defaults to IDE completion absent described agentic behavior.
DOC,Amazon Q Developer Pilot,unclear,low,No narrative beyond the title; Amazon Q Developer spans both autocomplete and autonomous-agent modes and nothing here indicates which is in use.
DOC,Assisted software development,code_analysis_tool,medium,"Narrative describes support for ""code analysis, test case generation, debugging, and documentation"" rather than code authoring."
DOC,GitHub CoPilot,ide_autocomplete,high,"Bare ""GitHub CoPilot"" with no narrative defaults to autocomplete per the product-name rule."
DOC,GitHub Copilot for Code Modernization,code_analysis_tool,low,"No narrative given; the title names ""Code Modernization,"" matching the taxonomy's legacy-code translation/modernization example rather than authoring."
DOC,Scientific Code Development Assistance,unclear,low,"No product name or narrative detail beyond the generic title ""Scientific Code Development Assistance."""
DOC,Statistical package syntax development and debugging,unclear,low,No product name or narrative beyond the generic title about statistical syntax development and debugging.
DOC,Streamlining Fisheries DevSecOps with Gemini Code Assist,ide_autocomplete,medium,"Gemini Code Assist named for DevSecOps work with no narrative describing agentic behavior, so it defaults to IDE completion."
DHS,AI-Powered Developer Tools,ide_autocomplete,medium,"Palantir AIP outputs are ""suggested code snippets, refactoring recommendations"" that ""must be reviewed and approved,"" and the tool explicitly does not modify production systems, ruling out agent autonomy."
DHS,CodeGen,chat_assistant,medium,"Custom tool produces ""generated code snippets and/or textual explanations"" to assist developers -- prompt-style generation with no IDE coupling or autonomous execution described."
DHS,Commercial Generative AI for Code Generation,unclear,low,"Retired use case with no narrative beyond the generic title ""Commercial Generative AI for Code Generation."""
DHS,OCFO Code Assist GPT,chat_assistant,high,"Explicitly session-based prompting: users enter a query language and the GPT ""provides a proposed query,"" letting users ""prompt for enhancements"" -- classic chat interaction."
DHS,RTPD Division Services Desktop Automation,unclear,low,"Generic ""AI Coding Assistants"" language covering issue identification, troubleshooting, and ""complex coding"" with no product named or distinguishing behavior detail."
DHS,Source Code Development Tool,chat_assistant,medium,"Coding assistant lets users ""create, refine, and complete software projects through natural language commands and queries"" -- prompt-driven generation with no IDE or autonomous execution described."
SBA,Developer Code Assistant AI,coding_agent,high,"Explicitly describes ""autonomous agentic capabilities"" that ""autonomously perform multi-step tasks including unit testing, documentation, code reviews, refactoring, and legacy code transformation."""
SBA,Developer Code Assistant AI,coding_agent,high,"Describes Copilot's ""autonomous coding agent that can be assigned GitHub issues to independently write code and create pull requests"" -- explicit agent-mode behavior."
SBA,Multi-Agent Orchestration,coding_agent,medium,"Describes ""Agent Teams"" of specialized coordinated agents (refactoring, testing, project management) performing distinct automated tasks, though final code changes require human review."
DOI,"Integration of AI, specifically CoPilot for GitHub,  for BTFA Software Development Life Cycle Process for DME and O&M applications.",ide_autocomplete,medium,GitHub Copilot integrated into the SDLC with changes reviewed by staff before production; no agentic multi-step behavior described.
