use_case_id_2024,tagged_by_agent,quality_flags_json,reasoning,confidence,entry_type,is_generative_ai,ai_sophistication,deployment_scope,is_general_llm_access,is_coding_tool,tool_product_name,tool_vendor
34136,wave2a-continued,"[""material_divergence"", ""drift_legitimate""]",is_generative_ai 2024=0 vs 2025=1; agency added generative AI between cycles,medium,,,,,,,,
34142,wave2a-continued,"[""material_divergence"", ""drift_legitimate""]",is_generative_ai 2024=0 vs 2025=1; agency added generative AI between cycles,medium,,,,,,,,
34146,wave2a-continued,"[""material_divergence"", ""drift_legitimate""]",is_generative_ai 2024=0 vs 2025=1; agency added generative AI between cycles,medium,,,,,,,,
34149,wave2a-continued,"[""material_divergence"", ""drift_legitimate""]",is_generative_ai 2024=0 vs 2025=1; entry_type also shifted custom_system->product_deployment; agency added generative AI between cycles,medium,,,,,,,,
34152,wave2a-continued,"[""material_divergence"", ""drift_legitimate""]",is_generative_ai 2024=0 vs 2025=1; agency added generative AI between cycles,medium,,,,,,,,
34157,wave2a-continued,"[""material_divergence"", ""drift_legitimate""]",is_generative_ai 2024=0 vs 2025=1; agency added generative AI between cycles,medium,,,,,,,,
34158,wave2a-continued,"[""material_divergence"", ""drift_legitimate""]",is_generative_ai 2024=0 vs 2025=1; agency added generative AI between cycles,medium,,,,,,,,
34159,wave2a-continued,"[""material_divergence"", ""drift_legitimate""]",is_generative_ai 2024=0 vs 2025=1; agency added generative AI between cycles,medium,,,,,,,,
34176,wave2a-continued,"[""material_divergence"", ""drift_legitimate""]",is_generative_ai 2024=0 vs 2025=1; agency added generative AI between cycles,medium,,,,,,,,
34186,wave2a-continued,"[""material_divergence"", ""drift_legitimate""]",is_generative_ai 2024=0 vs 2025=1; agency added generative AI between cycles,medium,,,,,,,,
34207,wave2a-continued,"[""material_divergence""]",is_generative_ai 2024=1 vs 2025=0,medium,,,,,,,,
34213,wave2a-continued,"[""material_divergence""]",is_generative_ai 2024=1 vs 2025=0,medium,,,,,,,,
34216,wave2a-continued,"[""material_divergence"", ""tagging_error_2025""]",is_generative_ai 2024=1 vs 2025=0; narrative mentions genai marker; 2025 tag of 0 likely wrong,medium,,,,,,,,
34220,wave2a-continued,"[""material_divergence""]",is_generative_ai 2024=1 vs 2025=0,medium,,,,,,,,
34227,wave2a-continued,"[""material_divergence"", ""drift_legitimate""]",is_generative_ai 2024=0 vs 2025=1; agency added generative AI between cycles,medium,,,,,,,,
