agency,use_case_name,verdict,final_ai_sophistication,confidence,reasoning
DOL,Automatic Data Processing Workflow with Form Recognizer (9130/9178 Reconciliation Project),reclassify,computer_vision,low,"Retired row with empty narrative; the name 'Form Recognizer' indicates document-OCR form extraction (Azure Form Recognizer-style), not model-driven multi-step planning."
FDIC,Trust Document Entity Extraction - LLM,reclassify,nlp_specific,high,OMB classifies this as NLP; the LLM is used 'to automate the extraction of key information from trust agreements' — single-step entity extraction with no planning or tool use.
FERC,AI Enabled Assistant Legal Research,reclassify,general_llm,high,"GenAI legal assistant 'automating research, document analysis, and drafting' with outputs 'subject, by policy, to human validation' — drafting assistant, no autonomous multi-step orchestration."
FHFA,Workflow automation and predictive analytics using ServiceNow,reclassify,predictive_analytics,high,"OMB says Classical/Predictive ML; ServiceNow 'automating workflows, predictive analytics, and providing intelligent service management' is platform workflow automation plus predictive features, not model-driven planning."
NSF,AI voice over,reclassify,nlp_specific,high,"WellSaid Labs / ElevenLabs 'to generate temporary placeholder voice over' — text-to-speech synthesis, no multi-step agency."
SBA,Internal OFO Chatbot Recommender,reclassify,general_llm,medium,"The chatbot 'analyzes inputs and provides approved documents as relevant recommendations' — retrieval Q&A chatbot with no tool-use orchestration; OMB labels it Machine Learning, not Agentic."
SBA,Chatbots for internal research,reclassify,general_llm,high,"Staff 'access AI chatbots (e.g., claud, chatgpt) to improve internal research' — plain commercial-LLM Q&A, not agentic."
SBA,Office of Advocacy AI System-Prompt Suite,reclassify,general_llm,high,"A 'suite of structured Large Language Model (LLM) system prompts' for rewriting, summarizing, drafting and fact-checking — prompt templates with JSON output, no model-driven multi-step planning."
SBA,SBA.gov External Customer Chatbot,keep,agentic,medium,"Salesforce Einstein 'AI-powered autonomous customer service agent' that 'handles case classification, intelligent routing, 24/7 customer support, and seamless es[calation]' grounded in CRM data — model-driven actions beyond simple Q&A."
SEC,Evaluating Cybersecurity Alerts,keep,agentic,medium,OMB itself classifies this pilot as 'Agentic AI' and it produces 'cybersecurity analysis reports and initial assessments of activity' — consistent with agentic SOC alert-triage; narrative is thin so the agency classification carries.
SEC,Testing Developer Workflows,reclassify,coding_assistant,low,"Retired with empty narrative and no OMB classification; the name 'Testing Developer Workflows' points to developer tooling, so coding_assistant is the most concrete alternative."
SEC,Agentic Knowledge Base of Amazon Web Services Cloud Environment for the Securities and Exchange Commission (ACES),reclassify,general_llm,medium,"Despite 'Agentic' in the name, OMB classifies it Generative AI and the system just 'will look for relevant historical FAQs and Compliance Best Practices to present to Cloud Engineers' — RAG retrieval/summarization, no multi-step action."
SEC,AI-enabled information collection and curation,keep,agentic,medium,"OMB classifies this as 'Agentic AI'; 'collecting information from a variety of sources, including documents, databases, and staff interviews, and curating into a knowledge base' implies multi-source, multi-step orchestration."
SEC,AI-enabled information dissemination,keep,agentic,medium,"OMB classifies this as 'Agentic AI'; the system must 'process, organize, and propagate new information to staff and AI agents when it arrives' — autonomous routing within an explicit multi-agent setup."
SSA,"SSA 800# Public Question & Answer Bot and OIG Hotline recording of fraud, waste and abuse.",reclassify,general_llm,high,"The bot 'answers callers questions using approved FAQs found on SSA.GOV' — FAQ chatbot plus scripted intake, no multi-step tool use."
SSA,Coding Assistance,reclassify,coding_assistant,medium,"Windsurf 'Coding Assistance' to 'increase developer efficiency through faster coding'; OMB tags it Agentic AI, but the taxonomy's concrete bucket for IDE coding tools is coding_assistant."
State,AI Input in Translation,reclassify,nlp_specific,high,"Trados machine translation whose 'machine output is carefully post-edited by professional human translators' — MT pipeline, not agentic."
State,Data.State Analytics and AI Funhouse,reclassify,general_llm,medium,"'Funhouse is a platform that enables use of general purpose AI and ML tools' — a secure sandbox for model access and experimentation, not an agent performing multi-step tasks."
State,Electronic Health Record AI Enhancements,reclassify,nlp_specific,medium,"Palantir EHR outputs are 'automated data extraction, validation, sentiment analysis, categorization... and text summarization' — a document-NLP pipeline with no autonomous planning."
State,AI Tools to Enhance PD Workflows,reclassify,general_llm,low,"Retired with empty narrative and no OMB classification; 'AI Tools to Enhance PD Workflows' suggests generic GenAI productivity tooling, so general_llm at low confidence."
Treasury,Policy Development Editorial Assistant,reclassify,general_llm,high,"GenAI editorial assistant that will 'generate draft revisions to Policies and Procedures Manuals' and flag conflicting or duplicative language — drafting/analysis assistance, not autonomous multi-step execution."
