consolidated_use_case_id,agency,ai_use_case,commercial_product,agency_uses,commercial_examples_snippet,pre_classification
12729,VA,Scheduling internal-to-government meetings or appointments or setting reminders using AI.,,N,,va_dark_consolidated
12730,VA,Logging and analyzing time spent on tasks using AI-powered time management tools.,,N,,va_dark_consolidated
12732,VA,Prioritizing and categorizing incoming emails using AI.,,N,,va_dark_consolidated
12733,VA,"Editing images, videos, or other public affairs materials using AI.",,N,,va_dark_consolidated
12734,VA,Scheduling and managing social media posts using AI.,,N,,va_dark_consolidated
12738,VA,Creating visual representations of data sets for reports or presentations using AI.,,N,,va_dark_consolidated
12739,VA,Using AI-assisted tools in word processors.,,N,,va_dark_consolidated
12742,VA,Identifying and cataloging items in a storage room using AI-driven image recognition.,,N,,va_dark_consolidated
12745,VA,Curating news articles and updates based on user preferences using AI.,,N,,va_dark_consolidated
12746,VA,Planning travel routes using AI-driven map applications.,,N,,va_dark_consolidated
12747,VA,Finding and booking travel accommodations using AI-powered platforms.,,N,,va_dark_consolidated
