"SECTION 1: Use Case Identifiers
Complete this Section for the following Use Cases: Retired,  Pre-deployment, Pilot, and Deployed",,,,,,,,"SECTION 2: Use Case Summary
Complete this Section for the following Use Cases: Pre-deployment, Pilot, and Deployed",,,,,"SECTION 3: Documentation
Complete this Section for the following Use Cases: Pilot, and Deployed

",,,,,"SECTION 4: Data & Code
Complete this Section for the following Use Cases: Pilot, and Deployed",,,,,,,"
SECTION 5: Risk Management 
Complete this Section for the following Use Case: Deployed and if ""HIGH-IMPACT"" from SECTION 1

",,,,,,,,
"Use Case ID

[Agency Abbrev.] – [#] ",Use Case Name,Bureau/Component,Email Address,Should this AI use case be withheld from public reporting?,Stage of Development,Is the AI use case high-impact?,Justification,Use Case Topic Area,AI Classification,What problem is the AI intended to solve?,What are the expected benefits and positive outcomes from the AI for an agency’s mission and/or the general public?,Describe the AI system’s outputs.,Date when AI use case became operational or the pilot’s start date,Was the system involved in this use case purchased from a vendor or developed under contract(s) or in-house?,Vendor(s) Name,Does this AI use case have an associated Authorization to Operate (ATO)?,System(s) Name,"Describe any data used to  train, fine-tune, and/or  evaluate performance of the  model(s) used in this use  case.","If the data is required to be  publicly disclosed as an  open government data asset,  provide a link to the entry on the Federal Data Catalog.",Does this AI use case  involve personally  identifiable information (PII)  that is maintained by the  agency?,"If publicly available, provide  the link to the AI use case’s associated Privacy Impact Assessment (PIA).","Which, if any, demographic  variables does the AI use  case explicitly use as model  features?",Does this project include  custom-developed code?,"If the code is open source, provide the link for the  publicly available source  code.","Has pre-deployment testing been conducted for this AI  use case? 




Practice: Complete AI Impact Assessment","Has an AI impact assessment been completed for this AI use case? 



Practice: Complete AI Impact Assessment","What are the potential  impacts of using the AI for  this particular use case and  how were they identified?    



Subpractice: Complete AI  Impact Assessment","Has as independent review  of the AI use case been  conducted?    




Sub practice Complete AI  Impact Assessment","Is there a process to conduct
ongoing monitoring to
identify any adverse impacts
to the performance and
security of the AI functionality, as well as to privacy, civil rights, and civil liberties?

Practice: Conduct Ongoing Monitoring for Performance and Potential Adverse Impacts","Has the agency established sufficient and periodic  training for operators of the  AI to interpret and act on the  its output and managed associated risks?


Practice: Ensure Adequate Human Training and Assessment","Does this AI use case have an appropriate fail-safe that minimizes the risk of significant harm?





Practice: Provide Additional Human Oversight, Intervention, and Accountability","Is there an established appeal process in the event that an impacted individual would like to appeal or  contest the AI system’s  outcome?


Practice: Offer Consistent Remedies or Appeals","What steps has the agency taken to consult and incorporate feedback from end users of this AI use case and the public?




Practice: Consult and Incorporate Feedback from End Users and the Public"
NASA-1,Anomaly Detection and Precursor Identification in UAV flight data,ARC: Ames Research Center,agency-caio@mail.nasa.gov,a) No,a) Pre-deployment – The use case is in a development or acquisition status.,c) Not high-impact,,Science,Classical/Predictive Machine Learning,This project is using past algorithms developed by the NASA ARC (Ames Research Center) Data Sciences Group and modifying them with application to identifying previously-unknown anomalies and precursors to known issues in UAV (Unmanned Aerial Vehicle) test flights.,This project is using past algorithms developed by the NASA ARC (Ames Research Center) Data Sciences Group and modifying them with application to identifying previously-unknown anomalies and precursors to known issues in UAV (Unmanned Aerial Vehicle) test flights.,previously-unknown anomalies and precursors to known issues in UAV (Unmanned Aerial Vehicle) test flights.,,,,,,,,,,,,,,,,,,,,,
NASA-5,Autoresolver/Tailored Arrival Manager,ARC: Ames Research Center,agency-caio@mail.nasa.gov,a) No,a) Pre-deployment – The use case is in a development or acquisition status.,c) Not high-impact,,Transportation,Agentic AI,"The Autoresolver system is a tool for autonomous air traffic management. It is designed to perform many of the tasks that air-traffic controllers have historically performed including maintaining separation between aircraft, sequencing and scheduling aircraft across locations in space, and avoiding airspace volumes like weather systems and restricted airspace.","The Autoresolver system is a tool for autonomous air traffic management. It is designed to perform many of the tasks that air-traffic controllers have historically performed including maintaining separation between aircraft, sequencing and scheduling aircraft across locations in space, and avoiding airspace volumes like weather systems and restricted airspace.",autonomous air traffic management,,,,,,,,,,,,,,,,,,,,,
NASA-8,Deep Learning for Flood Mapping (DELTA),ARC: Ames Research Center,agency-caio@mail.nasa.gov,a) No,"d) Retired – The use case was reported in the agency’s prior year’s inventory, but its development and/or use has since been discontinued.",c) Not high-impact,,Science,Computer Vision,DELTA simplifies machine learning for satellite imagery. ,"Remotely sensed imagery is increasingly used by emergency managers to monitor and map the impact of flood events to support preparedness, response, and critical decision making throughout the flood event lifecycle. To reduce latency in delivery of imagery-derived information, ensure consistent and reliably derived map products, and facilitate processing of an increasing volume of remote sensed data-streams, automated flood mapping workflows are needed. A joint USGS-NASA-Univ. Alabama initiative developed DELTA and applied it to automatic near-real time flood detection, using multiple sources of satellite imagery for use in disaster response.","monitor and map the impact of flood events to support preparedness, response, and critical decision making throughout the flood event lifecycle",,,,,,,,,,,,,,,,,,,,,
NASA-9,Distributed Spacecraft Autonomy,ARC: Ames Research Center,agency-caio@mail.nasa.gov,a) No,a) Pre-deployment – The use case is in a development or acquisition status.,c) Not high-impact,,Science,Agentic AI,"Distributed Spacecraft Autonomy (DSA) is a project developed by the National Aeronautics and Space Administration that enables distributed spacecraft systems through the development of three capabilities: scalable communication, distributed coordination and planning, and human-swarm interaction. DSA will demonstrate these capabilities in two contexts. The first context is a flight demonstration consisting of a software payload hosted on the Starling-1 small-spacecraft mission. This software payload will use the on-board GPS receiver to perform in-situ, swarm-level reconfiguration in response to observed features in the Topside Ionosphere. The second context is a scalability study, which shows how the technologies developed in the flight demonstration can scale to a large number of spacecraft (≈ 100). The scalability demonstration applies the tools developed for the flight mission to a hardware-in-the-loop simulation of the flight software payload.","Distributed Spacecraft Autonomy (DSA) is a project developed by the National Aeronautics and Space Administration that enables distributed spacecraft systems through the development of three capabilities: scalable communication, distributed coordination and planning, and human-swarm interaction. DSA will demonstrate these capabilities in two contexts. The first context is a flight demonstration consisting of a software payload hosted on the Starling-1 small-spacecraft mission. This software payload will use the on-board GPS receiver to perform in-situ, swarm-level reconfiguration in response to observed features in the Topside Ionosphere. The second context is a scalability study, which shows how the technologies developed in the flight demonstration can scale to a large number of spacecraft (≈ 100). The scalability demonstration applies the tools developed for the flight mission to a hardware-in-the-loop simulation of the flight software payload. Distributed Spacecraft Systems are a type of multi-spacecraft mission architecture that can not only provide improved resolution, coverage, and availability of existing missions, but also enable missions that would be previously infeasible using traditional approaches. Autonomy is a critical need for these systems, since the cost associated with applying conventional approaches for command and control does not scale with the number of spacecraft. ","DSA will demonstrate these capabilities in two contexts. The first context is a flight demonstration consisting of a software payload hosted on the Starling-1 small-spacecraft mission. This software payload will use the on-board GPS receiver to perform in-situ, swarm-level reconfiguration in response to observed features in the Topside Ionosphere. The second context is a scalability study, which shows how the technologies developed in the flight demonstration can scale to a large number of spacecraft (≈ 100). The scalability demonstration applies the tools developed for the flight mission to a hardware-in-the-loop simulation of the flight software payload.",,,,,,,,,,,,,,,,,,,,,
NASA-10,ExoMiner discovery of ExoPlanets via data from the Kepler and TESS space telescopes,ARC: Ames Research Center,agency-caio@mail.nasa.gov,a) No,a) Pre-deployment – The use case is in a development or acquisition status.,c) Not high-impact,,Science,Classical/Predictive Machine Learning,ExoMiner is being used to statistically validate exoplanets detected by the Kepler space telescope and to identify promising exoplanet candidates for the TESS space telescope,ExoMiner has been used to validated 370 new exoplanets identified in data from the Kepler space telescope. It is now being used to idenitify promising exoplanet candidates in TESS mission data. It promises to significantly reduce the manual effort required while improving the accuracy of identify promising TESS exoplanet candidates and to reject astrophysical false positives and instrumental false alarms.,ExoMiner produces scores between 0.0 and 1.0 for a number of possible categories relevant to transiting exoplanet searches.,,,,,,,,,,,,,,,,,,,,,
NASA-11,Explainable and robust deep semi-supervised model for multi-class anomaly detection in flight data,ARC: Ames Research Center,agency-caio@mail.nasa.gov,a) No,a) Pre-deployment – The use case is in a development or acquisition status.,c) Not high-impact,,Transportation,Classical/Predictive Machine Learning,"This model is a semi-supervised deep learning based anomaly detection for aircraft flight data. It is designed to work when a small subset of data is reviewed and labeled by experts. The most useful realm is where the size of labeled data is small, so that any supervised learning approach won't reach optimum performance. ","This model is a semi-supervised deep learning based anomaly detection for aircraft flight data. It is designed to work when a small subset of data is reviewed and labeled by experts. The most useful realm is where the size of labeled data is small, so that any supervised learning approach won't reach optimum performance. ",anomaly detection,,,,,,,,,,,,,,,,,,,,,
NASA-13,Anomaly detection in aeronautics data with quantum-compatible discrete deep generative model,ARC: Ames Research Center,agency-caio@mail.nasa.gov,a) No,b)  Pilot – The use case has been deployed in a limited test or pilot capacity.,c) Not high-impact,,Science,Classical/Predictive Machine Learning,"Our team developed high-performance unsupervised deep machine-learning models for the detection of flight-operations anomalies. The models’ engineered-feature (latent) spaces are composed of discrete variables, which allows an integration with quantum computing because (part of) the latent-space variables can be populated by quantum-state measurements, which are discrete in nature. ",This project enabled the additional development of two quantum-capable unsupervised deep-learning models with discrete latent space (Bernoulli and Boltzmann priors). The models exhibit state-of-the-art anomaly-detection performance and robustness. Future versions of our models will be deployed on in-time flight-operations data streams. They will also be used to assess the performance and resource requirements of quantum and other physical computing devices.,anomaly detection,,b) Developed in-house,, No,,in-flight operations data streams,, No,,None, No,,,,,,,,,,
NASA-18,Machine Learning Airport Surface Model: Airport Configuration Prediction,ARC: Ames Research Center,agency-caio@mail.nasa.gov,a) No,a) Pre-deployment – The use case is in a development or acquisition status.,c) Not high-impact,,Transportation,Classical/Predictive Machine Learning,The ML-airport-configuration software is developed to provide a reference implementation to serve as a research example how to train and register Machine Learning (ML) models intended for predicting airport configurations. ,"The software provides examples how to build three distinct pipelines for data query and save, data engineering, and data science. These pipelines enable scalable, repeatable, and maintainable development of ML models.",The software is designed to point to databases which are not provided as part of the software release and thus this software is only intended to serve as an example of best practices.,,,,,,,,,,,,,,,,,,,,,
NASA-19,Machine Learning Airport Surface Model: Arrival Runway Prediction,ARC: Ames Research Center,agency-caio@mail.nasa.gov,a) No,a) Pre-deployment – The use case is in a development or acquisition status.,c) Not high-impact,,Transportation,Classical/Predictive Machine Learning,The ML-airport-arrival-runway software is developed to provide a reference implementation to serve as a research example how to train and register Machine Learning (ML) models intended for predicting arrival runway assignments. ,"The software provides examples how to build three distinct pipelines for data query and save, data engineering, and data science. These pipelines enable scalable, repeatable, and maintainable development of ML models.",The software is designed to point to databases which are not provided as part of the software release and thus this software is only intended to serve as an example of best practices. ,,,,,,,,,,,,,,,,,,,,,
