agency,use_case_name,bureau_component,scope_detail,deployment_scope,is_enterprise_wide,is_general_llm_access,estimated_user_count,stage_of_development,tool_product_name,tool_vendor,problem_statement,expected_benefits,ref_id_unstable
DHS,DHS-Chat,MGMT,MGMT,bureau,0,1,,"c)  Deployed – The use case is being actively authorized or utilized to support the functions or mission of an agency.",,,"DHS personnel need a reliable solution to quickly access accurate information, process documents, and support work tasks within the DHS Workspace. Existing workflows are often time-consuming and inefficient, and there is a need to streamline operations while maintaining compliance with security requirements.","This is a chatbot based on a Large Language Models (LLM) for internal DHS employee use - It's like chat-GPT for DHS but approved for use with non-classified but internal information (this includes FOUO (For Official Use Only) CUI (Controlled Unclassified Information) due to its improved security compared to publicly available chatbots.   This tool is able to dynamically create written content thro",132283
DHS,"LIGER Generative AI Toolkit",MGMT,MGMT,bureau,0,1,,"b)  Pilot – The use case has been deployed in a limited test or pilot capacity.","Custom In-House AI",In-House,"LIGER® for FPS will enable FPS users to employ the power of a Large Language Model (LLM) against non-public and sensitive Agency documents to save time and effort conducting time-intensive tasks, such as draft documents to include: Position Descriptions (PD), Statement of Work (SOW) for contracting actions, Professional emails and workforce announcements, Public Affairs stories and releases, and L","FPS personnel spend considerable time creating documents from scratch or manually searching large volumes of documents to retrieve information, identify responsibilities, and find discrepancies or outdated passages within policies. Use of LIGER® is expected to substantially reduce time and associated costs in generating new draft documents such as Statements of Work, Law Enforcement operations ord",132189
DOE,"AI Support Agent Chatbot","EE HQ - EE Headquarters (EE)","EE HQ - EE Headquarters (EE)",bureau,0,1,,"Pre-deployment – The use case is in a development or acquisition status.",,,"Manual helpdesk tickets consume staff time and delay issue resolution.","Reduce Tier-1 support time, improve satisfaction with 24/7 responses, free staff for complex issues.",132778
DOE,"Agentic AI for cybersecurity change request reviews","NR HQ - Naval Reactors (NR)","NR HQ - Naval Reactors (NR)",bureau,0,0,,"Pre-deployment – The use case is in a development or acquisition status.",,,"Use AI Agents for cybersecurity review of documents and structured data to improve processes and to help identify areas of risk.","AI agents automate routine tasks, enhance decision-making, and improve operational efficiency.  In addition, the AI Agent for cybersecurity will allow for a customized approach to tie specific requirement documents with structured data from a database.",132836
DOE,"Argonne Resilience AI Assistant ARAIA (nee CALLM)","GDO HQ - Grid Deployment Office (GDO)","GDO HQ - Grid Deployment Office (GDO)",bureau,0,1,,"Pre-deployment – The use case is in a development or acquisition status.",,,"meeting current administration priorities for a secure and resilient power grid","The AI, the Argonne Resilience AI Assistant (ARAIA) (nee CALLM - Climate Action through Large Language Models), ARAIA is on track to meet the needs and outcomes outlined in the initial project scope and work plan, but is now better positioned to meet future needs and administration goals. addresses the problem of communicating complex climate projections and scientific literature to a broad audien",132624
DOE,"Azure AI Search","NR HQ - Naval Reactors (NR)","NR HQ - Naval Reactors (NR)",bureau,0,0,,"Pre-deployment – The use case is in a development or acquisition status.","Aretec SEARCH",Aretec,"Enhance the capability to find structured and unstructured data within databases and datalakes.","Improve efficiency of finding a data source. Azure AI Search also creates an internal knowledge base for use in a LLM.",132793
DOE,"DOE Technical Standards","EHSS HQ - Office of Environment Health Safety and Security (EHSS)","EHSS HQ - Office of Environment Health Safety and Security (EHSS)",bureau,0,1,,"Deployed – The use case is being actively authorized or utilized to support the functions or mission of an agency.",EnerGPT,"Unknown / DOE-targeted vendor","Aid employees in improving the quality and technical accuracy of their work products.","Enhance quality and accuracy of technical standards, supporting DOE's commitment to safety excellence.",132602
DOE,MAPPRITE,"EHSS HQ - Office of Environment Health Safety and Security (EHSS)","EHSS HQ - Office of Environment Health Safety and Security (EHSS)",bureau,0,1,,"Pilot – The use case has been deployed in a limited test or pilot capacity.",,,"(1) The implemented AI will help automate data mining, ingesting, and indexing of existing disparate organizational data sources information for relevant safeguards and security (S&S) support information; and the (2) expected benefits will be to help","(1) The implemented AI will help automate data mining, ingesting, and indexing of existing disparate organizational data sources information for relevant safeguards and security (S&S) support information; and the (2) expected benefits will be to help improve EHSS-51 business workflows for researching potentially relevant S&S support data available such that the information will be accessible and s",132609
DOE,"Microsoft 365 Copilot","NR HQ - Naval Reactors (NR)","NR HQ - Naval Reactors (NR)",bureau,0,1,,"Pre-deployment – The use case is in a development or acquisition status.","Microsoft 365 Copilot",Microsoft,"Modern enterprise search among Microsoft 365 content, AI integration into daily business applications, improvemed management of email and messaging.","Increased efficiency for routine tasks using Microsoft 365 applications",132842
DOE,PARSGPT,"PM HQ -  Office of Project Management (PM)","PM HQ -  Office of Project Management (PM)",bureau,0,1,,"Deployed – The use case is being actively authorized or utilized to support the functions or mission of an agency.",,,"Project Management internal investigations and audits","The value-add is derived from providing an accessible way for PM Analysts to safely interact with LLM technology.",132590
