Use Case ID ,Use Case Name,Bureau/Component,Stage of Development,Is the AI use case high-impact?,Justification,Use Case Topic Area,AI Classification,What problem is the AI intended to solve?,What are the expected benefits and positive outcomes from the AI for an agency’s mission and/or the general public?,Describe the AI system’s outputs.,Date when AI use case became operational or the pilot’s start date,Was the system involved in this use case purchased from a vendor or developed under contract(s) or in-house?,Vendor(s) Name,Does this AI use case have an associated Authorization to Operate (ATO)?,System(s) Name,"Describe any data used to  train, fine-tune, and/or  evaluate performance of the  model(s) used in this use  case.","If the data is required to be publicly disclosed as an open government data asset, provide a link to the entry on the Federal Data Catalog.",Does this AI use case involve personally identifiable information (PII) that is maintained by the agency?,"If publicly available, provide the link to the AI use case’s associated Privacy Impact Assessment (PIA).","Which, if any, demographic variables does the AI use case explicitly use as model features?",Does this project include custom-developed code?,"If the code is open source, provide the link for the publicly available source code.",Has pre-deployment testing been conducted for this AI use case? ,Has an AI impact assessment been completed for this AI use case? ,What are the potential impacts of using the AI for this particular use case and how were they identified?,Has an independent review of the AI use case been conducted?,"Is there a process to conduct ongoing monitoring to identify any adverse impacts to the performance and security of the AI functionality, as well as to privacy, civil rights, and civil liberties?",Has the agency established sufficient and periodic training for operators of the AI to interpret and act on its output and managed associated risks?,Does this AI use case have an appropriate fail-safe that minimizes the risk of significant harm?,Is there an established appeal process in the event that an impacted individual would like to appeal or contest the AI system’s outcome? ,What steps has the agency taken to consult and incorporate feedback from end users of this AI use case and the public?
USDA-001,Repair Spend,"Research, Education and Economics",c)  Deployed – The use case is being actively authorized or utilized to support the functions or mission of an agency.,c) Not high-impact,,Procurement & Financial Management,Natural Language Processing (NLP),"The AI is to review financial documents and then classify each expense as money spent on ""facility repairs"" or ""not facility repairs"".",The expected benefits include reduction of manual hours identifying the types of transactions.," The output of the model is a recommendation of which financial transactions should be identified as ""repair"" expenses.",6/9/2020,c) Developed with both contracting and in-house resources,Accenture,Yes,"Enterprise Data Analytics Platform & Toolset (EDAPT, Impala, Tableau)","Approximately 14,000 financial transactions were used to train the model and finetune its parameters. Approximately 3,500 financial transactions were used to test the performance of the final model.",, No,,None of the above,Yes,,,,,,,,,,
USDA-002,ARS Project Mapping,"Research, Education and Economics","d) Retired – The use case was reported in the agency’s prior year’s inventory, but its development and/or use has since been discontinued.",c) Not high-impact,,,,,,,,,,,,,,,,,,,,,,,,,,,
USDA-003,NAL Automated Indexing,"Research, Education and Economics",c)  Deployed – The use case is being actively authorized or utilized to support the functions or mission of an agency.,c) Not high-impact,,Science,Natural Language Processing (NLP),"Library content grows rapidly every year as knowledge expands, but it isn't possible for a small team of librarians to organize it manually, efficiently, and accurately at scale.",This system automatically assigns word tags to agricultural research articles from a controlled list of terms provided by the National Agricultural Library Thesaurus (NALT). The tags can be used to look up and retrieve articles. Using these tags benefits users by making it easier to find the content they are looking for.,The model outputs terms to use as search tags that are specific to the article analyzed.,6/1/2012,c) Developed with both contracting and in-house resources,Expert AI (Cogito),Yes,ARSAzure ,The data are a collection of text scripts from publishers that have undergone quality assurance and quality control processing.,, No,,None of the above,Yes,,,,,,,,,,
USDA-004,Predictive Modeling of Invasive Pest Species,Marketing and Regulatory Programs,a) Pre-deployment – The use case is in a development or acquisition status.,c) Not high-impact,,Other,Classical/Predictive Machine Learning,Imported agricultural products may contain pests. The purpose of this model is to assist in determining if imported agricultural products from other countries to have pests.,"Benefits include more reliable discovery and quarantine of pests, preventing pest invasion and making trade safer.",The model outputs are a prediction of whether a product carries a pest species and what risk category the pest belongs to.,,,,,,,,,,,,,,,,,,,,,
USDA-009,Democratizing Data,"Research, Education and Economics",c)  Deployed – The use case is being actively authorized or utilized to support the functions or mission of an agency.,c) Not high-impact,,Service Delivery,Natural Language Processing (NLP),"Identifies which researchers are using National Agriculture Statistics Service (NASS) data, for what purpose, and when they used it. ","Provides program evaluation, budget justification, and customer service.",Outputs a piece of text from a research article where the model has predicted National Agricultural Statistic Service (NASS) or Economic Research Service (ERS) data product usage.  Output texts were human validated prior to loading results to a dashboard.,7/30/2021,c) Developed with both contracting and in-house resources,Coleridge Institute, No,,The data was initially a corpus of peer reviewed research articles curated by a provate company; but has transitioned to a more open source publically available dataset. ,, No,,None of the above,Yes,,,,,,,,,,
USDA-011,LCAT - Land Change Analysis Technique ,Farm Production and Conservation,b)  Pilot – The use case has been deployed in a limited test or pilot capacity.,c) Not high-impact,,Science,Classical/Predictive Machine Learning,Generating landcover from imagery,"Benefits include reduced waste, fraud, and abuse; informed decision making; land use planning and crop reporting; habitat management",Maps of landcover,10/1/2018,b) Developed in-house,, No,,"National Agriculture Imagery Program (NAIP) imagery, user-generated training data (labeled points with landcover information)",https://catalog.data.gov/dataset/national-agriculture-imagery-program-naip-imagery, No,,None of the above,Yes,,,,,,,,,,
USDA-013,Retailer Receipt Analysis,"Food, Nutrition, and Consumer Services","d) Retired – The use case was reported in the agency’s prior year’s inventory, but its development and/or use has since been discontinued.",c) Not high-impact,,,,,,,,,,,,,,,,,,,,,,,,,,,
USDA-014,Ecosystem Management Decision Support System (EMDS),Natural Resources and Environment ,c)  Deployed – The use case is being actively authorized or utilized to support the functions or mission of an agency.,c) Not high-impact,,Energy & the Environment,Classical/Predictive Machine Learning,This system provides decision support for environmental analysis and planning by using AI-powered tools in ArcGIS and QGIS. ,Use of this system empowers stakeholders to make more informed and effective decisions about natural resource management.,"Outputs from this system include the identification of landscapes in need of management/maintenance, along with suggested management actions based on considerations such as cost, efficacy, and policy.",2/1/1997,c) Developed with both contracting and in-house resources,Mountain View Business Group Services,Yes,Ecosystem Management Decision Support System,"Primary data sources included observed insect and pathogen-induced mortality, key critical loads for soil and the atmosphere, long term seasonal departures in temperature and precipitation, hydrology, invasive species vulnerability, road densities, uncharacteristic wildfires, historical fire regime departure, wildfire potential, insect and pathogen risk, and vegetation departure from natural range of variability.",, No,,None of the above,Yes,,,,,,,,,,
USDA-016,Cross-Laminated Timber (CLT) Knowledge Database,Natural Resources and Environment ,"d) Retired – The use case was reported in the agency’s prior year’s inventory, but its development and/or use has since been discontinued.",c) Not high-impact,,,,,,,,,,,,,,,,,,,,,,,,,,,
USDA-017,Raster Tools,Natural Resources and Environment ,b)  Pilot – The use case has been deployed in a limited test or pilot capacity.,c) Not high-impact,,Science,Classical/Predictive Machine Learning,Integrating geospatial analysis with AI in parallel.,"This system will make machine learning techniques available for geospatial applications. Benefits include standardization of methods, improved work quality, and increased user productivity.","The system API (Application Programming Interface) provides various AI outputs, usually in the form of images and data tables.",8/1/2021,b) Developed in-house,, No,,"Not applicable. No data was required for training, fine-tuning, or performance evaluation.",, No,,None of the above,Yes,https://github.com/UM-RMRS/raster_tools,,,,,,,,,
