slug,agency,ai_use_case,unit_counted,population,org_scope,stratum,confidence,reasoning,audit_verdict,audit_reasoning
abilityone-editing-images-videos-or-other-public-affairs-materials-using-ai,AbilityOne,"Editing images, videos, or other public affairs materials using AI.",employees,all_staff,enterprise,general,high,"Sole linked product across every AbilityOne row is Microsoft 365 Copilot GCC (general_llm); band 1-100 comfortably covers the entire 35-person commission, so this reads as an enterprise-wide Copilot rollout, not a dedicated comms tool.",agree,"Fable audit 2026-07-05: label consistent with narrative, band-vs-headcount plausibility, and cross-agency precedents."
abilityone-using-ai-assisted-tools-in-word-processors,AbilityOne,Using AI-assisted tools in word processors.,employees,all_staff,enterprise,general,high,Same M365 Copilot GCC enterprise rollout; band 1-100 covers the whole 35-person agency.,agree,"Fable audit 2026-07-05: label consistent with narrative, band-vs-headcount plausibility, and cross-agency precedents."
csosa-creating-visual-representations-of-data-sets-for-reports-or-presentations-using-,CSOSA,Creating visual representations of data sets for reports or presentations using AI.,unknown,unknown,unknown,general,low,"Band lower bound (1,001) exceeds CSOSA's actual headcount (~522 per FOIA/LinkedIn data), and CSOSA is not a contractor-heavy lab/NASA-style site, so employees-only is implausible; the same band repeats across nearly every CSOSA row, suggesting a reused tenant-wide figure rather than a per-task count.",agree,"Fable audit 2026-07-05: label consistent with narrative, band-vs-headcount plausibility, and cross-agency precedents."
csosa-editing-images-videos-or-other-public-affairs-materials-using-ai,CSOSA,"Editing images, videos, or other public affairs materials using AI.",unknown,unknown,unknown,comms,low,"""Public affairs materials"" ties this to the comms function (Adobe Firefly), but the 1,001-5,000 band exceeds CSOSA's ~522 total headcount, ruling out a literal small PA-team seat count; likely a reused enterprise tenant figure.",agree,"Fable audit 2026-07-05: label consistent with narrative, band-vs-headcount plausibility, and cross-agency precedents."
csosa-generating-code-using-ai,CSOSA,Generating code using AI.,unknown,unknown,unknown,technical,low,"Coding implies a small developer population, but the 1,001-5,000 band far exceeds CSOSA's ~522-person headcount, ruling out a literal developer seat count; unit left unknown per plausibility discipline.",agree,"Fable audit 2026-07-05: label consistent with narrative, band-vs-headcount plausibility, and cross-agency precedents."
csosa-generating-first-drafts-of-documents-briefing-or-communication-materials-using-a,CSOSA,"Generating first drafts of documents, briefing, or communication materials using AI.",unknown,unknown,unknown,general,low,"Same reused 1,001-5,000 band exceeds CSOSA's ~522 actual headcount, so employees-only is implausible per the plausibility rule; general drafting task keeps stratum general.",agree,"Fable audit 2026-07-05: label consistent with narrative, band-vs-headcount plausibility, and cross-agency precedents."
csosa-improving-the-quality-of-written-communications-using-ai-tools,CSOSA,Improving the quality of written communications using AI tools.,unknown,unknown,unknown,general,low,"Grammarly/Copilot writing-improvement task; band (1,001-5,000) exceeds CSOSA's ~522 headcount, so defaulting to unknown rather than guessing employees.",agree,"Fable audit 2026-07-05: label consistent with narrative, band-vs-headcount plausibility, and cross-agency precedents."
csosa-logging-and-analyzing-time-spent-on-tasks-using-ai-powered-time-management-tools,CSOSA,Logging and analyzing time spent on tasks using AI-powered time management tools.,unknown,unknown,unknown,general,low,"Same reused 1,001-5,000 band exceeds CSOSA's ~522-person headcount; time-tracking feature within M365 Copilot, stratum kept general by default.",agree,"Fable audit 2026-07-05: label consistent with narrative, band-vs-headcount plausibility, and cross-agency precedents."
csosa-prioritizing-and-categorizing-incoming-emails-using-ai,CSOSA,Prioritizing and categorizing incoming emails using AI.,unknown,unknown,unknown,general,low,"Reused 1,001-5,000 Copilot band exceeds CSOSA's ~522 headcount; email-triage task, general stratum by default, unit unknown per plausibility rule.",agree,"Fable audit 2026-07-05: label consistent with narrative, band-vs-headcount plausibility, and cross-agency precedents."
csosa-scheduling-and-managing-social-media-posts-using-ai,CSOSA,Scheduling and managing social media posts using AI.,unknown,unknown,unknown,comms,low,"Social-media scheduling is a comms function, but the 1,001-5,000 band vastly exceeds any plausible CSOSA comms-shop headcount and even the agency's own ~522 total staff; unit left unknown.",agree,"Fable audit 2026-07-05: label consistent with narrative, band-vs-headcount plausibility, and cross-agency precedents."
