row_hash,agency_abbreviation,use_case_name,recommended_verdict,confidence,evidence_notes
e4787cf55bd57ddd9b17454af1d628ad,FCA,Examination knowledge assistant,ingest,high,"is_withheld=a) No; real name/description; stage=Pre-deployment; agency FCA already exists in agencies table (id=482, 'Farm Credit Administration') with existing consolidated_use_cases COTS rows (source_file cots-2025-ai-inventory-consolidated.xlsx) -- no per-agency raw file exists (no FCA-2025-ai-inventory.* in data/raw/), so this is a genuine gap to backfill into use_cases, not a new-agency case."
8d3d341579251a249d19379ac28a8ab5,FCA,Loan information retrieval,ingest,high,"is_withheld=a) No; real name/description; stage=Pre-deployment; agency FCA already exists (id=482); no per-agency raw file -- fill gap in use_cases."
519d3cf490a29472b519ac40e0932a32,FCA,User training in agency learning management system,ingest,high,"is_withheld=a) No; real name/description; stage=Pre-deployment; agency FCA already exists (id=482); no per-agency raw file -- fill gap in use_cases."
898447616d740c100b2dceb996df549b,NEA,Categorizing Grant Subjects from Grant Applicants,ingest,high,"is_withheld=a) No; real name/description; stage=Pre-deployment; agency NEA already exists in agencies table (id=484, 'National Endowment for the Arts') with existing consolidated_use_cases COTS rows; no per-agency raw file (no NEA-2025-ai-inventory.* in data/raw/) -- genuine gap to backfill."
c9f0344a66fb4c09c38ed99be9ec05a7,NEA,"External ""Public Facing"" Chatbot",ingest,high,"is_withheld=a) No; real name/description; stage=Pre-deployment; agency NEA already exists (id=484); no per-agency raw file -- fill gap."
77c0b72585be5e2fcdf2a4ec37546a35,NEA,Managing Cybersecurity Controls,ingest,high,"is_withheld=a) No; real name/description; stage=Pre-deployment; agency NEA already exists (id=484); no per-agency raw file -- fill gap."
912f133acd24c33e8590569513790a2a,NEA,Managing Help Desk Tickets - Self Service,ingest,high,"is_withheld=a) No; real name/description; stage=Pre-deployment; agency NEA already exists (id=484); no per-agency raw file -- fill gap."
f91e75dfcdf0c3c7ac97f583231baaee,NIGC,Adobe Photoshop AI (AI Plugin),ingest,high,"is_withheld=a) No; real name/description; stage=Deployed; vendor=Adobe; agency NIGC already exists in agencies table (id=485, 'National Indian Gaming Commission') with existing consolidated_use_cases COTS rows; no per-agency raw file (no NIGC-2025-ai-inventory.* in data/raw/) -- genuine gap to backfill."
7fd77ca85916ac68c4ec4382d6639f6f,NIGC,Articulate,ingest,high,"is_withheld=a) No; real name/description; stage=Deployed; vendor=Articulate; agency NIGC already exists (id=485); no per-agency raw file -- fill gap."
cd8ea639bd14adf38963a58463140e7b,NIGC,Canva,ingest,high,"is_withheld=a) No; real name/description; stage=Deployed; vendor=Canva; agency NIGC already exists (id=485); no per-agency raw file -- fill gap."
ce571c01f218a5a0d2a9810c3052a3e9,NIGC,LexisNexus,ingest,high,"is_withheld=a) No; real name/description; stage=Deployed; vendor=LexisNexus; agency NIGC already exists (id=485); no per-agency raw file -- fill gap."
de85af3c9b6e4c76f7f7198040102e65,NIGC,Microsoft Copilot,ingest,high,"is_withheld=a) No; real name/description; stage=Deployed; vendor=Microsoft; agency NIGC already exists (id=485); no per-agency raw file -- fill gap."
6db376e01471683b5e9284e3b06d88d4,OSHRC,Westlaw Edge,ingest,high,"is_withheld=a) No; real name/description; stage=Deployed; vendor=Thomson Reuters; agency OSHRC already exists in agencies table (id=486, 'Occupational Safety and Health Review Commission') with existing consolidated_use_cases COTS rows; no per-agency raw file (no OSHRC-2025-ai-inventory.* in data/raw/) -- genuine gap to backfill."
03398fd7ef4fba8203378e5563089d67,STB,Copilot for Appian,ingest,medium,"is_withheld=a) No; real name/description; stage=Pre-deployment; source use_case_id is literal 'TBD' (STB did not assign an id) -- need a synthetic use_case_id (e.g. STB-0001) at ingest time. Agency STB already exists in agencies table (id=487, 'Surface Transportation Board') with existing consolidated_use_cases COTS rows; no per-agency raw file (no STB-2025-ai-inventory.* in data/raw/)."
923b8aadfcb1760949c685b91395b361,STB,RelativityOne,ingest,medium,"is_withheld=a) No; real name/description; stage=Pre-deployment; source use_case_id is literal 'TBD' -- need synthetic use_case_id (e.g. STB-0002) at ingest time. Agency STB already exists (id=487); no per-agency raw file."
