canonical_name,category,gen_ai,confidence,reasoning,model,labeled_at,source
ACCRETE ARGUS,nlp,0,low,Supply-chain influence analytics inferred to use NLP over open-source text.,claude-fable-5,2026-07-05T00:00:00Z,qc_confirmed
AIS Resume Screening Tool,nlp,0,medium,"Screens and matches resume text, an NLP classification task.",claude-fable-5,2026-07-05T00:00:00Z,llm
APT Analytics,none,0,low,DOE analytics tool with insufficient detail to assign a capability class.,claude-fable-5,2026-07-05T00:00:00Z,qc_confirmed
ARANZ Silhouette Wound Imaging,vision,0,medium,"Wound imaging and measurement, a medical-imaging vision capability.",claude-fable-5,2026-07-05T00:00:00Z,llm
ARC Travel Intelligence,none,0,medium,Commercial air-travel data analytics for investigations — investigative data product outside the vocabulary.,claude-fable-5,2026-07-05T00:00:00Z,llm
ASCVD Risk Estimator,none,0,high,"Statistical cardiovascular risk calculator, not an AI capability.",claude-fable-5,2026-07-05T00:00:00Z,llm
ATLAS (Forest Service),none,0,low,"Geospatial analytics/mapping platform, no clear vocabulary capability.",claude-fable-5,2026-07-05T00:00:00Z,qc_confirmed
ATS Passport Anomaly Model,none,0,low,Anomaly-scoring model on passport data; predictive ML with no listed capability class.,claude-fable-5,2026-07-05T00:00:00Z,qc_confirmed
ATS Trade Entity Risk Model,none,0,low,Risk-scoring model over trade entities; predictive analytics outside the vocabulary.,claude-fable-5,2026-07-05T00:00:00Z,qc_confirmed
AWS Bedrock,genai_platform,1,high,Amazon's managed foundation-model service for hosting and serving generative LLMs.,claude-fable-5,2026-07-05T00:00:00Z,qc_confirmed
AWS Kendra,search,0,high,Amazon's AI-powered enterprise semantic search and retrieval service.,claude-fable-5,2026-07-05T00:00:00Z,llm
AWS Lex,chatbot,0,high,Conversational bot-building service for virtual agents and dialog flows.,claude-fable-5,2026-07-05T00:00:00Z,llm
AWS Rekognition,vision,0,high,Image and video analysis for object/text detection and recognition.,claude-fable-5,2026-07-05T00:00:00Z,qc_confirmed
AWS Textract,doc_processing,0,high,OCR and intelligent document text/form extraction service.,claude-fable-5,2026-07-05T00:00:00Z,llm
AWS Transcribe,speech,0,high,Speech-to-text transcription service.,claude-fable-5,2026-07-05T00:00:00Z,llm
AWS Translate,translation,0,high,Amazon's neural machine translation service; the gen-AI hint overstates it — NMT is not novel-content generation.,claude-fable-5,2026-07-05T00:00:00Z,qc_confirmed
Abbott OPTIS Imaging,vision,0,low,OCT medical imaging system; the extent of productized AI image analysis is unclear from the record.,claude-fable-5,2026-07-05T00:00:00Z,qc_confirmed
Abridge Ambient Scribe,speech,1,high,Ambient medical scribe: speech-to-text transcription plus generative note drafting.,claude-fable-5,2026-07-05T00:00:00Z,llm
Adobe,none,0,low,Generic vendor umbrella brand with no specific AI capability identified.,claude-fable-5,2026-07-05T00:00:00Z,qc_confirmed
Adobe Creative Cloud Suite,vision,1,medium,Creative suite bundling generative image tools like Firefly and generative fill.,claude-fable-5,2026-07-05T00:00:00Z,llm
Adobe Firefly,vision,1,high,Generative image creation model.,claude-fable-5,2026-07-05T00:00:00Z,llm
Adobe Photoshop,vision,1,high,Image editing with generative fill and other generative AI image features.,claude-fable-5,2026-07-05T00:00:00Z,llm
Adobe Premiere Pro,vision,0,low,Video editing tool whose AI features center on media/scene analysis.,claude-fable-5,2026-07-05T00:00:00Z,qc_confirmed
Adobe Sensei,vision,0,low,"Adobe's embedded AI engine, primarily powering image and content analysis features.",claude-fable-5,2026-07-05T00:00:00Z,qc_confirmed
Advanced Trade Analytics Platform,none,0,low,CBP trade analytics platform; general analytics with no clear AI capability class.,claude-fable-5,2026-07-05T00:00:00Z,qc_confirmed
Agfa DR 800 MUSICA,vision,0,medium,X-ray system with MUSICA AI image processing and enhancement.,claude-fable-5,2026-07-05T00:00:00Z,llm
AgileMD eCART,none,0,low,Clinical early-warning risk score with no vocabulary capability.,claude-fable-5,2026-07-05T00:00:00Z,qc_confirmed
Aidoc BriefCase,vision,0,high,Radiology imaging AI for triage/detection (medical-imaging vision).,claude-fable-5,2026-07-05T00:00:00Z,llm
Airship AI Platform,vision,0,high,Machine-learning video/UAS analytics identifying objects and conveyances.,claude-fable-5,2026-07-05T00:00:00Z,llm
Airtable AI,assistant,1,medium,Embedded OpenAI-backed AI assistant features in a low-code database product.,claude-fable-5,2026-07-05T00:00:00Z,qc_confirmed
Alation Data Catalog,none,0,low,Data catalog whose ML features do not clearly match a vocabulary capability.,claude-fable-5,2026-07-05T00:00:00Z,qc_confirmed
AlphaFold,none,0,low,Protein-structure prediction model; scientific prediction has no clean listed capability.,claude-fable-5,2026-07-05T00:00:00Z,qc_confirmed
Altana Atlas,none,0,low,Entity resolution for global trade/supply-chain data; entity resolution does not map cleanly to a listed capability.,claude-fable-5,2026-07-05T00:00:00Z,qc_confirmed
Alteryx,ml_platform,1,medium,Self-service analytics/data-science platform with AutoML (Intelligence Suite) and generative AiDIN assistant features.,claude-fable-5,2026-07-05T00:00:00Z,llm
Amazon Alexa,chatbot,0,medium,Voice assistant combining speech recognition with conversational dialog handling.,claude-fable-5,2026-07-05T00:00:00Z,llm
Amazon Alexa,speech,0,medium,Voice assistant combining speech recognition with conversational dialog handling.,claude-fable-5,2026-07-05T00:00:00Z,llm
Amazon CodeWhisperer,assistant,1,high,AI coding assistant that generates code suggestions in the developer workflow.,claude-fable-5,2026-07-05T00:00:00Z,qc_confirmed
Amazon Comprehend,nlp,0,high,"Text analytics service for entity extraction, sentiment, and classification.",claude-fable-5,2026-07-05T00:00:00Z,llm
Amazon Connect,chatbot,1,high,"Cloud contact center providing IVR/virtual-agent bots, call transcription, and sentiment analytics, with generative agent-assist (Amazon Q in Connect).",claude-fable-5,2026-07-05T00:00:00Z,llm
Amazon Connect,speech,1,high,"Cloud contact center providing IVR/virtual-agent bots, call transcription, and sentiment analytics, with generative agent-assist (Amazon Q in Connect).",claude-fable-5,2026-07-05T00:00:00Z,llm
Amazon Connect,nlp,1,high,"Cloud contact center providing IVR/virtual-agent bots, call transcription, and sentiment analytics, with generative agent-assist (Amazon Q in Connect).",claude-fable-5,2026-07-05T00:00:00Z,llm
Amazon Q,assistant,1,high,Amazon's enterprise AI copilot embedded across developer and business workflows.,claude-fable-5,2026-07-05T00:00:00Z,qc_confirmed
Amazon SageMaker,ml_platform,0,high,"Full data-science platform to build, train, and deploy ML models.",claude-fable-5,2026-07-05T00:00:00Z,llm
Amazon Web Services,none,0,medium,"Umbrella cloud platform, not itself a discrete AI capability product.",claude-fable-5,2026-07-05T00:00:00Z,llm
Amped Software,vision,0,medium,Forensic image and video authentication and enhancement analysis.,claude-fable-5,2026-07-05T00:00:00Z,llm
Apple Face ID,vision,0,high,"On-device facial-recognition biometric, a vision capability.",claude-fable-5,2026-07-05T00:00:00Z,llm
Apple Intelligence,assistant,1,medium,Apple's suite of embedded generative AI writing/image assistant features.,claude-fable-5,2026-07-05T00:00:00Z,qc_confirmed
Apple Maps,none,0,high,Consumer navigation app with no productized AI capability from the vocabulary.,claude-fable-5,2026-07-05T00:00:00Z,llm
Apple News,none,0,medium,Consumer news app with no AI capability from the vocabulary.,claude-fable-5,2026-07-05T00:00:00Z,llm
Aretec EDP,ml_platform,0,medium,Aretec Enterprise Data Platform supporting analytics and ML workloads at the SEC.,claude-fable-5,2026-07-05T00:00:00Z,llm
Aretec NEAT,nlp,0,medium,Market-surveillance tool with name matching and plain-language-to-notation parsing (nlp).,claude-fable-5,2026-07-05T00:00:00Z,llm
Aretec SEARCH,search,0,medium,Full-text and analytical search platform across regulatory filings.,claude-fable-5,2026-07-05T00:00:00Z,llm
Articulate 360 AI Assistant,assistant,1,medium,"AI assistant embedded in the Articulate course-authoring workflow, generating training content and audio.",claude-fable-5,2026-07-05T00:00:00Z,qc_confirmed
Asana,assistant,1,low,Work-management platform whose Asana Intelligence provides an embedded generative assistant.,claude-fable-5,2026-07-05T00:00:00Z,qc_confirmed
Ask Sage,genai_platform,1,high,GenAI platform authorized for federal/DoD LLM use.,claude-fable-5,2026-07-05T00:00:00Z,qc_confirmed
AttackIQ,none,0,high,"Breach-and-attack-simulation security analytics, excluded per security rule.",claude-fable-5,2026-07-05T00:00:00Z,llm
Autonomous Surveillance Tower,vision,0,medium,Surveillance towers using computer-vision object detection.,claude-fable-5,2026-07-05T00:00:00Z,llm
AveriSource,none,0,low,Legacy code analysis/modernization tooling with no clearly listed AI capability.,claude-fable-5,2026-07-05T00:00:00Z,qc_confirmed
Avicenna.AI CINA,vision,0,high,Commercial CT triage AI that detects critical findings in medical imaging.,claude-fable-5,2026-07-05T00:00:00Z,llm
Aware Biometrics,vision,0,high,Facial and multimodal biometric recognition platform.,claude-fable-5,2026-07-05T00:00:00Z,llm
Axon,speech,1,medium,Evidence platform with AI transcription and video redaction plus generative report drafting (Draft One).,claude-fable-5,2026-07-05T00:00:00Z,llm
Axon Evidence,vision,0,medium,"Digital evidence platform with productized AI video redaction (vision) and audio transcription (speech); the gen-AI hint likely reflects Draft One, a different Axon product.",claude-fable-5,2026-07-05T00:00:00Z,llm
Axon Evidence,speech,0,medium,"Digital evidence platform with productized AI video redaction (vision) and audio transcription (speech); the gen-AI hint likely reflects Draft One, a different Axon product.",claude-fable-5,2026-07-05T00:00:00Z,llm
Axon FUSUS,vision,0,medium,Real-time crime center that runs video analytics over integrated camera feeds.,claude-fable-5,2026-07-05T00:00:00Z,llm
Azure AI Document Intelligence,doc_processing,0,high,"Microsoft's OCR/intelligent document extraction service, the canonical doc_processing product.",claude-fable-5,2026-07-05T00:00:00Z,llm
Azure AI Foundry,genai_platform,1,high,"Azure AI Foundry hosts, serves, and fine-tunes generative models — named in the rubric as a genai_platform.",claude-fable-5,2026-07-05T00:00:00Z,qc_confirmed
Azure AI Translator,translation,0,high,Azure's neural machine translation service; the gen-AI hint overstates it — NMT translation is not novel-content generation.,claude-fable-5,2026-07-05T00:00:00Z,qc_confirmed
