agency,use_case_name,verdict,final_ai_sophistication,confidence,reasoning
DHS,AI Enabled Autonomous Underwater Vehicle,reclassify,computer_vision,high,"Autonomous UUV doing 'object avoidance, automated mission execution' and imagery of Items of Interest; classical maritime autonomy plus imagery detection, no model-driven multi-step planning. OMB classifies it Computer Vision."
DHS,CBP Common AI Service(CCAIS) Image Analysis and Data Correlation,reclassify,computer_vision,high,"Outputs are 'bounding boxes around items of interest within the image and through textual descriptions' — an image-detection/flagging pipeline, not agentic despite the 'Data Correlation' name."
DHS,RAPTOR (Rapid Tactical Operations Reconnaissance),reclassify,computer_vision,high,"Camera-feed analysis producing 'text transcription of vessel registration/documentation data and photographs of the vessel' — surveillance detection/OCR, no planning or tool use. OMB: Computer Vision."
DHS,Thermal Power Generation with Geoseismic IoI Detection and Classification,reclassify,classical_ml,high,"Seismic-sensor classifier emitting an 'alert with the classification and confidence interval for the Item of Interest' — sensor detection pipeline, OMB itself says Classical/Predictive ML."
DHS,Spend Plan Analysis GPT,keep,agentic,medium,"Agency self-classifies as Agentic-AI; tool 'interrogates spend plan data as stored in PBIS/FEMADex' via Azure OpenAI to answer data calls, implying model-driven querying of structured systems rather than plain chat."
DHS,SEVP Response Center Chatbot - SID (SEVIS Interactive Dialog),reclassify,nlp_specific,high,"Explicitly a 'deterministic question and answer workflow' voice chatbot that escalates to humans and files a ticket — speech/NLP IVR, not model-driven planning. OMB: NLP."
DHS,Plan of Day Staff Optimization,reclassify,predictive_analytics,medium,"Despite agency Agentic-AI label, narrative describes prescriptive staffing-optimization models ('prescribing when screening lanes should be opened/closed') — scheduling/optimization, no LLM planning or tool use."
DHS,Private Artificial Intelligence (AI) Tech Hub (PAiTH),reclassify,general_llm,high,"Internal secure assistant generating 'text-based outputs customized to the user's organizational persona' (research summaries, drafts, translations) — persona-prompted chat assistant, no multi-step autonomy."
DHS,Acoustic Signature AI for Gunshot Detection,reclassify,classical_ml,high,Acoustic classifier making 'confidence determinations between non gunshot acoustic activity and actual gunshot activity' — detection model with alerts. OMB: Classical/Predictive ML.
DHS,CBP Translate,reclassify,nlp_specific,high,"Machine translation app outputting 'translated text or audio in the form of chat bubbles' — single-function NLP translation, nothing agentic. OMB: NLP."
DHS,Unmanned Aircraft Collision Avoidance,reclassify,computer_vision,high,"Drone obstacle avoidance from 'AI-based 3D scanning functions' on video feed producing collision alerts — onboard vision autonomy, 'autonomous' in aviation is not agentic AI. OMB: Computer Vision."
DHS,Autonomous Surveillance Tower,reclassify,computer_vision,high,"Anduril tower that 'provides alerts when it detects the presence of an IoI (persons, vehicles, animals) in the image frame'; narrative itself calls it 'this computer vision application'."
DHS,Automated Item of Interest Detection,reclassify,computer_vision,high,Matroid imagery tool producing 'a box around items of interest it has determined to be likely human beings' — pure object detection.
DHS,Vessel Detection,reclassify,computer_vision,high,"AI algorithms that 'filter, detect, and categorize objects into Items of Interest' from sensor imagery, sending alerts/tracks to operators — maritime detection pipeline. OMB: Computer Vision."
DHS,CISAChat,reclassify,general_llm,high,"'LLM generated response to the questions posed on uploaded content' — RAG-style document Q&A/summarization, a chatbot not an agent."
DHS,DHS-Chat,reclassify,general_llm,high,"Narrative: 'a chatbot based on a Large Language Models (LLM)... like chat-GPT for DHS' generating drafts/summaries — general LLM chat, no tool orchestration."
DHS,idiCORE Subscriptions,reclassify,classical_ml,medium,"Identity-data correlation service where 'analysts set up geographic boundaries... and the tool delivers information that meet the conditions' — law-enforcement record-linkage/alerting pipeline, not model-driven planning."
DHS,AskTSA,reclassify,general_llm,high,"Customer-service assist producing 'Summarized Inquiries... Recommended Responses... Categorized Inquiries' for human agents — GenAI summarization/classification assistant, no autonomous multi-step execution."
DHS,AI for Autonomous Situational Awareness,reclassify,computer_vision,low,"Retired row with empty narrative and no OMB classification; name 'AI for Autonomous Situational Awareness' matches CBP's surveillance/detection family, and 'autonomous' alone is not agentic."
DOI,Autonomous Drone Inspections,reclassify,computer_vision,high,"sUAS inspections outputting 'decisions on corrosion levels, if a platform is boardable, does it have methane leaks' from imagery — drone-based visual inspection, classical autonomy not agentic."
DOI,VoiceAtlas no-code chatbot framework,reclassify,general_llm,medium,"Despite agency Agentic-AI label, output is 'chatbots with guardrails and knowledge bases' from a no-code framework — knowledge-base Q&A chatbots with no multi-step tool use described."
DOI,Development of a Strategic Framework for Use and Implementation of Machine Learning in Energy Resource Program Workflows [2024 INV#WO0000000109216],reclassify,classical_ml,high,'Adoption of ML pipelines/models in ERP project workflows' — a strategic framework for classical ML integration. OMB: Classical/Predictive ML.
DOI,Predicting Sparse (Geothermal) Resources Availability by using Machine Learning [2024 INV#WO0000000109195],reclassify,classical_ml,high,'New ML metrics for evaluating model performance' on sparse geothermal resource models — classical ML methodology work. OMB: Classical/Predictive ML.
DOI,Summarization of documents and output to ECOSphere species workflow [2024 INV#DOI-63],reclassify,nlp_specific,medium,"Document pipeline producing 'structured summaries... key metadata extraction... relevance scoring... taxonomic and thematic tagging' — large-scale summarization/extraction, no model-driven planning across steps."
DOI,Office of Grants Management (PGM) Grants Utility Tool,keep,agentic,medium,"Agency self-classifies as Agentic AI and tools autonomously perform 'project description reviews, pre-award SAM.gov validations, and detailed budget analyses' with cross-checking 'across multiple systems' producing scoring/flags/cross-walks — multi-step automated review across systems."
DOI,Everlaw AI Assistant for Responsive Review,reclassify,nlp_specific,medium,"Despite Agentic AI label, Everlaw Coding Suggestions just 'provides one of four coding suggestions: Yes... No' for document responsiveness; 'output is advisory; reviewers decide' — single-step document classification."
DOI,use of random forest for species distribution modeling,reclassify,classical_ml,high,'Random forest models in R as part of an ensemble species distribution modelling workflow' — textbook classical ML. OMB agrees.
DOI,AI/ML For Hazard Detection in Austere Environments with Automated or Remotely-Operated Rovers [2024 INV#WO0000000107424],reclassify,computer_vision,high,"'Identify unique or hazardous ground cover in the field of view of an autonomous robot's camera system' — image classification on a rover; classical autonomy, not agentic."
DOI,Lake-wide monitoring and assessment of Great Lakes fisheries with autonomous vehicles and image analysis,reclassify,computer_vision,high,Fisheries monitoring 'with autonomous vehicles and image analysis' yielding species-abundance estimates — imagery classification pipeline. OMB: Computer Vision.
DOI,ATLAS,keep,agentic,low,Outputs state the metadata catalog 'supports user queries through agentic AI' — explicit agentic query layer over extracted literature metadata; kept on that phrase though OMB classifies the row as NLP.
DOI,Flor-AI: Developing a Remotely Sensed Image Classification Method for Inventory and Monitoring of Flora in Digital UAS Imagery,reclassify,computer_vision,high,'Remotely Sensed Image Classification Method' detecting lupine in UAS imagery with location/counts/coverage outputs — wildlife/vegetation imagery classification.
DOI,Automating the Detection and Classification of Wildlife in Aerial Imagery [2024 INV#WO0000000109409],reclassify,computer_vision,high,'Detection and Classification of Wildlife in Aerial Imagery' outputting locations and counts of birds — canonical wildlife imagery misfire.
DOI,AI Trapline for Fire,keep,agentic,medium,"Agency self-classifies as Agentic AI and system would 'gather various information from various websites/applications after manipulating the inputs on the webpage,' then organize products into a national weather synopsis — autonomous multi-step web tool use."
DOI,Assessment Inventory and Monitoring (AIM) Chatbot,reclassify,general_llm,high,"Proposed 'Retrieval-Augmented Generation (RAG) chatbot' giving 'text-based recommendations' from guidance documents — document Q&A chatbot, explicitly information-gathering only."
DOI,Water Time-Series Record Automation Framework development,reclassify,classical_ml,high,"ML that 'will automatically apply, or suggest application of, corrections... on the raw time-series data' — classical data-correction automation. OMB: Classical/Predictive ML."
DOI,Using advanced computing techniques for mobile monitoring platforms [2024 INV#WO0000000109492],reclassify,classical_ml,high,"'Support the navigation and swarming capabilities of autonomous vehicle platforms for water monitoring' — classical robotic autonomy/control, not model-driven agentic planning."
DOI,DiscoverDOI,keep,agentic,low,"Thin narrative (Q&A with 'links and content snippets of DOI websites' to surface outdated/prohibited content), but agency's own classification is Agentic AI; per decision rule the OMB self-claim carries the thin row."
DOJ,Thomson Reuters Vigilant Vehicle Manager,reclassify,computer_vision,high,"License-plate-reader analytics that 'organize, correlate, and analyze large volumes of license plate and vehicle sightings data' — LE detection/correlation pipeline on LPR imagery. OMB: Computer Vision."
DOJ,Data & Analytics: Threat and Security Incident Monitoring,reclassify,classical_ml,medium,"'Entity resolution, taking information entered by DEA analysts and scanning data sources for likely matches with risk indicators' — record-linkage/threat-correlation pipeline returning matches for analyst review, not agentic."
DOJ,Financial and Cryptocurrency Analysis: Federal Partner,reclassify,nlp_specific,medium,"Investigative triage/search with 'summary materials, on-demand briefings from a chatbot... link analysis, alerts' — LE analysis/correlation toolkit; OMB classifies as NLP, no autonomous multi-step execution."
DOJ,Financial and Cryptocurrency Analysis: Commercial Solution,reclassify,nlp_specific,medium,"Identical narrative to the federal-partner row: triage, search, link analysis and chatbot briefings for financial/crypto investigations — correlation pipeline, OMB: NLP."
DOJ,Call Center Management and Service Delivery Support,reclassify,general_llm,medium,"Call-center assist 'outputs a recommended course of action for review by DEA staff' plus routing/answers to common questions — human-reviewed GenAI assistant, no autonomous chaining."
DOJ,Autonomous Drone Detection and Monitoring,reclassify,classical_ml,high,'DEA needs drones that can safely and effectively navigate autonomously' outputting imaging/3D mapping — classical drone autonomy; 'autonomous' in robotics is not agentic AI. OMB: Classical/Predictive ML.
DOJ,"Language Translation,  Optical Character Recognition (OCR), Object Detection, Language Detection, Alert Noise Reduction",reclassify,nlp_specific,high,"A bundle of discrete services — 'Language Translation, OCR, Object Detection, Language Detection, Alert Noise Reduction' — perception/NLP capabilities, no planning. OMB: NLP."
DOJ,Prisoner Assessment Tool Targeting Estimated Risk and Needs (PATTERN),reclassify,predictive_analytics,high,PATTERN 'is to predict the risk of recidivism for incarcerated adults' outputting 'recidivism risk calculations' — a static actuarial risk-scoring tool; the Agentic AI label is a clear misclassification.
DOJ,UiPath OCR activity,reclassify,nlp_specific,medium,"UiPath RPA 'automating data extraction from various documents and images' using 'rules, templates, and specialized or generative language models' — deterministic workflow automation with document extraction, no model-driven planning."
DOJ,Pega GenAI,reclassify,coding_assistant,high,'GenAI is a tool that can help developers generate workflows (code in Pega) faster' — code-generation assistant for the Pega platform.
DOJ,Intelligent Workflow Optimization,reclassify,nlp_specific,low,"Thin narrative: outputs only 'recommendations for changing workflows, processes, and operations'; OMB classifies as NLP and nothing indicates multi-step autonomous execution."
