agency,use_case_name,bureau,scope_detail,deployment_scope,is_enterprise_wide,is_general_llm_access,dev_stage,tool_product_name,purpose_benefits,outputs,ref_id_unstable
DHS,"Commercial Generative AI for Code Generation",DHS,"Department of Homeland Security",department,0,0,"Operation and Maintenance",,"DHS employees are permitted to use commercially available generative AI for code generation in day-to-day work. These tools are able to dynamically create usable code through plain-language prompts submitted by the user. They use Natural Language Processing (NLP) and Large Language Models (LLM) to produce code in many different programming languages and for a variety of tasks.","Outputs include useable code in different programming languages, depending on the inputs from the user.",34211
DHS,"Commercial Generative AI for Image Generation",DHS,"Department of Homeland Security",department,0,0,"Operation and Maintenance",,"DHS employees are permitted to use commercially available generative AI for image generation in day-to-day work. These tools are able to dynamically create graphical content through text prompts submitted by the user. They use Natural Language Processing (NLP), in conjunction with other Machine Learning techniques such as Generative Adversarial Networks (GANs) and Diffusion Models, to produce imag","Outputs may include pictures in different stylesk and types, depending on the inputs from the user.",34210
DHS,"Commercial Generative AI for Text Generation (AI Chatbot)",DHS,"Department of Homeland Security",department,0,0,"Operation and Maintenance",,"DHS employees are permitted to use commercially available generative AI for text generation in day-to-day work. Commonly referred to as AI Chatbots, these tools are able to dynamically create written content through text prompts submitted by the user. They use Natural Language Processing (NLP) and Large Language Models (LLM) to produce natural sounding language in a wide variety of contexts and st","Outputs may include writing, answers to question, and search results, depending on inputs from the user.",34209
DOI,"DOIChatGPT AI Chatbot",OCIO,OCIO,department,0,1,"Implementation and Assessment",,"Create for DOI users a secure space to chat with a Large Language Model without leaving our security boundary.  This is a customized version of Microsofts Govchat repo deployed as an azure app service on the internal network with entra authentication, using DOIChatGPT APIM as the back end AI service provider.","See description",34448
DOI,"DOIChatGPT API Management Instance",OCIO,OCIO,department,0,1,"Implementation and Assessment","Azure OpenAI","An Azure OpenAI instance secured behind an Azure API Management instance hosted within our internal network. This will create a backbone of secure access to Azure OpenAI permitted by APIM subscription keys that also supports cost tracking per project key.  This is just a service layer to enable other project activities.","Outputs were not documented and DOI will update the use cases once additional data is collected from submitter",34449
DOI,"Proposal for the I-NEPA System: Leveraging Artificial Intelligence (AI) for Enhanced Efficiency in E","OS - Office of the Secretary of the Interior","OS - Office of the Secretary of the Interior",department,0,,"Implementation and Assessment",,"I-NEPA aims to streamline and enhance environmental reviews, foster improved public engagement, and facilitate advanced searching, tracking, and reporting of both past and present NEPA actions throughout the Department of the Interior. I-NEPA will leverage the Retrieval Augmented Generation (RAG) process, combining NEPA and policy documents and user input into a large language model (LLM) prompt t","see description",34466
DOJ,"Percipio Skillsoft CAISY",Department-wide,Department-wide,department,0,0,Initiated,"Percipio Skillsoft","Purpose: Interactive tool using generative AI to customize learning environments for the workforce.  Expected benefits: Training tailored to individual needs.","Training recommendations.",35990
DOJ,ServiceNow,Department-wide,Department-wide,department,0,0,"Operation and Maintenance",,"Purpose: To automate engagement with IT helpdesk personnel for IT requests. ServiceNow is a cloud-based platform that digitizes and automates workflows and  helps organizations work more efficiently and effectively. ServiceNow automates incident triage and classification and can handle routine inquires and simple tasks to free up resources to focus on higher priority issues.   Expected benefits: A","Automated service requests Incident resolution recommendations Virtual agency responses Data insights and analytics reports Search results and recommendations  Documented and categorized knowledge-based articles.",35991
DOJ,"Westlaw (AI assisted legal research)",Department-wide,Department-wide,department,0,0,"Operation and Maintenance",Westlaw,"Purpose: Performing legal research.  Expected benefits:  Improving accuracy and efficiency of legal research.","Recommends caselaw and other legal materials (statutes, regulations, scholarly articles, etc.) and, in some circumstances, an overview of the law in response to queries.",35993
DOL,"Generative AI Assistant",OCIO,"DOL OCIO",department,,1,"Operation and Maintenance",,"Private and secure in-house solution to evaluate business use cases that can solve problems using Generative AI models and semantic search. Example use cases include text summarization, text analysis, and document comparisons.","The AI system provides recommendations.",34646
