agency_abbreviation,ai_classification_2025,ai_sophistication_2025,architecture_type_2025,bureau,commercial_ai,deployment_scope_2025,dev_method,dev_stage,entry_type_2025,expected_benefits_2025,is_coding_tool_2025,is_cots_commercial_2025,is_enterprise_wide_2025,is_general_llm_access_2025,is_generative_ai_2025,is_microsoft_copilot_2025,lineage_status,name_2025,outputs,problem_statement_2025,proposed_ai_sophistication,proposed_architecture_type,proposed_confidence,proposed_deployment_scope,proposed_entry_type,proposed_is_anthropic,proposed_is_aws_ai,proposed_is_coding_tool,proposed_is_cots_commercial,proposed_is_enterprise_wide,proposed_is_general_llm_access,proposed_is_generative_ai,proposed_is_github_copilot,proposed_is_google,proposed_is_microsoft_copilot,proposed_is_openai,proposed_is_public_facing,proposed_reasoning,proposed_scope_detail,proposed_tool_product_name,proposed_tool_vendor,proposed_use_type,purpose_benefits,system_name_2025,system_outputs_2025,tool_product_name_2025,tool_vendor_2025,uc_2024_id,uc_2025_id,use_case_id_2024,use_case_name,use_type_2025,vendor_name_2025,w2_flags_json,w2_reasoning,w2_tagged_by,wave1_ai_sophistication,wave1_architecture_type,wave1_confidence,wave1_deployment_scope,wave1_entry_type,wave1_is_anthropic,wave1_is_aws_ai,wave1_is_coding_tool,wave1_is_cots_commercial,wave1_is_enterprise_wide,wave1_is_general_llm_access,wave1_is_generative_ai,wave1_is_github_copilot,wave1_is_google,wave1_is_microsoft_copilot,wave1_is_openai,wave1_is_public_facing,wave1_reasoning,wave1_scope_detail,wave1_tool_product_name,wave1_tool_vendor,wave1_use_type
HHS,Classical/Predictive Machine Learning,classical_ml,unknown,CMS,None of the above.,enterprise_wide,Developed with contracting resources.,Operation and Maintenance,custom_system,Implement ML to identify outliers in issuer data that may unduly influence risk adjustment transfers.,0,0,1,0,0,0,continued,Risk Adjustment Outlier Analysis,This use-case will implement Machine Learning to identify outliers in issuer data / behavior that may unduly influence risk adjustment payments.,The risk adjustment (RA) program spreads the financial risk borne by Issuers due to offering a variety of plans meeting the need of the diverse population. RA payments are distributed based on population risk levels. CCIIO uses a distributed data solution (EDGE servers) to calculate plan average actuarial risk and associated RA transfers and must avoid potential program integrity risks to annual calculations.,,,,,,,,,,,,,,,,,,,,,,,"The RA program spreads the financial risk borne by Issuers due to offering a variety of plans meeting the need of the diverse population. RA payments are distributed based on population risk levels. The FFE uses a distributed data solution to calculate plan average actuarial risk and associated payments and must avoid potential impacts to annual calculations.

Maintain RA Program risk integrity",,Maintain RA program integrity,,,34836,133950,34836,Risk Adjustment Outlier Analysis,it_operations,,"[""drift_legitimate""]",scope grew narrow->broad (bureau->enterprise_wide); likely real rollout,wave2a-continued,classical_ml,unknown,medium,bureau,product_deployment,,,,1,0,,0,,,,,,Named product deployment: 'case will implement Machine Learning' → classical_ml.,CMS,,,administrative
HHS,Classical/Predictive Machine Learning,agentic,unknown,CMS,None of the above.,enterprise_wide,Developed with contracting resources.,Operation and Maintenance,custom_system,Implement Machine Learning (ML) to identify potential fraud/waste/abuse within Agent/Broker data.,0,0,1,0,1,0,renamed,Agent/Broker Fraud Analysis (ABCQI),Utilizes Machine Learning to identify suspicious behaviors of Agents and Brokers in the Marketplace,"(Marketplace) Agents and brokers support the consumer enrollment and eligibility process. Because of this, they have learned the intricate details of the Federally-facilitated Exchange (FFE) for accessing applications, submitting eligibility determinations, and adding enrollments to their line of business, opening up the possibility of fraud.",agentic,,,bureau,custom_system,,,0,,,0,1,,,,,,,,,,,"Agent/Brokers (A/Bs) support the consumer enrollment and eligibility process. Because of this, they have learned the intricate details of the FFE for accessing applications, submitting eligibility determinations, and adding enrollments to their line of business, opening up the possibility of fraud. 

Improves the oversight and integrity of Marketplace Applications and Enrollments assisted by Agents and Brokers.  Helps CCIIO identify suspicious behaviors to refer to CPI.",,"Reduce waste, fraud, and abuse",,,34837,133951,34837,Agent/Broker Fraud Analysis,it_operations,,"[""material_divergence"", ""tagging_error_2024""]",is_generative_ai 2024=0 vs 2025=1; ai_sophistication LLM-class shift classical_ml→agentic; scope bureau→enterprise_wide (≥2 tiers); 2024 missed generative AI signals present in narrative; 2024 tagged classical_ml; narrative + 2025 indicate LLM-class,wave2a-renamed-split,classical_ml,unknown,medium,bureau,product_deployment,,,,1,0,,0,,,,,,Named product deployment: 'er to CPI. Utilizes Machine' → classical_ml.,CMS,,,administrative
HHS,Natural Language Processing (NLP),nlp_specific,inference_only,CMS,None of the above.,enterprise_wide,Developed with contracting resources.,Operation and Maintenance,product_deployment,"CCSQ ServiceNow AI Search is a product inside ServiceNow (SaaS).  It replaces traditional Zing search tool (exact search), and enables users with more flexible searches to get relevant and actionable answers quickly.  * Improve search relevance * Promote self-service by empowering users to find information independently, and potential reduce number of cases",0,1,1,0,1,0,continued,CCSQ ServiceNow AI Search,"AI Search will
* Display most relevant results first
* Support synonyms, auto-corrections, stop words, and auto-completion
AI Search analytics will provide insights into search usage, performance, trends, metrics, and how to improve search experiences.
Plan to do AI Search tune-up next",The AI Search index stores data from ServiceNow AI Platform® records or external sources and makes that data available for users to search in multiple applications. Search query features use ServiceNow AI Platform technologies to improve the search user experience.,,,,,,,,,,,,,,,,,,,,,,,"CCSQ ServiceNow AI Search is a product inside ServiceNow (SaaS).  It replaces traditional Zing search tool (exact search), and enables users with more flexible searches to get relevant and actionable answers quickly.

* Improve search relevance
* Promote self-service by empowering users to find information independently, and potential reduce number of cases",Quality Service Center (QSC),"AI Search will * Display most relevant results first * Support synonyms, auto-corrections, stop words, and auto-completion AI Search analytics will provide insights into search usage, performance, trends, metrics, and how to improve search experiences. Plan to do AI Search tune-up next",ServiceNow Now Assist,ServiceNow,34838,133952,34838,CCSQ ServiceNow AI Search,it_operations,,"[""drift_legitimate"", ""material_divergence""]",is_generative_ai 2024=0 vs 2025=1; scope grew narrow->broad (bureau->enterprise_wide); likely real rollout; agency added generative AI between cycles,wave2a-continued,classical_ml,unknown,medium,bureau,product_deployment,,,,1,0,,0,,,,,,Named product deployment: 'CCSQ ServiceNow AI Search is a product inside ServiceNow (SaaS' → classical_ml.,CMS,,,mission_critical
HHS,Natural Language Processing (NLP),nlp_specific,custom_trained,CMS,None of the above.,enterprise_wide,,Initiated,custom_system,"Reduce repeat issues delaying benefits or access to care, and improve health plan compliance with federal rules and regulations.",0,0,1,0,0,0,renamed,Complaint Analysis,It utilized data science techniques and an LLM to analyze complaint data.,Conduct high volume case analysis to identify root causes/trends that can be validated by SMEs and act as a workforce multiplier.,,,,,,,,,,,,,,,,,,,,,,,"The business process this AI could affect involves the analysis of complaint data used by the OPOLE team.

It could help the OPOLE team to understand the main issues and potential root causes of the complaints, enabling them to address these issues more efficiently and effectively.",CMS AI Workspace,"Identify trends, applicable regulatory citations, sample for validation, and recommended next steps.",,,34841,133953,34841,Complaint Analysis POC,administrative,,"[""drift_legitimate"", ""material_divergence""]",is_generative_ai 2024=1 vs 2025=0; ai_sophistication LLM-class shift general_llm→nlp_specific; scope pilot→enterprise_wide (≥2 tiers); scope rollout pilot→enterprise_wide,wave2a-renamed-split,general_llm,inference_only,high,pilot,bespoke_application,,,,,0,,1,,,,,,In-house wrapper/RAG over foundation model: 'an LLM to analyze complain' → general_llm.,CMS,,,mission_critical
HHS,Generative AI,general_llm,custom_trained,CMS,None of the above.,enterprise_wide,,Initiated,bespoke_application,"More efficient releases of documents in response to FOIA requests, reduction in back-logs, helping ensure public access to government information while protecting sensitive data appropriately.",0,1,1,1,0,0,renamed,FOIA REDACTION (FRED) TOOL,Utilizes GenAI technology to automate review and redaction of CMS documents per FOIA requests/process.,"FRED is designed to support FOIA staff in redacting records more efficiently and consistently. FOIA redaction can be a time-consuming process and experience large back-logs of requested documents. It aims to use AI to analyze, identify, and generate predictions of text for redaction, thereby improving the efficiency of FOIA response processing.",,,,,,,,,,,,,,,,,,,,,,,"OIT & OSORA partnership: Internal business process of reviewing and redacting CMS business documents subject to FOIA requests.

Reduces burden on FOIA staff to manually redacting business documents subject to FOIA requests.",Elsa,FRED produces a PDF with boxes around text that it recommends for redaction along with comments for the redaction code,Microsoft Teams,Microsoft,34843,134057,34843,FOIA Document Review/Redaction Automation,administrative,Contractor teams,"[""drift_legitimate"", ""material_divergence""]",is_generative_ai 2024=1 vs 2025=0; scope pilot→enterprise_wide (≥2 tiers); scope rollout pilot→enterprise_wide,wave2a-renamed-split,general_llm,inference_only,medium,pilot,bespoke_application,,,,,0,,1,,,,,,In-house wrapper/RAG over foundation model: 'Utilizes GenAI technology to autom' → general_llm.,CMS,,,administrative
HHS,Natural Language Processing (NLP),nlp_specific,unknown,CMS,None of the above.,enterprise_wide,,Initiated,custom_system,Generate responses to common questions from issuers and external organizations based on previously cleared material.,0,0,1,0,0,0,continued,Help Desk Responses,This AI feature in the issuer help desk would help generate responses to common questions from issuers and external organizations based on previously cleared material.,"(Marketplace) The Division of Issuer Management and Operations has talked with their contractor, LMI, about using an AI tool for the Help Desk contract.",,,,,,,,,,,,,,,,,,,,,,,"The Division of Issuer Management and Operations has talked with their contractor, LMI, about using an AI tool for the Help Desk contract.

This would reduce the amount of time staff contractors need to generate answers for SME review and approve responses to QHP issuers and other external entities that ask questions to the help desk.",,Reduce the amount of time staff contractors need to generate answers for SME review and approve responses to issuers and other external entities that ask questions to the help desk.,,,34844,133954,34844,Help Desk Responses,it_operations,,"[""drift_legitimate""]",scope grew narrow->broad (pilot->enterprise_wide); likely real rollout,wave2a-continued,classical_ml,unknown,medium,pilot,custom_system,,,,,0,,0,,,,,,In-house classical_ml system: 'The Division of Issuer Management and Operations has talked with their contractor'.,CMS,,,mission_critical
HHS,Generative AI,general_llm,unknown,CMS,None of the above.,enterprise_wide,,Initiated,custom_system,Improving access to program information and reducing service desk burden and improving user experience for searches.,0,0,1,1,1,0,renamed,Resource Library Assistant,"Powered by Amazon Bedrock, by loading all resources, files, references etc. available to the QPP user community, we can establish a knowledge base that allows the bot to scan all available program documentation to construct a message that accurately answers a user's question.",Users being able to find information related to program participation.,,,,,,,,,,,,,,,,,,,,,,,"Continue to assess and refine content present in both the informational public side of QPP, Resource Library, Webinar Library, and Top Navigation as the site continues to grow.

The Chat Client would benefit the program by improving user experience through easier access to information, increased program understanding, and ability to communicate in multiple languages.",,The AI pulls responses from preapproved documents that were fed into the system. It is not a learning model at this time.,,,34847,133955,34847,Chat Client - Resource Library,mission_critical,,"[""drift_legitimate"", ""material_divergence""]",scope pilot→enterprise_wide (≥2 tiers); scope rollout pilot→enterprise_wide,wave2a-renamed-split,general_llm,inference_only,high,pilot,bespoke_application,,1,,,0,,1,,,,,,"In-house wrapper/RAG over foundation model: 'Amazon Bedrock, by loading all res' → general_llm.",CMS,AWS Bedrock,AWS,mission_critical
HHS,Classical/Predictive Machine Learning,agentic,inference_only,CMS,None of the above.,enterprise_wide,,Initiated,product_deployment,"Build a chatbot that will address some help support activities through:
1. Access to Internal Knowledge base Including retrieval augmented generation (RAG)
2. Personalized FAQs & contextual generation
3. Interaction with Live Agent
4. Chat & Talk Feature
5. Ability to query custom data source for File or Case status",0,1,1,0,1,0,continued,Chatbot within Hub,"Build a chatbot that will address some help support activities through:
Access to Internal Knowledge base Including RAG (Retrieval Augmented Generation).
Personalized FAQ’s & Contextual generation.
Interaction with Live Agent.
Chat & Talk Feature.
Ability to query custom data source for File or Case status.","(Other) Currently the following help support activities are handle by a human:
- Personalized FAQ?s
- Clarify questions with schema and onboarding, etc.
- Handle ""Where is 'My file' or 'My Request'?"" inquiries
- Provide a ""Talk to Agent"" feature
- Schedule a testing window
- Provide data summarization and reporting for internal stakeholders
- Report operational health of the system
- Include training materials, Q/A about the system",,,,,,,,,,,,,,,,,,,,,,,"Currently the following help support activities are handle by a person:
Personalized FAQ’s; 
Clarify questions with schema and onboarding etc.; 
Handle - Where is “My file” or “My Request” inquiries
Provide a - Talk to Agent feature
Scheduling a testing window
Provide data summarization and reporting for internal stakeholders
Report operational health of the system
Include training materials, Q/A about the system and such.

Help support team in day-to-day communication with external partners",,Help support team in day-to-day communication with external partners,Custom In-House AI,In-House,34848,133956,34848,Chatbot within Hub,it_operations,,"[""drift_legitimate""]",scope grew narrow->broad (pilot->enterprise_wide); likely real rollout,wave2a-continued,agentic,rag_pipeline,high,pilot,bespoke_application,,,,,0,,1,,,,,,In-house wrapper/RAG over foundation model: 'Including RAG (Retrieval Augmente' → agentic.,CMS,,,mission_critical
HHS,Natural Language Processing (NLP),nlp_specific,unknown,CMS,None of the above.,enterprise_wide,,Initiated,custom_system,reduce cycle time and increase volume reviewed,0,0,1,0,0,0,continued,Medicare Part C/D Marketing Material Review,The AI tool required has not been identified as we still need to develop a proof of concept.  We anticipate AI would learn the various requirements for Marketing materials to help identify issues and compliance with applicable policies and regulations.,Expand the volume of materials reviewed while providing consistent insights into trends and issues with materials received.,,,,,,,,,,,,,,,,,,,,,,,"Drug and Health Plan Operations (DHPO) staff reviews both advertising mediums and channels materials that includes over 22  different types of media marketing materials ranging from written, digital, and more. The marketing materials are submitted to CMS from either the Medicare Health Plans and/or their third party marketing organizations. DHPO staff reviews these marketing materials to ensure they meet Medicare Marketing Guidelines. 

The current process is time consuming and resource intensive. This reduces the efficiency and quality of staff reviews. AI can improve the efficiency and quality of the marketing materials reviewed; with human validation of results. Incorporating AI into current review process can reduce the time it takes to review marketing materials, improve efficiency and allow existing FTE resources to be utilized more efficiently, and potentially reduce the volume of marketing misrepresentation complaints.  Ideally this will improve efficiency and quality, help beneficiaries access to care, and also ensure marketing materials meets Medicare Marketing Guidelines.",,guided recommendations,,,34851,133957,34851,Medicare Part C/D Marketing Material Review,administrative,,"[""drift_legitimate""]",scope grew narrow->broad (pilot->enterprise_wide); likely real rollout,wave2a-continued,classical_ml,unknown,medium,pilot,custom_system,,,,,0,,0,,,,,,In-house classical_ml system: 'Drug and Health Plan Operations (DHPO) staff reviews both advertising mediums and'.,CMS,,,administrative
HHS,Generative AI,general_llm,unknown,CMS,None of the above.,enterprise_wide,,Initiated,custom_system,"In general we expect to see a decrease to lines of code, increase efficiency of code, increase developer output and reduced story points for work which in turn produces cost savings.",0,0,1,1,0,0,continued,QPP Admin Bot,"Powered by Amazon Bedrock, the out-of-the-box solution can interface directly with data lakes like QPP's Universal Data Set (UDS) empowering users to ask very pointed questions on model data and/or model performance.",This AI is to help with Code complexity.,,,,,,,,,,,,,,,,,,,,,,,"Provides custom reporting and analysis to meet the ongoing and emerging needs to address analytics and reporting needs and supports key business processes in the QPP cycle - such as delivering feedback to providers, calculating final scores, and delivering payment adjustments to the Medicare contractors.

The Admin Bot would benefit the program by increasing availability of data, thus empowering users and informing decisions, through a simple-to-use communication platform.",,Recommendation.,,,34854,133958,34854,QPP Admin Bot,administrative,,"[""drift_legitimate"", ""material_divergence""]",is_generative_ai 2024=1 vs 2025=0; scope grew narrow->broad (pilot->enterprise_wide); likely real rollout,wave2a-continued,general_llm,inference_only,high,pilot,bespoke_application,,1,,,0,,1,,,,,,"In-house wrapper/RAG over foundation model: 'Amazon Bedrock, the out-of-the-box' → general_llm.",CMS,AWS Bedrock,AWS,administrative
