use_case_id_2024,tagged_by_agent,entry_type,is_generative_ai,ai_sophistication,deployment_scope,confidence,reasoning,is_general_llm_access,is_coding_tool,is_cots_commercial,tool_product_name,tool_vendor,is_microsoft_copilot,is_openai,is_anthropic,is_google,is_github_copilot,is_aws_ai,is_enterprise_wide,architecture_type,has_model_training,use_type,is_public_facing,scope_detail
34225,agentB,custom_system,0,nlp_specific,bureau,medium,"Quotes 'voice to text, text to voice, and voice to voice translations' indicating speech NLP for ICE ERO field use.",,,0,,,,,,,,,,unknown,0,mission_critical,0,ICE
34253,agentB,custom_system,0,predictive_analytics,bureau,medium,"Phrase 'anomaly detection' and 'risk identification and disease prediction' indicates predictive ML, not generative.",,,0,,,,,,,,,,,1,mission_critical,0,OHS
34257,agentB,custom_system,0,nlp_specific,department,high,"Says 'topic modeling, sentiment analysis' on DHS Pulse Survey responses — classical NLP, in-house.",,,0,,,,,,,,,,unknown,1,administrative,0,
34315,agentB,custom_system,0,classical_ml,bureau,high,Says 'Two ML models (BEACON and SINCT)' that classify NAICS write-ins — supervised classification.,,,0,,,,,,,,,,,1,mission_critical,1,Census
34353,agentB,custom_system,1,general_llm,office,low,"Vague description of 'documentation generation, responses to data calls' suggests generative drafting in cybersecurity workflow.",,,0,,,,,,,,,,,,cybersecurity,0,
34431,agentB,bespoke_application,1,general_llm,bureau,high,Says 'Retrieval-Augmented Generation' with 'AI (LLM) summarizes' — classic RAG over an LLM.,,,0,,,,,,,,,,rag_pipeline,0,mission_critical,1,NREL
34432,agentB,custom_system,0,nlp_specific,office,high,"Says 'reading and tagging 100,000 Energy.gov webpages' producing 'list of five tags' — topic modeling NLP.",,,0,,,,,,,,,,,1,administrative,0,
34600,agentB,custom_system,0,computer_vision,bureau,high,Phrase 'geospatial artificial intelligence methods to map annual land cover' indicates remote-sensing CV.,,,0,,,,,,,,,,,1,mission_critical,1,USGS
34668,agentB,product_feature,1,general_llm,office,medium,Says 'MetaAI offer search and chatbot assistance' as embedded feature DOL can't disable in Facebook app.,,,1,Meta AI,Meta,,,,,,,,,,administrative,1,
34704,agentB,custom_system,0,classical_ml,department,high,Says 'machine learning model predicts records schedules' — straightforward classification.,,,0,,,,,,,,,,,1,administrative,0,
