agency,use_case_name,source_text,decision,mapped_products,proposed_new,confidence,reasoning
HHS,Risk Assessment Module (RAM) for the National Diabetes Prevention Program (National DPP) Operations Center.,"N/A DDT DPRP Portal Risk Assessment Module (RAM) for the National Diabetes Prevention Program (National DPP) Operations Center. To assist in determining if an organization participating in the National DPP is at risk of improperly starting, going inactive, or not achieving necessary goals for continued participation in CDCs Diabetes Prevention Recognition Program. The RAM module helps program managers synthesize large amounts of organization-level data to make informed decisions on assisting or",agency_internal_system,,,high,"'DDT DPRP Portal Risk Assessment Module (RAM)' is a CDC-built module of the DPRP portal; vendor N/A, no commercial product named."
HHS,SRDMS NLP COI,"Deloitte SRDMS NLP COI KP/KI Module SRDMS NLP COI Scientific review officers need to identify individuals who may pose a conflict-of-interest (COI) during the grant application review process. SRDMS NLP COI is able to automate the identification of individuals who may pose a conflict-of-interest during the grant application review process, which saves significant time and effort by the SRO during application review and promotes consistency in identifying COIs.",map_to_existing,NIH SRDMS NLP COI Module,,high,'SRDMS NLP COI KP/KI Module' matches catalog entry NIH SRDMS NLP COI Module (Deloitte-built for NIH).
HHS,School LLM initial abstract review process,"N/A  School LLM initial abstract review process Manual review and categorization of thousands of research abstracts related to school readiness science is time-consuming. The AI enables efficient extraction and categorization of themes, reducing human effort and time. The AI allows for efficient categorization of thousands of abstracts in a much shorter time frame, with less human effort, and presents results in a user-friendly dashboard for health scientists to use in research and decision-maki",agency_internal_system,,,medium,"'School LLM initial abstract review process' is an internal HHS analytic process; vendor 'N/A', no product named."
HHS,Sequential Coverage Algorithm (SCA) and partial Expectation-Maximization (EM) estimation in Record Linkage,"N/A Consolidated Statistical Platform Sequential Coverage Algorithm (SCA) and partial Expectation-Maximization (EM) estimation in Record Linkage To improve the accuracy and efficiency of record linkage in CDCs National Center for Health Statistics (NCHS) Data Linkage Program, particularly for large datasets, by automating the development and selection of blocking groups and reducing manual effort. Increased accuracy and efficiency in data linkage 

Automation reduces manual effort and increases",agency_internal_system,,,high,'Sequential Coverage Algorithm (SCA) and partial Expectation-Maximization (EM) estimation' is an in-house NCHS statistical method on the Consolidated Statistical Platform; no commercial product.
HHS,Similar Opportunities (KNN),MicroHealth Grants.gov Cloud Similar Opportunities (KNN) Agencies do not receive the highest number of proposals from capable applicants as applications generally tend to come from the same set of applicants. Increase the quality and capability of applicants submitting grant proposals to federal agencies.,map_to_existing,Grants.gov Similar Opportunities,,high,'MicroHealth Grants.gov Cloud Similar Opportunities (KNN)' matches catalog Grants.gov Similar Opportunities (HHS / MicroHealth).
HHS,Smart Solution for Docket Management (SSDM),"Deloitte AWS Smart Solution for Docket Management (SSDM) The AI is intended to solve the extremely labor-intensive and time consuming process of manually collating, de-duplicating, and categorizing public comments on FDA dockets. 1. Significant time and resource savings: The platform aims to save the Agency a substantial number of staff hours by assisting in reducing redundant and time-consuming tasks that can take weeks to complete manually. 2. Enhanced processing capacity: The platform will en",map_to_existing,FDA Smart Solution for Docket Management,,high,'Smart Solution for Docket Management (SSDM)' for 'public comments on FDA dockets' matches catalog FDA Smart Solution for Docket Management.
HHS,TB Case Browser Image Text Detection,"Deloitte, Guidehouse, Research Data and Communication Technologies Corp. NIAID TB Portals TB Case Browser Image Text Detection Without OCR technology, validation of text on images is manually intensive and, without proper controls, can create the risk of sensitive information coming into the system. Provides additional protection against PII/PHI ingress into the TB Portals imaging dataset in a far more automated process.",agency_internal_system,,,medium,'TB Case Browser Image Text Detection' is a contractor-built OCR component of the NIAID TB Portals government program; no matching catalog entry (only TB DEPOT and Outlier Detection are cataloged).
HHS,TB DEPOT (Tuberculosis Data Exploration Portal),"Deloitte, Guidehouse, Research Data and Communication Technologies Corp. NIAID TB Portals TB DEPOT (Tuberculosis Data Exploration Portal) There was a lack of deidentified, multidimensional tuberculosis socioeconomic, clinical, imaging, and pathogen genomic data available for researchers to use in developing models and learning more about TB cases. Provide a no-code application for users to explore and analyze multidimensional TB Portals data.",map_to_existing,NIAID TB Portals (TB DEPOT),,high,'TB DEPOT (Tuberculosis Data Exploration Portal)' matches catalog NIAID TB Portals (TB DEPOT).
HHS,TB Portals Outlier Detection Lambda Function,"Deloitte, Guidehouse, Research Data and Communication Technologies Corp. NIAID TB Portals TB Portals Outlier Detection Lambda Function The quality of chest X-ray (CXR) images uploaded by TB Portals Program partners varied significantly, and as the scale of images increased, NIAID needed a way to identify outliers in the imaging dataset. Detect potential low-quality chest X Rays to flag as potentially being unsuitable for AI/ML training and flag for quality improvement.",map_to_existing,NIAID TB Portals Outlier Detection,,high,'TB Portals Outlier Detection Lambda Function' matches catalog NIAID TB Portals Outlier Detection.
HHS,Unaccompanied Children Program Policy & Procedure Research Tool,"MIT Lincoln Labs ACF Horizon Unaccompanied Children Program Policy & Procedure Research Tool How can the Office of Refugee Resettlement (ORR) research the laws, standards, policies, and procedures applicable to monitoring visits more quickly while maintaining thoroughness?

The Office of Refugee Resettlement (ORR) conducts monitoring visits at least monthly to ensure that care providers meet minimum standards for the care and timely release of unaccompanied children, and that they abide by all F",map_to_existing,ORR Unaccompanied Children Policy Research Tool,,high,'Unaccompanied Children Program Policy & Procedure Research Tool' for ORR matches catalog ORR Unaccompanied Children Policy Research Tool.
HHS,Use case package 1: Empirical application of the Sentinel EHR and claims Data Partner network to address ARIA insufficient inferential requests (UC1),In-house (CDER staff) and contractor teams Sentinel Use case package 1: Empirical application of the Sentinel EHR and claims Data Partner network to address ARIA insufficient inferential requests (UC1) This AI project is designed to solve the problem of determining whether available data sources and analytical methods are suitable for specific pharmacoepidemiologic research questions. It aims to systematically evaluate data fitness-for-purpose and identify viable use cases where protocol-based s,agency_internal_system,,,high,'In-house (CDER staff) and contractor teams Sentinel' — FDA's Sentinel Initiative is a government system; heuristic candidates (Microsoft Teams) are spurious.
HHS,Using Databricks Genie for Routine Immunization Data Insights,"N/A EDAV (Enterprise Data Analytics and Visualization Platform) Using Databricks Genie for Routine Immunization Data Insights The volume of immunization data reported quarterly is approximately 5 billion records. Analyzing this data to gather high-level insights requires complex coding and manipulation. By using a Large Language Model (LLM) based approach, the solution offers a plain language query capability that generates code to provide high-level insights without the need to move or create s",map_to_existing,Databricks ;; EDAV (CDC),,high,'Using Databricks Genie' (a Databricks feature) on the 'EDAV (Enterprise Data Analytics and Visualization Platform)' — maps to Databricks and EDAV (CDC).
HHS,Vaccine Tracking System (VTrckS) Conversational AI Pilot,N/A EDAV (Enterprise Data Analytics and Visualization Platform) Vaccine Tracking System (VTrckS) Conversational AI Pilot The VTrckS Conversational AI module will provide a user-friendly prompt driven approach to gaining insights into the VTrckS datasets. Current approach involves utilizing the SAP HANAs reporting modules and custom dashboards. The conversational AI approach will allow for a more human friendly metto  quick insights without having to learn about the underlying data models. This ,map_to_existing,EDAV (CDC),,medium,'VTrckS Conversational AI module' is an in-house pilot hosted on 'EDAV (Enterprise Data Analytics and Visualization Platform)'; map the platform; SAP HANA is mentioned only as the legacy approach.
HHS,emPOWER AI,"Communications Training & Analysis Corporation (CTAC) HHS emPOWER Map (emPOWER) emPOWER AI Public health authorities, first responders and others across the emergency management spectrum indicated that they had to be able to more rapidly access HHS emPOWER Map publicly available data, particularly in unstable internet conditions, during disasters. emPOWER AI, an  Amazon Alexa Skill, was created to allow anyone with a smartphone, particularly emergency and first responders, to be able to request ",map_to_existing,Amazon Alexa,,high,"'emPOWER AI, an Amazon Alexa Skill' — the product surface is Amazon Alexa; CTAC is the integrator."
HUD,Amazon Textract for automatic signature identification,Microsoft / SalesForce SalesForce / Azure Amazon Textract for automatic signature identification The Homeownership Center (HOC) staff is required to review and validate each Case Binder. Amazon Textract automatically analyzes PDF documents to detect if the document has a signature panel and if the document is signed or not. This tool will help to automate and improve the overall efficiency of the case binder business process within Federal Housing Administration (FHA) Catalyst and potentially sa,map_to_existing,AWS Textract,,high,'Amazon Textract automatically analyzes PDF documents to detect if the document has a signature panel' — maps to AWS Textract; 'SalesForce / Azure' are host platforms only.
HUD,"Automated Draft Narrative Reports

Previously ""Automating Draft Counterparty Credit Narrative Reports""; have since expanded to general enterprise use.","Deloitte Consulting, LLC Ginnie Mae Reporting and Feedback System (RFS) Automated Draft Narrative Reports

Previously ""Automating Draft Counterparty Credit Narrative Reports""; have since expanded to general enterprise use. Ginnie Mae uses Natural Language Generation (NLG) to implement coded rules and generate draft narratives/memos. This application of AI enables processing efficiency and reduces errors that can occur in a manual process. The AI solution ensures greater accuracy in reporting, ti",map_to_existing,Ginnie Mae Automated Draft Narrative Reports,,high,'Automated Draft Narrative Reports' (Deloitte/Ginnie Mae NLG) matches catalog Ginnie Mae Automated Draft Narrative Reports.
HUD,CAISY - Workforce Training Conversation Simulator,"Skillsoft Percipio Skillsoft CAISY - Workforce Training Conversation Simulator CAISY is designed to solve the challenge of helping employees practice and improve difficult workplace conversations in a safe, realistic environment. CAISY helps employees practice and receive real-time feedback on workplace conversations.  It offers several real-world scenarios, allowing users to practice skills like resolving customer concerns, sharing constructive feedback, and leading difficult conversations, wit",map_to_existing,Skillsoft Percipio CAISY,,high,'CAISY - Workforce Training Conversation Simulator' from 'Skillsoft Percipio' matches catalog Skillsoft Percipio CAISY.
HUD,Counterparty Risk Anomaly Detection,"Deloitte Consulting, LLC Ginnie Mae Reporting and Feedback System (RFS) Counterparty Risk Anomaly Detection Ginnie Mae is responsible for analyzing counterparty risk profiles of mortgage issuers who participate in Ginnie Mae’s program. Ginnie Mae analyzes data from multiple sources to identify potential risks and areas of focus. To enhance the identification of data patterns, Ginnie Mae uses machine learning algorithms, specifically clustering and genetic techniques. These algorithms detect pote",map_to_existing,Ginnie Mae Counterparty Risk Anomaly Detection,,high,'Counterparty Risk Anomaly Detection' on Ginnie Mae RFS matches catalog Ginnie Mae Counterparty Risk Anomaly Detection.
HUD,Microsoft Copilot,"Microsoft Microsoft Copilot Microsoft Copilot To support the HUD Secretary's directive to improve efficiency, HUD has a need to offer office productivity tools and capabilities. This would include the ability to automate repetitive, manual, and time-consuming tasks, streamline processes, and analyze data and produce insights and recommendations. Microsoft Copilot will help with employee productivity by helping users draft documents, create summaries, generate data insights, and automate routine ",map_to_existing,Microsoft 365 Copilot,,high,"'Microsoft Copilot will help with employee productivity by helping users draft documents, create summaries' — HUD office-productivity deployment maps to Microsoft 365 Copilot."
