consolidated_use_case_id,agency,ai_use_case,commercial_product,agency_uses,commercial_examples_snippet,candidate_products,pre_classification
8939,DOC,Using AI-assisted tools in word processors.,Litera-compare,Y,,,high_signal
8949,DOE,Scheduling internal-to-government meetings or appointments or setting reminders using AI.,"WebApps, OGC Docket Database, MCG Energy Solutions Integrated Asset Manager (IAM), OATI Transmission Scheduling",Y,,,high_signal
8952,DOE,Prioritizing and categorizing incoming emails using AI.,"CBSA - Commercial Business Support Application, Konica Minolta Dispatcher Paragon, KCNSC-Intune",Y,,,high_signal
8953,DOE,"Editing images, videos, or other public affairs materials using AI.","Adobe creative suite, TV eyes",Y,,,high_signal
8957,DOE,Summarizing the key points of a lengthy report using AI.,Doble Engineering Doble Test Assistant,Y,,,high_signal
8960,DOE,Generating code using AI.,GitHub Enterprise 1.0,Y,,,high_signal
8967,DOE,Finding and booking travel accommodations using AI-powered platforms.,"Enterprise Travel System 2.0, DDSP Travel Request Form,",Y,,,high_signal
8984,HHS,Managing and prioritizing internal service or help desk tickets using AI.,"ServiceDesk, DRUID AI, Supportbench, ServiceDesk Plus",Y,,,high_signal
8985,HHS,Curating news articles and updates based on user preferences using AI.,"Apple News, MediaViz AI, Google News Brief",Y,,,high_signal
8998,DHS,Creating visual representations of data sets for reports or presentations using AI.,"Azure Synapse Analytics, Copilot",Y,,,high_signal
8999,DHS,Using AI-assisted tools in word processors.,"Adobe Premiere Spech to Text, Copilot",Y,,,high_signal
9084,DOL,Managing and prioritizing internal service or help desk tickets using AI.,"Supportbench, ServiceDesk Plus",Y,,,high_signal
9085,DOL,Curating news articles and updates based on user preferences using AI.,"MediaViz AI, Google News Brief",Y,,,high_signal
9091,DOT,"Transcribing, summarizing, or other efforts that improve the accessibility of a virtual meeting or interview using AI.",Google Calendar,Y,,,high_signal
9093,DOT,"Editing images, videos, or other public affairs materials using AI.",Adobe,Y,,,high_signal
9094,DOT,Scheduling and managing social media posts using AI.,Sprout,Y,,,high_signal
9144,VA,Managing and prioritizing internal service or help desk tickets using AI.,Genesys Cloud CX,Y,,,high_signal
9161,VA-OIG,Searching for agency information using a knowledge retrieval system.,VA GPT,Y,,Aretec SEARCH (via 'SEARCH'),high_signal
9170,EPA,Logging and analyzing time spent on tasks using AI-powered time management tools.,Microsoft Viva,Y,,,high_signal
9267,FDIC,Finding and booking travel accommodations using AI-powered platforms.,CWTSatoTravel,Y,,,high_signal
9313,FLRA,"Editing images, videos, or other public affairs materials using AI.",Vyond,Y,,,high_signal
9325,FLRA,Curating news articles and updates based on user preferences using AI.,Google News Brief,Y,,,high_signal
9333,FRB,"Editing images, videos, or other public affairs materials using AI.",External- Creative Production Suite,Y,,,high_signal
9335,FRB,"Generating first drafts of documents, briefing, or communication materials using AI.","External- Chatbots, Internal Gov Cloud- Chatbots",Y,,,high_signal
9336,FRB,Improving the quality of written communications using AI tools.,"External- Chatbots, Internal Gov Cloud- Chatbots",Y,,,high_signal
9337,FRB,Summarizing the key points of a lengthy report using AI.,"External- Chatbots, Internal Gov Cloud- Chatbots",Y,,,high_signal
9340,FRB,Generating code using AI.,"External-Generative Coding Assistant, External- Chatbots, Internal Gov Cloud - Chatbots",Y,,,high_signal
