use_case_id_2024,tagged_by_agent,confidence,reasoning,entry_type,is_generative_ai,ai_sophistication,deployment_scope,scope_detail,is_enterprise_wide,is_general_llm_access,is_coding_tool,is_cots_commercial,tool_product_name,tool_vendor,is_microsoft_copilot,is_openai,is_anthropic,is_google,is_github_copilot,is_aws_ai,architecture_type,use_type,is_public_facing
34136,wave3-P1,high,"drift_legitimate: kept Wave 1 (2024 tag) — agency changed posture between cycles, do not import 2025 hindsight",custom_system,0,classical_ml,bureau,CBP,0,0,0,,,,0,0,0,0,0,0,inference_only,mission_critical,0
34138,wave3-P1,medium,material_divergence (no proposed fix): kept Wave 1 — 2024 narrative is authoritative for 2024 row (is_generative_ai 2024=1 vs 2025=0),custom_system,1,general_llm,bureau,CBP,0,0,0,,,,0,0,0,0,0,0,inference_only,mission_critical,0
34142,wave3-P1,high,"drift_legitimate: kept Wave 1 (2024 tag) — agency changed posture between cycles, do not import 2025 hindsight",custom_system,0,nlp_specific,bureau,CBP,0,0,0,,,,0,0,0,0,0,0,inference_only,mission_critical,0
34146,wave3-P1,high,"drift_legitimate: kept Wave 1 (2024 tag) — agency changed posture between cycles, do not import 2025 hindsight",custom_system,0,classical_ml,bureau,CBP,0,0,0,,,,0,0,0,0,0,0,inference_only,mission_critical,0
34149,wave3-P1,high,"drift_legitimate: kept Wave 1 (2024 tag) — agency changed posture between cycles, do not import 2025 hindsight",custom_system,0,classical_ml,bureau,CBP,0,0,0,,,,0,0,0,0,0,0,rag_pipeline,mission_critical,0
34152,wave3-P1,high,"drift_legitimate: kept Wave 1 (2024 tag) — agency changed posture between cycles, do not import 2025 hindsight",custom_system,0,classical_ml,bureau,CBP,0,0,0,,,,0,0,0,0,0,0,inference_only,administrative,0
34157,wave3-P1,high,"drift_legitimate: kept Wave 1 (2024 tag) — agency changed posture between cycles, do not import 2025 hindsight",custom_system,0,nlp_specific,bureau,CBP,0,0,0,,,,0,0,0,0,0,0,inference_only,mission_critical,0
34158,wave3-P1,high,"drift_legitimate: kept Wave 1 (2024 tag) — agency changed posture between cycles, do not import 2025 hindsight",custom_system,0,classical_ml,bureau,CBP,0,0,0,,,,0,0,0,0,0,0,inference_only,mission_critical,0
34159,wave3-P1,high,"drift_legitimate: kept Wave 1 (2024 tag) — agency changed posture between cycles, do not import 2025 hindsight",custom_system,0,classical_ml,bureau,CBP,0,0,0,,,,0,0,0,0,0,0,rag_pipeline,mission_critical,0
34162,wave3-P1,medium,"tagging_error_2025: kept Wave 1 (2024 tag was correct; 2025 row mistagged — handled separately); tagging_error_2024: adopted proposed correction (updated entry_type, ai_sophistication, is_general_llm_access, tool_product_name, tool_vendor)",product_deployment,0,general_llm,bureau,CBP,0,1,0,,Aretec SEARCH,Aretec,0,0,0,0,0,0,inference_only,mission_critical,0
