agency,use_case_name,verdict,final_ai_sophistication,confidence,reasoning
DOC,Generative AI Tools Pilot - Global Markets,reclassify,general_llm,medium,"GenAI drafting tool: ""enables analysts to generate initial drafts of market research reports""; no multi-step planning or tool use, OMB classification blank."
DOC,Google AgentSpace,keep,agentic,low,"No narrative, but ""Google AgentSpace"" is Google's enterprise agentic platform (agent-framework product); name is unambiguous per decision rule, confidence low for lack of detail."
DOC,Robotic microscopes and machine learning algorithms remotely and autonomously track lower trophic levels for improved ecosystem monitoring and assessment,reclassify,computer_vision,high,"""machine learning algorithms remotely and autonomously track lower trophic levels"" via robotic microscopes - autonomous imaging/classification, not model-driven agentic planning."
DOC,Integrating AI into AUV image analysis workflow,reclassify,computer_vision,high,"""AUV image analysis workflow"" - underwater image classification pipeline; ""autonomous"" aerospace/marine sensing is not agentic AI."
DOC,"Detection of hardware issues in complex, wide-area computing systems based on non-intrusive workflow performance data gathered via the GFDL EPMT",reclassify,classical_ml,medium,"""Detection of hardware issues ... based on non-intrusive workflow performance data"" - anomaly detection on telemetry, no LLM planning."
DOC,Optimization of highly-concurrent workflow task management systems based on anomaly detection using non-intrusive workflow performance data gathered via the GFDL EPMT,reclassify,classical_ml,medium,"""Optimization of ... workflow task management systems based on anomaly detection"" - classical anomaly-detection/optimization, not agentic."
DOC,Grants Program Administration - BEAD Monitoring Plan Agent Pilot,reclassify,general_llm,medium,"""BEAD Monitoring Agent quickly reviews ... monitoring plans by comparing them against a gold standard"" - LLM document comparison/review; ""Agent"" in name, but no tool orchestration or multi-step planning described."
HHS,Discover Financial Business Intelligence System (FBIS) Report Analysis (Sub-CAN Line Items),reclassify,general_llm,medium,"""AI is used to both search for relevant data ... and aggregate information"" across FBIS reports - retrieval + summarization to build a spend plan; OMB says Agentic but narrative is search/aggregate, not multi-step planning."
HHS,Structuring and Validating Completeness of Case Data Information,reclassify,nlp_specific,medium,"""AI is used to conduct initial parsing of the data ... and highlight whether ... the required fields ... are included"" - information extraction from free text, not agentic; ORR team does the actual review/follow-up."
HHS,Unaccompanied Children Program Policy & Procedure Research Tool,reclassify,general_llm,medium,"RAG research tool: ""speeds up research of relevant laws, standards, policies"" producing a compliance ""Initial assessment ... with ... accurate citations"" - retrieval+generation, not multi-step agentic orchestration despite OMB=Agentic."
HHS,Head Start Correspondence Categorizer,reclassify,nlp_specific,medium,"""a data processing step that helps categorize correspondence"" - text categorization; the ""automating data transfer"" is plain workflow plumbing, not agentic planning."
HHS,Builder Buddy,reclassify,general_llm,medium,"""Builder Buddy lets users draft a virtual assistant through describing their needs ... in a natural conversational manner"" - GenAI that generates assistant configs; itself a chat tool, not an autonomous agent."
HHS,Grant management support: structuring information in applications,reclassify,general_llm,medium,"""summarizing information, extracting key information ... flagging potential gaps ... providing citations"" - document review assistant; ""AI is only used to support review ... does not make any final determinations."""
