product_id,canonical_name,vendor,product_origin,n_currently_linked,n_text_matches,n_gap,gap_agencies,sample_gap_uc_ids,sample_gap_use_case_names
1432,NEC NeoFace,NEC,commercial,11,93,82,DHS|DOE|DOI|DOJ|DOT|EPA|FERC|FHFA|FTC|GSA|HHS|NARA|NASA|NRC|NSF|SBA|State|TVA|Treasury|USDA|VA,30209|30219|30220|30223|31746,Friction Ridge Print Comparisons | Financial and Cryptocurrency Analysis: Federal Par | Financial and Cryptocurrency Analysis: Commercial  | Intelligence Data Platform | Point spread function (PSF) calibration using mach
1164,Microsoft Teams,Microsoft,commercial,52,93,41,DHS|DOE|DOJ|ED|EPA|FTC|HHS|NASA|SBA|State|TVA|Treasury|VA,29189|29710|29718|32157|32517,Risk Management Framework (RMF) Automation | Nuclear Safety Analysis | Tabnine AI Pair Programmer | Ticket Management Generative AI Pilot | National Training Team | Schools — FAQ Gen AI Dash
1198,Custom In-House AI,In-House,commercial,39,66,27,DHS|DOE|DOI|DOJ|DOT|HHS|NASA|SSA|Treasury|USDA|VA,29200|29836|30988|31247|31366,LIGER Generative AI Toolkit | Microsoft AI Builder | NCHHSTP Social Media Modernization Strategy: Thoug | NIGMS Azure Open AI | Inverse Design of Materials
1168,OpenAI API,OpenAI,commercial,90,112,22,DHS|DOE|DOJ|EPA|HHS|HUD|NASA|OPM|State|VA,29197|29630|30386|31293|31499,Hazard Mitigation Assistance Chatbot | Hanford Search | Knowledge retrieval and synthesis (Azure OpenAI Se | Portfolio analysis and grant summarizing program | Data Fracking (HRP)
1166,Azure OpenAI,Microsoft,commercial,12,18,6,DHS|DOI|HHS|HUD,29154|29197|29933|31208|31332,Grants Manager Artificial Intelligence ChatBot | Hazard Mitigation Assistance Chatbot | USGS Azure OpenAI ChatGPT [2024 INV#WO000000015439 | NHLBI Chat | CAISY - Workforce Training Conversation Simulator
1167,ChatGPT,OpenAI,commercial,22,27,5,DOE|HHS|NASA|SBA|VA,29643|31302|31751|31824|32634,INL AI Virtual Assitant (AiVA) | Enhancing the RCDC with Generative AI | IV&V AI Assistant | Chatbots for internal research | Deep-Learning approaches to develop candidate list
1401,Microsoft 365,Microsoft,commercial,4,9,5,DOE|FTC|NRC,29623|29838|29849|30810|31781,Copilot for Microsoft 365 | Microsoft 365 Apps for Enterprise | Microsoft Co-Pilot | Microsoft 365 Copilot | Support routine administrative tasks and enhancing
1176,AWS Bedrock,Amazon,commercial,4,7,3,ED|HHS|VA,30588|31279|32362,Generative AI and Foundation Model Integration | AWS Exscribo | CSOC AI Analyst Accelerator (Andesite AI)
1169,Claude,Anthropic,commercial,9,11,2,NASA|VA,31523|32362,General AI LLM Chatbot for NASA CUI Data: Accelera | CSOC AI Analyst Accelerator (Andesite AI)
1177,Westlaw AI,Thomson Reuters,commercial,8,10,2,DOJ|FDIC,30436|30699,AI-powered Legal Research | Generative Artificial Intelligence (AI) for Legal 
1179,ServiceNow Now Assist,ServiceNow,commercial,34,36,2,DHS|HHS,29144|31270,Business Automation and Improved Search Ability wi | Help Desk AI Assistant
1190,Databricks,Databricks,commercial,8,10,2,DHS|DOT,29190|30539,"Sentiment Analysis -FOD Field Offices Complaints a | Path to Advanced Novel Data Analytics (PANDA), a d"
1421,Microsoft Power Platform,Microsoft,commercial,3,5,2,DOE|VA,29836|32632,Microsoft AI Builder | BTSSS 3542 Review
1460,Salesforce Einstein,Salesforce,commercial,13,15,2,DOJ|VA,30443|32449,AI-assisted Settlement Data and Risk Analysis | Integration of Provar Manager with VA GPT
1496,Visual Studio,Microsoft,commercial,2,4,2,DOE|VA,29673|32444,Visual Studio Enterprise | Ansible Lightspeed
1162,Microsoft Copilot Studio,Microsoft,commercial,5,6,1,DOE,29726,M365 Copilot
1187,Splunk,Splunk,commercial,4,5,1,VA,32362,CSOC AI Analyst Accelerator (Andesite AI)
1192,Esri ArcGIS AI,Esri,commercial,13,14,1,DHS,29157,"Semantic Search, Summarization, and Data/Spatial V"
1194,Adobe Photoshop,Adobe,commercial,2,3,1,DOJ,30154,Adobe Suite Applications
1210,Microsoft Sentinel,Microsoft,commercial,4,1,1,VA,32362,CSOC AI Analyst Accelerator (Andesite AI)
1214,Relativity,Relativity,commercial,5,6,1,DOJ,30450,AI Evidence and Claim Consolidation
1244,Llama,Meta,commercial,4,5,1,VA,32634,Deep-Learning approaches to develop candidate list
1268,AWS Rekognition,Amazon,commercial,1,2,1,HHS,31225,TB Case Browser Image Text Detection
1373,Hyperscience,Hyperscience,commercial,3,4,1,VA,32510,Automated Claims Processing
1404,Microsoft AI Builder,Microsoft,commercial,2,3,1,HHS,30973,PDF information extraction for 889 Forms
1420,Microsoft Power BI,Microsoft,commercial,1,2,1,VA,32517,National Training Team | Schools — FAQ Gen AI Dash
1468,Skillsoft Percipio CAISY,Skillsoft,commercial,1,1,1,HUD,31332,CAISY - Workforce Training Conversation Simulator
