2025 VA AI Use Case Inventory,,,,,,,,,,,,,
Use Case ID,Use Case Name,VA Admin or Staff Office,Development Stage,High-Impact Status,Problem to be Solved,Expected Benefits,AI System Outputs,AI Tech Classification,Topic Area,Custom-Developed Code?,Development Type,Federal Data Catalog Link,Public Open Source Link
VA-25-897,Employee Transactions for HR Decision-Making,HRA: Human Resources Administration,a) Pre-deployment – The use case is in a development or acquisition status.,a) High-impact ,"AI is intended to automate repeatable tasks, improve efficiency, measure employee performance, support onboarding, improve customer experience, improve user adoption, and improve analytics and reporting to further support decision-making and personalize experiences.","- Increase efficiency of Core Human Resources (HR) and Payroll
- Enhance employee and veteran outcomes e.g., improve customer experience and improve user adoption","- Built-in user aids: Intelligent search, personalized recommendations, and proactive guidance. 
- Configuration and maintenance: Automated tasks, predictive analytics, and streamlined processes. 

AI Agents are embedded and can be enabled by customers to be ready to help across all areas of the HCM lifecycle:
- Intelligent Recruiting: AI helps in creating job descriptions, identifying and ranking candidates, and generating interview questions.
- Personalized Employee Experiences: Generative AI provides customized recommendations for career development and learning paths and can generate personalized learning content.
- AI-Powered Employee Self-Service: AI chatbots answer employee questions and guide them through tasks.
- Data-Driven Workforce Planning: Generative AI transforms workforce data into actionable insights for strategic planning, supports scenario simulations, and forecasts skill gaps.
- Enhancing Employee Well-Being: AI-powered sentiment analysis assesses employee feedback to evaluate morale and potential risks and can generate personalized well-being programs.
- Core HR and Payroll: AI is being integrated to improve the efficiency of these functions.
","Generative AI: AI that generates new or synthetic content (e.g., images, videos, audio, text, code).",Human Resources,,,,
VA-25-6956,Cyber Authorization Memo Generation,OEHRM: Office of Electronic Health Record Modernization,a) Pre-deployment – The use case is in a development or acquisition status.,a) High-impact ,"VA cybersecurity staff are challenged with managing and staying updated with an extensive array of documentation related to policies, processes, directives, and frameworks (which are essential for maintaining compliance and ensuring the security and privacy of VA information systems).  The VA Risk Management Framework (RMF) program continues to rely on human decision-making for risk-based decisions. This human-centric approach requires extensive involvement from various roles and generation/consumption of large amounts of artifacts and staffing resources.","This tool will significantly reduce the time required for memo generation, saving hours of work for each memo signed.  By implementing AI in these use cases, EHRM aims to streamline processes, improve efficiency, and reduce the workload on both cyber personnel and administrative staff.",Compliance checklist results with policy references and recommendations.  Automated authorization documentation.,Classical/Predictive Machine Learning: Models trained on data to make predictions or classifications based on identified patterns or relationships.,Cybersecurity,,,,
VA-25-7168,Clinical AI Agent,OEHRM: Office of Electronic Health Record Modernization,a) Pre-deployment – The use case is in a development or acquisition status.,a) High-impact ,"Administrative tasks, manual documentation, and complex workflows within the Electronic Health Record (EHR) cause lower clinical efficiency and operational effectiveness.","By implementing Clinical Al Agent (CAA), VA providers will leverage new technology to decrease time completing documentation and administrative tasks during a Veteran visit. This leads to increased end user satisfaction, reduced provider burnout, and ensures providers are spending time prioritizing Veteran care.","This agent will generate draft clinical notes based on the clinician-patient conversations. The generated notes can be reviewed, modified, and signed in both CAA and the Message Center. Clinical Al Agent is intended to streamline administrative tasks, reduce costs, and enhance patient care through close integration with the electronic health record (EHR).","Generative AI: AI that generates new or synthetic content (e.g., images, videos, audio, text, code).",Health & Medical,,,,
VA-25-2455,Lexis+,OGC: Office of General Counsel,a) Pre-deployment – The use case is in a development or acquisition status.,a) High-impact ,"Improve the quality and efficiency of legal research, legal document review, and legal document preparation. The Lexis+ Document Analysis tool will improve efficiency and accuracy of legal services by giving OGC legal professionals the ability to have documents read and researched by the tool, reducing the time and legal skills required for legal research, legal writing, legal reviews, and trial preparation. The AI solution is preparing and synthesizing notes to be used by the legal teams; it is not preparing a conclusion or draft decision for legal teams.","- Better outcomes from litigation
- Improve the timeliness and accuracy of legal advice","Legal memoranda, legal pleadings (e.g. motions and briefs), and legal reviews.  ",Classical/Predictive Machine Learning: Models trained on data to make predictions or classifications based on identified patterns or relationships.,Other,,,,
VA-24-2758,VA VoiceBot for Call Center Modernization,OIT: Office of Information & Technology,a) Pre-deployment – The use case is in a development or acquisition status.,a) High-impact ,"The VoiceBot can quickly handle common inquiries, offering Veterans immediate answers and reducing the frustration of long wait times. This allows Contact Centers to focus resources on more complex issues, ultimately improving response times for urgent matters and reducing overall call center costs.","The VA VoiceBot aims to enhance the Veteran experience by providing efficient self-service via telephone, reducing wait times, and freeing up call center resources for more complex issues. It will utilize advanced Natural Language Understanding (NLU) to manage routine inquiries and seamlessly escalate to human agents, when necessary, ensuring context and identity are retained. The initiative is focused on integrating VoiceBot across call center lines such as Women Veterans Call Center (WVCC), VBA, and VetHOME, which will streamline processes, improve support consistency, and lower operational costs.",Depends on call center. Output can include FAQ and authenticated information via APIs. ,"Natural Language Processing: AI that processes, interprets, and shares information in human language.",Information Technology,,,,
VA-24-585,Forescout: AI Behavioral Anomaly Detection w/ Automated Enforcement,OIT: Office of Information & Technology,a) Pre-deployment – The use case is in a development or acquisition status.,a) High-impact ,"Leverage AI/ML models to learn normal behavior patterns across endpoints, IoT, and OT devices. Identify zero-day threats, insider attacks, or lateral movement by compromised devices that are missed by point-in-time tools within the network.

Use these patterns to detect anomalies in real time. When an anomaly (unusual data transfer, unauthorized protocol, lateral movement) is detected Forescout automatically enforces a response policy—such as quarantining the device, notifying SOC security teams, or triggering an orchestration workflow.

","Benefits include real-time response to unknown threats, reduced time to detect and respond, eliminates manual correlation with siloed tools.","Response policy;  quarantining the device, notifying SOC security teams, or triggering an orchestration workflow",Classical/Predictive Machine Learning: Models trained on data to make predictions or classifications based on identified patterns or relationships.,Cybersecurity,,,,
VA-25-1294,VA AI Assist,OIT: Office of Information & Technology,a) Pre-deployment – The use case is in a development or acquisition status.,a) High-impact ,"Reviewing information about a patient prior to an upcoming encounter is an important way in which clinicians prepare for an effective visit. Clinicians are challenged to effectively complete this review prior to encounters, given time constraints and the manual effort required to navigate electronic health record systems to seek the information. This results in a lower effectiveness of the visit and increased clinician burnout.  ",There is a significant opportunity for AI-powered search and summarization of clinical information to assist clinicians with efficiently and effectively reviewing a patient’s record prior to an encounter.  ,Outputs include summaries of clinical data from VistA. ,"Generative AI: AI that generates new or synthetic content (e.g., images, videos, audio, text, code).",Health & Medical,,,,
VA-25-1877,Service Period Validator (SPV) POC,OIT: Office of Information & Technology,a) Pre-deployment – The use case is in a development or acquisition status.,a) High-impact ,Validate Veterans' service periods more accurately and quickly. This will ultimately save time and increase the quality of Veterans' decisions.,Increase efficiency of benefits delivery and provide an accurate and timely automation of benefit eligibility decisions (original claims) by proactively assessing and correcting data quality of Veteran service period.,A decision within the automated claims flow that validates the Department of Defense (DoD) service period data.,Agentic AI: AI systems that perform tasks or make decisions autonomously with minimal human intervention.,Government Benefits Processing,,,,
VA-25-1930,Claims Processing Automation Quality Auditor POC,OIT: Office of Information & Technology,a) Pre-deployment – The use case is in a development or acquisition status.,a) High-impact ,"In an automation-driven claims process, this tool will act as an entry point for quality reviews: Perform claims quality audits to identify and request NQA reviews or VCE corrections based on automated claims processing anomalies/errors. Function of the model: Perform claims quality audits to identify and request NQA reviews or VCE corrections based on automated claims processing anomalies","Increased efficiency, improved benefit outcomes, faster decisions for Veterans.","Within that automation workflow, the claim will be offramped (based on the criteria of the claim and resulting automated decision) to a human to be worked.",Classical/Predictive Machine Learning: Models trained on data to make predictions or classifications based on identified patterns or relationships.,Government Benefits Processing,,,,
VA-25-3685,CSOC AI Analyst Accelerator (Andesite AI),OIT: Office of Information & Technology,a) Pre-deployment – The use case is in a development or acquisition status.,a) High-impact ,"VA Cybersecurity Operations Center (CSOC) requires new tools and capabilities to meet increasing demands for monitoring and securing the VA’s complex information technology (IT) environment, which currently involve time-consuming and manual processes.","Andesite AI has the potential to be a significant part of VA’s overall defensive security strategy which will provide comprehensive visibility by enabling the cybersecurity team to transform and accelerate investigations, connect data silos, and decrease time to response. Hosted in VAEC AWS, Andesite AI will connect via API to several endpoints such as Splunk, SOAR, ThreatQ and the VA Network to seamlessly integrate information to assist Cybersecurity Analysts with their investigations.
 ","Andesite AI will submit prompts and retrieve results from AWS Bedrock (via Claude Sonnet) to help review potential incidents and perform investigations. The inputs of the model will include security event data from Splunk and Microsoft Sentinel used by CSOC analysts such as vulnerability data, indicators of compromise, security and event logs, and other threat intelligence data. Outputs of the model will include descriptions of potential incidents/vulnerabilities, suggestions on remediation and prioritization, and contextual information and correlation of various security event data. The users of Andesite AI will be 20 VA CSOC analysts.","Generative AI: AI that generates new or synthetic content (e.g., images, videos, audio, text, code).",Cybersecurity,,,,
