use_case_id_2024,uc_2025_id,agency_abbreviation,use_case_name_2024,use_case_name_2025,flagged_by,w2_reasoning,wave1_is_generative_ai,wave1_ai_sophistication,wave1_deployment_scope,wave1_entry_type,tag2025_is_generative_ai,tag2025_ai_sophistication,tag2025_deployment_scope,tag2025_entry_type
34162,132281,DHS,Open-Source News Aggregation,Open-Source Intelligence for Investigations,wave2a-renamed-split,ai_sophistication LLM-class shift predictive_analytics→general_llm; 2024 tagged predictive_analytics; narrative + 2025 indicate LLM-class; 2025 marks general_llm but narrative is computer-vision,0,predictive_analytics,bureau,custom_system,0,general_llm,bureau,product_deployment
34216,132320,DHS,Recovery and Resilience Resource (RRR) Portal,Recovery and Resilience Resource (RRR) Portal,wave2a-continued,is_generative_ai 2024=1 vs 2025=0; narrative mentions genai marker; 2025 tag of 0 likely wrong,1,general_llm,bureau,custom_system,0,classical_ml,bureau,custom_system
34230,132151,DHS,Burlington Finance Center Voice Bot,Burlington Finance Center Voice Bot,wave2a-continued,is_generative_ai 2024=1 vs 2025=0; narrative mentions genai marker; 2025 tag of 0 likely wrong,1,general_llm,bureau,custom_system,0,nlp_specific,bureau,custom_system
34252,132284,DHS,ESEC Inquiry (STORM) Summarization,ESEC Inquiry (STORM) Summarization,wave2a-continued,is_generative_ai 2024=1 vs 2025=0; narrative mentions genai marker; 2025 tag of 0 likely wrong,1,general_llm,bureau,custom_system,0,general_llm,bureau,bespoke_application
34265,132329,DHS,Conversation Training and Feedback Simulator,Conversation Training and Feedback Simulator,wave2a-continued,is_generative_ai 2024=1 vs 2025=0; narrative mentions genai marker; 2025 tag of 0 likely wrong,1,general_llm,bureau,bespoke_application,0,classical_ml,bureau,custom_system
34326,132345,DOC,FAQ for SMaRT,FAQ for SMaRT,wave2a-continued,is_generative_ai 2024=1 vs 2025=0; narrative mentions genai marker; 2025 tag of 0 likely wrong,1,general_llm,bureau,bespoke_application,0,classical_ml,bureau,custom_system
34327,132346,DOC,Statistical package syntax development and debugging,Statistical package syntax development and debugging,wave2a-continued,is_generative_ai 2024=1 vs 2025=0; entry_type also shifted product_deployment->custom_system; narrative mentions genai marker; 2025 tag of 0 likely wrong,1,general_llm,bureau,product_deployment,0,classical_ml,bureau,custom_system
34330,132349,DOC,Natural Language Search for data.census.gov,Natural Language Search for data.census.gov,wave2a-continued,is_generative_ai 2024=1 vs 2025=0; entry_type also shifted generic_use_pattern->product_deployment; scope grew narrow->broad (pilot->bureau); likely real rollout; narrative mentions genai marker; 2025 tag of 0 likely wrong,1,general_llm,pilot,generic_use_pattern,0,classical_ml,bureau,product_deployment
34338,132527,DOC,Streamline Spectrum Activities,Streamline Spectrum Activities,wave2a-continued,is_generative_ai 2024=1 vs 2025=0; entry_type also shifted product_deployment->custom_system; narrative mentions genai marker; 2025 tag of 0 likely wrong,1,general_llm,bureau,product_deployment,0,classical_ml,bureau,custom_system
34568,132958,DOI,"Extracting robust, searchable data from narrative geologic descriptions","Extracting robust, searchable data from narrative geologic descriptions [2024 INV#WO0000000109022]",wave2a-continued,is_generative_ai 2024=1 vs 2025=0; narrative mentions genai marker; 2025 tag of 0 likely wrong,1,general_llm,bureau,custom_system,0,general_llm,bureau,custom_system
34610,132983,DOI,Foundation Models to Advance Earth Science,Foundation Models to Advance Earth Science [2024 INV#WO0000000107153],wave2a-continued,is_generative_ai 2024=1 vs 2025=0; narrative mentions genai marker; 2025 tag of 0 likely wrong,1,general_llm,bureau,custom_system,0,general_llm,bureau,custom_system
34642,133451,DOL,Case Recording summarization,Case Recording summarization,wave2a-continued,is_generative_ai 2024=1 vs 2025=0; narrative mentions genai marker; 2025 tag of 0 likely wrong,1,general_llm,office,bespoke_application,0,classical_ml,bureau,custom_system
34699,133597,EPA,Transitioning historical help desk knowledge to new help desk software,Transitioning historical help desk knowledge to new help desk software,wave2a-continued,is_generative_ai 2024=1 vs 2025=0; narrative mentions genai marker; 2025 tag of 0 likely wrong,1,general_llm,office,bespoke_application,0,classical_ml,bureau,custom_system
34739,133803,HHS,Design Your Facility,Design Your Facility,wave2a-continued,is_generative_ai 2024=1 vs 2025=0; scope grew narrow->broad (office->enterprise_wide); likely real rollout; narrative mentions genai marker; 2025 tag of 0 likely wrong,1,general_llm,office,bespoke_application,0,classical_ml,enterprise_wide,custom_system
34746,133810,HHS,Analyzing Public Comments on Proposed Rule,Analyzing Public Comments on Proposed Rule,wave2a-continued,is_generative_ai 2024=1 vs 2025=0; scope grew narrow->broad (office->enterprise_wide); likely real rollout; narrative mentions genai marker; 2025 tag of 0 likely wrong,1,general_llm,office,bespoke_application,0,classical_ml,enterprise_wide,custom_system
34752,133816,HHS,Policy Knowledge Base Data Migration,Policy Knowledge Base Data Migration,wave2a-continued,is_generative_ai 2024=1 vs 2025=0; scope grew narrow->broad (bureau->enterprise_wide); likely real rollout; narrative mentions genai marker; 2025 tag of 0 likely wrong,1,general_llm,bureau,bespoke_application,0,classical_ml,enterprise_wide,custom_system
