Use Case ID,Use Case Name,Agency,Bureau/Component,Email Address,Should this AI use case be withheld from public reporting?,Stage of Development, Is the AI use case high-impact?,Provide a justification for why the use case is determined to be not high impact.,Use Case Topic Area,AI Classification ,What problem is the AI intended to solve?,What are the expected benefits and positive outcomes from the AI for an agency’s mission and/or the general public? ,Describe the AI system's outputs.,Date when AI use case became operational or the pilot’s start date.,Was the system involved in this use case purchased from a vendor or developed under contract(s) or in-house? ,Vendor(s) Name ,Does this AI use case have an associated Authorization to Operate (ATO)? ,System(s) Name,"Describe any data used to train, fine-tune, and/or evaluate performance of the model(s) used in this use case.","If the data is required to be publicly disclosed as an open government data asset, provide a link to the entry on the Federal Data Catalog.",Does this AI use case involve personally identifiable information (PII) that is maintained by the agency?,"If publicly available, provide the link to the AI use case’s associated Privacy Impact Assessment (PIA), if any.","Which, if any, demographic variables does the AI use case explicitly use as model features?",Does this project include custom-developed code? ,"If the code is open source, provide the link for the publicly available source code."
FRB-0001,Economic Trend Modeling,"Board of Governors of the Federal Reserve System	",Division of Monetary Affairs,https://www.federalreserve.gov/apps/ContactUs/feedback.aspx?refurl=/aiusecaseinventory/,No,Deployed – The use case is being actively authorized or utilized to support the functions or mission of an agency.,c) Not high-impact,,Other – Economic & Financial,Classical/Predictive Machine Learning,Enhance economic forecasting accuracy beyond traditional statistical models to better predict economic events,Additional data beyond traditional statistical models,Multiple methods calculate the probability of a economic event in the next twelve months between 0 and 1 and are aggregated,9/23/2019,Developed in-house,,Yes,General Support System,Internal – Fixed Income,,No,,None of the above,Yes,
FRB-0003,PDF Optical Character Recognition (Text),"Board of Governors of the Federal Reserve System	",Division of Information Technology,https://www.federalreserve.gov/apps/ContactUs/feedback.aspx?refurl=/aiusecaseinventory/,No,Deployed – The use case is being actively authorized or utilized to support the functions or mission of an agency.,c) Not high-impact,,Information Technology,Classical/Predictive Machine Learning,Automate extraction of structured column data from unstructured PDF reports to reduce manual processing time and errors,The intended purpose is to extract and to decide the correct column name extracted from a report in PDF format,The list of the appropriate column names in text format,9/26/2024,Developed in-house,,Yes,General Support System,Internal Documents,,No,,None of the above,Yes,
FRB-0004,PDF Optical Character Recognition (Images),"Board of Governors of the Federal Reserve System	",Division of Information Technology,https://www.federalreserve.gov/apps/ContactUs/feedback.aspx?refurl=/aiusecaseinventory/,No,Pre-deployment – The use case is in a development or acquisition status.,c) Not high-impact,,Information Technology,Classical/Predictive Machine Learning,PDF OCR (Images) – Extract textual information from images embedded within PDF documents for comprehensive document analysis,The intended purpose is to extract text from the image embedded in PDF file,The AI system's output is the image details in text format for further analysis,,,,,,,,,,,,
FRB-0005,Stock Market Analysis,"Board of Governors of the Federal Reserve System	",Division of Research and Statistics,https://www.federalreserve.gov/apps/ContactUs/feedback.aspx?refurl=/aiusecaseinventory/,No,Pre-deployment – The use case is in a development or acquisition status.,c) Not high-impact,,Other – Economic & Financial,Natural Language Processing ,Quantify relationships between news media narratives and stock market volatility to improve market event understanding,To understand media narratives associated with stock market events,Time series measuring association of different news topics frequencies with market volatility,,,,,,,,,,,,
FRB-0009,Commercial Real Estate Index,"Board of Governors of the Federal Reserve System	",Division of Supervision and Regulation,https://www.federalreserve.gov/apps/ContactUs/feedback.aspx?refurl=/aiusecaseinventory/,No,Deployed – The use case is being actively authorized or utilized to support the functions or mission of an agency.,c) Not high-impact,,Other – Economic & Financial,Classical/Predictive Machine Learning,Synthesize commercial real estate data points into a comprehensive market index for improved market monitoring,Identify principal component using various data points to create a market index for commercial real estate,"A principal component, which then gets used as the index",10/1/2023,Developed in-house,,Yes,General Support System,External – Real Estate,,No,,None of the above,Yes,
FRB-0010,Variable Optimization,"Board of Governors of the Federal Reserve System	",Division of Supervision and Regulation,https://www.federalreserve.gov/apps/ContactUs/feedback.aspx?refurl=/aiusecaseinventory/,No,Pilot – The use case has been deployed in a limited test or pilot capacity.,c) Not high-impact,,Other – Economic & Financial,Classical/Predictive Machine Learning,Determine optimal lag structures to enhance accuracy for forecasting call report metrics,Iterate through alternative lag structures to identify the optimal one for forecasting call report metrics,A forecast for select call report metrics,9/28/2023,Developed in-house,,Yes,General Support System,Internal – FFIEC Call Report,,No,,None of the above,Yes,
FRB-0011,Credit Fragment Analysis,"Board of Governors of the Federal Reserve System	",Division of Research and Statistics,https://www.federalreserve.gov/apps/ContactUs/feedback.aspx?refurl=/aiusecaseinventory/,No,Pre-deployment – The use case is in a development or acquisition status.,c) Not high-impact,,Other – Economic & Financial,Classical/Predictive Machine Learning,Identify meaningful patterns in fragmented data to support more comprehensive research analysis,Research on credit fragments,Identification of observations,,,,,,,,,,,,
FRB-0013,Proposals and Public Comments,"Board of Governors of the Federal Reserve System	",Office of the Secretary,https://www.federalreserve.gov/apps/ContactUs/feedback.aspx?refurl=/aiusecaseinventory/,No,Deployed – The use case is being actively authorized or utilized to support the functions or mission of an agency.,c) Not high-impact,,Other – Economic & Financial,Natural Language Processing,Efficiently process large volumes of public regulatory comments while ensuring proper handling of sensitive information,"The Board of Governors of the Federal Reserve System (Board) is developing the Proposals and Public Comments (PPC) system to electronically process and manage comments from the public on regulatory rulemakings, information collections, and other proposals (collectively, proposals) and to post those comments to the Board’s public website. The first release of PPC is expected in mid-November 2024. The Board’s processing of comments may use artificial intelligence (AI) to provide more efficient processing of public comments (e.g., PII redaction recommendations, spam detection).","The Board’s processing of comments may use artificial intelligence (AI) to provide more efficient processing of public comments (e.g., PII redaction recommendations, sentiment analysis, text matching, entity identification, and text similarity matching). A human verifies the system recommendations.
",11/16/2024,Developed in-house,,Yes,Proposals and Public Comments,External – Public Comments,,Yes,https://www.federalreserve.gov/files/pia_ppc.pdf,None of the above,Yes,
FRB-0016,Manufacturer Sentiment Analysis,"Board of Governors of the Federal Reserve System	",Division of Research and Statistics,https://www.federalreserve.gov/apps/ContactUs/feedback.aspx?refurl=/aiusecaseinventory/,No,Deployed – The use case is being actively authorized or utilized to support the functions or mission of an agency.,c) Not high-impact,,Other – Economic & Financial,Natural Language Processing,Convert qualitative survey responses into quantitative insights on industrial production forecasts,To quantify survey responses related to forecasts of industrial production,Time series measuring the sentiment of manufacturing via survey respondents,7/1/2022,Developed in-house,,Yes,General Support System,External – Manufacturing,,Yes,,None of the above,Yes,
FRB-0017,Supply Chain Estimations,"Board of Governors of the Federal Reserve System	",Division of Research and Statistics,https://www.federalreserve.gov/apps/ContactUs/feedback.aspx?refurl=/aiusecaseinventory/,No,Deployed – The use case is being actively authorized or utilized to support the functions or mission of an agency.,c) Not high-impact,,Other – Economic & Financial,Natural Language Processing,Identify and measure supply chain constraints that could impact broader economic performance,To estimate supply chain bottlenecks,Time series measuring supply chain bottleneck sentiment data,12/1/2022,Developed in-house,,Yes,General Support System,Internal – Beige Book,,No,,None of the above,Yes,
