id,agency_abbreviation,bureau,use_case_name,purpose_benefits,outputs,commercial_ai,dev_method,dev_stage,topic_area,lineage_status
34628,DOL,OWCP,Form Recognition model for Benefits Forms,Custom machine learning model to extract data from complex forms to tag data entries to field headers. The input is a document or scanned image of the form and the output is a JSON response with key/value pairs extracted by running the form against the custom trained form recognition model.,The AI system output is a recommendation.,None of the above.,Developed with both contracting and in-house resources.,Operation and Maintenance,Government Services (includes Benefits and Service Delivery),retired_2024
34629,DOL,Department Wide Initiative,Language Translation,"To automatically translate unofficial documents into various languages quickly and easily, without the time and expense needed for human translation.",Language translation of published documents and websites using natural language processing models.,None of the above.,,Initiated,Mission-Enabling (internal agency support),continued
34630,DOL,OWCP||VETS||WHD,Audio Transcription,Transcription of speech to text for records keeping using natural language processing models.,Text transcription,None of the above.,Developed with contracting resources.,Operation and Maintenance,Mission-Enabling (internal agency support),continued
34631,DOL,EBSA||OHR,Text to Speech Conversion,Text to speech (Neural) for more realistic human sounding applications using natural language processing models.,"Audio files used on Power point presentations,",None of the above.,Developed with contracting resources.,Operation and Maintenance,Mission-Enabling (internal agency support),continued
34632,DOL,OWCP,Claims Document Processing,To identify if physician's note contains causal language by training custom natural language processing models.,Document ranking by likely relevance and sentences highlighting of potentially causal language.,None of the above.,,Retired,Government Services (includes Benefits and Service Delivery),continued
34633,DOL,OTAA,Website Chatbot Assistant,"The chatbot helps the end user with basic information about the program, information on who to contact, or seeking petition case status.","More than AI, it is question and answer bot based on the pre determine question and answers, there is no AI which would give any out put",None of the above.,Developed with both contracting and in-house resources.,Operation and Maintenance,Mission-Enabling (internal agency support),continued
34634,DOL,WHD,Data Ingestion of Payroll Forms,Custom machine learning model to extract data from complex forms to tag data entries to field headers. The input is a document or scanned image of the form and the output is a JSON response with key/value pairs,The output is a JSON response with key/value pairs extracted by running the form against the custom trained model.,None of the above.,,Retired,Mission-Enabling (internal agency support),retired_2024
34635,DOL,OSHA,Hololens,AI used to train Inspectors to visually inspect  unsafe areas from a safe location.,Pictures of the location,None of the above.,Developed with both contracting and in-house resources.,Operation and Maintenance,Education & Workforce,continued
34636,DOL,OSPE,DOL Intranet Website Chatbot Assistant,"Conversational AI Assistant & DOL intranet websites to help answer common procurement questions, as well as specific contract questions.",It will answer question based on the question pertaining to the knowledge base.,None of the above.,Developed with both contracting and in-house resources.,Operation and Maintenance,Mission-Enabling (internal agency support),retired_2024
34637,DOL,OWCP,Official Document Validation,AI detection of mismatched addresses and garbled text in official letters sent to benefits recipients.,The output is a recommendation for review of mismatched a addresses and garbled text in official letters sent to benefits recipients.,None of the above.,,Retired,Mission-Enabling (internal agency support),continued
34638,DOL,Department Wide Initiative,Electronic Records Management,"Meeting NARA metadata standards for (permanent) federal documents by using AI to identify data within the document, and also using NLP to classify and summarize documents.",The system output is decision based and summarization of documents.,None of the above.,,Initiated,Mission-Enabling (internal agency support),continued
34639,DOL,EBSA,Call Recording Analysis,"Automatic analysis of recorded calls made to Benefits Advisors in the DOL Interactive Voice Response (IVR) center. AI is not used for analysis, AI is used only for transcription",The output is a transcription of calls. The AI is only doing the transcriptions,None of the above.,Developed with both contracting and in-house resources.,Operation and Maintenance,Mission-Enabling (internal agency support),continued
