agency,use_case_name,bureau,current_ai_sophistication,omb_ai_classification,stage_of_development,system_name,vendor_name,problem_statement,expected_benefits,system_outputs
DHS,AI Enabled Autonomous Underwater Vehicle,CBP,agentic,Computer Vision,a) Pre-deployment – The use case is in a development or acquisition status.,,,"Customs and Border Protection (CBP) desires to identify potential Items of Interest (IoI) on vessels more quickly, efficiently, and safely.  Provides increased shared situational awareness in real time for CBP and strategic partners, and improves mission planning and agent and officer safety while reducing reactionary gaps.","Customs and Border Protection (CBP) intends to identify potential for Items of Interest (IoI) on vessels through the use of autonomous systems, which will allow CBP to more efficiently and safely increase shared situational awareness, improve mission planning and agent/officer safety, and reduce reactionary gaps.","AI output will include object avoidance, automated mission execution, and may include imagery of potential Items of Interest (IoI)."
DHS,CBP Common AI Service(CCAIS) Image Analysis and Data Correlation,CBP,agentic,Generative AI,a) Pre-deployment – The use case is in a development or acquisition status.,,,Reduces the amount of time agents needs to spend analyzing imagery but automatically flagging images for review.,"The AI’s intended purpose is to solve the challenge of efficiently monitoring typically unoccupied or restricted environments for unauthorized human or vehicle presence. It automates the initial detection of such activities, which can be resource-intensive and prone to delays when done manually. The expected benefits include enhanced security of sensitive areas, increased operational efficiency through automation, and the ability to scale oversight and respond more effectively to potential incidents, and better protection of public assets, sensitive environments, and critical infrastructure, a",The AI System outputs image analysis of what is in the image.  It can Identify vehicles and determine the type and license plate number. It can identify if people are present and if they are armed.  It can identify environment and conditions. The output is providing through bounding boxes around items of interest within the image and through textual descriptions.
DHS,RAPTOR (Rapid Tactical Operations Reconnaissance),CBP,agentic,Computer Vision,a) Pre-deployment – The use case is in a development or acquisition status.,,,"Provide Tactical Domain Awareness for CBP Agents, making law enforcement efforts more efficient.","RAPTOR will significantly increase domain awareness and the agency’s ability to engage in intelligence-driven operations.  The AI capability acts as a force multiplier and saves personnel from analyzing video feed from a stationary camera and manually noting all boat identifiers, improving their ability to respond quickly to potential threats and gather critical intelligence for law enforcement and border control operations.",Text transcription of vessel registration/documentation data and photographs of the vessel.
DHS,Thermal Power Generation with Geoseismic IoI Detection and Classification,CBP,agentic,Classical/Predictive Machine Learning,a) Pre-deployment – The use case is in a development or acquisition status.,,,"Overcomes the following problems: 1) the cost of replacement batteries, 2) the time it takes agents to constantly replace batteries, and 3) the problem of revealing the UGS location when replacing the batteries.",Utilize seismic sensor data to determine Item of Interest in deployed locations. Increases situational awareness in austere environments and reduces need for battery replacement due to self-charging.,Alert with the classification and confidence interval for the Item of Interest (IoI).
DHS,Spend Plan Analysis GPT,FEMA,agentic,Agentic-AI,a) Pre-deployment – The use case is in a development or acquisition status.,,,This tool will augment the wider workforce at FEMA to interrogate spend plan data as stored in PBIS/FEMADex to gain quick insights and rapid responses to data calls or requests for information.,The tool will also allow greater insights for the FEMA leadership to understand where FEMA plans to spend their provided budget authority and where it was actually spent.,"Leverages Azure Commercial OpenAI within the FEMA system boundary, currently leveraging ChatGPT4o. The tool will provide responses to user queries based on the Spend Plan and Actual execution data."
DHS,SEVP Response Center Chatbot - SID (SEVIS Interactive Dialog),ICE,agentic,Natural Language Processing (NLP),a) Pre-deployment – The use case is in a development or acquisition status.,,,"This use case intends to solve the problem of handling a high volume of routine inquiries from students and officials, which can overwhelm human agents and delay response times.","AI provides SID the ability to understand voices and its deterministic question and answer workflow (1) enables SID to answer routine caller questions without a help desk agent, and (2) when a help desk agent is required, SID will create a ticket with a caller transcript to reduce the burden on the agent. This frees up the human agents to deal with more complex cases and issues with specific records.","SID answers frequently asked questions from callers. If the SID cannot answer a caller’s question, it turns the caller over to an agent in the response center. The chatbot captures the interaction with the caller and sends the information via an API to Student and Exchange Visitor Program Automated Management System (SEVPAMS)."
DHS,Plan of Day Staff Optimization,TSA,agentic,Agentic-AI,a) Pre-deployment – The use case is in a development or acquisition status.,,,TSA must deploy a dynamic solution capable of locally optimizing allocated employee staffing while load balancing available equipment and projected passenger throughput to ensure wait times do not exceed the threshold.,Plan of Day will automate TSA screening staff optimization.,"Staffing operations models prescribing when screening lanes should be opened/closed, when/where screening staff is required to absorb operational peaks, determining optimal gender and certification ratios, recommending when to schedule overtime/shift adjustments, drafting lane rotation plans, and informing national TSA staffing requirements as prescribed optimization plans deviate as airline schedules shift."
DHS,Private Artificial Intelligence (AI) Tech Hub (PAiTH),USCIS,agentic,Generative AI,a) Pre-deployment – The use case is in a development or acquisition status.,,,"USCIS staff currently lack access to AI tools that can accelerate routine knowledge work while maintaining the security, compliance, and privacy requirements specific to USCIS operations. Existing commercial AI solutions cannot access USCIS-specific documents and data, cannot be customized to immigration-specific workflows, and pose data security risks. Staff spend significant time on tasks that AI could assist with—such as legal research, document drafting, language translation, code generation, and regulatory compliance checks—but have no approved internal AI capability. Additionally, different organizational roles have vastly different AI assistance needs (e.g., attorneys need legal citations; developers need code; contracting officers need FAR guidance, budget officers need access to sensitive internal fiscal data), requiring a solution that adapts to the user's function rather than ","The purpose of PAiTH is to provide USCIS employees with an internal, secure AI assistant that delivers role-specific support for knowledge work tasks. The system will offer six persona-based assistants aligned to core USCIS job functions, each trained and prompted to provide relevant, accurate responses for that role's responsibilities. 
Intended benefits of PAiTH include: Increased Efficiency: Staff can quickly obtain research, draft language, translations, and technical guidance without manual searching through documents or external research; Role-Specific Accuracy: Persona-based responses t","PAiTH will generate text-based outputs customized to the user's organizational persona: Legal Persona: Legal research summaries, statute and regulation citations (INA, CFR), case law analysis, draft legal memoranda outlines, document summaries with legal issue identification; Contracts Persona: Market research summaries, FAR/HSAR regulatory guidance, acquisition planning support, vendor comparison analyses, contract language suggestions; Language Translation Persona: Text-to-text translations between English and other languages for immigration documents and communications; Developer Persona: C"
DHS,Acoustic Signature AI for Gunshot Detection,CBP,agentic,Classical/Predictive Machine Learning,b)  Pilot – The use case has been deployed in a limited test or pilot capacity.,,Invariant Corporation,The AI will be used to make confidence determinations between non gunshot acoustic activity and actual gunshot activity to reduce false alerts to agents monitoring the User Interface.,"Gunshot and UAS detection notifications can be used by Agents for enhanced situational awareness in their area of operations. By utilizing this AI learning technology, they will have high confidence of alerts of a detection, with the specific type, as well as a pinpointed GPS location within 3-meters.","Agents will get a real time notification via text with a link to the location on maps as well as a link to an audio clip recording of the event. With Agent confirmation that the event was correctly identified, the AI utilizes all of the information for future cases. This real time notification grants Agents the ability to know what is happening right now and anticipate what might happen next in their environment.  Increasing agent and officer safety in the geographic region."
DHS,CBP Translate,CBP,agentic,Natural Language Processing (NLP),c)  Deployed – The use case is being actively authorized or utilized to support the functions or mission of an agency.,CBP Translate,"Aneesh Technologies, 24X7, Ellumen Inc., Deloitte, NiyamIT",Assist officers and agents with immediate interpretation needs when human translators are not available.,"CBP Translate enhances efficiency by expediting questioning when immediate interpretation is needed. It ensures clear communication, minimizes misunderstandings, and offers immediate accessibility via mobile and web platforms. This improves operational flexibility and creates a smoother experience for travelers.","The outputs of CBP Translate include translated text or audio in the form of chat bubbles, which store each interaction. Additionally, CBPOs can capture images of non-travel documents for text translation, but images of actual travel documents are not taken."
