use_case_id,agency,use_case_name,current_entry_type,final_entry_type,decision,reason_code,confidence,search_attempted,search_query,evidence_quote,notes
7405,DHS,Smartphone Information Forensics Triage,custom_system,custom_system,keep_current,no_clear_signals,low,no,,vendor and development_type both blank/unhelpful,
7406,DHS,Advanced Analytics for X-ray Images (AAXI),custom_system,custom_system,keep_current,no_clear_signals,low,no,,vendor and development_type both blank/unhelpful,
7407,DHS,Advance RPM Maintenance Operating Reporter (ARMOR),custom_system,custom_system,keep_current,no_clear_signals,low,no,,vendor and development_type both blank/unhelpful,
7492,DHS,FLIR 280 HD,product_deployment,bespoke_application,keep_current,bespoke_wrap_on_vendor_api,medium,no,,vendor='FLIR' (LLM/cloud API); custom signal: use_case_name='FLIR 280 HD',
7495,DHS,Non-Intrusive Inspection (NII) 3D Imaging Tool,bespoke_application,product_deployment,reclassify,clear_vendor_named,high,no,,vendor_name='ThruWave' identifies a commercial product vendor (thruwave),
7496,DHS,Hazard Mitigation Assistance Chatbot,bespoke_application,bespoke_application,keep_current,bespoke_wrap_on_vendor_api,medium,no,,narrative names azure openai; custom signal: ReadyAI,
7500,DHS,Babel,product_deployment,bespoke_application,keep_current,vendor_unrecognized_with_system_name,low,no,,"vendor='Babel Street', system_name='Babel Street', insufficient signal to reclassify",
7501,DHS,Passive Body Scanner,product_deployment,bespoke_application,keep_current,vendor_unrecognized_with_system_name,low,no,,"vendor='ThruVision TAC 16', system_name='Passive Body Scanner', insufficient signal to reclassify",
7502,DHS,CBP Translate,bespoke_application,bespoke_application,keep_current,integrator_built,low,no,,"vendor='Aneesh Technologies, 24X7, Ellumen Inc., Deloitte, NiyamIT' is system integrator",
7506,DHS,Supervised Traveler Identity Verification Services (Officer Initiated),bespoke_application,bespoke_application,keep_current,vendor_unrecognized_with_system_name,low,no,,"vendor='CBP procured mobile devices (Apple, Samsung) commercial off the shelf cameras (Logitech)', system_name='Traveler Verification Service', insufficient signal to reclassify",
7507,DHS,Semi-Supervised Traveler Identity Verification Services (Traveler Initiated),bespoke_application,bespoke_application,keep_current,vendor_unrecognized_with_system_name,low,no,,"vendor='NEC', system_name='Traveler Verification Service', insufficient signal to reclassify",
7508,DHS,3rd Party Traveler Identity Verification Services,bespoke_application,bespoke_application,keep_current,vendor_unrecognized_with_system_name,low,no,,"vendor='NEC', system_name='Traveler Verification Service', insufficient signal to reclassify",
7509,DHS,Traveler Self-Service Mobile Identity Verification,bespoke_application,bespoke_application,keep_current,vendor_unrecognized_with_system_name,low,no,,"vendor='NEC (algorithm only)', system_name='Traveler Verification Service', insufficient signal to reclassify",
