row_hash,agency_abbreviation,use_case_name,recommended_verdict,confidence,evidence_notes
e4e84bdb5f56c509f570b8bb9022b2bc,DOJ,Camtasia,ingest,high,"NOT a fuzzy-match miss: loader bug. Raw DOJ-2025-ai-inventory.xlsx row has DOJ-0319 Camtasia / USMS bureau. Loader (load_inventories.py:287-321) slugs on use_case_name only -> 'doj-camtasia' collides with earlier-loaded DOJ-0055 Camtasia / CRT (use_cases id 197063), which already claimed that slug, so DOJ-0319 was silently skipped on insert. Genuinely distinct bureau submission with its own use_case_id; belongs in DB."
a6a8de9a9bf41eaf73324b92ed834a76,DOJ,Chatbot,ingest,high,"Loader slug-collision drop. Raw row DOJ-0317 Chatbot / FBI bureau. Slugify lowercases before hashing, so 'Chatbot' and the earlier-loaded 'ChatBot' (DOJ-0046 / COPS, use_cases id 197057, slug doj-chatbot) collide case-insensitively; DOJ-0317 was dropped. Distinct use_case_id/bureau from anything already in DB -> genuine miss."
6b3a77a0ed3e23c4c0f4ca7f2f044ac8,DOJ,Dragon,ingest,high,"Loader slug-collision drop. Raw row DOJ-0196 Dragon / OIG bureau. Collides with earlier-loaded DOJ-0057 Dragon / CRT (use_cases id 197065, slug doj-dragon). Distinct id/bureau -> genuine miss, not a duplicate."
8d5bdc406c9a328c0aa6d54de82e3867,DOJ,Evidence.com,ingest,high,"Loader slug-collision drop. Raw row DOJ-0117 'Evidence.com ' (trailing space) / EOUSA bureau; loader .strip()s the name to 'Evidence.com' before slugging, which collides with earlier-loaded DOJ-0058 Evidence.com / CRT (use_cases id 197066, slug doj-evidence-com). Distinct id/bureau -> genuine miss. (Note: DOJ-0015 'Axon Evidence.com' at ATF, use_cases id 197030, is a different name/slug and is unrelated.)"
3ee55394554016ff9397fbfa1da47220,DOJ,Facial Recognition Technology,ingest,high,"Loader slug-collision drop. Raw row DOJ-0226 Facial Recognition Technology / USMS bureau. Collides with earlier-loaded DOJ-0122 Facial Recognition Technology / FBI (use_cases id 197109, slug doj-facial-recognition-technology). Distinct id/bureau -> genuine miss."
70ed2186a0f204723e7988e07833996d,DOJ,Prisoner Assessment Tool Targeting Estimated Risk and Needs (PATTERN),ingest,high,"Loader slug-collision drop, unusual case: DOJ's own raw source file has DOJ-0160 PATTERN listed TWICE back-to-back (row 127 bureau OJP, row 128 bureau FBOP) -- both rows share the exact same use_case_id AND name in DOJ's own submission. The OJP row loaded first (use_cases id 197140, slug doj-prisoner-assessment-tool-...) and claimed the id/slug; the FBOP row was silently dropped. This is a real second bureau-level entry from DOJ's own file (FBOP uses PATTERN too), just an ID-reuse artifact in DOJ's submission, not a distinct OMB duplicate to discard. Recommend ingest with a disambiguated slug/use_case_id since DOJ-0160 is already taken; flag for loader/id-dedup follow-up separately."
e2dad3264cb7bd968b68211cb68d721f,DOJ,Salesforce,ingest,high,"Loader slug-collision drop. Raw row DOJ-0181 Salesforce / JMD / NSD bureau. Collides with earlier-loaded DOJ-0045 Salesforce / CIV (use_cases id 197056, slug doj-salesforce). Distinct id/bureau -> genuine miss."
3068ba1c20c0016c434911b631341040,DOJ,Thomson Reuters CLEAR,ingest,high,"Loader slug-collision drop. Raw row DOJ-0239 Thomson Reuters CLEAR / USNCB bureau. Collides with earlier-loaded DOJ-0031 Thomson Reuters CLEAR / ATF (use_cases id 197043, slug doj-thomson-reuters-clear). Distinct id/bureau -> genuine miss. (DOJ-0048 'Thomson Reuters CLEAR - License Plate Recognition' at CRM is a different name/slug, unrelated.)"
aa57c8ca3030c1cf601665a5ca62d0b3,DOJ,Unmanned Aerial Systems (UAS),ingest,high,"Loader slug-collision drop. Raw row DOJ-0230 Unmanned Aerial Systems (UAS) / USMS bureau. Collides with earlier-loaded DOJ-0003 Unmanned Aerial Systems (UAS) / ATF (use_cases id 197019, slug doj-unmanned-aerial-systems-uas). Distinct id/bureau -> genuine miss. (DOJ-0169 'UAS Threat Detector' at FBOP is a different name/slug, unrelated.)"
643c7880ab2ac6852ffdf8b66d2d47a8,DOJ,Veritone,ingest,high,"Loader slug-collision drop. Raw row DOJ-0114 Veritone / ENRD bureau. Collides with earlier-loaded DOJ-0050 Veritone / CRM (use_cases id 197060, slug doj-veritone) -- the first of three DOJ rows all literally named 'Veritone'. Distinct id/bureau -> genuine miss."
