use_case_id_2024,tagged_by_agent,entry_type,is_generative_ai,ai_sophistication,deployment_scope,confidence,reasoning,is_general_llm_access,is_coding_tool,is_cots_commercial,tool_product_name,tool_vendor,is_microsoft_copilot,is_openai,is_anthropic,is_google,is_github_copilot,is_aws_ai,is_enterprise_wide,architecture_type,has_model_training,use_type,is_public_facing,scope_detail
34312,wave1-B,product_deployment,1,coding_assistant,pilot,high,"Says 'Code Modernization' — coding assistant, pilot/initiated stage.",0,1,1,GitHub Copilot,GitHub,0,0,0,0,1,0,0,inference_only,0,it_operations,0,BEA
34313,wave1-B,product_deployment,1,general_llm,pilot,high,"Says 'LLM' — generative LLM use, pilot/initiated stage.",1,0,1,Azure OpenAI,Microsoft,0,1,0,0,0,0,0,inference_only,0,mission_critical,0,BEA
34314,wave1-B,custom_system,0,classical_ml,pilot,medium,"Says 'AI' — classical ML pipeline, pilot/initiated stage.",0,0,0,,,0,0,0,0,0,0,0,custom_trained,1,cybersecurity,0,BEA
34315,wave1-B,custom_system,0,predictive_analytics,bureau,high,"Says 'predictive' — predictive ML model, CENSUS-scoped.",0,0,0,,,0,0,0,0,0,0,0,custom_trained,1,mission_critical,0,CENSUS
34316,wave1-B,product_deployment,0,computer_vision,bureau,high,"Says 'object detection' — computer-vision task, CENSUS-scoped.",0,0,1,Google Earth Engine,Google,0,0,0,1,0,0,0,,0,mission_critical,0,CENSUS
34317,wave1-B,custom_system,0,nlp_specific,bureau,high,"Says 'information extraction' — classical NLP task, CENSUS-scoped.",0,0,0,,,0,0,0,0,0,0,0,custom_trained,1,mission_critical,0,CENSUS
34318,wave1-B,custom_system,0,predictive_analytics,bureau,high,"Says 'predicted' — predictive ML model, CENSUS-scoped.",0,0,0,,,0,0,0,0,0,0,0,custom_trained,1,mission_critical,0,CENSUS
34319,wave1-B,custom_system,0,nlp_specific,bureau,high,"Says 'This AI use case aims to' — classical NLP task, CENSUS-scoped.",0,0,0,,,0,0,0,0,0,0,0,custom_trained,1,mission_critical,0,CENSUS
34320,wave1-B,custom_system,0,nlp_specific,bureau,high,"Says 'Information extraction' — classical NLP task, CENSUS-scoped.",0,0,0,,,0,0,0,0,0,0,0,custom_trained,1,mission_critical,0,CENSUS
34321,wave1-B,custom_system,0,nlp_specific,bureau,high,"Says 'This AI use case processes and' — classical NLP task, CENSUS-scoped.",0,0,0,,,0,0,0,0,0,0,0,custom_trained,1,mission_critical,0,CENSUS
34322,wave1-B,custom_system,0,predictive_analytics,bureau,high,"Says 'predicted' — predictive ML model, CENSUS-scoped.",0,0,0,,,0,0,0,0,0,0,0,custom_trained,1,mission_critical,0,CENSUS
34323,wave1-B,custom_system,0,nlp_specific,bureau,high,"Says 'natural language processing' — classical NLP task, CENSUS-scoped.",0,0,0,,,0,0,0,0,0,0,0,custom_trained,1,research,0,CENSUS
34324,wave1-B,bespoke_application,1,general_llm,bureau,medium,"Says 'LLM' — generative LLM use, CENSUS-scoped.",0,0,0,,,0,0,0,0,0,0,0,unknown,,mission_critical,0,CENSUS
34325,wave1-B,bespoke_application,1,general_llm,bureau,medium,"Says 'Transformer-Based' — generative LLM use, CENSUS-scoped.",0,0,0,,,0,0,0,0,0,0,0,unknown,,administrative,0,CENSUS
34326,wave1-B,bespoke_application,1,general_llm,bureau,medium,"Says 'LLM' — generative LLM use, CENSUS-scoped.",0,0,0,,,0,0,0,0,0,0,0,unknown,,research,1,CENSUS
34327,wave1-B,product_deployment,1,general_llm,bureau,high,"Says 'ChatGPT' — generative LLM use, CENSUS-scoped.",0,0,1,ChatGPT,OpenAI,0,1,0,0,0,0,0,inference_only,0,mission_critical,0,CENSUS
34328,wave1-B,custom_system,0,nlp_specific,enterprise_wide,high,"Says 'Translation' — classical NLP task, agency-wide deployment.",0,0,0,,,0,0,0,0,0,0,1,custom_trained,1,mission_critical,0,CENSUS
34329,wave1-B,generic_use_pattern,1,general_llm,pilot,medium,"Says 'The Census API GPT provides guidance' — generative LLM use, pilot/initiated stage.",0,0,0,,,0,0,0,0,0,0,0,unknown,,mission_critical,0,CENSUS
34330,wave1-B,generic_use_pattern,1,general_llm,pilot,medium,"Says 'LLM' — generative LLM use, pilot/initiated stage.",0,0,0,,,0,0,0,0,0,0,0,rag_pipeline,,mission_critical,0,CENSUS
34331,wave1-B,generic_use_pattern,0,predictive_analytics,bureau,low,"Says 'Machine Learning' — predictive ML model, CENSUS-scoped.",0,0,0,,,0,0,0,0,0,0,0,,,mission_critical,0,CENSUS
34332,wave1-B,product_deployment,1,general_llm,pilot,high,"Says 'CoPilot' — generative LLM use, pilot/initiated stage.",0,0,1,Microsoft 365 Copilot,Microsoft,1,0,0,0,0,0,0,inference_only,0,mission_critical,0,FIRSTNET
34333,wave1-B,generic_use_pattern,0,computer_vision,bureau,low,"Says 'Utilize AI photo and video editing' — computer-vision task, FIRSTNET-scoped.",0,0,0,,,0,0,0,0,0,0,0,,,administrative,0,FIRSTNET
34334,wave1-B,bespoke_application,1,general_llm,bureau,medium,"Says 'Chatbot' — generative LLM use, ITA-scoped.",0,0,0,,,0,0,0,0,0,0,0,unknown,,research,0,ITA
34335,wave1-B,custom_system,1,general_llm,pilot,medium,"Says 'Generative AI' — generative LLM use, pilot/initiated stage.",0,0,0,,,0,0,0,0,0,0,0,unknown,,research,0,ITA
34336,wave1-B,custom_system,1,general_llm,pilot,medium,"Says 'Generative AI' — generative LLM use, pilot/initiated stage.",0,0,0,,,0,0,0,0,0,0,0,unknown,,administrative,0,ITA
34337,wave1-B,custom_system,0,classical_ml,bureau,low,"Says 'WAWENETS' — classical ML pipeline, National Telecommunications and Information Administration-scoped.",0,0,0,,,0,0,0,0,0,0,0,custom_trained,1,research,0,National Telecommunications and Information Administration
34338,wave1-B,product_deployment,1,general_llm,bureau,high,"Says 'CoPilot' — generative LLM use, National Telecommunications and Information Administration-scoped.",0,0,1,Microsoft Copilot,Microsoft,1,0,0,0,0,0,0,inference_only,0,administrative,0,National Telecommunications and Information Administration
34339,wave1-B,custom_system,0,classical_ml,pilot,low,"Says 'Spectrum Visualizations' — classical ML pipeline, pilot/initiated stage.",0,0,0,,,0,0,0,0,0,0,0,custom_trained,1,research,0,National Telecommunications and Information Administration
34340,wave1-B,product_deployment,1,general_llm,pilot,low,"Says 'Use of Lexis' — generative LLM use, pilot/initiated stage.",0,0,1,LexisNexis,LexisNexis,0,0,0,0,0,0,0,unknown,0,research,0,National Telecommunications and Information Administration
34341,wave1-B,custom_system,0,predictive_analytics,pilot,high,"Says 'machine learning' — predictive ML model, pilot/initiated stage.",0,0,0,,,0,0,0,0,0,0,0,custom_trained,1,research,0,National Telecommunications and Information Administration
34342,wave1-B,custom_system,1,general_llm,bureau,medium,"Says 'Improving the quality of written communications,' — generative LLM use, NIST-scoped.",0,0,0,,,0,0,0,0,0,0,0,unknown,,research,0,NIST
34343,wave1-B,custom_system,0,nlp_specific,bureau,high,"Says 'Assist end users is discovery, access,' — classical NLP task, NIST-scoped.",0,0,0,,,0,0,0,0,0,0,0,custom_trained,1,research,0,NIST
34344,wave1-B,custom_system,0,computer_vision,bureau,low,"Says 'Ocean image annotation and model building' — computer-vision task, NOAA-scoped.",0,0,0,,,0,0,0,0,0,0,0,custom_trained,1,mission_critical,0,NOAA
34345,wave1-B,custom_system,0,computer_vision,bureau,high,"Says 'land cover' — computer-vision task, NOAA-scoped.",0,0,0,,,0,0,0,0,0,0,0,custom_trained,1,mission_critical,0,NOAA
34346,wave1-B,custom_system,0,computer_vision,bureau,high,"Says 'Computer vision' — computer-vision task, NOAA-scoped.",0,0,0,,,0,0,0,0,0,0,0,custom_trained,1,mission_critical,0,NOAA
34347,wave1-B,custom_system,0,computer_vision,pilot,low,"Says 'Remote sensing data interpretation and prediction' — computer-vision task, pilot/initiated stage.",0,0,0,,,0,0,0,0,0,0,0,custom_trained,1,mission_critical,0,NOAA
34348,wave1-B,custom_system,0,classical_ml,pilot,high,"Says 'model' — classical ML pipeline, pilot/initiated stage.",0,0,0,,,0,0,0,0,0,0,0,custom_trained,1,mission_critical,0,NOAA
34349,wave1-B,custom_system,0,computer_vision,pilot,low,"Says 'CoralNet: Ongoing operational use, improvement, and' — computer-vision task, pilot/initiated stage.",0,0,0,,,0,0,0,0,0,0,0,custom_trained,1,mission_critical,0,NOAA
34350,wave1-B,custom_system,0,computer_vision,pilot,low,"Says 'BANTER, a machine learning acoustic event' — computer-vision task, pilot/initiated stage.",0,0,0,,,0,0,0,0,0,0,0,custom_trained,1,mission_critical,0,NOAA
34351,wave1-B,custom_system,0,computer_vision,bureau,high,"Says 'bounding boxes' — computer-vision task, NOAA-scoped.",0,0,0,,,0,0,0,0,0,0,0,custom_trained,1,mission_critical,0,NOAA
34352,wave1-B,custom_system,0,predictive_analytics,bureau,high,"Says 'prediction' — predictive ML model, NOAA-scoped.",0,0,0,,,0,0,0,0,0,0,0,custom_trained,1,mission_critical,0,NOAA
34353,wave1-B,custom_system,0,predictive_analytics,pilot,high,"Says 'risk assessments' — predictive ML model, pilot/initiated stage.",0,0,0,,,0,0,0,0,0,0,0,custom_trained,1,cybersecurity,0,NOAA
34354,wave1-B,custom_system,0,predictive_analytics,bureau,high,"Says 'forecasts' — predictive ML model, NOAA-scoped.",0,0,0,,,0,0,0,0,0,0,0,custom_trained,1,mission_critical,0,NOAA
34355,wave1-B,custom_system,0,computer_vision,bureau,high,"Says 'Used to create internal ECM algorithm' — computer-vision task, NOAA-scoped.",0,0,0,,,0,0,0,0,0,0,0,custom_trained,1,mission_critical,0,NOAA
34356,wave1-B,custom_system,0,predictive_analytics,pilot,low,"Says 'AI Snowfall Detection and Snowfall Rate' — predictive ML model, pilot/initiated stage.",0,0,0,,,0,0,0,0,0,0,0,custom_trained,1,mission_critical,0,NOAA
34357,wave1-B,custom_system,0,predictive_analytics,pilot,low,"Says 'AI Rain Rate estimation' — predictive ML model, pilot/initiated stage.",0,0,0,,,0,0,0,0,0,0,0,custom_trained,1,mission_critical,0,NOAA
34358,wave1-B,custom_system,0,predictive_analytics,pilot,low,"Says 'AI Total Precipitable Water estimation' — predictive ML model, pilot/initiated stage.",0,0,0,,,0,0,0,0,0,0,0,custom_trained,1,mission_critical,0,NOAA
34359,wave1-B,custom_system,0,predictive_analytics,pilot,low,"Says 'AI Cloud Liquid Water estimation' — predictive ML model, pilot/initiated stage.",0,0,0,,,0,0,0,0,0,0,0,custom_trained,1,mission_critical,0,NOAA
34360,wave1-B,custom_system,0,nlp_specific,bureau,high,"Says 'Augmentation for next generation patent search' — classical NLP task, USPTO-scoped.",0,0,0,,,0,0,0,0,0,0,0,custom_trained,1,mission_critical,0,USPTO
34361,wave1-B,custom_system,0,predictive_analytics,bureau,high,"Says 'Predictions' — predictive ML model, USPTO-scoped.",0,0,0,,,0,0,0,0,0,0,0,custom_trained,1,mission_critical,0,USPTO
34362,wave1-B,product_deployment,0,computer_vision,pilot,high,"Says 'Clarivate' — computer-vision task, pilot/initiated stage.",0,0,1,Clarivate,Clarivate,0,0,0,0,0,0,0,,0,mission_critical,0,USPTO
34363,wave1-B,generic_use_pattern,1,general_llm,bureau,medium,"Says 'summarized' — generative LLM use, USPTO-scoped.",0,0,0,,,0,0,0,0,0,0,0,unknown,,mission_critical,1,USPTO
34364,wave1-B,generic_use_pattern,0,nlp_specific,bureau,low,"Says 'Service to help inventors ""get started""' — classical NLP task, USPTO-scoped.",0,0,0,,,0,0,0,0,0,0,0,,,mission_critical,0,USPTO
34365,wave1-B,custom_system,0,computer_vision,bureau,high,"Says 'A SaaS AI driven image search' — computer-vision task, USPTO-scoped.",0,0,0,,,0,0,0,0,0,0,0,custom_trained,1,mission_critical,0,USPTO
34366,wave1-B,bespoke_application,1,general_llm,bureau,medium,"Says 'chatbot' — generative LLM use, USPTO-scoped.",0,0,0,,,0,0,0,0,0,0,0,unknown,,mission_critical,1,USPTO
34367,wave1-B,custom_system,0,nlp_specific,bureau,high,"Says 'Quality control of customer applied document' — classical NLP task, USPTO-scoped.",0,0,0,,,0,0,0,0,0,0,0,custom_trained,1,mission_critical,0,USPTO
34368,wave1-B,custom_system,0,predictive_analytics,bureau,high,"Says 'Prediction' — predictive ML model, USPTO-scoped.",0,0,0,,,0,0,0,0,0,0,0,custom_trained,1,mission_critical,0,USPTO
34369,wave1-B,custom_system,0,predictive_analytics,bureau,medium,"Says 'Predicts' — predictive ML model, LM HQ-scoped.",0,0,0,,,0,0,0,0,0,0,0,custom_trained,1,administrative,0,LM HQ
34370,wave1-B,custom_system,0,nlp_specific,bureau,medium,"Says 'Reduce time required to classify email' — classical NLP task, EE HQ-scoped.",0,0,0,,,0,0,0,0,0,0,0,custom_trained,1,research,0,EE HQ
34371,wave1-B,custom_system,0,nlp_specific,bureau,medium,"Says 'Natural Language Processing' — classical NLP task, EHSS HQ-scoped.",0,0,0,,,0,0,0,0,0,0,0,custom_trained,1,research,0,EHSS HQ
34372,wave1-B,custom_system,0,predictive_analytics,bureau,medium,"Says 'Machine Learning' — predictive ML model, EHSS HQ-scoped.",0,0,0,,,0,0,0,0,0,0,0,custom_trained,1,research,0,EHSS HQ
34373,wave1-B,custom_system,0,predictive_analytics,bureau,medium,"Says 'Machine Learning' — predictive ML model, EHSS HQ-scoped.",0,0,0,,,0,0,0,0,0,0,0,custom_trained,1,research,0,EHSS HQ
34374,wave1-B,custom_system,0,predictive_analytics,bureau,medium,"Says 'Machine Learning' — predictive ML model, EHSS HQ-scoped.",0,0,0,,,0,0,0,0,0,0,0,custom_trained,1,research,0,EHSS HQ
34375,wave1-B,custom_system,0,predictive_analytics,bureau,high,"Says 'Prediction' — predictive ML model, SLAC-scoped.",0,0,0,,,0,0,0,0,0,0,0,custom_trained,1,research,0,SLAC
34376,wave1-B,custom_system,0,predictive_analytics,bureau,high,"Says 'predictions' — predictive ML model, SLAC-scoped.",0,0,0,,,0,0,0,0,0,0,0,custom_trained,1,research,0,SLAC
34377,wave1-B,bespoke_application,1,general_llm,bureau,medium,"Says 'LLM' — generative LLM use, PM HQ-scoped.",0,0,0,,,0,0,0,0,0,0,0,unknown,,research,0,PM HQ
34378,wave1-B,custom_system,0,predictive_analytics,bureau,medium,"Says 'Predicts' — predictive ML model, LM HQ-scoped.",0,0,0,,,0,0,0,0,0,0,0,custom_trained,1,research,0,LM HQ
