2_use_case_name,3_agency,3_abr,4_bureau,8_topic_area,8_question_type,10_commercial_ai,11_purpose_benefits,12_outputs,16_dev_stage,17_impact_type,18_date_initiated,19_date_acq_dev_began,20_date_implemented,21_date_retired,22_dev_method,23_contract_piids,24_hisp_support,25_hisp_name,26_public_service,27_public_info,28_iqa_compliance,29_contains_pii,30_saop_review,31_data_catalog,31_question_type,33_agency_data,34_data_docs,35_demo_features,35_question_type,37_custom_code,38_code_access,39_code_link,40_has_ato,41_system_name,42_dev_tools_wait,43_infra_provisioned,43_question_type,45_compute_request,45_question_type,47_timely_resources,47_question_type,49_existing_reuse,50_internal_review,51_extension_request,52_impact_assessment,53_real_world_testing,54_key_risks,55_independent_eval,56_monitor_postdeploy,57_autonomous_impact,57_question_type,59_ai_notice,59_question_type,61_adverse_impact,62_disparity_mitigation,63_stakeholder_consult,63_question_type,65_appeal_process,66_no_appeal_reason,67_opt_out,67_question_type
Solicitation Review Tool (SRT),General Services Administration,GSA,OGP,Other,Section 508 Compliance,None of the above.,"The SRT intakes SAM.gov data for all ICT solicitations. The system then compiles the data into a database to be used by machine learning algorithms. The first of these is a Natural Language Processing model that determines if a solicitation contains compliance language. If a solicitation does not have compliance language, then it is marked as non-compliant. Each agency is asked to review their data and validate the SRT predictions. GSA also conducts random manual reviews monthly.",Determination whether a solicitation is compliant or not. Text form.,Implementation and Assessment,Neither,5/1/2018,5/1/2019,6/1/2020,N/A,Developed with both contracting and in-house resources.,N/A,No,Public Experience Portfolio – GSA ,Enable increased self-service through an expansion of digital costumer service tools,No,Non-public,No,No,Yes,N/A,SAM.gov data sets,"Documentation is complete: Documentation exists regarding the maintenance, composition, quality, and intended use of the training and evaluation data, as well as any statistical bias across model features and protected groups. ",N/A,N/A,Yes,"Yes – agency has access to source code, but it is not public.",https://github.com/GSA/srt-fbo-scraper,Yes,SRT,6-12 months,Yes,N/A,Yes,N/A,Yes,N/A,Use of existing data platforms: This use case is being developed on existing enterprise data and analytics platforms within the agency rather than procuring additional platforms or SaaS to operate.,"Documentation has been developed: Complete documentation detailing model performance across a range of benchmarks, architecture, relevant features and information regarding the appropriate use of the model for predictive tasks has been created.",No – Agency did not request an extension for this use case.,No,"Benchmark evaluation: Testing of the AI model has involved the use of benchmarks (either publicly available or internally created) to estimate performance in real-world settings, but has not been tested in an operational environment. ","False negatives, and identified through random QA sessions.",Planned or in-progress,"Intermittent and Manually Updated: A plan for monitoring the AI use case is in place, and requires data science teams to work with DevOps engineers to manually update models at scheduled intervals, and create metrics to detect data distribution shifts between the operational environment and the training data for the model. ",No - Some individual decisions or actions require direct human oversight.,N/A,N/A - individuals are not interacting with the AI for this use case,N/A,No,N/A,Post-transaction customer feedback collections,N/A,"No – Law, operational limitations, or governmentwide guidance precludes an opportunity for an individual to appeal.","Law, operational limitations, or governmentwide guidance precludes an opportunity for an individual to appeal.","No – This AI use case is not subject to the opt-out requirement because the AI functionality is solely used for the prevention, detection, and investigation of fraud or cybersecurity incidents, or the conduct of a criminal investigation.",N/A
Acquisition Analytics,General Services Administration,GSA,FAS,Mission-Enabling,N/A,None of the above.,Takes Detailed Data on transactions and classifies each transaction within the Government-wide Category Management Taxonomy,Acquisition Analytics,Implementation and Assessment,Neither,10/1/2018,4/1/2019,4/1/2019,NA,Developed with both contracting and in-house resources.,N/A,No,Public Experience Portfolio – GSA ,Enable increased self-service through an expansion of digital costumer service tools,No,Non-public,No,No,Yes,N/A,Metadata Link,"Documentation is complete: Documentation exists regarding the maintenance, composition, quality, and intended use of the training and evaluation data, as well as any statistical bias across model features and protected groups. ",N/A,N/A,Yes,"Yes – agency has access to source code, but it is not public.",It is available on the FAS Enterprise Data Architecture Github Repository,Yes,EDA,Less than 6 months,Yes,N/A,Yes,N/A,Yes,N/A,Use of existing data platforms: This use case is being developed on existing enterprise data and analytics platforms within the agency rather than procuring additional platforms or SaaS to operate.,"Documentation has been developed: Complete documentation detailing model performance across a range of benchmarks, architecture, relevant features and information regarding the appropriate use of the model for predictive tasks has been created.",No – Agency did not request an extension for this use case.,No,"Benchmark evaluation: Testing of the AI model has involved the use of benchmarks (either publicly available or internally created) to estimate performance in real-world settings, but has not been tested in an operational environment. ",Misclassification and subsequent misalignment of transaction throughput through GWAS categories,Planned or in-progress,"Intermittent and Manually Updated: A plan for monitoring the AI use case is in place, and requires data science teams to work with DevOps engineers to manually update models at scheduled intervals, and create metrics to detect data distribution shifts between the operational environment and the training data for the model. ",No - Some individual decisions or actions require direct human oversight.,N/A,Online - in the terms or instructions for the service.,N/A,No,N/A,None of the above,N/A,"No – Law, operational limitations, or governmentwide guidance precludes an opportunity for an individual to appeal.","Law, operational limitations, or governmentwide guidance precludes an opportunity for an individual to appeal.","No – This AI use case is not subject to the opt-out requirement because the AI functionality is solely used for the prevention, detection, and investigation of fraud or cybersecurity incidents, or the conduct of a criminal investigation.",N/A
City Pairs Program Ticket Forecast and Scenario Analysis Tools,General Services Administration,GSA,FAS,Transportation,N/A,None of the above.,"Takes segment-level City Pair Program air travel purchase data and creates near-term forecasts for the current and upcoming fiscal year by month and at various levels of granularity including DOD vs Civilian, Agency, and Region.",City Pairs Program Ticket Forecast and Scenario Analysis Tools,Implementation and Assessment,Neither,10/1/2021,2/1/2022,4/1/2019,NA,Developed in-house.,N/A,No,Public Experience Portfolio – GSA ,Enable increased self-service through an expansion of digital costumer service tools,No,Non-public,No,No,Yes,N/A,Metadata Link,"Documentation is complete: Documentation exists regarding the maintenance, composition, quality, and intended use of the training and evaluation data, as well as any statistical bias across model features and protected groups. ",N/A,N/A,Yes,"Yes – agency has access to source code, but it is not public.",It is available on the FAS Enterprise Data Architecture Github Repository,Yes,EDA,Less than 6 months,Yes,N/A,Yes,N/A,Yes,N/A,Use of existing data platforms: This use case is being developed on existing enterprise data and analytics platforms within the agency rather than procuring additional platforms or SaaS to operate.,"Documentation has been developed: Complete documentation detailing model performance across a range of benchmarks, architecture, relevant features and information regarding the appropriate use of the model for predictive tasks has been created.",No – Agency did not request an extension for this use case.,No,"Benchmark evaluation: Testing of the AI model has involved the use of benchmarks (either publicly available or internally created) to estimate performance in real-world settings, but has not been tested in an operational environment. ",Over or underestimation and therefore mistargeting initiatives around KPIs ,Planned or in-progress,No monitoring protocols have been established: Necessary infrastructure needed to perform monitoring of AI systems in production is not available and/or a plan to monitor models has not yet been established.,No - Some individual decisions or actions require direct human oversight.,N/A,Online - in the terms or instructions for the service.,N/A,No,N/A,None of the above,N/A,"No – Law, operational limitations, or governmentwide guidance precludes an opportunity for an individual to appeal.","Law, operational limitations, or governmentwide guidance precludes an opportunity for an individual to appeal.","No – This AI use case is not subject to the opt-out requirement because the AI functionality is solely used for the prevention, detection, and investigation of fraud or cybersecurity incidents, or the conduct of a criminal investigation.",N/A
Category Taxonomy Classifier,General Services Administration,GSA,FAS,Mission-Enabling,N/A,None of the above.,Classification of obligation transactions in to GWAS subcategories when existing FPDS coding scheme(PSC/NAICS) is insufficient for positive classification of a transaction. ,Category Taxonomy Classifier,Implementation and Assessment,Neither,6/1/2021,6/1/2021,10/1/2022,N/A,Developed in-house.,N/A,No,Public Experience Portfolio – GSA ,Enable increased self-service through an expansion of digital costumer service tools,No,Non-public,No,No,Yes,N/A,Metadata Link,"Documentation is complete: Documentation exists regarding the maintenance, composition, quality, and intended use of the training and evaluation data, as well as any statistical bias across model features and protected groups. ",N/A,N/A,Yes,"Yes – agency has access to source code, but it is not public.",It is available on the FAS Enterprise Data Architecture Github Repository,Yes,EDA,Less than 6 months,Yes,N/A,Yes,N/A,Yes,N/A,Use of existing data platforms: This use case is being developed on existing enterprise data and analytics platforms within the agency rather than procuring additional platforms or SaaS to operate.,"Documentation has been developed: Complete documentation detailing model performance across a range of benchmarks, architecture, relevant features and information regarding the appropriate use of the model for predictive tasks has been created.",No – Agency did not request an extension for this use case.,No,"Benchmark evaluation: Testing of the AI model has involved the use of benchmarks (either publicly available or internally created) to estimate performance in real-world settings, but has not been tested in an operational environment. ",Misclassification and subsequent misalignment of transaction throughput through GWAS categories,Planned or in-progress,"Intermittent and Manually Updated: A plan for monitoring the AI use case is in place, and requires data science teams to work with DevOps engineers to manually update models at scheduled intervals, and create metrics to detect data distribution shifts between the operational environment and the training data for the model. ",No - Some individual decisions or actions require direct human oversight.,N/A,N/A - individuals are not interacting with the AI for this use case,N/A,No,N/A,None of the above,N/A,"No – Law, operational limitations, or governmentwide guidance precludes an opportunity for an individual to appeal.","Law, operational limitations, or governmentwide guidance precludes an opportunity for an individual to appeal.","No – This AI use case is not subject to the opt-out requirement because the AI functionality is solely used for the prevention, detection, and investigation of fraud or cybersecurity incidents, or the conduct of a criminal investigation.",N/A
CPRM Contract Breach Forecast,General Services Administration,GSA,FAS,Mission-Enabling,N/A,None of the above.,Applies obligation forecasting to ITC contracts to provide situational awareness of risk of contract ceiling breach. ,CPRM Contract Breach Forecast,Implementation and Assessment,Neither,8/1/2022,N/A,N/A,N/A,Developed in-house.,N/A,No,Public Experience Portfolio – GSA ,Enable increased self-service through an expansion of digital costumer service tools,No,Non-public,No,No,Yes,N/A,Metadata Link,"Documentation is complete: Documentation exists regarding the maintenance, composition, quality, and intended use of the training and evaluation data, as well as any statistical bias across model features and protected groups. ",N/A,N/A,Yes,"Yes – agency has access to source code, but it is not public.",It is available on the FAS Enterprise Data Architecture Github Repository,Yes,EDA,Less than 6 months,Yes,N/A,Yes,N/A,Yes,N/A,Use of existing data platforms: This use case is being developed on existing enterprise data and analytics platforms within the agency rather than procuring additional platforms or SaaS to operate.,"Documentation has been developed: Complete documentation detailing model performance across a range of benchmarks, architecture, relevant features and information regarding the appropriate use of the model for predictive tasks has been created.",No – Agency did not request an extension for this use case.,No,"Benchmark evaluation: Testing of the AI model has involved the use of benchmarks (either publicly available or internally created) to estimate performance in real-world settings, but has not been tested in an operational environment. ",1) Breach predicted too far in the future. 2) Breach predicted to early. ,Planned or in-progress,"Intermittent and Manually Updated: A plan for monitoring the AI use case is in place, and requires data science teams to work with DevOps engineers to manually update models at scheduled intervals, and create metrics to detect data distribution shifts between the operational environment and the training data for the model. ",No - Some individual decisions or actions require direct human oversight.,N/A,Online - in the terms or instructions for the service.,N/A,No,N/A,None of the above,N/A,"No – Law, operational limitations, or governmentwide guidance precludes an opportunity for an individual to appeal.","Law, operational limitations, or governmentwide guidance precludes an opportunity for an individual to appeal.","No – This AI use case is not subject to the opt-out requirement because the AI functionality is solely used for the prevention, detection, and investigation of fraud or cybersecurity incidents, or the conduct of a criminal investigation.",N/A
Category Taxonomy Refinement Using NLP,General Services Administration,GSA,FAS,Mission-Enabling,N/A,None of the above.,Uses token extraction from product descriptions more accurately shape intended markets for PSCs.,N/A,Retired,Neither,N/A,N/A,N/A,11/1/2024,Developed in-house.,N/A,No,Public Experience Portfolio – GSA ,Enable increased self-service through an expansion of digital costumer service tools,No,N/A,No,No,No,N/A,N/A,"Documentation is missing or not available: No documentation exists regarding maintenance, composition, quality, or intended use of the training and evaluation data.",N/A,N/A,Yes,"Yes – agency has access to source code, but it is not public.",It is available on the FAS Enterprise Data Architecture Github Repository,No,N/A,Less than 6 months,Yes,N/A,No,N/A,Yes,N/A,None: This use case does not re-use any internally developed tooling or managed infrastructure from any other AI development efforts within the agency.,"No documentation is available: No documentation detailing model performance metrics, model architecture, features and intended use of the models have been created or are currently accessible to other data science teams within the agency.",No – Agency did not request an extension for this use case.,No,No testing: No testing of the model to simulate performance in an operational environment has been conducted thus far.,N/A,Planned or in-progress,No monitoring protocols have been established: Necessary infrastructure needed to perform monitoring of AI systems in production is not available and/or a plan to monitor models has not yet been established.,No - Some individual decisions or actions require direct human oversight.,N/A,N/A - individuals are not interacting with the AI for this use case,N/A,No,N/A,None of the above,N/A,"No – Law, operational limitations, or governmentwide guidance precludes an opportunity for an individual to appeal.","Law, operational limitations, or governmentwide guidance precludes an opportunity for an individual to appeal.","No – This AI use case is not subject to the opt-out requirement because the AI functionality is solely used for the prevention, detection, and investigation of fraud or cybersecurity incidents, or the conduct of a criminal investigation.",N/A
Key KPI Forecasts for GWCM,General Services Administration,GSA,FAS,Mission-Enabling,N/A,None of the above.,"Takes monthly historical data for underlying components used to calculate KPIs and creates near-term forecasts for the upcoming fiscal year. Pilot effort focuses on total agency/category spend (the denominator in multiple KPIs). If the pilot program is successful, the same methodology can be extended to other KPIs.",N/A,Retired,Neither,N/A,N/A,N/A,11/1/2024,Developed with contracting resources.,N/A,No,Public Experience Portfolio – GSA ,Enable increased self-service through an expansion of digital costumer service tools,No,N/A,No,No,No,N/A,N/A,"Documentation is missing or not available: No documentation exists regarding maintenance, composition, quality, or intended use of the training and evaluation data.",N/A,N/A,No,"Yes – agency has access to source code, but it is not public.",N/A,No,N/A,Less than 6 months,Yes,N/A,No,N/A,Yes,N/A,None: This use case does not re-use any internally developed tooling or managed infrastructure from any other AI development efforts within the agency.,"No documentation is available: No documentation detailing model performance metrics, model architecture, features and intended use of the models have been created or are currently accessible to other data science teams within the agency.",No – Agency did not request an extension for this use case.,No,No testing: No testing of the model to simulate performance in an operational environment has been conducted thus far.,N/A,Planned or in-progress,No monitoring protocols have been established: Necessary infrastructure needed to perform monitoring of AI systems in production is not available and/or a plan to monitor models has not yet been established.,No - Some individual decisions or actions require direct human oversight.,N/A,N/A - individuals are not interacting with the AI for this use case,N/A,No,N/A,None of the above,N/A,"No – Law, operational limitations, or governmentwide guidance precludes an opportunity for an individual to appeal.","Law, operational limitations, or governmentwide guidance precludes an opportunity for an individual to appeal.","No – This AI use case is not subject to the opt-out requirement because the AI functionality is solely used for the prevention, detection, and investigation of fraud or cybersecurity incidents, or the conduct of a criminal investigation.",N/A
Enterprise Brain,General Services Administration,GSA,GSA IT (IDT),Other,N/A,None of the above.,Enterprise Brain is a document repository by Tanjo (tanjo.ai) that leverages AI to improve document discovery.,N/A,Retired,Neither,10/1/2022,N/A,N/A,10/1/2023,Developed with contracting resources.,47QFCA21F0014,No,Public Experience Portfolio – GSA ,Enable increased self-service through an expansion of digital costumer service tools,No,N/A,No,No,No,N/A,N/A,"Documentation is missing or not available: No documentation exists regarding maintenance, composition, quality, or intended use of the training and evaluation data.",N/A,N/A,No,No – agency does not have access to source code.,Vendor is waiting to provide source code until the project is approved to go forward based on ROI.,No,N/A,Less than 6 months,Yes,N/A,No,N/A,Yes,N/A,None: This use case does not re-use any internally developed tooling or managed infrastructure from any other AI development efforts within the agency.,"No documentation is available: No documentation detailing model performance metrics, model architecture, features and intended use of the models have been created or are currently accessible to other data science teams within the agency.",No – Agency did not request an extension for this use case.,No,No testing: No testing of the model to simulate performance in an operational environment has been conducted thus far.,N/A,Planned or in-progress,No monitoring protocols have been established: Necessary infrastructure needed to perform monitoring of AI systems in production is not available and/or a plan to monitor models has not yet been established.,No - Some individual decisions or actions require direct human oversight.,N/A,N/A - individuals are not interacting with the AI for this use case,N/A,No,N/A,None of the above,N/A,"No – Law, operational limitations, or governmentwide guidance precludes an opportunity for an individual to appeal.","Law, operational limitations, or governmentwide guidance precludes an opportunity for an individual to appeal.","No – This AI use case is not subject to the opt-out requirement because the AI functionality is solely used for the prevention, detection, and investigation of fraud or cybersecurity incidents, or the conduct of a criminal investigation.",N/A
AWS Captcha Solver,General Services Administration,GSA,GSA IT (IDT),Other,AWS Captcha Solver,None of the above.,"As part of a project to automate actions in AWS console using Selenium, we developed an AI model that can solve AWS's captcha so our automated system won't be blocked for being detected as a bot. The model is used in an AWS Lambda that uses a headless Selenium driver. The model was trained from scratch using Tensorflow. We have discussed making a more general form of this solution that could be applied to other AI/ML problems.",It outputs the solution to a captcha.,Initiated,Neither,1/1/2022,1/1/2022,1/1/2022,N/A,Developed in-house.,N/A,No,Public Experience Portfolio – GSA ,Enable increased self-service through an expansion of digital costumer service tools,No,Non-public,No,No,Yes,N/A,N/A,"Documentation is missing or not available: No documentation exists regarding maintenance, composition, quality, or intended use of the training and evaluation data.",N/A,N/A,Yes,"Yes – agency has access to source code, but it is not public.",The source is in GSA's GitHub repository.,No,N/A,Less than 6 months,Yes,N/A,No,N/A,Yes,N/A,None: This use case does not re-use any internally developed tooling or managed infrastructure from any other AI development efforts within the agency.,"Documentation has been developed: Complete documentation detailing model performance across a range of benchmarks, architecture, relevant features and information regarding the appropriate use of the model for predictive tasks has been created.",No – Agency did not request an extension for this use case.,No,"Benchmark evaluation: Testing of the AI model has involved the use of benchmarks (either publicly available or internally created) to estimate performance in real-world settings, but has not been tested in an operational environment. ",None,Planned or in-progress,No monitoring protocols have been established: Necessary infrastructure needed to perform monitoring of AI systems in production is not available and/or a plan to monitor models has not yet been established.,No - Some individual decisions or actions require direct human oversight.,N/A,Other ,Was used internally for root password rotation only. No external users.,No,N/A,None of the above,N/A,"No – Law, operational limitations, or governmentwide guidance precludes an opportunity for an individual to appeal.","Law, operational limitations, or governmentwide guidance precludes an opportunity for an individual to appeal.","No – This AI use case is not subject to the opt-out requirement because the AI functionality is solely used for the prevention, detection, and investigation of fraud or cybersecurity incidents, or the conduct of a criminal investigation.",N/A
ServiceNow Generic Ticket Classification,General Services Administration,GSA,GSA IT (IDT),Other,ServiceNow Generic Ticket Classification,None of the above.,"We are building a model to take generic Service Now tickets and classify them so that they can be automatically re-routed to the correct team that handles these types of tickets. The process of re-routing generic tickets is currently done manually, so the model will allow us to automate it. The initial model will target the top 5 most common ticket types.",It outputs the most likely group that a Servicenow ticket should be assigned to.,Initiated,Neither,10/1/2022,10/1/2022,N/A,N/A,Developed with contracting resources.,47QFCA21F0014,No,Public Experience Portfolio – GSA ,Enable increased self-service through an expansion of digital costumer service tools,No,Non-public,Yes,No,Yes,N/A,Service Now Ticket Data,"Documentation is missing or not available: No documentation exists regarding maintenance, composition, quality, or intended use of the training and evaluation data.",N/A,N/A,Yes,No – agency does not have access to source code.,The source code is in Google Drive.,Yes,EIP,Less than 6 months,Yes,N/A,No,N/A,Yes,N/A,None: This use case does not re-use any internally developed tooling or managed infrastructure from any other AI development efforts within the agency.,"Documentation has been developed: Complete documentation detailing model performance across a range of benchmarks, architecture, relevant features and information regarding the appropriate use of the model for predictive tasks has been created.",No – Agency did not request an extension for this use case.,No,"Benchmark evaluation: Testing of the AI model has involved the use of benchmarks (either publicly available or internally created) to estimate performance in real-world settings, but has not been tested in an operational environment. ",None,Planned or in-progress,No monitoring protocols have been established: Necessary infrastructure needed to perform monitoring of AI systems in production is not available and/or a plan to monitor models has not yet been established.,No - Some individual decisions or actions require direct human oversight.,N/A,Other ,The team that classifies the tickets manually is aware of the AI. The end user is not notified that an AI was used.,No,N/A,None of the above,N/A,"No – Law, operational limitations, or governmentwide guidance precludes an opportunity for an individual to appeal.","Law, operational limitations, or governmentwide guidance precludes an opportunity for an individual to appeal.","No – This AI use case is not subject to the opt-out requirement because the AI functionality is solely used for the prevention, detection, and investigation of fraud or cybersecurity incidents, or the conduct of a criminal investigation.",N/A
