agency,use_case_name,verdict,final_is_general_llm_access,confidence,reasoning
DHS,Smartphone Information Forensics Triage,confirm_proposed,0,high,"Fixed forensic triage workflow: ""translate and summarize the content of text messages"" on seized devices, shown only on a display — no arbitrary-prompt chat, single workflow."
DHS,Synthetic data for improved Automated Threat Recognition (ATR) in checkpoint screening,confirm_proposed,0,high,"Synthetic image generation for training ATR algorithms (""images that mimic the human body and various threats"") — not an LLM assistant at all."
DHS,Electronic Evidence/Video Recording Transcription and Summarization Tool,confirm_proposed,0,high,"Body-worn-camera footage pipeline that ""transcribes and translates video footage"" for investigations — fixed transcription workflow, not chat access."
DHS,USCIS Document Translation Service,confirm_proposed,0,high,"Document translation pipeline delivering ""image-to-image translation ... side by side with the original document"" for officers — single workflow, no arbitrary prompts."
DHS,CBP Common AI Service(CCAIS) Image Analysis and Data Correlation,confirm_proposed,0,high,"Image analysis service that ""outputs image analysis of what is in the image"" with bounding boxes — computer vision, not LLM access."
DHS,Forced Labor Virtual Consultant,confirm_proposed,0,medium,"Although outputs include ""direct LLM response to user queries"", it is scoped to CBP forced-labor analysts over ""internal forced labor databases with preloaded trend analysis data"" — one dataset, one narrow user group."
DHS,Source Code Development Tool,confirm_proposed,0,high,"Coding assistant that ""generates functional software code"" — coding-only tools are explicitly final=0 per the decision rule."
DHS,Open Metadata,confirm_proposed,0,high,"Pipeline that ""generate[s] proposed descriptions for field names in our data catalog"" — single fixed workflow, no chat interface."
DHS,Automated Incident Creation (IT),confirm_proposed,0,high,"ServiceNow-integrated triage that ""responds with a Yes/No determination and a justification"" for ticket creation — embedded single-app automation."
DHS,TRM Classification Tool,confirm_proposed,0,high,"Gemini-based multi-label classifier of ""vendor product classifications"" for the TRM — fixed classification pipeline, no prompting by staff."
DHS,FOIA processing automated redaction (RedactAI),confirm_proposed,0,high,"FOIA pipeline whose ""output is recommendation of content to be redacted"" — document-processing pipeline that happens to use an LLM."
DHS,Speech Assist Virtual Interview Assistant,confirm_proposed,0,high,"Audio-processing pipeline producing ""diarized transcriptions ... summaries, and named entities"" to auto-draft documents — fixed workflow, not chat."
DHS,CodeGen,confirm_proposed,0,high,"""Code generation support for CBP developers"" producing ""generated code snippets"" — coding-only tool, final=0 per rule."
DHS,Individual Assistance Document Translation,confirm_proposed,0,high,"Automated translation pipeline whose ""output is the English version of survivor-submitted documents"" — no prompts, single workflow."
DHS,Grants Manager Artificial Intelligence ChatBot,confirm_proposed,0,medium,"Chatbot scoped to FEMA PA grants policy: ""policy-based responses to user queries"" for the grants review process — per-policy document Q&A for one program, not broad arbitrary-prompt access."
DHS,SEVP Response Center Chatbot - SID (SEVIS Interactive Dialog),confirm_proposed,0,high,"Call-center IVR bot with a ""deterministic question and answer workflow"" answering ""routine caller questions"" — narrow customer-service chatbot over one dataset."
DHS,Digital Records Manager (DRM) User Assistance Chatbot,confirm_proposed,0,high,"Help chatbot answering questions ""based on a custom Knowledge Base of DRM documentation"" inside the ICM application — embedded single-app copilot."
DHS,Named Entity Resolution for Investigative Data,confirm_proposed,0,high,"Entity-extraction pipeline whose outputs are ""the identified and extracted entities"" for search refinement — no chat interface."
DHS,CFO Navigator,confirm_proposed,0,medium,"""Conversational interface to query and analyze DHS CFO financial data and reports"" — chat-style but scoped to one dataset (CFO financial data) and authorized finance staff, so not broad general access."
DHS,Contract Requirement Automation,confirm_proposed,0,high,"Procurement platform outputting ""automated document generation and recommendations for procurement documentation"" — single business workflow."
DHS,TSA Case Handling Platform,confirm_proposed,0,high,"Case-management automation ""compiling, ordering, and exporting a PDF document"" of complaint-process documents — fixed workflow, no prompts."
DHS,TSA Contact Center Virtual Assistant,confirm_proposed,0,high,"Public-facing contact-center chatbot for ""public inquiries"" that ""does not generate original content"" — public widget, fails the internal-FOUO test."
DHS,Risk Management Framework (RMF) Automation,confirm_proposed,0,high,"Compliance automation whose ""primary output is document generation specific to cybersecurity needs"" (ATO/FedRAMP packages) — single workflow."
DHS,Enterprise WiFi,confirm_proposed,0,high,"Network-operations AI to ""configure, monitor and troubleshooting issues"" on enterprise WiFi — infrastructure automation, not LLM access."
DHS,Hazard Mitigation Assistance Chatbot,confirm_proposed,0,medium,"Azure-OpenAI chatbot but scoped to ""Hazard Mitigation Assistance (HMA) staff"" for ""understanding of [HMA] programs and data analysis of HMA data"" — one program domain and user group, not broad access."
DHS,Technical Resource for Mitigation Programs,confirm_proposed,0,high,"Grant-document review agent producing ""structured findings reports ... anomaly/discrepancy KPIs ... compliance checklists"" inside a Databricks workspace — document-processing pipeline."
DHS,Large Language Model (LLM) Guided Data Dictionary Generation,confirm_proposed,0,high,"RAG pipeline that ""automatically creates field definitions"" for the FEMADex data dictionary — fixed pipeline, no user prompting."
DHS,AI-Assisted Resume Screening Tool,confirm_proposed,0,high,"Resume-scoring workflow that ""provides a numerical score, a scoring group (red, yellow, green, or blue)"" — fixed evaluation pipeline."
DHS,Dark Web Threat Intelligence for Cyber Investigations,confirm_proposed,0,high,"Investigative tool producing ""concise summaries of search results, English translations ... and metadata"" from dark-web data — one dataset, narrow analyst workflow."
DHS,Enhanced Lead Identification and Targeting,confirm_proposed,0,high,"ELITE outputs ""enriched leads that include AI-extracted addresses"" for ERO officers — extraction pipeline, not chat access."
DHS,AI Security and Monitoring,confirm_proposed,0,high,"AI security gateway outputting ""risk alerts, compliance reports, and audit logs"" — governance tooling around AI use, not an LLM assistant."
DHS,CBP Careers Bot - Leo,confirm_proposed,0,high,"Public-facing careers-site chatbot helping ""visitors to the CBP careers site"" — public widget, not internal FOUO access."
DHS,Global Entry Mobile App Traveler AI Question Answering Service,confirm_proposed,0,high,"Public traveler support: ""the output is the answer to a traveler's question"" constrained to given context ""verbatim"" — narrow public-facing Q&A over one dataset."
DHS,OCFO Response Augmentation Suite,confirm_proposed,0,medium,"OCFO GPT / Travel Policy GPT / Fiscal Policy GPT are GenAI drafting tools but each is scoped to one workflow — ""generating initial responses to questions for the record"" from policy documents — domain-grounded drafting, not open-ended broad staff access."
DHS,AI-Enhanced ICE Tip Processing,confirm_proposed,0,high,"Tip-line enrichment pipeline: the LLM ""enrich[es] web tips with ... a high-level summary (BLUF) and a recommended case category"" — fixed workflow."
DHS,AI-Powered Developer Tools,confirm_proposed,0,high,"Developer tooling outputting ""suggested code snippets, refactoring recommendations, optimized queries"" — coding-only tools are final=0 per rule."
DHS,Open-Source Intelligence for Investigations,confirm_proposed,0,high,"Penlink/Fivecast OSINT platforms outputting ""flagged risk alerts, extracted identifiers, image and sentiment classification"" — vendor analytics over one data domain."
DHS,ESEC Inquiry (STORM) Summarization,confirm_proposed,0,high,"Power Apps workflow where uploading a letter ""activates a ... workflow that creates a summary"" into STORM — embedded single-app automation, no prompting."
DHS,AskTSA,confirm_proposed,0,high,"Agent-assist for the AskTSA customer-service team producing ""summarized inquiries ... recommended responses ... categorized inquiries"" — embedded copilot inside one business process."
DHS,Lexis Nexis,confirm_proposed,0,high,"Identity-verification reports (""person, vehicular, or dwelling report"") for passenger screening analysts — narrow vendor analytics, not LLM chat."
DHS,PDF Intake (PDFI) for myUSCIS,confirm_proposed,0,high,"Form-extraction service using Claude on Bedrock that ""return[s] ... validation rules ... in a JSON format"" — document-processing pipeline, no user prompts."
DHS,AI Interview Simulator for Officer Training,confirm_proposed,0,high,"Training simulator that ""mimics live interviews"" for RAIO trainees via chat — single training workflow for one user group, not general assistant access."
DHS,Commercial Generative AI for Text Generation (AI Chatbot),keep_current,1,medium,"Retired umbrella entry for DHS's conditional approvals of commercial chatbots (ChatGPT, Bing Chat, Claude 2) — arbitrary-prompt, broadly available staff access later revoked in the DHSChat consolidation; the flag tracks kind, not current status (https://fedscoop.com/homeland-security-cuts-off-access-to-chatgpt-and-other-commercial-ai/)."
DHS,Commercial Generative AI for Image Generation,confirm_proposed,0,medium,"Retired umbrella entry for commercial image-generation tools (e.g., DALL-E 2 under DHS's conditional approvals) — image generation, not a general-purpose text LLM assistant (https://fedscoop.com/homeland-security-cuts-off-access-to-chatgpt-and-other-commercial-ai/)."
DHS,Commercial Generative AI for Code Generation,confirm_proposed,0,high,Retired umbrella entry for commercial code-generation tools — coding-only tools are explicitly final=0 per the decision rule.
DOJ,Veritone Redact,confirm_proposed,0,high,"FOIA multimedia tool that ""automat[es] the redaction of sensitive information within audio and video files"" — document/media-processing pipeline."
DOJ,Data & Analytics: Healthcare Fraud Detection,confirm_proposed,0,high,"Fraud-analytics system outputting ""data visualizations, as well as trend, benchmark, and link analyses"" — predictive analytics, not LLM chat."
DOJ,Speech to Text Managed Service - Voice Transcription to Text,confirm_proposed,0,high,"""Speech-to-text recognition of spoken content within an audio file"" plus summaries — transcription pipeline, no arbitrary prompts."
DOJ,Internal Component-specific chatbot service,keep_current,1,high,"Internal GCC-High Azure OpenAI chatbot for ""general information queries and suggestions towards improving text"", deployed precisely to ""curve user generative AI usage"" away from commercial services — arbitrary prompts, internal, component-wide: a general-purpose FOUO LLM assistant."
DOJ,JAWS (Text-to-Speech Assistant for Accessibility),confirm_proposed,0,high,"JAWS screen reader giving ""audio descriptions of images and summaries of text"" for visually impaired staff — assistive accessibility tool, not LLM access."
DOJ,"Voicemail Transcription, Translation and Summarization",confirm_proposed,0,high,"Voicemail pipeline whose output ""is an email that provides an AI generated summary of the voicemail"" with transcript/translation attachments — fixed workflow."
DOJ,UFMS ChatBot,confirm_proposed,0,high,"""Application-level support to Unified Financial Management System (UFMS) users"" — embedded copilot inside a single business app."
DOJ,NIST Compliance Recommender,confirm_proposed,0,high,"Tool replacing ""manual assessments of NIST guidelines"" with reports — narrow compliance workflow, no general prompting."
DOJ,Immigration Hearing Transcription and Translation/Interpretation Services,confirm_proposed,0,high,"Hearing-services pipeline producing ""real-time text translation ... [and] preliminary draft transcripts of immigration hearings"" — fixed transcription/translation workflow."
DOJ,Data Triage,confirm_proposed,0,medium,"Thin narrative, but the stated problem is ""manual search for data through many reports"" — a scoped investigative search/triage workflow, not broad chat access."
DOJ,Customer Service AI Agent/ChatBot,confirm_proposed,0,high,"Public-facing website helper that will ""suggest EOIR webpage where customer can locate the relevant content"" — public widget over one site."
DOJ,Chatbot to Answer Internal Employee Policy Queries,confirm_proposed,0,medium,"Internal chatbot but grounded to one corpus — ""trained on the Agents Manual"" and policy/law materials with hyperlinked citations — per-policy document search, not open-ended general LLM access."
DOJ,Chatbot,confirm_proposed,0,high,"QnA Maker/LUIS bot ""on the COPS website"" answering customer questions from a fixed knowledge base — public-facing, retrieval-only."
DOJ,AI-Enabled Briefing Assistant,confirm_proposed,0,high,"RAG tool ""trained on DOJ filings and administrative records"" to draft briefs for Federal Programs Branch attorneys — one workflow, one narrow user group."
DOJ,Acquisition Support Tool,confirm_proposed,0,high,"VAO Ally ""summarizes public-domain contracting regulations"" for contracting staff — narrow procurement-guidance tool over one corpus."
DOJ,Community Outreach Chatbot that Helps the Public Consume Prevention Resources,confirm_proposed,0,high,"Public outreach chatbot so ""citizens can ask plain language questions"" about DEA prevention resources — public-facing, not internal staff access."
DOJ,Chatbot to Answer Diversion Registrants' Queries About Registration and Compliance Issues,confirm_proposed,0,high,"Registrant-facing TOMSS chatbot giving ""policy-grounded responses to registrant inquiries"" with guardrails returning no response for ungrounded prompts — narrow public/customer chatbot over one dataset."
