agency,use_case_name,bureau_component,stage_normalized,tool_product_name,system_name,vendor_name,development_type,problem_statement,expected_benefits,system_outputs
HHS,AI Code Assistance  WETG GitHub CoPilot Proof-of-Concept,HHS/CMS/OC,pilot,GitHub Copilot,,,a) Purchased from a vendor,Coding assistance,"Cost savings, improved efficiency and quality",Suggestions
HHS,AI DevOps - Improving Development and CI/CD Operations,HHS/AHRQ/CFACT,pre_deployment,Microsoft Teams,,Pingwind,,"Introducing AI to DevOps can identify and reduce errors, shorten release cycles, and empower development teams with data-driven insights, resulting in faster continuous integration and shorter development lifecycles.","Integrating AI into DevOps pipeline can boost efficiency, enhance code quality, and accelerate development cycle. AI code review uses artificial intelligence algorithms to analyze source code for potential issues. Initial integration of AI code review can assist in detecting bugs, security vulnerabilities, performance bottlenecks, and deviations from coding standards.","Integrating AI into DevOps pipeline can boost efficiency, enhance code quality, and accelerate development cycle. AI code review uses artificial intelligence algorithms to analyze source code for potential issues. Initial integration of AI code review can assist in detecting bugs, security vulnerabilities, performance bottlenecks, and deviations from coding standards."
HHS,AI Workspace,HHS/CMS/OIT,deployed,Microsoft Teams,CEDAR,Skyward Solutions,c) Developed with both contracting and in-house resources,"Hosted development env with access to AI tooling, including LLMs for use in early stage exploration.","AI Workspace provides a hosted development environment with access to AI tooling including LLMs, enabling CMS teams to conduct early-stage AI exploration and experimentation that can lead to innovative solutions","AI Workspace provides a hosted development environment that enables end users to create code, with the organizational impact being rapid exploration of AI ideas to validate technical feasibility, viability, and desirability of potential solutions."
HHS,AI-Generated Data Processing and Visualization Code Development,HHS/FDA/OCS,pre_deployment,Microsoft Teams,,,,"Manual coding for data processing and visualization creates barriers to AI adoption, requires specialized expertise not available across all teams, and limits agency ability to maximize value of existing data investments as directed by OMB M-25-21.","Accelerated development of data processing workflows, increased access to advanced analytics capabilities, reduced dependency on specialized programming skills, improved consistency in data visualization standards, and enhanced agency AI maturity through automated code generation capabilities.","AI assisted code generation for Excel macros and scripts, Power BI formulas and visualizations, data processing algorithms, automated dashboard templates, and reusable code libraries."
HHS,CCSQ Now Assist for Creator,HHS/CMS/CCSQ,deployed,ServiceNow Now Assist,Quality Service Center (QSC),,a) Purchased from a vendor,Improve efficiencies regarding development withing the CCSQ ServiceNow program.,Improve time to deliver customer value through improved efficiencies regarding development withing the CCSQ ServiceNow program.,Text to Code. Text to Flow. Flow Assist
HHS,CSB MCP AI,HHS/CDC,pre_deployment,,,,,Reduce required manhours and improve accuracy of reports on CSB infrastructure and by assisting infrastructure administrators with tasks and duties.,"Expected to generate reports for and answer questions posed by senior staff about CSB infrastructure, improving accuracy and freeing infrastructure administrators from these tasks. Assist infrastructure administrators with tasks and duties, improving accuracy and completion time.","Reports, infrastructure code generation, and task execution."
HHS,Code Conversion for PowerBI Migration,HHS/HRSA,pre_deployment,Tableau,,,,Generate code to support migration and conversion from Tableau to PowerBI to save license cost as well as migration labor costs,Save cost for development of the solution including eliminating contract labour costs,Code that is leveraged to migrate Tableau Reports/Dashboards into PowerBI
HHS,Coding translation,HHS/NIH,pre_deployment,unspecified,,,,"Translates code between programming languages, e.g. rewrite python script in equivalent R commands; translate natural language to code, e.g. write a python script that will convert this gene matrix to a transcript matrix etc.",Saves time in troubleshooting programming code or rewriting code in a different language,Output is computer code in designated programming language.
HHS,Notebooks Hub,HHS/NIH,deployed,OpenAI API,,"Axle Informatics, Microsoft, OpenAI",c) Developed with both contracting and in-house resources,"Helping scientists and researchers code their applications, dashboards, and data analyses more quickly, have higher code standards, and gain more insight from their data","More time can be spent on the subject matter exploration and understanding than on coding and analysis frameworks that help/support these goals. Current assessments indicate 40% speed increases to develop code and applications, with improvements increasing year-over-year","Python, R, Javascript, Java, etc. code"
HHS,Writing code using AI,HHS/NIH,deployed,Palantir AIP,NIH Integrated Data Analysis Platform,Palantir Technologies deployed application within Foundry,a) Purchased from a vendor,Limited users able to develop code.,Assistance with novice users writing code to achieve data transformations.,recommended pyspark code
DOC,AI Pair Programming with GitHub CoPilot,NOAA,unknown,GitHub Copilot,,,,,,
DOC,APIgee with Gemini Code Assist for OpenAPI Development,NOAA,unknown,Gemini,,,,,,
DOC,Amazon Q Developer Pilot,NOAA,unknown,Amazon Q,,,,,,
DOC,Assisted software development,USPTO,unknown,unspecified,,,,"Support software developers in code analysis, test case generation, debugging, and documentation.",,
DOC,GitHub CoPilot,NOAA,unknown,GitHub Copilot,,,,,,
DOC,GitHub Copilot for Code Modernization,BEA,unknown,GitHub Copilot,,,,,,
DOC,Scientific Code Development Assistance,NOAA,unknown,,,,,,,
DOC,Statistical package syntax development and debugging,Census,unknown,,,,,,,
DOC,Streamlining Fisheries DevSecOps with Gemini Code Assist,NOAA,unknown,Gemini,,,,,,
DHS,AI-Powered Developer Tools,ICE,deployed,Palantir AIP,Case Management & Analytics (CMA),Palantir,a) Purchased from a vendor,"The AI is intended to solve the problem of time‑consuming manual developer tasks, including debugging code, writing database queries, and analyzing system metrics, which slows application development and makes it harder to quickly identify and fix issues.","By streamlining routine coding tasks and surfacing useful system insights, AI-enabled developer tools increase developer productivity and support faster, higher-quality delivery of software across ICE.","The outputs of these AI-enabled tools include suggested code snippets, refactoring recommendations, optimized queries, and analytics summaries related to system behavior or performance. These outputs are presented to developers as proposed changes or insights, which must be reviewed and approved before being incorporated into the codebase through existing version control and deployment processes. The tools do not directly modify production systems; all changes must go through standard human review, testing, and approval workflows."
DHS,CodeGen,CBP,pre_deployment,Custom code-generation tool,,,,Workforce enablement of AI developers.,"The primary purpose is to provide code generation support for CBP developers, with the anticipated benefit of significantly increasing their efficiency and productivity. By automating repetitive coding tasks and suggesting optimal solutions, this initiative aims to free up developers to focus on more complex and strategic projects, ultimately accelerating the delivery of critical work.","The system's output consists of generated code snippets and/or textual explanations and suggestions related to code development. This output is designed to assist developers in writing, understanding, and debugging code more effectively."
DHS,Commercial Generative AI for Code Generation,DHS,retired,Unspecified commercial GenAI,,,,,,
DHS,OCFO Code Assist GPT,FEMA,deployed,OpenAI API,ReadyAI,Microsoft (OpenAI part of Azure Commercial Cloud offerings),c) Developed with both contracting and in-house resources,"Code Assist Generative Pre-trained Transformer (GPT) is an internal facing Generative AI (GenAI) tool to augment the FEMA workforce in generating and troubleshooting existing queries in established query languages (e.g., SQL, Java, COBOL). Users enter the language they are querying, and the Code Assist GPT then provides a proposed query based on the elements provided. If the query is unsuccessful, the tool maintains the session, allowing users to prompt for enhancements until expected results are achieved. At the end of the session, all prompts and queries are removed, and no data is stored outside of the active session. The tool provides improves query generation and rapid iteration, saving users 80-90% of the time compared to custom query development. It also supports various computer languages to assist the data analytics community.","Saving users 80-90% of the time compared to custom query development, rapid iteration which includes error resolution to query complex data sets and multiple computer languages (COBOL, SQL, Python, etc)","Leverages Azure Commercial OpenAI within the FEMA system boundary, currently leveraging ChatGPT4o.  Code Assist GPT is an internal facing GenaAI tool to augment the FEMA workforce in generating and troubleshooting existing queries in established query languages. The user simply enters the language they are trying to query (i.e. SQL, Java, COBOL, etc) and the Code Assist GPT then provides a proposed query based on the elements provided by the user. If the user experiences an error or the query is not successful, the Code Assist GPT maintains the session as long as the user is still logged in and hasn't restarted the session, the user can continue to prompt the GPT to provide enhancements to the provided query until results are as expected. At the end of the user session, all prompts/queries are removed and no data is stored outside of the active user session."
DHS,RTPD Division Services Desktop Automation,FEMA,pre_deployment,,,,,"Our government developers lack the capacity and consistency to produce quality code in a timely manner. Our administrative staff facilitate a multitude of processes that require manual intervention. This requires significant overhead and is prone errors and results in simple steps or actions taking longer than necessary as requests get lost in email or other forms of communication. There is also no audit trail or logging outside of a personal email address or limited access shared mailboxes, making it difficult for others to step in a facilitate activities.","AI Coding Assistants can help identify potential issues with code, help our developers troubleshoot more quickly, and begin complex coding more efficiently.  This will also enable a team of developers to build a consistency across resources and a repository of reusable code segments to speed the delivery of new features and functions.","In this use case, we can expect higher quality code, reducing errors and defects in working software.  Administrative staff will be able to monitor progress vs facilitating it and focus their attention on higher value mission support activities."
DHS,Source Code Development Tool,CBP,pre_deployment,Custom GenAI coding assistant,,,,"The tool uses generative artificial intelligence (GenAI) powered by large language models (LLMs) and coding foundation models to assist with software development. The AI serves as a coding assistant, allowing users to create, refine, and complete software projects through natural language commands and queries. It generates functional software code, streamlining the development process, reducing manual effort, and improving efficiency.","The tool is designed to enhance software development efficiency by enabling end users to create, refine, and complete projects more quickly through the use of a generative artificial intelligence (AI) coding assistant. By automating portions of the coding process, the tool reduces development time, optimizes workflows, and improves overall productivity.","The tool generates functional software code for end users, enabling them to efficiently develop, refine, and complete projects with minimal manual effort, delivering high-quality code outputs tailored to user prompts and project requirements."
SBA,Developer Code Assistant AI,OCIO: Office of the Chief Information Officer,pre_deployment,Amazon Q,Amazon Q Developer,Amazon Web Services (AWS),Purchased from a vendor,"Software developers spend significant time on repetitive coding tasks, writing boilerplate code, creating documentation, generating unit tests, and conducting code reviews. Legacy code modernization is complex and time-consuming. Understanding large codebases requires extensive manual analysis. Developers need context-aware assistance that understands company-specific code patterns and AWS best practices.","Accelerates software development by up to 57% through intelligent code completion and generation. Reduces time spent on documentation, unit testing, and code reviews through autonomous agentic capabilities. Transforms legacy applications automatically (e.g., .NET upgrades, Java version migrations). Improves code quality with AWS-specific best practices and security recommendations. Enables faster onboarding to complex codebases. Customizes to private repositories for company-specific relevance. Supports inline chat for contextual help. Provides CLI natural language translation for command-line efficiency.","Generative AI-powered coding assistant for building, operating, and transforming software with advanced agentic capabilities. Provides real-time code suggestions from snippets to full functions based on comments and existing code. Features inline chat in IDE, CLI completions, natural language-to-bash translation, and customization with private repositories for company-specific recommendations. Agentic capabilities autonomously perform multi-step tasks including unit testing, documentation, code reviews, refactoring, and legacy code transformation. Achieved highest scores on SWE-Bench Leaderboard. Input: natural language prompts, code context, GitHub issues, repository code. Output: code suggestions, full functions, documentation, unit tests, code reviews, pull requests, diagrams, refactored code."
SBA,Developer Code Assistant AI,OCIO: Office of the Chief Information Officer,pre_deployment,GitHub Copilot,GitHub Copilot,Microsoft Corporation (GitHub),Purchased from a vendor,"Developers spend substantial time writing repetitive boilerplate code, looking up syntax and APIs, translating requirements into code, and debugging errors. Understanding unfamiliar codebases is time-consuming. Manual code reviews are labor-intensive. Command-line operations require remembering complex syntax. Context-switching between documentation and coding disrupts flow.",Increases developer productivity by 55-94% according to customer studies (Grupo Boticário case). Accelerates coding with real-time intelligent suggestions that understand context. Reduces time searching for documentation and syntax. Enables autonomous coding through GitHub issue assignment to AI agents. Provides instant code explanations and error detection. Improves code quality through AI-powered refactoring suggestions. Streamlines terminal workflows with natural language CLI commands. Maintains flow state by reducing context-switching. Supports multiple programming languages and frameworks.,"AI-powered pair programmer that provides context-aware code suggestions and completions directly in the code editor and terminal. Uses machine learning trained on billions of lines of public code to suggest entire lines, functions, and code blocks as developers type. Features autonomous coding agent that can be assigned GitHub issues to independently write code and create pull requests. Provides inline chat for code explanations, error detection, refactoring suggestions, and optimization recommendations. Supports natural language CLI commands. Analyzes context from open files, repository structure, and cursor position to generate probabilistic suggestions. Input: code context, natural language prompts, GitHub issues, repository files. Output: code suggestions, full functions, pull requests, refactoring recommendations, terminal commands, code explanations."
SBA,Multi-Agent Orchestration,OCIO: Office of the Chief Information Officer,pre_deployment,AWS Bedrock,Amazon Bedrock (FedRAMP Authorized),Amazon Web Services (AWS),"Both, the AI was developed by a vendor but it was substantially customized in-house or by a contractor","SBA maintains millions of lines of legacy ColdFusion and COBOL code supporting mission-critical lending systems (CAFS) with minimal test coverage and significant technical debt. Manual code refactoring, test case generation, and project management across modernization initiatives are resource-intensive and error-prone, creating risk during cloud migration.","Multi-agent AI orchestration will accelerate legacy code modernization by automating code refactoring recommendations, generating comprehensive test suites for financial calculation modules, and streamlining project management workflows. Expected benefits include reduced manual effort for QA testing, improved code quality and test coverage for CAFS applications, faster time-to-migration for AWS EVS initiatives, and better coordination across modernization workstreams.","Multi-agent system using Amazon Bedrock with foundation models. Agent Teams coordinate specialized agents for: (1) Code Refactoring — analyzes legacy ColdFusion/COBOL code and recommends modernization patterns, (2) Automated Testing — generates unit, integration, and regression test cases for financial calculation modules, (3) Project Management — synthesizes sprint status, identifies blockers, and coordinates task dependencies across modernization teams. Input: source code repositories, project management data, test specifications. Output: refactored code suggestions, test case files, project status summaries, risk assessments. All outputs require human review and approval before implementation."
DOI,"Integration of AI, specifically CoPilot for GitHub,  for BTFA Software Development Life Cycle Process for DME and O&M applications.",BTFA,pilot,GitHub Copilot,,Microsoft,Purchased from a vendor,"Reductions in BTFA Application and Database Staff has lead to increase workload for remaining staff for DME and O&M activities of applications and servers. This code is considered sophisticated in nature, code resides in Azure App Workspace (Web/Function/Logic Apps) and standalone applications and servers.","Due to reduce staffing, BTFA needs to integrate AI for its DME and O&M of  applications and servers (database/application/web/etc) which has sophisticated code base.  AI has show promise in reducing staff hours for all phases of SDLC.",changes in source code after review by application/dba staff along with appropriate testing before going to production.
DOI,Use of artificial intelligence tools for optimization and documentation for computer codes [2024 INV#WO0000000109681],USGS,pilot,ChatGPT,,OpenAI,Developed with both contracting and in-house resources,computer codes are needed that implement earthquake rupture forecasts and ground-motion models. This project uses ChatGPT to suggest optimizations and documentation for computer codes.,time savings,"documentation, optimized code"
